"inst_1723" "inst_2872" "inst_7457"
"1007_s_at" 20471 20657 17378
"1053_at" 19945 18736 17409
"117_at" 19093 8366 10348
"121_at" 3099 11690 16078
"1255_g_at" 7648 4868 6648
"1294_at" 16720 15713 13020
"1316_at" 5369 10914 1421
"1320_at" 15278 10839 6059
"1405_i_at" 5814 4640 2126
"1431_at" 7393 574 5907
"1438_at" 7058 14218 21169
"1487_at" 19269 18071 14367
"1494_f_at" 22025 398 2129
"1598_g_at" 17168 21106 506
"160020_at" 20065 1550 501
"1729_at" 22071 11018 21389
"1773_at" 9646 20459 21279
"177_at" 20420 7789 12440
"179_at" 5573 20291 1299
"1861_at" 176 19446 13856
"200000_s_at" 18519 12512 20818
"200001_at" 3094 17350 5132
"200002_at" 17779 9865 14672
"200003_s_at" 18643 4111 14207
"200004_at" 6791 10363 16717
"200005_at" 19880 14184 16006
"200006_at" 1799 11686 17771
"200007_at" 11208 13378 4250
"200008_s_at" 21428 13460 5428
"200009_at" 5743 9733 16934
"200010_at" 16759 9758 15079
"200011_s_at" 4583 14327 17690
"200012_x_at" 6131 1442 5457
"200013_at" 19278 9475 15528
"200014_s_at" 17235 12885 17190
"200015_s_at" 16674 20466 16112
"200016_x_at" 2793 9504 5509
"200017_at" 6545 2181 4908
"200018_at" 19538 9682 14452
"200019_s_at" 3731 10737 14891
"200020_at" 17259 11642 4872
"200021_at" 5462 8976 2743
"200022_at" 6755 2177 3928
"200023_s_at" 4243 14150 16868
"200024_at" 4461 9839 14197
"200025_s_at" 16805 2117 2943
"200026_at" 4155 1676 4697
"200027_at" 5241 13302 4294
"200028_s_at" 3680 12937 17125
"200029_at" 17816 1731 3464
"200030_s_at" 18841 9135 14343
"200031_s_at" 19054 4210 13968
"200032_s_at" 17932 1980 4863
"200033_at" 17588 10011 16425
"200034_s_at" 19810 1514 18197
"200035_at" 1589 11525 21901
"200036_s_at" 18989 10775 14251
"200037_s_at" 5795 13055 17927
"200038_s_at" 18677 9019 14230
"200039_s_at" 19970 12478 17587
"200040_at" 16785 13904 20948
"200041_s_at" 4291 13123 19055
"200042_at" 17593 16374 16777
"200043_at" 6591 11680 4233
"200044_at" 20220 12245 14084
"200045_at" 3070 15781 17459
"200046_at" 5560 14157 17403
"200047_s_at" 16955 9798 14229
"200048_s_at" 2912 15361 5013
"200049_at" 17464 17611 14906
"200050_at" 18661 20171 14500
"200051_at" 18135 19170 5508
"200052_s_at" 18882 12585 15483
"200053_at" 20386 19677 20487
"200054_at" 2464 11715 15253
"200055_at" 2387 16473 5095
"200056_s_at" 2520 21207 18454
"200057_s_at" 16722 10636 15004
"200058_s_at" 17786 16133 15822
"200059_s_at" 5916 10416 14214
"200060_s_at" 18438 11491 4532
"200061_s_at" 18971 4209 5222
"200062_s_at" 18816 4093 3869
"200063_s_at" 4577 4277 15492
"200064_at" 19954 10047 17566
"200065_s_at" 17928 13800 16552
"200066_at" 19638 12864 21135
"200067_x_at" 3537 11818 13803
"200068_s_at" 2771 9315 14967
"200069_at" 4028 14557 14704
"200070_at" 746 17748 19936
"200071_at" 19702 18041 20186
"200072_s_at" 6036 15750 16864
"200073_s_at" 6252 11443 17691
"200074_s_at" 17418 10633 17833
"200075_s_at" 17006 21217 3561
"200076_s_at" 5550 16634 15926
"200077_s_at" 16662 2026 14430
"200078_s_at" 1663 17495 14107
"200079_s_at" 18634 15433 3783
"200080_s_at" 18909 1556 15400
"200081_s_at" 19319 2084 4470
"200082_s_at" 19677 1725 4398
"200083_at" 17302 14948 20238
"200084_at" 17486 14410 15722
"200085_s_at" 16914 12289 16778
"200086_s_at" 6108 11672 13825
"200087_s_at" 17634 10261 15694
"200088_x_at" 5121 4100 4619
"200089_s_at" 17232 2190 16159
"200090_at" 2149 13975 13859
"200091_s_at" 19852 9813 17584
"200092_s_at" 17955 1845 4733
"200093_s_at" 5418 13480 5212
"200094_s_at" 19195 12000 15931
"200095_x_at" 17811 4341 14013
"200096_s_at" 20671 13989 2830
"200097_s_at" 16622 10330 15662
"200098_s_at" 17206 15456 15414
"200099_s_at" 17746 4289 4709
"200593_s_at" 6149 13171 14813
"200594_x_at" 3837 10138 16035
"200595_s_at" 19525 19336 3276
"200596_s_at" 20406 13675 18141
"200597_at" 6370 19252 4540
"200598_s_at" 18396 17443 5231
