"inst_1716" "inst_2866" "inst_5431" "inst_6330"
"1007_s_at" 4084 18367 13575 14321
"1053_at" 1108 12695 19470 12581
"117_at" 4246 8150 11610 8668
"121_at" 6561 20912 17975 20154
"1255_g_at" 8668 6484 8974 4525
"1294_at" 18500 1005 21361 17067
"1316_at" 2380 13361 13020 19562
"1320_at" 12903 10204 11999 7443
"1405_i_at" 18762 2909 6428 10027
"1431_at" 10052 5989 19249 16630
"1438_at" 13825 14762 4724 3246
"1487_at" 18493 19795 16288 14198
"1494_f_at" 4712 1893 12803 2094
"1598_g_at" 2018 1742 3880 15269
"160020_at" 17327 12091 20208 16321
"1729_at" 1420 19174 1399 12403
"1773_at" 16380 21580 17865 3426
"177_at" 17146 8644 4325 1218
"179_at" 18954 2387 20442 21816
"1861_at" 2795 13572 19134 4347
"200000_s_at" 4086 12924 3588 14480
"200001_at" 2474 13895 5694 16455
"200002_at" 17473 2783 13147 12539
"200003_s_at" 17290 4888 12688 4020
"200004_at" 20619 10235 13887 12034
"200005_at" 5116 16221 13411 16695
"200006_at" 2272 11673 5439 12265
"200007_at" 4480 11529 16647 14481
"200008_s_at" 3235 16657 16455 16644
"200009_at" 5983 10897 13097 12975
"200010_at" 18121 2315 12613 18901
"200011_s_at" 21792 12316 5766 18596
"200012_x_at" 20697 2286 5269 3118
"200013_at" 5909 9879 13782 4261
"200014_s_at" 17952 15899 12349 14732
"200015_s_at" 20094 18020 15537 3159
"200016_x_at" 17211 2614 15388 13469
"200017_at" 6174 2842 8176 2960
"200018_at" 17803 1526 12341 3538
"200019_s_at" 4891 1797 12755 12305
"200020_at" 18921 13187 5947 14279
"200021_at" 20933 2013 8253 7143
"200022_at" 17690 1780 12348 16776
"200023_s_at" 6675 13134 14885 4140
"200024_at" 7323 2363 17737 3023
"200025_s_at" 19093 2050 15429 3870
"200026_at" 3654 1940 8256 3552
"200027_at" 17341 15323 5779 12454
"200028_s_at" 18688 14161 12486 17998
"200029_at" 5231 2679 5951 12731
"200030_s_at" 4851 2876 5632 12256
"200031_s_at" 7107 4994 8164 3667
"200032_s_at" 7076 2506 8180 2582
"200033_at" 7242 10195 5318 12671
"200034_s_at" 4410 1193 16998 4112
"200035_at" 21604 828 20689 16982
"200036_s_at" 6307 2538 5921 13350
"200037_s_at" 4840 12089 14937 14872
"200038_s_at" 6367 2170 12835 12390
"200039_s_at" 6140 10968 13544 12779
"200040_at" 4758 11060 16763 14898
"200041_s_at" 5661 14845 13580 18786
"200042_at" 4034 15110 4128 16943
"200043_at" 20486 12294 18103 12440
"200044_at" 6509 2609 17376 14574
"200045_at" 2671 14025 15609 16232
"200046_at" 7335 14634 13371 13185
"200047_s_at" 19480 15140 13309 14042
"200048_s_at" 17164 13782 14740 13022
"200049_at" 6298 16376 13692 3926
"200050_at" 4507 13195 17562 16662
"200051_at" 21643 14551 17913 17377
"200052_s_at" 4091 17495 15759 18250
"200053_at" 18681 16436 19694 17962
"200054_at" 2473 18857 4075 19388
"200055_at" 7286 13939 12895 3400
"200056_s_at" 3563 20277 15735 13989
"200057_s_at" 6003 9838 5309 12919
"200058_s_at" 18441 16431 14969 15793
"200059_s_at" 4965 9972 17101 14148
"200060_s_at" 4056 18983 15267 12137
"200061_s_at" 6263 4993 8163 4379
"200062_s_at" 6173 4869 8080 6812
"200063_s_at" 18005 5058 8205 12110
"200064_at" 4879 13276 13503 15128
"200065_s_at" 1707 14787 5527 16616
"200066_at" 5464 2887 14074 19702
"200067_x_at" 17916 15705 12307 17268
"200068_s_at" 18595 2472 6175 13166
"200069_at" 21276 19160 5535 17643
"200070_at" 2255 13471 3736 21028
"200071_at" 3700 16576 17176 16556
"200072_s_at" 4215 17659 14255 17259
"200073_s_at" 6239 10558 12612 18073
"200074_s_at" 5230 2720 14013 14251
"200075_s_at" 4598 16633 14061 15423
"200076_s_at" 6833 12685 18319 12883
"200077_s_at" 7103 2325 13073 13247
"200078_s_at" 4214 15913 13665 17588
"200079_s_at" 3199 14788 4847 18159
"200080_s_at" 4479 2643 12425 2524
"200081_s_at" 4378 1576 13808 13776
"200082_s_at" 4009 2132 6121 13451
"200083_at" 20808 14353 14595 14178
"200084_at" 18645 15498 16197 15679
"200085_s_at" 18204 13972 13164 15435
"200086_s_at" 5423 10492 12808 15677
"200087_s_at" 5274 2793 12910 12871
"200088_x_at" 4287 4877 8087 4096
"200089_s_at" 4421 2444 15278 13109
"200090_at" 3704 13907 16054 4366
"200091_s_at" 5911 1364 16363 3565
"200092_s_at" 6884 1883 3793 2205
"200093_s_at" 18192 14246 16721 16115
"200094_s_at" 3477 14120 15271 12205
"200095_x_at" 18730 5125 8247 7125
"200096_s_at" 17295 17578 16857 20062
"200097_s_at" 4375 10466 4727 14123
"200098_s_at" 21004 13197 13522 18372
"200099_s_at" 19302 5068 8212 12405
"200593_s_at" 18470 2620 19486 12698
"200594_x_at" 5830 1767 5498 16320
"200595_s_at" 18568 1949 17002 3066
"200596_s_at" 19469 12844 15525 12377
"200597_at" 4197 14650 21647 4218
"200598_s_at" 2270 20755 15530 3785
"200599_s_at" 19127 1986 19258 17934
"200600_at" 4583 9612 9527 17472
"200601_at" 20439 14669 21484 3682
"200602_at" 7257 2785 20377 15077
"200603_at" 18344 11209 18733 12032
"200604_s_at" 22064 14338 13814 13908
"200605_s_at" 20549 10063 14781 16643
"200606_at" 15687 13744 5980 4114
"200607_s_at" 1541 21630 14490 17849
"200608_s_at" 19957 14238 18222 17647
"200609_s_at" 4510 15608 19175 19115
"200610_s_at" 5459 11325 12906 17620
"200611_s_at" 4210 18486 19473 17862
"200612_s_at" 6888 22208 2163 21811
"200613_at" 2826 17345 15637 17913
"200614_at" 17600 2333 15519 12133
"200615_s_at" 21676 19769 6137 16937
"200616_s_at" 1342 20160 12299 13860
"200617_at" 6261 11272 14979 15332
"200618_at" 2730 15860 6044 18006
"200619_at" 3811 18176 14918 15278
"200620_at" 5031 12003 6252 13878
"200621_at" 17996 17821 12992 18223
"200622_x_at" 3334 17063 4763 13635
"200623_s_at" 4273 12595 20834 18744
"200624_s_at" 19327 17006 4901 20326
"200625_s_at" 2918 10140 15887 2828
"200626_s_at" 1925 2126 16811 12713
"200627_at" 17458 1230 14252 12511
"200628_s_at" 7342 20435 4826 19838
"200629_at" 19617 14179 13364 17853
"200630_x_at" 5482 1580 4277 12338
"200631_s_at" 2546 2644 13266 12958
"200632_s_at" 21182 2289 5308 20318
"200633_at" 4727 2746 8162 6946
"200634_at" 18661 2006 15050 16335
"200635_s_at" 13056 18301 12764 18651
"200636_s_at" 9123 1698 4353 3799
"200637_s_at" 9520 18652 3093 20916
"200638_s_at" 17405 2479 15096 15335
"200639_s_at" 22051 2247 19069 14963
"200640_at" 4154 2722 15392 15731
"200641_s_at" 1763 12080 16767 19944
"200642_at" 6293 11283 12698 14582
"200643_at" 19197 1384 4729 17662
"200644_at" 18191 14925 19330 13119
"200645_at" 6274 11606 12315 15113
"200646_s_at" 7302 19864 3146 19242
"200647_x_at" 18910 12769 5285 19987
"200648_s_at" 350 10653 19194 1360
"200649_at" 50 19319 4400 17344
"200650_s_at" 18960 2875 13833 3803
"200651_at" 2115 1880 14684 3896
"200652_at" 2378 13855 14897 18554
"200653_s_at" 17263 2244 12483 2162
"200654_at" 5378 14881 4786 21321
"200655_s_at" 19846 2098 16304 12849
"200656_s_at" 4401 21468 14373 16482
"200657_at" 6276 11246 13515 14434
"200658_s_at" 4912 17338 15187 18631
"200659_s_at" 918 19438 4347 3128
"200660_at" 4079 2617 14796 4221
"200661_at" 7347 15484 5567 17183
"200662_s_at" 7419 11352 16366 15167
"200663_at" 3389 10656 14454 2630
"200664_s_at" 3459 22014 5939 16605
"200665_s_at" 7497 8398 10672 5706
"200666_s_at" 19950 14269 13929 14361
"200667_at" 17369 17724 16927 17528
"200668_s_at" 3058 12961 15126 14983
"200669_s_at" 4239 17233 15779 19577
"200670_at" 19992 11877 13569 21413
"200671_s_at" 12865 21410 19170 20174
"200672_x_at" 693 42 19657 18446
"200673_at" 5322 12715 13767 12525
"200674_s_at" 6366 2142 4790 12777
"200675_at" 5420 13162 13044 13055
"200676_s_at" 1834 17441 3610 15654
"200677_at" 19209 13085 13187 16655
"200678_x_at" 20916 14672 12382 13156
"200679_x_at" 3979 2798 17434 12859
"200680_x_at" 5890 1588 8250 3798
"200681_at" 4265 13203 4374 14382
"200682_s_at" 17665 13866 15716 17910
"200683_s_at" 17668 19087 16711 3754
"200684_s_at" 11588 19152 15975 4131
"200685_at" 4600 12271 5128 15449
"200686_s_at" 18577 21283 17322 4156
"200687_s_at" 20213 19583 13553 13577
"200688_at" 18002 16488 17424 22175
"200689_x_at" 17992 10246 12549 15483
"200690_at" 22237 12896 17785 15266
"200691_s_at" 7203 10988 3903 13689
"200692_s_at" 6641 12635 15801 16752
"200693_at" 17735 13289 15270 13364
"200694_s_at" 17248 16234 14894 14820
"200695_at" 17084 21995 19596 3666
"200696_s_at" 92 2054 5220 13462
"200697_at" 4307 10098 3408 14259
"200698_at" 17059 1959 15252 14578
"200699_at" 1985 1205 5546 14928
"200700_s_at" 5747 9842 15757 14432
"200701_at" 3213 14750 3723 16425
"200702_s_at" 4960 20322 14395 3563
"200703_at" 22218 10778 17733 3484
"200704_at" 6670 2866 6278 20252
"200705_s_at" 4695 9865 5821 14564
"200706_s_at" 2828 10936 5704 3715
"200707_at" 16988 16344 4674 16130
"200708_at" 1061 13617 5780 14767
"200709_at" 5869 2567 16070 3479
"200710_at" 2117 19280 5008 12473
"200711_s_at" 19545 12483 15457 13820
"200712_s_at" 20230 21209 13203 18944
"200713_s_at" 19381 15885 16357 15631
"200714_x_at" 18877 19178 3488 17635
"200715_x_at" 5210 16616 5878 16152
"200716_x_at" 7101 2695 8240 3765
"200717_x_at" 19123 4991 8160 6943
"200718_s_at" 1919 9905 14014 4055
"200719_at" 4914 10159 4051 19040
"200720_s_at" 5425 20494 5477 18346
"200721_s_at" 4198 15252 17947 14881
"200722_s_at" 18833 21802 20541 2962
"200723_s_at" 5638 19642 13133 17471
"200724_at" 3936 16472 21635 811
"200725_x_at" 3680 2859 3933 3181
"200726_at" 19077 14798 17015 14162
"200727_s_at" 1178 17902 12680 12021
"200728_at" 6156 13446 15733 13782
"200729_s_at" 2545 15291 14034 2067
"200730_s_at" 21733 16800 13001 17680
"200731_s_at" 6680 11200 19316 18788
"200732_s_at" 18423 12504 12666 19490
"200733_s_at" 22013 17515 3165 427
"200734_s_at" 17241 14880 14390 12756
"200735_x_at" 6259 5064 8209 15574
"200736_s_at" 4807 5778 7290 13067
"200737_at" 6268 15243 18884 15834
"200738_s_at" 7320 13980 14867 12285
"200739_s_at" 7258 18667 12715 14606
"200740_s_at" 17716 10944 13406 14059
"200741_s_at" 5683 2380 8082 6814
"200742_s_at" 20934 20745 14545 20348
"200743_s_at" 19089 17219 16201 20886
"200744_s_at" 4950 20754 13385 13415
"200745_s_at" 4957 16115 6279 13753
"200746_s_at" 18672 10647 17771 13760
"200747_s_at" 805 18174 14436 19560
"200748_s_at" 2384 1745 6038 13009
"200749_at" 18001 15356 5924 13057
"200750_s_at" 18941 11186 15128 13453
"200751_s_at" 4951 18976 16069 17341
"200752_s_at" 17618 11099 16756 17615
"200753_x_at" 5147 15400 18653 16120
"200754_x_at" 3841 12214 14002 13288
"200755_s_at" 321 17061 3812 15090
"200756_x_at" 20414 21228 3096 19463
"200757_s_at" 6779 1850 13505 16055
"200758_s_at" 22057 15401 13430 20185
"200759_x_at" 19122 1203 13698 14613
"200760_s_at" 5485 20230 5135 12717
"200761_s_at" 2741 14239 15092 1963
"200762_at" 624 15313 5884 16140
"200763_s_at" 6625 2373 13642 12315
"200764_s_at" 6056 14861 18151 10489
"200765_x_at" 11116 15995 4545 7798
"200766_at" 1820 12987 3189 18003
"200767_s_at" 3599 21774 12615 18228
"200768_s_at" 16973 14354 6080 2036
"200769_s_at" 5633 20278 21870 18628
"200770_s_at" 4177 21121 3930 15227
"200771_at" 3519 9967 2898 3873
"200772_x_at" 18522 1700 12880 17384
"200773_x_at" 7086 1249 14570 4365
"200774_at" 4111 12793 12638 14734
"200775_s_at" 17737 9824 14601 16569
"200776_s_at" 5659 19153 18567 12303
"200777_s_at" 5813 2750 16826 3883
"200778_s_at" 2621 20050 14727 16766
"200779_at" 4995 11166 3919 13895
"200780_x_at" 6787 2321 12484 4170
"200781_s_at" 18466 1854 5848 4378
"200782_at" 17293 16629 4659 14414
"200783_s_at" 18981 13635 12543 17492
"200784_s_at" 13964 4599 9816 10172
"200785_s_at" 14412 3376 11752 940
"200786_at" 2478 14309 12469 16954
"200787_s_at" 19753 21114 12689 20623
"200788_s_at" 21195 11822 19305 12972
"200789_at" 4643 16016 4792 21313
"200790_at" 18066 16822 15399 13917
"200791_s_at" 4970 9869 19996 15379
"200792_at" 3923 12066 4106 15166
"200793_s_at" 4213 17450 5414 20776
"200794_x_at" 19421 12471 14997 18418
"200795_at" 10731 18897 713 8555
"200796_s_at" 121 22266 3874 18710
"200797_s_at" 3148 21353 4450 4335
"200798_x_at" 1387 21250 14515 13787
"200799_at" 14856 12255 4695 12325
"200800_s_at" 9094 15712 5280 16596
"200801_x_at" 3914 4836 6313 4095
"200802_at" 18114 13216 12465 14538
"200803_s_at" 19047 15048 12629 15387
"200804_at" 3346 15548 5091 3357
"200805_at" 20466 15441 12962 19897
"200806_s_at" 6505 14886 12720 14128
"200807_s_at" 7216 2528 5950 4151
"200808_s_at" 4149 15453 18421 12257
"200809_x_at" 17217 2221 14138 14258
"200810_s_at" 3993 14168 6141 15035
"200811_at" 2543 16816 14028 20482
"200812_at" 3034 16310 13902 14958
"200813_s_at" 21668 15716 21547 2251
"200814_at" 1542 13057 15147 14009
"200815_s_at" 20235 11344 13313 17763
"200816_s_at" 7377 15808 5813 20291
"200817_x_at" 17228 4852 8070 6788
"200818_at" 17028 10279 12690 14180
"200819_s_at" 17176 2786 12351 14802
"200820_at" 6552 13632 14209 15337
"200821_at" 19336 13822 18963 12510
"200822_x_at" 5041 10495 3608 15173
"200823_x_at" 18360 1678 14004 2835
"200824_at" 669 2557 18559 20342
"200825_s_at" 179 15360 12817 16778
"200826_at" 5477 11291 13053 17664
"200827_at" 22272 13001 4444 15715
"200828_s_at" 18931 21040 19453 17517
"200829_x_at" 18624 13719 18077 16761
"200830_at" 3309 18921 12705 18833
"200831_s_at" 1749 17631 4813 19267
"200832_s_at" 18755 1341 12763 14109
"200833_s_at" 19842 12717 5861 3760
"200834_s_at" 7218 4907 8101 2171
"200835_s_at" 20492 2688 2501 3444
"200836_s_at" 21159 2865 2673 17315
"200837_at" 614 10018 6178 14520
"200838_at" 553 17183 12534 4249
"200839_s_at" 903 14314 17396 14897
"200840_at" 3037 2395 4614 3808
"200841_s_at" 4184 22080 13564 14167
"200842_s_at" 21151 19347 4391 18569
"200843_s_at" 6412 10508 5062 15611
"200844_s_at" 5466 10728 12915 12754
"200845_s_at" 2926 12189 14926 3599
"200846_s_at" 6944 17410 16212 18529
"200847_s_at" 4406 18995 2859 3786
"200848_at" 18022 19936 18365 13566
"200849_s_at" 21355 11063 14323 16913
