"inst_2382" "inst_5090" "inst_5515" "inst_7413"
"1007_s_at" 1189 4857 4409 17976
"1053_at" 15377 19043 18917 18016
"117_at" 196 1133 9141 7760
"121_at" 13912 20002 5373 19543
"1255_g_at" 4352 6850 5573 9977
"1294_at" 15504 2613 18212 3812
"1316_at" 12788 1663 16221 433
"1320_at" 5680 9902 9996 5488
"1405_i_at" 19660 7355 7037 12197
"1431_at" 7193 1208 6727 13896
"1438_at" 10015 22187 7122 1355
"1487_at" 2403 2012 4499 16841
"1494_f_at" 2755 1870 2581 3302
"1598_g_at" 19045 1596 3513 4102
"160020_at" 20573 13859 19215 2991
"1729_at" 1616 2295 2728 18092
"1773_at" 2055 20351 2424 745
"177_at" 20360 18362 12081 13044
"179_at" 15200 22105 12696 17987
"1861_at" 2285 15773 5181 6154
"200000_s_at" 18040 16591 18532 15669
"200001_at" 2509 4684 13428 5741
"200002_at" 4019 13123 15473 17420
"200003_s_at" 6456 6550 14180 16748
"200004_at" 17564 13739 15459 16815
"200005_at" 14301 6094 16880 19585
"200006_at" 12856 13692 14167 16034
"200007_at" 15136 5601 14206 16463
"200008_s_at" 17949 13880 12427 4902
"200009_at" 13781 5121 14658 15833
"200010_at" 13891 15247 17697 16315
"200011_s_at" 2993 4329 18682 16355
"200012_x_at" 3601 5124 3851 6348
"200013_at" 12435 15641 14570 17634
"200014_s_at" 12865 14155 14710 5264
"200015_s_at" 14899 17935 17501 16896
"200016_x_at" 12759 6050 5358 16442
"200017_at" 6511 16737 14578 16275
"200018_at" 6392 15989 13611 16507
"200019_s_at" 4131 12972 15799 18538
"200020_at" 21325 5734 4500 20319
"200021_at" 2594 8567 7446 15759
"200022_at" 3588 13913 13137 17932
"200023_s_at" 12363 13621 14761 17522
"200024_at" 2784 15216 14470 17008
"200025_s_at" 2970 6368 12367 18566
"200026_at" 6491 4705 3960 16714
"200027_at" 14744 15605 15964 16408
"200028_s_at" 16195 15639 12907 19182
"200029_at" 15987 13910 4070 6538
"200030_s_at" 2752 6615 13042 4658
"200031_s_at" 6266 8481 13645 17154
"200032_s_at" 6454 13929 14130 6014
"200033_at" 13156 12810 14105 16968
"200034_s_at" 4136 14987 17738 18131
"200035_at" 18237 5267 13898 19059
"200036_s_at" 14196 15063 13136 18708
"200037_s_at" 13114 14390 15643 16891
"200038_s_at" 6525 6285 14341 16443
"200039_s_at" 16229 15398 15390 16606
"200040_at" 15361 16326 16427 16415
"200041_s_at" 14541 17587 15679 16231
"200042_at" 2350 13939 14137 18482
"200043_at" 13784 17940 3310 18496
"200044_at" 17164 18454 14638 20382
"200045_at" 14984 16413 14649 19270
"200046_at" 17208 13441 12980 6205
"200047_s_at" 13893 17798 12400 6242
"200048_s_at" 4026 13521 13708 16552
"200049_at" 18727 17752 15628 2833
"200050_at" 3364 19643 14807 19117
"200051_at" 3842 17270 19878 21286
"200052_s_at" 16785 14746 16508 18313
"200053_at" 12578 21499 21519 16978
"200054_at" 15129 5738 15017 21626
"200055_at" 17177 12702 13334 19313
"200056_s_at" 14226 19835 19889 19429
"200057_s_at" 14986 6171 13026 15933
"200058_s_at" 16602 5878 18297 20302
"200059_s_at" 3585 14997 15382 16650
"200060_s_at" 19310 19353 13429 6765
"200061_s_at" 6488 8480 5174 16016
"200062_s_at" 6284 8418 5466 16591
"200063_s_at" 12675 6343 5329 17559
"200064_at" 2965 5069 4472 6670
"200065_s_at" 13367 12907 17442 4065
"200066_at" 15705 14442 4815 19782
"200067_x_at" 15363 6080 13341 1753
"200068_s_at" 14131 4780 13524 16936
"200069_at" 3138 15626 17472 5631
"200070_at" 22123 13229 18557 18489
"200071_at" 13841 18515 14865 18791
"200072_s_at" 15064 13616 15606 16732
"200073_s_at" 13086 19099 4501 15993
"200074_s_at" 4061 12809 15290 18511
"200075_s_at" 14978 14960 16439 19566
"200076_s_at" 16050 14764 12530 19757
"200077_s_at" 12255 15986 4829 16663
"200078_s_at" 3531 5743 3351 3796
"200079_s_at" 3776 14107 15222 16694
"200080_s_at" 14482 5624 13059 18217
"200081_s_at" 3966 15673 13068 15681
"200082_s_at" 12276 12882 13890 16053
"200083_at" 20607 17723 16971 19076
