"inst_1564" "inst_3180" "inst_5782" "inst_6256"
"1007_s_at" 17714 19029 16508 6444
"1053_at" 21333 17633 12589 18689
"117_at" 16203 6810 6624 9089
"121_at" 3653 12720 1237 17636
"1255_g_at" 12050 8177 7486 11125
"1294_at" 2330 521 1823 19836
"1316_at" 15307 21704 3594 20987
"1320_at" 5035 919 6616 8461
"1405_i_at" 3493 11865 10021 10829
"1431_at" 7600 20870 21848 11171
"1438_at" 5932 21390 19949 2318
"1487_at" 1788 19348 3550 17543
"1494_f_at" 627 18340 910 20369
"1598_g_at" 19906 5866 4224 16958
"160020_at" 2891 5075 13813 21024
"1729_at" 607 16452 15926 18678
"1773_at" 12103 15110 3741 680
"177_at" 2503 8272 1708 11749
"179_at" 20126 1203 5681 823
"1861_at" 12850 16842 18126 15857
"200000_s_at" 2821 14367 20068 15695
"200001_at" 17823 12306 3804 2471
"200002_at" 16860 12735 11981 5340
"200003_s_at" 4775 5970 13244 16425
"200004_at" 17460 14315 4995 16065
"200005_at" 15634 12398 14988 4287
"200006_at" 20447 13848 5132 6809
"200007_at" 15671 16857 15034 6852
"200008_s_at" 20893 14983 13082 2195
"200009_at" 2383 13572 13012 16244
"200010_at" 21134 13219 11934 6006
"200011_s_at" 959 5944 17420 17402
"200012_x_at" 16648 12082 3828 7270
"200013_at" 16647 15153 11501 6819
"200014_s_at" 20307 15712 12049 17488
"200015_s_at" 19662 14952 18490 19050
"200016_x_at" 4050 14310 12595 18915
"200017_at" 20031 7871 13332 5002
"200018_at" 2970 13248 4241 17067
"200019_s_at" 2856 13759 12821 15903
"200020_at" 16355 5182 16957 17094
"200021_at" 20046 7898 5632 16468
"200022_at" 15897 6323 13552 4655
"200023_s_at" 15337 15730 16396 15865
"200024_at" 16977 15456 4072 16951
"200025_s_at" 17081 5961 14725 7127
"200026_at" 20195 14939 4451 3773
"200027_at" 18586 12495 14279 6870
"200028_s_at" 15237 4787 13819 7312
"200029_at" 2805 5911 12087 4311
