"inst_666" "inst_2518" "inst_6080" "inst_6779"
"1007_s_at" 17262 1103 3142 3434
"1053_at" 18279 13985 17936 4697
"117_at" 460 14454 8632 4252
"121_at" 15586 21308 5450 22088
"1255_g_at" 6799 9680 7127 11834
"1294_at" 3220 14970 20605 14266
"1316_at" 14962 13046 17432 17823
"1320_at" 16801 10269 19377 18825
"1405_i_at" 8402 2558 6945 15063
"1431_at" 19214 17366 17438 18101
"1438_at" 232 8919 14629 17253
"1487_at" 20158 17830 2849 19509
"1494_f_at" 4400 887 21542 19790
"1598_g_at" 19580 11979 22279 7227
"160020_at" 3951 16460 4645 11188
"1729_at" 978 17215 20721 7678
"1773_at" 16394 21694 1387 3412
"177_at" 6609 13266 1057 12994
"179_at" 21184 15416 1177 1562
"1861_at" 3172 22218 4986 16318
"200000_s_at" 12362 16257 4987 4889
"200001_at" 18302 14493 15294 3586
"200002_at" 3519 11861 4659 7307
"200003_s_at" 13456 6242 8011 16629
"200004_at" 15505 15243 6248 5746
"200005_at" 2255 12502 14189 5804
"200006_at" 3795 12016 12464 6797
"200007_at" 12318 13972 5074 17378
"200008_s_at" 13064 15121 18087 8468
"200009_at" 12766 13224 12909 7562
"200010_at" 1858 12101 6356 6183
"200011_s_at" 13156 15107 14575 4373
"200012_x_at" 2492 4662 14001 18352
"200013_at" 1707 12495 5125 8870
"200014_s_at" 13556 17189 13901 5338
"200015_s_at" 15152 17863 12339 7050
"200016_x_at" 19768 4326 7943 16548
"200017_at" 3567 6324 8095 17351
"200018_at" 3438 6317 8088 7772
"200019_s_at" 4883 11868 13182 5466
"200020_at" 2938 16000 14647 3937
"200021_at" 15856 6401 8180 11673
"200022_at" 13837 6253 8022 7480
"200023_s_at" 17110 11648 14432 4091
"200024_at" 12300 3824 4565 6200
"200025_s_at" 2640 6316 8086 9144
"200026_at" 2461 6404 8183 17176
"200027_at" 3990 12635 5836 4411
"200028_s_at" 19037 11438 14645 3237
"200029_at" 15169 6281 5457 16609
"200030_s_at" 13470 13171 12180 7894
"200031_s_at" 3033 6309 8080 11477
"200032_s_at" 1284 6327 8098 11507
"200033_at" 13029 12648 4991 7083
"200034_s_at" 2664 4676 5445 18536
"200035_at" 20035 13564 19074 6574
"200036_s_at" 2348 3350 5815 7743
"200037_s_at" 14549 16032 6062 7110
"200038_s_at" 14111 6387 8159 18389
"200039_s_at" 15506 17462 16318 6908
"200040_at" 4044 17200 15262 4623
"200041_s_at" 13683 16159 14391 7813
"200042_at" 13952 19628 4514 4552
"200043_at" 2054 11390 5827 18471
"200044_at" 15584 15647 3007 18064
"200045_at" 16361 15273 17959 6745
"200046_at" 12506 12296 16349 2555
"200047_s_at" 14719 11161 6216 5956
"200048_s_at" 2004 13973 4138 5301
"200049_at" 15103 17512 16044 5698
"200050_at" 13152 2875 17607 6159
"200051_at" 18489 12588 14704 8571
"200052_s_at" 15429 14890 17692 5834
"200053_at" 18760 20782 19138 19507
"200054_at" 19834 19075 3723 4854
"200055_at" 17001 17712 16073 7180
"200056_s_at" 14020 12536 13251 16527
"200057_s_at" 14778 12003 13960 7612
"200058_s_at" 1948 12772 4838 18103
"200059_s_at" 4116 12694 5715 8035
"200060_s_at" 4364 18806 5355 6151
"200061_s_at" 4465 6308 8078 11476
"200062_s_at" 2320 6228 7995 11332
"200063_s_at" 14655 6349 8119 11561
"200064_at" 2971 11764 5500 9036
"200065_s_at" 15258 14357 12864 7671
"200066_at" 14292 12598 17123 18009
"200067_x_at" 19624 16954 14547 16536
"200068_s_at" 15427 15749 6052 4058
"200069_at" 18315 12817 18572 4577
"200070_at" 1186 20859 18510 18786
"200071_at" 12433 3875 13819 5430
"200072_s_at" 4548 13033 14070 6906
"200073_s_at" 20875 11730 6375 19984
"200074_s_at" 1782 11987 5736 8528
"200075_s_at" 14218 18308 15378 8661
"200076_s_at" 16688 4332 17744 18327
"200077_s_at" 4149 3360 4619 16458
"200078_s_at" 12350 14250 16689 6457
"200079_s_at" 3768 14130 16405 3051
"200080_s_at" 12431 11504 2644 17686
"200081_s_at" 14147 4141 5971 9085
"200082_s_at" 4136 6340 8111 16601
"200083_at" 3850 17676 17678 5350
"200084_at" 16462 14441 14706 5515
"200085_s_at" 1812 15291 14753 8614
"200086_s_at" 2182 13181 12424 17016
"200087_s_at" 13764 12980 4277 17065
"200088_x_at" 2596 6239 8007 11351
"200089_s_at" 13501 11200 4132 17044
"200090_at" 12946 18745 20121 5845
"200091_s_at" 14018 3917 4233 19722
"200092_s_at" 3761 11313 13105 18733
"200093_s_at" 13159 15249 4265 17161
"200094_s_at" 3427 16195 6498 6790
"200095_x_at" 4220 6393 8169 11652
"200096_s_at" 13351 17122 15099 4855
"200097_s_at" 2075 12997 5264 6926
"200098_s_at" 13946 13992 3943 6657
"200099_s_at" 2221 6356 8126 11572
"200593_s_at" 13816 11653 14237 19024
"200594_x_at" 18685 14395 13098 5917
"200595_s_at" 17699 13657 4320 8589
"200596_s_at" 19057 14378 5127 7716
"200597_at" 488 3853 14909 18440
"200598_s_at" 3991 11786 13186 6529
"200599_s_at" 158 11750 18059 4096
"200600_at" 19123 15852 5174 15123
"200601_at" 20387 16127 1366 19889
"200602_at" 21703 17262 2811 21508
"200603_at" 18932 17434 4585 18472
"200604_s_at" 19870 14090 16272 5966
"200605_s_at" 18764 11808 14840 3936
"200606_at" 17435 7143 13348 7636
"200607_s_at" 14262 3846 18969 6938
"200608_s_at" 15261 13425 4285 19249
"200609_s_at" 14694 18290 12486 17468
"200610_s_at" 15715 11466 5003 8144
"200611_s_at" 13261 16651 5432 3581
"200612_s_at" 13721 4024 5673 18773
"200613_at" 12670 16862 12827 6675
"200614_at" 17273 12294 14752 4872
"200615_s_at" 12728 4398 6472 20077
"200616_s_at" 2856 11581 19241 2988
"200617_at" 14245 16444 12570 4446
"200618_at" 13584 3667 16397 4959
"200619_at" 13297 17600 17060 17530
"200620_at" 3509 11667 13555 5478
"200621_at" 17247 17390 13617 6075
"200622_x_at" 15413 19632 18371 8205
"200623_s_at" 13189 12001 19344 7342
"200624_s_at" 14772 16842 14220 8368
"200625_s_at" 2229 13277 14773 3556
"200626_s_at" 20026 3570 15856 4558
"200627_at" 13882 2657 16497 17099
"200628_s_at" 4471 16297 14275 3794
"200629_at" 1277 15234 3645 17582
"200630_x_at" 1806 3563 12462 5651
"200631_s_at" 4895 15308 14086 4298
"200632_s_at" 1198 13543 21086 20694
"200633_at" 4590 11206 8077 8398
"200634_at" 20235 11916 6132 8753
"200635_s_at" 1745 8759 20063 21496
"200636_s_at" 17735 7684 18792 3469
"200637_s_at" 18454 7836 14286 5218
"200638_s_at" 19446 13639 6151 16662
"200639_s_at" 12412 14431 2032 19424
"200640_at" 2726 11791 13398 6113
"200641_s_at" 13982 4516 5713 17199
"200642_at" 4362 13759 12185 17314
"200643_at" 14691 13532 18448 20697
"200644_at" 18343 20804 6097 8985
"200645_at" 15358 13544 18164 2959
"200646_s_at" 12871 15968 15681 21519
"200647_x_at" 3707 12017 6403 3456
"200648_s_at" 21547 3810 5625 20476
"200649_at" 16648 13655 18612 8778
"200650_s_at" 4833 6201 7961 5159
"200651_at" 12675 6382 8154 17661
"200652_at" 1945 13287 12330 7553
"200653_s_at" 2483 16628 2157 16965
"200654_at" 15212 11347 15165 4887
"200655_s_at" 14389 12857 12680 16656
"200656_s_at" 18486 15415 16182 16671
"200657_at" 4484 4301 12663 5739
"200658_s_at" 2413 14974 17582 7531
"200659_s_at" 4176 11945 18469 3337
"200660_at" 2497 13077 5240 7889
"200661_at" 18082 12370 16698 5490
"200662_s_at" 14294 3335 18889 3446
"200663_at" 4843 17463 3324 5586
"200664_s_at" 3322 3412 17755 16537
"200665_s_at" 9861 10018 6872 14050
"200666_s_at" 14976 20731 15007 4563
"200667_at" 15070 4507 18035 6000
"200668_s_at" 2240 15072 12203 5671
"200669_s_at" 2869 18072 18333 6765
"200670_at" 21001 19089 4811 19628
"200671_s_at" 4680 1906 841 466
"200672_x_at" 16574 4424 3537 6125
"200673_at" 16140 12246 5782 17220
"200674_s_at" 2425 6358 8128 16410
"200675_at" 2560 16891 12518 2031
"200676_s_at" 20995 21780 2930 8951
"200677_at" 15882 13466 12374 2266
"200678_x_at" 15179 17736 17018 1711
"200679_x_at" 13331 3812 5297 19147
"200680_x_at" 16008 4386 8173 11665
"200681_at" 14783 3272 15656 8344
"200682_s_at" 13860 11831 15011 5323
"200683_s_at" 16208 17580 19201 2374
"200684_s_at" 4643 13388 19110 8263
"200685_at" 3349 16039 15800 21314
"200686_s_at" 17731 19400 1484 17987
"200687_s_at" 1622 16077 13834 7849
"200688_at" 21902 3154 16132 21310
"200689_x_at" 15683 12423 13147 6223
"200690_at" 14391 2777 5677 3007
"200691_s_at" 13881 13189 12988 6120
"200692_s_at" 15997 4251 16421 16471
"200693_at" 4736 15163 14366 7314
"200694_s_at" 16284 13270 5287 6566
"200695_at" 12838 20423 16704 3343
"200696_s_at" 13268 20260 21426 2200
"200697_at" 1355 12382 12809 2275
"200698_at" 17867 12777 3774 8422
