"inst_2163" "inst_2818" "inst_4020" "inst_4138"
"1007_s_at" 82 7284 11577 20483
"1053_at" 1089 6106 8848 9417
"117_at" 20532 12918 13679 2374
"121_at" 696 21351 4382 4120
"1255_g_at" 19184 16145 14175 15139
"1294_at" 3657 1060 22083 11402
"1316_at" 11852 4096 10174 10325
"1320_at" 13992 12366 2361 4512
"1405_i_at" 10136 19167 6613 10677
"1431_at" 20452 20578 17777 9237
"1438_at" 19167 5642 21168 3704
"1487_at" 3264 1538 18697 2507
"1494_f_at" 9230 2524 20857 12580
"1598_g_at" 11361 4203 17859 805
"160020_at" 189 12714 8813 9671
"1729_at" 10719 11711 7024 12986
"1773_at" 4144 5032 2290 3923
"177_at" 1821 9602 1347 3007
"179_at" 2181 881 3365 8065
"1861_at" 289 8853 4806 7158
"200000_s_at" 11908 7519 18581 14187
"200001_at" 5901 7176 19424 10865
"200002_at" 11543 12494 19883 14027
"200003_s_at" 15962 12675 18724 14743
"200004_at" 13333 10496 8016 11675
"200005_at" 13117 7053 18367 10604
"200006_at" 12338 10635 16805 14091
"200007_at" 8215 10490 10370 11684
"200008_s_at" 7771 11880 19398 11119
"200009_at" 13475 11853 19389 13470
"200010_at" 13163 11665 20429 14367
"200011_s_at" 9996 6527 17965 12865
"200012_x_at" 20747 20042 16932 21183
"200013_at" 10979 12043 17120 13938
"200014_s_at" 7388 11093 8702 9154
"200015_s_at" 7704 9671 6822 10776
"200016_x_at" 13705 12258 10678 20166
"200017_at" 16171 15349 14041 16857
"200018_at" 15973 19962 18110 20453
"200019_s_at" 12841 10028 19182 14724
"200020_at" 10552 20835 7097 11543
"200021_at" 12861 20981 14074 16980
"200022_at" 20219 20033 21384 14744
"200023_s_at" 10644 5979 6346 10375
"200024_at" 20574 20012 18602 14209
"200025_s_at" 13536 11265 10496 14532
"200026_at" 16136 20240 19275 20898
"200027_at" 13381 9053 8895 8577
"200028_s_at" 12507 10721 9577 10495
"200029_at" 16230 20292 11198 20249
"200030_s_at" 12270 11815 10936 20418
"200031_s_at" 16156 15311 14038 20195
"200032_s_at" 16060 15352 10781 20296
"200033_at" 12022 9544 8569 13677
"200034_s_at" 12918 20563 11603 20721
"200035_at" 9457 6371 17347 11758
"200036_s_at" 13214 11258 16931 14385
"200037_s_at" 11729 11422 9273 8704
"200038_s_at" 16196 19763 18080 13679
"200039_s_at" 6871 12075 11499 11953
"200040_at" 7687 7632 10497 12722
"200041_s_at" 12917 7756 17992 12434
"200042_at" 8665 4493 9927 8320
"200043_at" 9509 8237 9259 14650
"200044_at" 7602 8096 17337 10351
"200045_at" 12532 10202 17936 9144
"200046_at" 7111 8235 11745 12741
"200047_s_at" 10284 9251 7606 9357
"200048_s_at" 11508 9534 11248 12187
"200049_at" 9343 6585 11322 9754
"200050_at" 12612 9232 16759 8061
"200051_at" 12304 4305 18411 4957
"200052_s_at" 6700 9203 11162 9322
"200053_at" 2920 10929 21804 14793
"200054_at" 9648 2551 9131 13030
"200055_at" 7939 3901 18400 9765
"200056_s_at" 4301 9653 6073 4501
"200057_s_at" 20428 12495 8371 14228
"200058_s_at" 10489 5660 17983 10801
"200059_s_at" 11646 10043 11027 10731
"200060_s_at" 3742 7030 4987 10603
"200061_s_at" 16205 15310 14037 20431
"200062_s_at" 16125 15158 13994 16732
"200063_s_at" 16014 15411 14050 21056
"200064_at" 12737 11073 11258 13975
"200065_s_at" 10687 5806 19112 14444
"200066_at" 12780 8603 20291 10221
"200067_x_at" 8781 4904 7840 10401
"200068_s_at" 12202 11968 9166 13258
"200069_at" 8146 3524 18715 3555
"200070_at" 8612 2419 7854 12257
"200071_at" 8075 1861 2913 2011
"200072_s_at" 9675 8558 6743 11071
"200073_s_at" 8403 20055 5536 10760
"200074_s_at" 13345 11846 18198 13956
"200075_s_at" 3057 4621 19271 7744
"200076_s_at" 7663 7891 17783 10318
"200077_s_at" 13194 19813 10290 13929
"200078_s_at" 12614 3294 18740 9452
"200079_s_at" 11687 11583 18538 13477
"200080_s_at" 11479 19952 8896 14630
"200081_s_at" 12358 19911 20029 14195
"200082_s_at" 16017 20498 19623 20521
"200083_at" 9005 6312 11168 7307
"200084_at" 10677 5556 9717 8683
"200085_s_at" 6017 8687 19647 10244
"200086_s_at" 5589 9454 10584 13518
"200087_s_at" 10858 9892 9453 7110
"200088_x_at" 16243 15174 18381 16741
"200089_s_at" 20435 19770 9679 12343
"200090_at" 9198 4097 7613 8727
"200091_s_at" 11108 19737 19077 13803
"200092_s_at" 20509 20058 19890 21028
"200093_s_at" 3719 8712 9090 7584
"200094_s_at" 20139 11079 10795 13630
"200095_x_at" 16203 15526 14069 16969
"200096_s_at" 13202 12117 19749 13787
"200097_s_at" 12241 12021 6469 10719
"200098_s_at" 11179 9464 6981 10084
"200099_s_at" 15979 15440 9940 16906
"200593_s_at" 11449 20213 9867 6146
"200594_x_at" 12008 11246 17201 10869
"200595_s_at" 10333 6570 4734 5033
"200596_s_at" 10895 9861 9594 11532
"200597_at" 10733 8043 8327 6019
"200598_s_at" 5552 10226 7224 5444
"200599_s_at" 11399 10944 9005 4580
"200600_at" 11940 16307 17966 3832
"200601_at" 7982 1578 2767 13086
"200602_at" 5502 2607 5650 660
"200603_at" 4789 12734 9507 5145
"200604_s_at" 4290 9857 18517 11738
"200605_s_at" 6791 12313 10015 3965
"200606_at" 9403 8391 6606 8159
"200607_s_at" 8650 9225 6045 3825
"200608_s_at" 8396 8434 5410 5337
"200609_s_at" 6609 2450 19290 9045
"200610_s_at" 10095 8515 7780 13705
"200611_s_at" 7210 5865 11690 6872
"200612_s_at" 10098 21593 20588 12924
"200613_at" 5025 11237 10961 12637
"200614_at" 11242 12358 9595 14266
"200615_s_at" 5997 8159 9323 10904
"200616_s_at" 20549 10645 10541 10386
"200617_at" 5490 5668 18265 13158
"200618_at" 9676 5452 18414 10871
"200619_at" 8843 4232 20417 5718
"200620_at" 11951 9103 19680 13306
"200621_at" 5576 4638 8015 11392
"200622_x_at" 7037 7127 20906 10612
"200623_s_at" 1250 19896 11409 6745
"200624_s_at" 9601 6880 9343 3155
"200625_s_at" 20911 9403 8410 13485
"200626_s_at" 13136 9918 16862 11679
"200627_at" 12255 20481 17184 20342
"200628_s_at" 12766 5503 19173 13189
"200629_at" 12155 9458 10460 9951
"200630_x_at" 13474 12206 7039 20200
"200631_s_at" 13033 6661 10854 13913
"200632_s_at" 20128 449 9999 4460
"200633_at" 13151 12032 14036 14790
"200634_at" 9040 9030 21305 13785
"200635_s_at" 17076 4013 5584 4448
"200636_s_at" 17478 2136 5250 3789
"200637_s_at" 14154 8965 7450 12772
"200638_s_at" 9683 12517 8709 13537
"200639_s_at" 10841 20555 9239 13870
"200640_at" 12534 12310 11606 14375
"200641_s_at" 3108 20248 11591 12466
"200642_at" 8660 11479 17502 13927
"200643_at" 8143 3021 11689 6378
"200644_at" 11669 11960 7966 9968
"200645_at" 12251 10114 19245 12926
"200646_s_at" 8911 806 3850 11825
"200647_x_at" 20490 8200 8406 12174
"200648_s_at" 3835 11234 11285 13152
"200649_at" 8125 907 18556 20429
"200650_s_at" 20806 11541 13977 14469
"200651_at" 20333 12281 20490 14432
"200652_at" 12343 12411 17434 11315
"200653_s_at" 8506 10681 17364 13316
"200654_at" 12817 4697 10372 12608
"200655_s_at" 11533 9743 7604 13774
"200656_s_at" 6499 5096 10840 9718
"200657_at" 12548 20065 17108 20442
"200658_s_at" 7054 5893 20169 13070
"200659_s_at" 20542 7061 17742 11354
"200660_at" 8946 11243 20895 20476
"200661_at" 10381 8435 19205 11784
"200662_s_at" 20585 10081 10392 12377
"200663_at" 9223 10953 17889 8550
"200664_s_at" 6837 3114 6283 4539
"200665_s_at" 18177 13150 12076 18454
"200666_s_at" 3272 3612 9593 4367
"200667_at" 12360 10376 10284 8619
"200668_s_at" 20111 11145 10152 12862
"200669_s_at" 10402 12104 9640 7008
"200670_at" 7626 3045 5896 8023
"200671_s_at" 19803 21632 4546 6930
"200672_x_at" 21636 12285 20375 9990
"200673_at" 10322 7940 8621 7365
"200674_s_at" 21021 21191 18030 21286
"200675_at" 7643 2563 18775 10565
"200676_s_at" 2446 4341 17554 14005
"200677_at" 20187 6882 6437 10734
"200678_x_at" 3889 1163 17203 11265
"200679_x_at" 10324 12658 8333 20503
"200680_x_at" 13679 19998 18520 20298
"200681_at" 20255 8970 10909 10379
"200682_s_at" 9195 11812 19396 14578
"200683_s_at" 12017 4072 18012 14711
"200684_s_at" 21543 7856 20934 8850
"200685_at" 5688 7944 7172 3488
"200686_s_at" 9787 3871 5177 2201
"200687_s_at" 4637 6200 9648 12060
"200688_at" 1761 8450 9396 2941
"200689_x_at" 20560 19841 11288 20902
