"inst_2065" "inst_2228" "inst_6783" "inst_7135"
"1007_s_at" 14294 15445 12864 17943
"1053_at" 1982 8567 18152 3999
"117_at" 5211 12129 10912 11453
"121_at" 18172 8930 20317 1869
"1255_g_at" 8838 13589 7625 8618
"1294_at" 14997 21713 6889 12162
"1316_at" 9487 19535 7371 550
"1320_at" 9330 4340 17838 12966
"1405_i_at" 12291 11737 7788 6623
"1431_at" 18051 20603 4348 13646
"1438_at" 1319 19971 21751 17793
"1487_at" 2947 7211 12429 17535
"1494_f_at" 1250 21074 785 12445
"1598_g_at" 14068 21195 422 546
"160020_at" 17645 20069 2221 733
"1729_at" 13461 16638 577 4296
"1773_at" 20712 19341 2571 15197
"177_at" 1143 13310 7699 13287
"179_at" 9815 20038 616 7772
"1861_at" 15927 18711 15987 4230
"200000_s_at" 19052 18215 12150 20774
"200001_at" 13573 7821 4353 16416
"200002_at" 16424 16009 14136 17107
"200003_s_at" 13572 10790 12288 15238
"200004_at" 3008 6843 4870 18527
"200005_at" 2612 15533 12806 15459
"200006_at" 13297 7003 13797 16350
"200007_at" 13841 7360 16035 15190
"200008_s_at" 19082 5112 15263 3667
"200009_at" 14368 5399 4751 16878
"200010_at" 16285 7699 13240 17659
"200011_s_at" 3991 7150 3450 15363
"200012_x_at" 16962 15937 3074 3961
"200013_at" 15920 8821 12581 16435
"200014_s_at" 15503 15473 17151 4181
"200015_s_at" 16659 7366 19120 16812
"200016_x_at" 1806 16364 13887 4441
"200017_at" 13550 11051 13522 17135
"200018_at" 2667 10824 4087 5122
"200019_s_at" 18055 15758 2591 14850
"200020_at" 14488 5649 4200 18337
"200021_at" 2487 10917 7425 2254
"200022_at" 2694 10913 3337 15087
"200023_s_at" 13862 16780 13326 14645
"200024_at" 3702 6782 4682 4599
"200025_s_at" 2676 15772 12472 4970
"200026_at" 3014 11053 7434 3539
"200027_at" 13284 6861 15087 15694
"200028_s_at" 600 6230 15182 17811
"200029_at" 15221 18152 16649 4604
"200030_s_at" 3958 17495 4846 3819
"200031_s_at" 3573 11041 7264 2457
"200032_s_at" 14326 10969 12275 15899
"200033_at" 15925 6941 14080 15059
"200034_s_at" 3824 4998 12638 14992
"200035_at" 14615 19097 4496 17137
"200036_s_at" 17483 16090 14644 17511
"200037_s_at" 15063 7380 16899 18415
"200038_s_at" 15315 16414 14730 4631
"200039_s_at" 16108 6158 4053 14722
"200040_at" 3479 15992 14430 16087
"200041_s_at" 19685 7559 16722 14554
"200042_at" 13075 6936 2478 19128
"200043_at" 698 6672 18504 3872
"200044_at" 14078 7973 18385 4928
"200045_at" 15511 5916 13042 15874
"200046_at" 15044 8864 3300 16533
"200047_s_at" 15931 5240 12540 15566
"200048_s_at" 15124 8932 15555 15857
"200049_at" 15146 5272 16433 19276
"200050_at" 17163 2375 2584 21371
"200051_at" 14622 5283 19036 16693
"200052_s_at" 17008 5676 15940 16223
"200053_at" 14273 3462 12801 20370
"200054_at" 16632 17706 16050 14844
"200055_at" 16064 17507 15604 15483
"200056_s_at" 17937 7945 19715 3424
"200057_s_at" 3681 7526 12044 4496
"200058_s_at" 18169 8088 17110 18408
"200059_s_at" 20523 5697 17633 14943
"200060_s_at" 16357 19787 15363 21393
"200061_s_at" 13865 10920 7262 4212
"200062_s_at" 16261 11017 7132 4243
"200063_s_at" 14195 18505 7329 14354
"200064_at" 2596 6435 3442 16243
"200065_s_at" 4051 7929 12683 18007
"200066_at" 21993 18318 14542 1895
"200067_x_at" 18887 16317 17437 17577
"200068_s_at" 4005 6980 12107 14974
"200069_at" 21483 8472 3287 15873
"200070_at" 4071 20662 21451 21673
"200071_at" 14159 7703 17944 18639
"200072_s_at" 2968 8628 14302 15853
"200073_s_at" 3809 16502 19870 17079
"200074_s_at" 16090 16624 15708 16020
"200075_s_at" 16603 7987 16279 16214
"200076_s_at" 17034 17863 4194 3964
"200077_s_at" 13101 8938 4008 4231
"200078_s_at" 14871 8356 3072 16722
"200079_s_at" 16074 5467 3916 4436
"200080_s_at" 1157 5982 14477 16016
"200081_s_at" 19990 5723 12725 3959
"200082_s_at" 15861 8656 14092 4313
"200083_at" 3928 7688 12403 16937
"200084_at" 14259 17411 16230 16645
"200085_s_at" 16336 17517 12684 15667
"200086_s_at" 14206 17251 16668 16988
"200087_s_at" 12940 6615 16166 4055
"200088_x_at" 13707 10882 7150 4314
"200089_s_at" 17317 16302 16060 20984
"200090_at" 20675 6513 15437 20497
"200091_s_at" 2864 16225 19392 16327
"200092_s_at" 18410 10853 17146 15926
"200093_s_at" 15789 16562 18520 16142
"200094_s_at" 15468 6676 12200 18385
"200095_x_at" 3961 10861 7407 4732
"200096_s_at" 13964 5817 18586 18913
"200097_s_at" 13200 5169 3850 15300
"200098_s_at" 14016 8020 16222 17058
"200099_s_at" 14314 10890 7341 15262
"200593_s_at" 14596 3385 15797 4469
"200594_x_at" 2771 16029 4676 4797
"200595_s_at" 3507 7374 16700 19119
"200596_s_at" 16999 17242 15309 18397
"200597_at" 1631 5051 20226 21686
"200598_s_at" 15047 5603 17908 14196
"200599_s_at" 13197 6971 14650 15120
"200600_at" 13426 12730 699 14302
"200601_at" 16463 20582 21358 21245
"200602_at" 3557 816 20761 5306
"200603_at" 13403 5758 20843 19141
"200604_s_at" 17446 7304 14426 2331
"200605_s_at" 16679 17222 16696 3839
"200606_at" 4089 3294 4486 19052
"200607_s_at" 16056 3360 17457 4810
"200608_s_at" 19531 4942 20408 19543
"200609_s_at" 18240 17850 14261 4931
"200610_s_at" 3802 7666 16966 19661
"200611_s_at" 17136 17087 13934 17378
"200612_s_at" 22225 21900 14701 4569
"200613_at" 14071 16236 4924 5081
"200614_at" 3917 16235 3301 15061
"200615_s_at" 17889 18366 20610 3026
"200616_s_at" 15384 6548 4721 4038
"200617_at" 15674 7646 3478 15894
"200618_at" 2825 4169 12312 19242
"200619_at" 21291 20032 4397 21714
"200620_at" 3478 5469 12976 3011
"200621_at" 4010 18353 14387 2781
"200622_x_at" 17425 17475 12483 18318
"200623_s_at" 635 17654 12073 17610
"200624_s_at" 19933 16328 18910 15370
"200625_s_at" 1499 7749 16077 14961
"200626_s_at" 778 16949 3447 3585
"200627_at" 3468 6245 12216 14192
"200628_s_at" 14472 3511 12181 21229
"200629_at" 13312 15820 13481 19992
"200630_x_at" 15135 6248 2926 15778
"200631_s_at" 17568 17529 12770 15937
"200632_s_at" 15819 8224 2339 4383
"200633_at" 2944 10998 12234 14650
"200634_at" 1327 16759 2347 3301
"200635_s_at" 2796 2819 4754 15711
"200636_s_at" 16377 6946 12135 19547
"200637_s_at" 3102 3910 18274 2953
"200638_s_at" 14297 7142 15046 16167
"200639_s_at" 18584 8691 21228 15719
"200640_at" 3692 6495 4011 14353
"200641_s_at" 19331 7472 14659 4086
"200642_at" 15516 8572 17400 16811
"200643_at" 15239 4068 15559 18173
"200644_at" 14399 18282 18240 3137
"200645_at" 1807 17744 4057 3663
"200646_s_at" 19833 1961 1934 454
"200647_x_at" 19098 18044 15537 20869
"200648_s_at" 18159 8415 21419 17326
"200649_at" 1991 20442 4189 21701
