"inst_3042" "inst_3380" "inst_5342" "inst_6742"
"1007_s_at" 836 18197 13762 20349
"1053_at" 16499 15078 18349 4082
"117_at" 20057 9900 10178 10583
"121_at" 14801 12770 15421 4143
"1255_g_at" 5680 9066 9309 11435
"1294_at" 9848 3624 951 17212
"1316_at" 2194 12085 13865 21697
"1320_at" 7607 18996 11579 16945
"1405_i_at" 21385 7199 8143 10208
"1431_at" 8971 21812 5583 2506
"1438_at" 8010 18536 19135 17611
"1487_at" 17540 17164 16669 19126
"1494_f_at" 20634 3355 6480 1461
"1598_g_at" 13606 20722 293 17263
"160020_at" 1928 2349 19226 4555
"1729_at" 21611 13575 19522 5620
"1773_at" 9430 20270 14807 16291
"177_at" 19022 10761 10048 1727
"179_at" 9762 1029 21389 2530
"1861_at" 19092 12384 12478 17616
"200000_s_at" 10238 13943 21025 18208
"200001_at" 15669 14100 14364 14622
"200002_at" 10459 5145 15720 12527
"200003_s_at" 4737 7159 13671 8161
"200004_at" 16158 14880 19127 5016
"200005_at" 14777 3993 18080 12936
"200006_at" 11104 11257 18288 12785
"200007_at" 11241 13681 15113 13143
"200008_s_at" 16903 3051 16008 4549
"200009_at" 11833 13352 13135 3280
"200010_at" 9664 11104 16022 4762
"200011_s_at" 17385 16375 18732 16502
"200012_x_at" 2075 5129 2334 6744
"200013_at" 3000 11366 13577 3084
"200014_s_at" 14514 18157 17051 13889
"200015_s_at" 12293 16150 18803 15928
"200016_x_at" 4681 12591 14628 14674
"200017_at" 4821 7289 15077 12479
"200018_at" 4810 7277 14964 6270
"200019_s_at" 9945 4923 17671 12661
"200020_at" 15811 13658 15035 5084
"200021_at" 9657 12840 1945 8285
"200022_at" 4752 4682 14334 6274
"200023_s_at" 14101 13168 21588 15180
"200024_at" 9078 4793 13311 5918
"200025_s_at" 4808 12668 13902 15112
"200026_at" 4911 7431 1533 5421
"200027_at" 11473 12727 17089 6528
"200028_s_at" 16575 11268 12434 14611
"200029_at" 3300 11732 2090 5598
"200030_s_at" 9224 4470 13435 13684
"200031_s_at" 4801 7268 12679 8212
"200032_s_at" 4826 7291 3051 5414
"200033_at" 12389 14704 19012 13467
"200034_s_at" 9166 11700 2368 5009
"200035_at" 2641 19560 16361 15937
"200036_s_at" 3094 3730 16711 6300
"200037_s_at" 13033 13133 17000 15390
"200038_s_at" 4892 5180 12273 5447
"200039_s_at" 13586 12396 17047 5328
"200040_at" 14188 18894 16407 14905
"200041_s_at" 12456 4624 19794 6497
"200042_at" 12358 17475 18210 13299
"200043_at" 14707 12696 21623 17876
"200044_at" 17580 17993 15970 6263
"200045_at" 13038 12698 15005 18773
"200046_at" 19124 13007 19467 4857
"200047_s_at" 14046 14981 14639 15919
"200048_s_at" 12061 14068 19049 12831
"200049_at" 12126 11933 2793 15231
"200050_at" 19846 19180 20976 4626
"200051_at" 11668 15724 19900 16749
"200052_s_at" 13711 12298 16503 4721
"200053_at" 9035 868 21829 19186
"200054_at" 13252 16562 12569 14660
"200055_at" 14080 4800 17208 14773
"200056_s_at" 20029 18943 20103 17538
"200057_s_at" 11565 12219 13719 14095
"200058_s_at" 11921 4074 18610 17836
"200059_s_at" 9479 4973 15384 13671
"200060_s_at" 13883 2786 19452 5493
"200061_s_at" 4799 7266 1941 8211
"200062_s_at" 4724 7148 3206 8152
"200063_s_at" 4848 7327 1536 8239
"200064_at" 13061 13469 16070 12264
"200065_s_at" 12064 4317 2165 6298
"200066_at" 11949 15044 14867 18569
"200067_x_at" 10475 4273 16614 16225
"200068_s_at" 14889 17896 12279 4481
"200069_at" 15598 12417 12968 18779
"200070_at" 9691 13797 21860 17610
"200071_at" 19541 11383 19458 5486
"200072_s_at" 16278 12411 13921 13616
"200073_s_at" 12504 17131 17655 5260
"200074_s_at" 2684 12110 15466 5982
"200075_s_at" 12419 17503 20389 3827
"200076_s_at" 14177 16786 16901 18628
"200077_s_at" 9750 12846 13053 14638
"200078_s_at" 17579 12894 19010 4861
"200079_s_at" 11932 3703 14206 4739
"200080_s_at" 10363 12802 15492 13999
"200081_s_at" 9483 14918 12850 2010
"200082_s_at" 4841 7317 12966 4474
"200083_at" 20332 14419 16729 14800
"200084_at" 13828 17065 17147 13674
"200085_s_at" 10985 4594 18889 15812
"200086_s_at" 10562 14624 17151 12996
"200087_s_at" 13386 18399 16569 2241
"200088_x_at" 4734 7155 2790 12409
"200089_s_at" 3055 4628 3162 4963
"200090_at" 10505 17616 15857 6144
"200091_s_at" 2923 13611 15342 16205
"200092_s_at" 9005 14180 12874 13939
"200093_s_at" 11547 11398 17710 14503
"200094_s_at" 2802 2774 14709 16678
"200095_x_at" 4899 7411 13177 8280
"200096_s_at" 16113 14891 16644 5156
"200097_s_at" 19188 18181 18035 3469
"200098_s_at" 11903 12874 16534 15025
"200099_s_at" 4857 7342 12205 12232
"200593_s_at" 17271 12897 14616 2825
"200594_x_at" 16382 15389 12483 3685
"200595_s_at" 18381 19605 16695 17547
"200596_s_at" 12259 13395 19379 14077
"200597_at" 16356 11447 2781 15916
"200598_s_at" 14553 15960 14102 859
"200599_s_at" 12731 18984 14344 672
"200600_at" 12303 12368 8158 14517
"200601_at" 19185 3867 13750 16343
"200602_at" 20175 21260 21959 3134
"200603_at" 19836 12926 17092 12673
"200604_s_at" 21825 16306 21450 1723
"200605_s_at" 18230 14239 15446 5527
"200606_at" 20615 17991 20336 16631
"200607_s_at" 12489 11656 12740 2760
"200608_s_at" 15212 13792 15897 12537
"200609_s_at" 19409 4813 20963 13823
"200610_s_at" 9245 17395 14885 16389
"200611_s_at" 13879 12192 16917 13498
"200612_s_at" 9154 13084 22004 20036
"200613_at" 13730 11733 17386 16241
"200614_at" 15881 11194 13282 12333
"200615_s_at" 10196 13803 17698 12309
"200616_s_at" 9706 15232 18571 2195
"200617_at" 15645 16347 14982 5420
"200618_at" 11612 17675 12334 18951
"200619_at" 15545 20320 20942 3941
"200620_at" 11801 13794 16591 5537
"200621_at" 20849 12534 16391 13157
"200622_x_at" 20019 11226 14356 17034
"200623_s_at" 21553 19889 17686 19298
"200624_s_at" 20772 5198 21433 3999
"200625_s_at" 14474 17954 18207 13950
"200626_s_at" 19238 20125 18405 4920
"200627_at" 10676 4656 14057 4426
"200628_s_at" 12721 2945 18422 174
"200629_at" 14547 18885 17422 2299
"200630_x_at" 12950 4679 13147 13837
"200631_s_at" 11231 15642 14845 16226
"200632_s_at" 18708 21142 1773 4383
"200633_at" 9468 7265 14305 8209
"200634_at" 14522 15818 15566 5709
"200635_s_at" 4279 20783 21473 13814
"200636_s_at" 8440 16606 19590 20812
"200637_s_at" 3806 2511 16152 20143
"200638_s_at" 17998 12940 15712 5503
"200639_s_at" 18859 3524 12359 4342
"200640_at" 16890 11789 15184 6708
"200641_s_at" 12092 3041 15273 2780
"200642_at" 10848 11711 14070 5017
"200643_at" 20071 4090 21274 14855
"200644_at" 16261 12209 16457 17890
"200645_at" 17699 18482 14500 13577
"200646_s_at" 12809 2882 20822 18272
"200647_x_at" 11331 4751 16007 17227
"200648_s_at" 533 11513 15168 15804
"200649_at" 19136 21244 16521 13178
"200650_s_at" 9207 4571 13075 8127
"200651_at" 9042 4587 13083 4087
"200652_at" 16342 17741 16073 15171
"200653_s_at" 16726 3975 13516 13788
"200654_at" 13784 13085 17690 5878
"200655_s_at" 14300 13181 14140 5272
"200656_s_at" 12115 14252 18175 2736
"200657_at" 12192 11478 3222 15028
"200658_s_at" 17081 13601 17723 3515
"200659_s_at" 2856 5031 14745 12931
"200660_at" 11643 3479 17972 5110
"200661_at" 16353 11356 18082 15797
"200662_s_at" 17131 17130 19450 13007
"200663_at" 17181 16341 16575 5175
"200664_s_at" 12051 4730 15387 16524
"200665_s_at" 3578 6690 6547 11972
"200666_s_at" 13103 16585 14929 17532
"200667_at" 11062 14766 16163 4747
"200668_s_at" 12943 12665 17891 6476
"200669_s_at" 15002 12552 13121 2901
"200670_at" 20042 11583 17577 5267
"200671_s_at" 20399 22008 14757 609
"200672_x_at" 21582 2540 188 1681
"200673_at" 19749 17180 16651 15246
"200674_s_at" 2988 3115 846 13400
"200675_at" 19681 16938 14293 16876
"200676_s_at" 16345 20636 14520 13954
"200677_at" 18374 11746 21303 17247
"200678_x_at" 12984 13487 1640 18071
"200679_x_at" 11329 3591 13280 3872
"200680_x_at" 12806 4631 1687 6280
"200681_at" 10165 3907 15747 5227
"200682_s_at" 9700 11413 18570 4727
"200683_s_at" 15571 12026 18178 18983
"200684_s_at" 16315 14938 16161 16657
"200685_at" 20956 20585 20209 19519
"200686_s_at" 16046 16780 21572 16451
"200687_s_at" 11318 15468 17197 14297
"200688_at" 18006 21665 974 3716
"200689_x_at" 2891 11791 3075 13387
"200690_at" 18826 17070 21488 17565
"200691_s_at" 13723 14012 15579 2619
"200692_s_at" 18554 12116 20604 4381
"200693_at" 15717 11956 19079 13074
"200694_s_at" 14119 15760 15104 17668
"200695_at" 18725 17950 15245 19979
"200696_s_at" 10233 18702 18689 14731
"200697_at" 10858 19024 14869 15348
"200698_at" 19573 12848 14212 4013
"200699_at" 18836 20686 12258 5731
"200700_s_at" 12629 14387 14333 4575
"200701_at" 17828 18231 14370 3706
"200702_s_at" 13153 14910 2747 4331
"200703_at" 19428 17425 19655 14797
"200704_at" 11227 19492 14922 14032
"200705_s_at" 2854 12317 14832 14685
"200706_s_at" 12598 3768 17778 14488
"200707_at" 12919 18448 15993 16765
"200708_at" 14635 4969 15441 16851
"200709_at" 11245 17373 17332 12532
"200710_at" 15160 15023 16507 3886
"200711_s_at" 17814 14116 18512 13311
"200712_s_at" 18394 3534 18974 13056
"200713_s_at" 13803 17573 15668 16494
"200714_x_at" 15900 17813 13274 4829
"200715_x_at" 3207 5159 1109 5715
"200716_x_at" 4893 7403 14975 8272
"200717_x_at" 4794 7263 1956 8207
"200718_s_at" 11851 13108 14323 13693
"200719_at" 19887 13425 15002 13047
"200720_s_at" 15748 3771 13396 13067
"200721_s_at" 2192 17897 12406 17907
"200722_s_at" 14349 2043 21072 16537
"200723_s_at" 11039 11348 16450 13076
"200724_at" 652 19068 2913 21403
"200725_x_at" 2687 4695 12296 4696
"200726_at" 11889 4136 16330 17291
"200727_s_at" 18037 4609 2272 2509
"200728_at" 10627 4497 13661 3474
"200729_s_at" 19408 17111 20794 4079
"200730_s_at" 20301 18939 13571 2416
"200731_s_at" 13910 2796 1169 3200
"200732_s_at" 13275 14341 12822 2105
"200733_s_at" 21523 20886 22244 610
"200734_s_at" 9395 3515 14617 18621
"200735_x_at" 4853 7335 13465 5743
"200736_s_at" 13455 9123 9270 13238
"200737_at" 19342 18882 18888 6083
"200738_s_at" 10902 4116 16203 12426
"200739_s_at" 16178 17542 16244 3440
"200740_s_at" 17154 14047 15480 15259
"200741_s_at" 4725 7149 1430 8153
"200742_s_at" 11712 11780 2495 18068
"200743_s_at" 13432 5017 13873 15193
"200744_s_at" 16135 13231 17290 5296
"200745_s_at" 17833 18842 15967 12524
"200746_s_at" 20234 17791 19007 15339
"200747_s_at" 16095 19089 13521 19915
"200748_s_at" 9197 12472 12714 3475
"200749_at" 17811 14205 18750 15523
"200750_s_at" 10068 4950 12884 6359
"200751_s_at" 12930 3930 19338 2548
"200752_s_at" 10771 14769 17672 16977
"200753_x_at" 15838 13900 18604 1767
"200754_x_at" 11716 11586 13156 5676
"200755_s_at" 16449 15319 3012 2702
"200756_x_at" 20616 4212 17894 1178
"200757_s_at" 16997 19179 2616 4344
"200758_s_at" 12765 15134 16844 12430
"200759_x_at" 14371 20656 13989 15974
"200760_s_at" 14656 17910 18789 6490
"200761_s_at" 19055 16336 21735 19764
"200762_at" 12459 17629 21056 5392
"200763_s_at" 4864 7353 12360 12525
"200764_s_at" 432 14014 17606 11984
"200765_x_at" 2623 15249 14993 6877
"200766_at" 18727 21090 13004 19954
