"inst_1305" "inst_3242" "inst_4225" "inst_4809"
"1007_s_at" 3280 5632 11718 13687
"1053_at" 4287 5763 18704 15985
"117_at" 2576 13210 9711 8697
"121_at" 3399 21905 4122 12043
"1255_g_at" 12425 9829 8115 3931
"1294_at" 4377 21068 21262 13497
"1316_at" 6910 19837 20218 490
"1320_at" 11077 9800 8994 10076
"1405_i_at" 19546 8592 9984 5801
"1431_at" 13124 6236 20347 952
"1438_at" 8389 6655 21663 20645
"1487_at" 19977 20847 10488 17056
"1494_f_at" 719 19947 19075 16000
"1598_g_at" 982 3140 20763 2273
"160020_at" 1018 1783 15900 15081
"1729_at" 22111 806 13681 19774
"1773_at" 21408 2770 17794 18744
"177_at" 1268 14508 20229 12085
"179_at" 1203 16737 12473 20715
"1861_at" 19889 7121 19698 20242
"200000_s_at" 16815 17006 18662 21228
"200001_at" 6835 6734 13426 20809
"200002_at" 6543 2699 10400 12207
"200003_s_at" 17186 4842 6653 14324
"200004_at" 4152 2729 13653 18005
"200005_at" 17329 4088 10591 19945
"200006_at" 4683 6200 3653 10294
"200007_at" 19517 5461 5051 13825
"200008_s_at" 17800 1612 16861 22271
"200009_at" 5076 2737 3325 10494
"200010_at" 16838 4399 16585 21658
"200011_s_at" 3843 6680 17767 16039
"200012_x_at" 5742 16768 2615 1495
"200013_at" 6335 17219 4404 3376
"200014_s_at" 4259 6133 2815 11882
"200015_s_at" 3237 16151 13252 11754
"200016_x_at" 19171 4976 13934 2593
"200017_at" 5223 10347 6704 1904
"200018_at" 19369 10325 6700 11374
"200019_s_at" 4192 6903 5257 14606
"200020_at" 21335 1210 10732 11250
"200021_at" 19873 16462 6745 5582
"200022_at" 17580 16387 4578 12758
"200023_s_at" 6665 4587 12724 14033
"200024_at" 17557 7605 5289 12300
"200025_s_at" 18407 17345 4594 1737
"200026_at" 6114 18173 4530 2109
"200027_at" 17122 4142 2367 12554
"200028_s_at" 19402 16577 4613 2147
"200029_at" 5007 17388 2117 1943
"200030_s_at" 18621 5036 10991 15299
"200031_s_at" 7095 10306 6695 2625
"200032_s_at" 16722 10353 11498 2780
"200033_at" 3482 4770 15362 16566
"200034_s_at" 6430 16239 12259 10934
"200035_at" 5760 1707 19301 14493
"200036_s_at" 6572 15543 10420 11372
"200037_s_at" 20228 3733 11774 10337
"200038_s_at" 6485 16359 4553 12143
"200039_s_at" 6984 4635 11609 14146
"200040_at" 16527 5717 11973 11967
"200041_s_at" 5253 2479 18675 18477
"200042_at" 16933 3074 14449 14970
"200043_at" 21250 4041 14470 15654
"200044_at" 3199 5782 12528 14439
"200045_at" 2133 5558 13352 19286
"200046_at" 3697 4466 12644 18787
"200047_s_at" 17462 3165 12103 12317
"200048_s_at" 18185 5787 14683 11283
"200049_at" 3328 1605 11742 15949
"200050_at" 20259 4577 14676 3178
"200051_at" 18253 16099 5232 15011
"200052_s_at" 5579 5924 16004 21080
"200053_at" 4203 21873 13842 14966
"200054_at" 2356 5163 11326 13008
"200055_at" 2770 5347 11483 13184
"200056_s_at" 3277 16155 15205 18729
"200057_s_at" 5757 5807 4924 10309
"200058_s_at" 6036 16465 11410 17063
"200059_s_at" 16808 5218 10772 19193
"200060_s_at" 17321 6219 19411 15830
"200061_s_at" 6390 10304 6694 1526
"200062_s_at" 4663 10108 6643 5376
"200063_s_at" 3056 10434 6718 2857
"200064_at" 18142 3535 12494 15541
"200065_s_at" 19316 3142 13687 20481
"200066_at" 19583 1313 17633 16841
"200067_x_at" 5245 18853 3452 12464
"200068_s_at" 17907 4480 10519 2382
"200069_at" 19602 5719 4020 3234
"200070_at" 109 19784 21468 11133
"200071_at" 18379 2235 14586 17790
"200072_s_at" 19053 2975 4818 18099
"200073_s_at" 5789 2464 12577 11279
"200074_s_at" 7204 16771 11258 14149
"200075_s_at" 2544 18902 13331 20052
"200076_s_at" 1964 3761 12470 17671
"200077_s_at" 5278 7212 13412 2878
"200078_s_at" 20602 2791 11658 19859
"200079_s_at" 5825 6677 13683 20261
"200080_s_at" 17105 6015 4345 2906
"200081_s_at" 6458 1637 13319 18839
"200082_s_at" 17465 16104 5511 14125
"200083_at" 5514 3496 10631 17464
"200084_at" 17713 6039 10979 17852
"200085_s_at" 17478 6430 11670 14244
"200086_s_at" 5433 7219 4984 11130
"200087_s_at" 16687 2372 12734 3175
"200088_x_at" 5395 10127 3553 10493
"200089_s_at" 6047 6619 5203 11157
"200090_at" 4033 6813 2345 13703
"200091_s_at" 4637 19347 13533 10631
"200092_s_at" 4524 16580 3721 1581
"200093_s_at" 1452 15396 12560 13956
"200094_s_at" 4005 15494 13505 3217
"200095_x_at" 16775 10578 6739 5570
"200096_s_at" 20834 16467 10417 19237
"200097_s_at" 4987 2670 15859 11454
"200098_s_at" 16383 7304 3164 12340
"200099_s_at" 4211 10457 4928 2781
"200593_s_at" 3303 7502 5560 16214
"200594_x_at" 16484 3891 11478 12664
"200595_s_at" 18020 16031 20134 13169
"200596_s_at" 3158 1023 15394 12489
"200597_at" 3320 3685 3448 16371
"200598_s_at" 2232 1936 4036 16917
"200599_s_at" 19587 2448 17228 18467
"200600_at" 5457 13452 14925 6793
"200601_at" 5059 3109 14967 18073
"200602_at" 4656 1526 16064 12696
"200603_at" 4147 18251 14196 13666
"200604_s_at" 19020 887 14659 21471
"200605_s_at" 1382 1047 14147 20171
"200606_at" 12530 2013 2772 13627
"200607_s_at" 5569 15959 11196 21041
"200608_s_at" 17316 7109 16921 16428
"200609_s_at" 1756 6553 15216 16451
"200610_s_at" 6006 3846 10650 2229
"200611_s_at" 5294 4898 14309 17113
"200612_s_at" 4057 985 20074 20105
"200613_at" 4499 6291 16083 19761
"200614_at" 6193 7027 10967 2564
"200615_s_at" 16733 2189 5455 20283
"200616_s_at" 4214 5650 4586 1261
"200617_at" 1266 6633 15803 10972
"200618_at" 1962 17873 14498 17187
"200619_at" 16593 2837 4206 17296
"200620_at" 20967 3976 12917 18249
"200621_at" 6953 6565 11145 19837
"200622_x_at" 17263 16955 12728 16824
"200623_s_at" 5351 17021 21904 905
"200624_s_at" 6922 1198 18440 19412
"200625_s_at" 21149 3599 18325 15362
"200626_s_at" 22059 1698 15648 20255
"200627_at" 19041 5392 13995 18451
"200628_s_at" 19423 4331 13577 22177
"200629_at" 4752 19169 16739 20222
"200630_x_at" 5865 16808 12492 2769
"200631_s_at" 17030 3029 12373 13563
"200632_s_at" 2217 2968 5365 2204
"200633_at" 6436 10303 6693 5466
"200634_at" 6647 6164 20021 18924
"200635_s_at" 5643 18948 4791 13433
"200636_s_at" 15944 3414 3388 11163
"200637_s_at" 10965 16960 12071 19728
"200638_s_at" 7136 3469 13543 17685
"200639_s_at" 1518 17928 5413 14060
"200640_at" 4145 3377 15188 18343
"200641_s_at" 19876 3466 10890 22045
"200642_at" 17598 15388 11738 16290
"200643_at" 588 15990 20037 15036
"200644_at" 2489 5318 16475 11927
"200645_at" 16659 16456 15691 18495
"200646_s_at" 20645 6170 21374 20049
"200647_x_at" 17890 7132 12817 19322
"200648_s_at" 21478 18135 20849 18683
"200649_at" 7175 7475 21062 19941
"200650_s_at" 5870 16245 6625 16969
"200651_at" 5588 7426 16742 15799
"200652_at" 17386 3861 15070 20235
"200653_s_at" 6540 1300 18516 17745
"200654_at" 7103 2374 18092 17216
"200655_s_at" 4762 2487 15331 15428
"200656_s_at" 2446 6853 18956 21421
"200657_at" 20392 5373 4942 10833
"200658_s_at" 21623 7276 14934 18634
"200659_s_at" 18247 1819 20150 19842
"200660_at" 2624 16653 20321 19653
"200661_at" 5563 6325 19810 17257
"200662_s_at" 20709 3052 14339 20158
"200663_at" 20914 1483 12042 10540
"200664_s_at" 6444 18516 13946 21823
"200665_s_at" 12725 14500 9205 8021
"200666_s_at" 4328 6090 10995 18552
"200667_at" 6284 5835 4090 10405
"200668_s_at" 18782 5995 15419 12153
"200669_s_at" 16448 5890 11963 19500
"200670_at" 3826 2865 12557 16845
"200671_s_at" 15303 5657 5426 20902
"200672_x_at" 17306 349 3853 20635
"200673_at" 7174 7378 13910 15316
"200674_s_at" 6916 17493 10987 2859
"200675_at" 20910 4751 20505 19171
"200676_s_at" 16862 16590 13810 16789
"200677_at" 20798 3364 4710 13372
"200678_x_at" 3224 20124 15443 17510
"200679_x_at" 4986 18018 14394 10996
