"inst_1273" "inst_2628" "inst_4654" "inst_5250" "inst_5615"
"1007_s_at" 3937 15756 17945 4442 12975
"1053_at" 16906 6633 19690 13329 16201
"117_at" 17441 12407 12501 750 7271
"121_at" 14652 3522 20855 16063 20599
"1255_g_at" 7729 12275 6590 5178 3681
"1294_at" 3515 1107 21209 21167 19140
"1316_at" 15511 18179 6069 21508 1410
"1320_at" 9714 9050 1082 21142 9619
"1405_i_at" 1924 11654 1709 8461 6175
"1431_at" 9572 19991 1463 21653 21779
"1438_at" 11016 17261 13558 21415 11565
"1487_at" 3316 1696 4246 19993 19976
"1494_f_at" 341 3479 820 2831 10523
"1598_g_at" 20997 6213 21198 11898 18150
"160020_at" 1275 19126 3255 17219 3425
"1729_at" 2340 1801 14974 1134 20282
"1773_at" 14398 4630 3566 1538 17328
"177_at" 20033 9979 17122 14839 7901
"179_at" 21782 22038 12687 11869 22240
"1861_at" 18191 18366 13064 12299 16476
"200000_s_at" 1742 15176 5237 15739 18514
"200001_at" 16996 16857 15363 13947 13171
"200002_at" 16630 17208 17100 13371 3446
"200003_s_at" 3524 16886 8310 6909 5100
"200004_at" 14454 17459 15552 12723 10160
"200005_at" 14617 15173 14383 13392 14877
"200006_at" 14487 15174 6009 4525 13895
"200007_at" 3323 5765 6047 14052 14448
"200008_s_at" 22149 21446 19470 14246 13441
"200009_at" 3226 16517 16792 4367 9950
"200010_at" 14868 18041 18361 13846 10233
"200011_s_at" 4486 5922 12451 12167 12271
"200012_x_at" 3553 14748 6497 2852 2317
"200013_at" 15988 15111 14286 14884 12333
"200014_s_at" 14904 4282 5995 13625 16373
"200015_s_at" 17779 7394 15373 15940 17734
"200016_x_at" 14719 6598 12342 14281 10303
"200017_at" 14742 6750 13314 7080 5213
"200018_at" 4333 14386 8403 14315 5204
"200019_s_at" 14998 6454 4600 17326 13173
"200020_at" 1312 14303 18946 4135 11329
"200021_at" 14143 6880 8520 7264 5345
"200022_at" 4499 7240 4347 4177 5121
"200023_s_at" 15691 4377 13089 17161 15264
"200024_at" 2983 17550 13358 2846 3076
"200025_s_at" 14054 5084 12799 12417 10055
"200026_at" 3249 14673 3950 3650 5350
"200027_at" 17077 5577 3886 13853 16691
"200028_s_at" 14537 6459 16635 3609 11737
"200029_at" 3963 5617 5183 4290 2580
"200030_s_at" 15287 16002 12885 4310 10014
"200031_s_at" 15731 6571 8387 7046 5197
"200032_s_at" 4228 14425 5628 7086 5218
"200033_at" 15631 16359 6076 11537 11356
"200034_s_at" 2977 18369 15495 3747 2953
"200035_at" 17109 17489 21506 18082 17323
"200036_s_at" 16402 16667 5032 16303 11790
"200037_s_at" 4203 15732 6402 13400 11833
"200038_s_at" 3781 15536 13200 4623 5322
"200039_s_at" 16216 15046 16443 12678 13412
"200040_at" 4027 5288 16097 13421 14236
"200041_s_at" 14723 15769 12806 3156 11041
"200042_at" 16122 5598 13869 19293 11383
"200043_at" 18098 20482 17537 18555 9972
"200044_at" 17120 15877 18106 16843 16010
"200045_at" 2795 15587 14131 14046 12178
"200046_at" 18000 14423 13353 12716 14392
"200047_s_at" 17338 15064 15801 12727 13141
"200048_s_at" 14310 4687 12417 14858 15996
"200049_at" 4508 19507 18694 12806 12702
"200050_at" 18428 6287 16459 17662 19176
"200051_at" 1384 7001 13837 19120 15768
"200052_s_at" 19373 17125 13795 15877 14268
"200053_at" 1680 18521 16277 21772 1695
"200054_at" 18315 15409 21132 20312 16084
"200055_at" 1798 3625 6330 13665 14815
"200056_s_at" 16949 6497 14547 19384 13781
"200057_s_at" 14720 14366 12755 3367 11960
"200058_s_at" 4165 14455 15915 15031 19284
"200059_s_at" 18346 17726 14812 14512 10542
"200060_s_at" 17157 7204 15763 15409 13417
"200061_s_at" 14809 7292 8386 7044 5195
"200062_s_at" 15281 9527 8293 6885 5085
"200063_s_at" 16204 5802 12631 7136 5249
"200064_at" 16276 14787 13739 12322 11075
"200065_s_at" 14414 14630 14648 12416 10847
"200066_at" 19214 16978 21139 15338 11919
"200067_x_at" 15723 16371 4782 12052 15349
"200068_s_at" 16191 6008 18186 4535 10405
"200069_at" 17343 3629 5415 11842 14970
"200070_at" 676 1211 13273 21312 22182
"200071_at" 17969 7196 4942 12881 17434
"200072_s_at" 15805 19392 19605 15789 11037
"200073_s_at" 17741 17841 6454 15524 15304
"200074_s_at" 15889 15552 15704 13588 10377
"200075_s_at" 17436 7111 4586 16511 20249
"200076_s_at" 2714 19378 2313 14435 15780
"200077_s_at" 14474 15798 13853 4779 2939
"200078_s_at" 15122 15851 4613 17027 17900
"200079_s_at" 16815 5568 14356 3520 11030
"200080_s_at" 15050 16229 15851 15347 5244
"200081_s_at" 14826 17395 15555 13494 10743
"200082_s_at" 15429 14843 4652 11556 5237
"200083_at" 3289 17485 12479 12149 15317
"200084_at" 19052 18088 17645 17124 16072
"200085_s_at" 14316 5722 12519 13420 15666
"200086_s_at" 14257 3096 6450 12976 13061
"200087_s_at" 14313 7199 14351 12328 15393
"200088_x_at" 4200 9539 8306 6905 5097
"200089_s_at" 3231 16191 14770 12318 12409
"200090_at" 14598 3630 2962 19652 16052
"200091_s_at" 14838 17526 17738 16835 10722
"200092_s_at" 15196 4965 19138 12431 5261
"200093_s_at" 18827 6316 4225 15149 15134
"200094_s_at" 2414 5676 13110 11511 14006
"200095_x_at" 3571 9719 8506 7243 5333
"200096_s_at" 16260 14349 14896 596 16428
"200097_s_at" 4100 18659 12854 12397 12428
"200098_s_at" 15363 3320 3985 15256 13459
"200099_s_at" 15164 5786 4070 7163 5266
"200593_s_at" 16038 20601 18257 18371 11059
"200594_x_at" 4144 15827 17897 13106 10800
"200595_s_at" 18524 15617 18494 15833 17309
"200596_s_at" 1176 15813 19628 19659 15682
"200597_at" 17632 16298 17458 3618 20557
"200598_s_at" 18515 15792 3761 17362 14948
"200599_s_at" 4189 21083 19292 18707 14536
"200600_at" 14439 2614 17597 9086 6985
"200601_at" 19991 6184 19821 14888 9825
"200602_at" 2654 4302 6088 20219 20880
"200603_at" 16235 18735 15095 12788 13386
"200604_s_at" 22258 19433 20436 19137 16013
"200605_s_at" 21998 18673 21247 13951 13325
"200606_at" 6972 16942 2378 12093 16314
"200607_s_at" 20419 16338 3060 13077 10635
"200608_s_at" 14819 18496 17914 14193 14334
"200609_s_at" 16115 6055 16318 4646 11624
"200610_s_at" 17368 15698 18885 15872 10897
"200611_s_at" 19113 7019 16115 11794 14834
"200612_s_at" 199 5788 21086 21122 2424
"200613_at" 15069 17831 5621 11647 12991
"200614_at" 16312 17689 14050 13959 10173
"200615_s_at" 1961 5339 4783 14582 9828
"200616_s_at" 859 5597 2046 12310 10226
"200617_at" 16602 3817 19646 17153 13466
"200618_at" 2573 17307 17311 16658 14524
"200619_at" 4238 4964 15210 11618 16871
"200620_at" 16670 14939 15538 15824 11546
"200621_at" 2391 3824 12873 18083 15842
"200622_x_at" 3604 16354 14870 12685 16009
"200623_s_at" 1853 6297 19504 4475 17771
"200624_s_at" 22087 16497 20157 17633 19829
"200625_s_at" 14090 15390 15079 16870 17103
"200626_s_at" 14817 18140 17717 14822 10867
"200627_at" 17126 20064 15474 4943 9396
"200628_s_at" 21395 15558 17348 15353 20030
"200629_at" 16913 16798 4603 2016 18076
"200630_x_at" 4345 6415 13440 3346 10212
"200631_s_at" 16702 15618 15014 4228 11167
"200632_s_at" 2505 15292 15652 21535 10308
"200633_at" 4387 6237 8385 4794 9649
"200634_at" 15922 17165 17793 14698 14487
"200635_s_at" 4848 17136 12584 4677 12063
"200636_s_at" 5244 3887 12670 17477 17107
"200637_s_at" 6922 16843 20479 2531 15685
"200638_s_at" 21520 17868 17221 4547 12074
"200639_s_at" 4219 18595 15109 3388 13714
"200640_at" 17296 16205 17682 12701 9909
"200641_s_at" 22175 19876 17128 17700 9948
"200642_at" 16819 6949 13814 13859 14882
"200643_at" 2641 6611 17899 19498 13917
"200644_at" 19898 18811 12428 14269 13656
"200645_at" 4202 17444 12900 15804 13126
"200646_s_at" 21594 18903 18224 20501 18576
"200647_x_at" 15258 4405 17968 13375 15274
"200648_s_at" 21880 21440 20737 19110 19712
"200649_at" 1037 999 19671 15260 14398
"200650_s_at" 14763 18555 8255 12335 10254
"200651_at" 14937 18775 15299 15670 11905
"200652_at" 18761 17100 13572 19396 20396
"200653_s_at" 492 16913 15242 13754 14682
"200654_at" 3410 15343 16721 14685 18036
"200655_s_at" 15415 14750 15352 13491 15324
"200656_s_at" 17651 20927 14126 17099 14823
"200657_at" 14239 7026 5341 11699 3405
"200658_s_at" 19119 20213 18294 18374 15697
"200659_s_at" 19671 16387 15878 16960 16595
"200660_at" 14141 15903 15088 15553 13749
"200661_at" 4261 3022 16559 16208 13948
"200662_s_at" 3772 14415 13330 17722 16862
"200663_at" 3596 15154 13190 14949 11220
"200664_s_at" 19677 20456 2890 17295 11600
"200665_s_at" 10804 9474 6927 10109 7698
"200666_s_at" 18744 17849 17035 12674 12767
"200667_at" 3861 14580 5867 4403 16161
"200668_s_at" 17462 7195 13264 13543 12819
"200669_s_at" 20841 15916 16468 11581 11944
"200670_at" 20683 19121 13890 20014 16435
"200671_s_at" 13580 3857 17331 1723 21636
"200672_x_at" 15847 22256 19634 2920 1409
"200673_at" 16423 15419 14107 15103 18064
"200674_s_at" 14899 5889 5082 2318 5272
"200675_at" 3879 4801 17203 14209 11187
"200676_s_at" 3647 2735 21698 14715 12937
"200677_at" 15727 2472 4252 15892 12495
"200678_x_at" 14332 4482 4805 17211 19420
"200679_x_at" 17444 17770 18581 14022 12966
"200680_x_at" 2828 18495 3722 7251 5338
"200681_at" 14555 7355 14360 4550 15158
"200682_s_at" 17327 19244 12930 14526 17777
"200683_s_at" 19593 17695 16633 14574 16274
"200684_s_at" 19241 17878 20853 18224 15853
"200685_at" 17698 19882 12844 11656 15850
"200686_s_at" 18647 2956 12651 19153 21361
"200687_s_at" 15503 15080 16523 15647 16064
"200688_at" 1879 15885 21080 20658 3149
"200689_x_at" 3734 15757 13388 3292 9401
"200690_at" 20050 4869 14495 17597 20095
"200691_s_at" 17897 14833 18736 4967 13023
"200692_s_at" 19735 20786 15624 19199 16311
"200693_at" 20126 17180 13781 11588 12887
"200694_s_at" 14595 17143 17027 13693 17418
"200695_at" 19975 16421 15560 4697 20250
"200696_s_at" 593 4065 15776 18801 10591
"200697_at" 2786 6384 16949 1801 13903
"200698_at" 20157 20251 20068 14102 11180
"200699_at" 543 3639 16941 11769 10742
"200700_s_at" 18249 7214 16230 16930 14091
"200701_at" 1967 15959 15209 13944 15922
"200702_s_at" 429 18507 12498 2069 13321
"200703_at" 3872 14561 12785 20171 13057
"200704_at" 3036 6817 19323 12799 11769
"200705_s_at" 4029 4572 4686 4789 11342
"200706_s_at" 19628 3634 822 4448 15593
"200707_at" 350 7387 14889 18874 17488
"200708_at" 4503 7332 13901 13952 10982
"200709_at" 15084 16593 17892 16281 14747
"200710_at" 15210 20822 12317 1423 2844
"200711_s_at" 16960 16181 14788 14517 16596
"200712_s_at" 22085 20487 20023 19308 20332
"200713_s_at" 15348 7313 5964 2090 10191
"200714_x_at" 2117 18033 5560 4261 11124
"200715_x_at" 4273 5237 14766 11822 10138
"200716_x_at" 3964 14470 5224 11471 5323
"200717_x_at" 14355 9610 8384 7038 5191
"200718_s_at" 4302 5523 17329 15202 3132
"200719_at" 16560 15312 18001 12445 17020
"200720_s_at" 18376 6207 15351 17572 15640
"200721_s_at" 1773 18810 15322 3396 17611
"200722_s_at" 22132 7094 2550 17920 2219
"200723_s_at" 21038 17260 12749 4332 12030
"200724_at" 10154 227 196 2735 2701
"200725_x_at" 3860 6666 4283 2980 10677
"200726_at" 19890 6442 15856 15240 14341
"200727_s_at" 19846 17874 2703 12415 9874
"200728_at" 17042 20837 12823 13863 12065
"200729_s_at" 20100 18703 15074 13391 18730
"200730_s_at" 21457 20539 19429 16000 11136
"200731_s_at" 21778 20479 20878 18533 21425
"200732_s_at" 16964 14865 15266 4628 12475
"200733_s_at" 21230 21379 21757 20502 21140
"200734_s_at" 3489 3363 13159 11928 15527
"200735_x_at" 14668 15821 14066 7150 5259
"200736_s_at" 2969 9079 4200 5581 7177
"200737_at" 20079 18395 18440 21305 18483
"200738_s_at" 16450 6449 14401 13297 12138
"200739_s_at" 21589 15619 3554 17876 11810
"200740_s_at" 18325 6269 5718 11484 2053
"200741_s_at" 14918 9528 8294 6887 5087
"200742_s_at" 21806 5948 5064 13164 16050
"200743_s_at" 17641 6382 12434 16802 3006
"200744_s_at" 19120 15952 15659 17120 18946
"200745_s_at" 3533 18467 15342 3675 9805
"200746_s_at" 17435 18633 15808 2749 12703
"200747_s_at" 3284 5236 6054 18537 16254
"200748_s_at" 3081 17605 5448 11396 9768
"200749_at" 4183 16963 14138 16257 17415
"200750_s_at" 17965 14919 12393 13761 11941
"200751_s_at" 21810 21323 20640 18209 12222
"200752_s_at" 549 15392 3390 19478 18697
"200753_x_at" 21048 17511 16355 13197 12971
"200754_x_at" 15764 15718 14208 4910 9322
"200755_s_at" 15937 19256 18209 2406 13724
"200756_x_at" 20624 15543 19476 13115 15667
"200757_s_at" 14615 17023 21486 4339 12005
"200758_s_at" 16081 14446 19630 17548 19440
"200759_x_at" 2271 5516 19049 19846 21082
"200760_s_at" 17929 19555 5104 15764 14738
"200761_s_at" 17778 4054 14883 16962 19129
"200762_at" 3358 3716 6388 1417 16797
"200763_s_at" 14395 15313 6449 11771 5279
"200764_s_at" 12401 17178 10003 20299 13768
"200765_x_at" 13884 5678 8246 12816 15752
"200766_at" 1296 4809 3335 15091 13624
"200767_s_at" 14800 21511 18612 16936 15526
"200768_s_at" 2269 5659 13621 17412 13589
"200769_s_at" 22239 16892 14822 11379 3139
"200770_s_at" 17028 18073 21115 18641 13428
"200771_at" 17885 15012 20064 13317 19582
"200772_x_at" 4502 17730 14427 4414 5221
"200773_x_at" 15237 17176 15634 4625 2847
"200774_at" 19364 14481 13702 4014 11599
"200775_s_at" 2834 14947 19799 15658 2456
"200776_s_at" 22169 20017 17533 13183 13087
"200777_s_at" 16127 17528 13533 12423 11990
"200778_s_at" 22039 14463 12871 15056 16440
"200779_at" 14467 4441 6471 18512 19429
"200780_x_at" 2232 7247 4467 3824 9727
"200781_s_at" 14243 17002 5390 3892 5166
"200782_at" 14931 5040 12816 14356 17597
"200783_s_at" 15502 7309 19555 19852 12473
"200784_s_at" 11484 10650 20532 5091 1036
"200785_s_at" 5408 1835 21526 8841 7148
"200786_at" 14675 14764 14801 11843 13411
"200787_s_at" 20530 17543 12696 20274 17582
"200788_s_at" 2395 14984 18835 1884 20293
"200789_at" 18687 15088 20626 21223 21031
"200790_at" 17188 15748 4840 13882 14502
"200791_s_at" 17434 4878 18290 3471 14955
"200792_at" 3924 17080 13298 14446 16232
"200793_s_at" 3343 20319 15064 20618 18870
"200794_x_at" 18788 5837 20725 14500 12662
"200795_at" 12266 19009 16528 12324 8974
"200796_s_at" 21112 20559 2943 22049 20639
"200797_s_at" 1932 19268 16414 15754 12339
"200798_x_at" 19845 20238 18393 18187 12993
"200799_at" 9810 14737 18780 3504 3324
"200800_s_at" 20557 20705 20272 19673 11568
"200801_x_at" 2971 15291 8263 6836 5043
"200802_at" 14407 14636 15865 13012 11943
"200803_s_at" 20820 16317 5682 14275 10923
"200804_at" 4230 14559 15923 12443 13516
"200805_at" 1247 17825 18795 20572 19115
"200806_s_at" 21525 19201 5632 4134 9406
"200807_s_at" 15710 14704 12897 6857 5062
"200808_s_at" 3480 15278 16884 17546 17060
"200809_x_at" 3646 5996 5546 2306 3107
"200810_s_at" 3503 6859 16129 14527 12396
"200811_at" 16469 20089 19527 17576 16485
"200812_at" 3748 14993 15065 12793 16781
"200813_s_at" 21079 5874 2756 20903 14541
"200814_at" 18469 3907 13092 13941 9645
"200815_s_at" 14479 5379 17241 14027 15520
"200816_s_at" 16273 3761 16195 3095 12312
"200817_x_at" 2837 9509 8276 6861 5064
"200818_at" 15670 5643 15089 14731 13423
"200819_s_at" 14740 7353 13806 12151 5199
"200820_at" 4283 16856 13717 15501 12211
"200821_at" 20770 17608 20361 16644 16093
"200822_x_at" 1839 19396 17354 16069 2283
"200823_x_at" 16306 15051 15753 13890 9320
"200824_at" 19146 17656 19453 13948 430
"200825_s_at" 16627 5397 17193 4940 14767
"200826_at" 16701 15017 17106 12901 10755
"200827_at" 15398 5254 15539 941 12170
"200828_s_at" 21265 15812 12870 16718 15382
"200829_x_at" 16951 6224 5775 4541 12086
"200830_at" 3744 5517 18022 15095 13483
"200831_s_at" 15966 19665 21449 13697 17398
"200832_s_at" 14073 18220 19410 17591 15312
"200833_s_at" 16463 7408 15520 17405 12405
"200834_s_at" 3786 6896 8325 12216 5122
"200835_s_at" 19954 20689 2905 15255 1388
"200836_s_at" 10 21833 13203 12351 2824
"200837_at" 15763 14860 17964 2342 15983
"200838_at" 19634 17047 19564 15460 14803
"200839_s_at" 14062 15019 16389 4013 10803
"200840_at" 3729 15037 4791 14501 10697
"200841_s_at" 20527 19672 4870 12304 10474
"200842_s_at" 2849 2181 5031 11600 13530
"200843_s_at" 3970 7095 14534 16350 13151
"200844_s_at" 14067 4296 5100 12207 12545
"200845_s_at" 14768 14419 14706 13803 12262
"200846_s_at" 15226 19107 18647 16472 16437
"200847_s_at" 1489 3919 1545 4027 14445
"200848_at" 15517 18734 14843 12319 13415
"200849_s_at" 2307 7031 18311 4835 17447
"200850_s_at" 16520 15998 3284 16339 15263
"200851_s_at" 3142 16653 3139 1802 13881
"200852_x_at" 15288 4618 14067 19085 21276
"200853_at" 16749 15235 14180 4615 14058
"200854_at" 19724 16785 19455 19542 13921
"200855_at" 16385 18891 6098 12109 11516
"200856_x_at" 19170 17029 15161 16074 21706
"200857_s_at" 17804 19839 6386 11604 11838
"200858_s_at" 15159 18547 16534 16111 3156
"200859_x_at" 14687 5423 6353 17103 14098
"200860_s_at" 17333 6440 4969 13410 12644
"200861_at" 20742 18227 20667 19383 15698
"200862_at" 2476 6255 18360 4847 15097
"200863_s_at" 16609 5141 6345 12298 10501
"200864_s_at" 2625 19047 20490 18472 12931
"200865_at" 13373 13957 1607 7622 4717
"200866_s_at" 19254 17541 13051 15049 13672
"200867_at" 3420 17104 20793 12809 15913
"200868_s_at" 21410 15452 17889 13415 13952
"200869_at" 3457 7062 6237 12833 5098
"200870_at" 16638 4391 6102 12561 15241
"200871_s_at" 2354 18043 16777 11626 12589
"200872_at" 14748 17233 6464 12510 9706
"200873_s_at" 15405 14336 4881 12241 10865
"200874_s_at" 22231 20990 2421 22070 21078
"200875_s_at" 15379 14662 5345 17255 18302
"200876_s_at" 17208 16712 16350 14557 12029
"200877_at" 16134 7210 13497 11934 11445
"200878_at" 2646 19205 13044 18966 14543
"200879_s_at" 10820 13683 15540 7981 785
