"inst_3436" "inst_3696" "inst_4718" "inst_7394"
"1007_s_at" 19932 7981 19490 16844
"1053_at" 2985 3480 2353 7428
"117_at" 12631 16569 13518 9386
"121_at" 19710 18418 6798 479
"1255_g_at" 13838 14969 14294 11334
"1294_at" 13489 1990 20847 13883
"1316_at" 1088 10099 2667 21815
"1320_at" 16396 21284 17364 10410
"1405_i_at" 14253 13289 19328 16114
"1431_at" 13397 12003 18701 4283
"1438_at" 21897 679 16432 17349
"1487_at" 6928 4566 992 1575
"1494_f_at" 17958 19019 630 9603
"1598_g_at" 18745 10158 21217 6141
"160020_at" 16754 21457 19866 4449
"1729_at" 7903 3440 18089 1121
"1773_at" 516 19373 5924 4920
"177_at" 13775 15374 5712 14729
"179_at" 22060 6697 720 562
"1861_at" 2495 5980 17661 7087
"200000_s_at" 6020 4173 9438 21314
"200001_at" 3636 9761 5289 4252
"200002_at" 18425 12482 7536 7255
"200003_s_at" 8283 14188 7173 16866
"200004_at" 19264 9189 17847 17310
"200005_at" 5239 7712 8740 4878
"200006_at" 8202 12205 6208 8065
"200007_at" 4848 12342 17186 17933
"200008_s_at" 1637 10312 2092 6899
"200009_at" 6756 9092 7552 8563
"200010_at" 5164 8298 5158 7839
"200011_s_at" 8679 7580 9292 16867
"200012_x_at" 18417 19437 17792 17041
"200013_at" 7601 6405 7176 17165
"200014_s_at" 18561 7474 7298 7126
"200015_s_at" 18708 9920 5933 7509
"200016_x_at" 7685 18164 17589 8223
"200017_at" 8452 14286 9265 18749
"200018_at" 18235 14273 8862 8640
"200019_s_at" 7280 19237 18114 6726
"200020_at" 7443 4786 18231 8372
"200021_at" 20007 14393 17043 17200
"200022_at" 8245 11693 6637 6439
"200023_s_at" 17826 12252 7977 5260
"200024_at" 3831 18276 17775 16594
"200025_s_at" 18662 18305 16876 8733
"200026_at" 20179 18099 9097 7737
"200027_at" 20465 11252 9383 18087
"200028_s_at" 19768 10589 16979 19071
"200029_at" 17633 12660 16728 17693
"200030_s_at" 7371 11299 17247 8766
"200031_s_at" 19075 14267 17256 16583
"200032_s_at" 17564 14289 8567 6487
"200033_at" 7463 17989 5822 17191
"200034_s_at" 5849 10913 9349 8504
"200035_at" 20709 9877 17635 5604
"200036_s_at" 7211 17963 7939 8632
"200037_s_at" 5482 7886 5314 6876
"200038_s_at" 5627 11119 7844 6370
"200039_s_at" 17655 11824 9059 5682
"200040_at" 17243 18653 7350 16548
"200041_s_at" 7302 6553 16738 3932
"200042_at" 18174 7869 6567 6216
"200043_at" 7632 6904 19229 16902
"200044_at" 8644 10984 4646 5542
"200045_at" 8146 7821 18106 4120
"200046_at" 2187 8282 7482 16503
"200047_s_at" 4241 8130 7077 7982
"200048_s_at" 7875 9835 5351 17497
"200049_at" 2101 5923 17880 19500
"200050_at" 3327 10943 3768 2336
"200051_at" 5167 10553 16414 21391
"200052_s_at" 2277 5746 3917 6068
"200053_at" 2286 17966 21821 5889
"200054_at" 18483 12565 7335 20817
"200055_at" 19334 11166 18698 4008
"200056_s_at" 2390 6313 3995 4797
"200057_s_at" 17790 11979 9640 16833
"200058_s_at" 17126 12030 16777 16986
"200059_s_at" 7871 17994 3713 17910
"200060_s_at" 4868 3880 9094 18011
"200061_s_at" 17492 14266 17900 17450
"200062_s_at" 18887 14177 11597 7792
"200063_s_at" 17379 14317 11791 17653
