"inst_2730" "inst_3471" "inst_6790" "inst_7142"
"1007_s_at" 3171 3138 2601 17318
"1053_at" 16511 17406 16234 15996
"117_at" 19941 947 13408 12748
"121_at" 1856 18945 1778 2782
"1255_g_at" 9053 9936 11627 9768
"1294_at" 3666 2129 7658 6840
"1316_at" 19205 17403 159 3424
"1320_at" 6071 2072 350 6936
"1405_i_at" 15813 13014 10375 11814
"1431_at" 21860 9170 8403 13454
"1438_at" 11238 21777 21619 15637
"1487_at" 14797 5867 18264 2654
"1494_f_at" 22111 10803 19426 12589
"1598_g_at" 16727 5739 2978 2512
"160020_at" 3793 19280 182 17109
"1729_at" 19100 16027 3690 170
"1773_at" 1560 3457 1791 1643
"177_at" 21850 13236 10813 7344
"179_at" 21862 3467 17140 8421
"1861_at" 20945 21480 19176 3551
"200000_s_at" 17359 17580 8265 2933
"200001_at" 14657 19500 4803 5322
"200002_at" 15074 4458 16538 5123
"200003_s_at" 7535 18448 8875 5815
"200004_at" 16506 17907 6006 18626
"200005_at" 13838 6237 5507 5697
"200006_at" 12086 3855 5456 6071
"200007_at" 15599 19209 7476 17121
"200008_s_at" 5185 6615 8176 3668
"200009_at" 5920 5685 7550 3629
"200010_at" 7537 5982 17667 16161
"200011_s_at" 14840 4262 15917 18962
"200012_x_at" 7491 16749 18076 17672
"200013_at" 7461 4106 17322 15464
"200014_s_at" 3938 17680 20467 4358
"200015_s_at" 17949 16118 8706 17712
"200016_x_at" 7459 5980 8601 15813
"200017_at" 7652 5649 16437 6223
"200018_at" 7641 7027 8561 15776
"200019_s_at" 7613 16361 16002 5641
"200020_at" 13356 16942 16067 3128
"200021_at" 7755 4907 11451 16223
"200022_at" 7554 16350 7363 3510
"200023_s_at" 14754 3746 7622 16151
"200024_at" 7615 5875 17877 5771
"200025_s_at" 7639 16203 7706 17568
"200026_at" 7762 6056 11460 16464
"200027_at" 12833 4720 4355 15999
"200028_s_at" 16613 16104 4922 17900
"200029_at" 7593 3417 15935 16722
"200030_s_at" 12612 5354 7140 6426
"200031_s_at" 7632 7059 11276 6062
"200032_s_at" 7654 15847 11309 4933
"200033_at" 14659 4491 8213 6242
"200034_s_at" 7541 5360 7219 5291
"200035_at" 16355 2867 6785 1989
"200036_s_at" 7524 15694 16000 15466
"200037_s_at" 13796 3655 5760 16589
"200038_s_at" 7733 4024 16079 16401
"200039_s_at" 12496 15532 7565 15905
"200040_at" 15819 6409 8391 5748
"200041_s_at" 12600 6097 5672 5160
