"inst_1389" "inst_2072" "inst_2235" "inst_5830" "inst_7186"
"1007_s_at" 21693 20925 18789 10447 10430
"1053_at" 1155 16108 20816 19010 3851
"117_at" 10942 12539 9132 11075 16490
"121_at" 2261 3579 809 10687 3155
"1255_g_at" 10195 11905 8870 16816 13211
"1294_at" 1345 18140 3460 3439 7436
"1316_at" 19076 11553 15927 21526 185
"1320_at" 6984 13770 2707 15869 16885
"1405_i_at" 21156 12851 12650 20800 12058
"1431_at" 6271 20122 7006 12577 11111
"1438_at" 13820 19097 15441 12040 19006
"1487_at" 19640 21331 19574 5154 1612
"1494_f_at" 929 11465 537 780 14393
"1598_g_at" 19883 16253 4204 8514 8567
"160020_at" 21830 20666 43 5749 12680
"1729_at" 19858 2382 5971 19878 20756
"1773_at" 11727 2791 16308 6442 22267
"177_at" 1704 11559 11480 16755 9197
"179_at" 1351 167 791 14824 21544
"1861_at" 17760 5319 4534 8450 7656
"200000_s_at" 17475 6116 19665 20435 3064
"200001_at" 20955 20658 14350 7440 8896
"200002_at" 4547 4874 14072 9540 9930
"200003_s_at" 4819 4881 9756 5929 19264
"200004_at" 21773 17259 19507 3976 7289
"200005_at" 17515 6044 17173 10481 5679
"200006_at" 16196 15921 16721 9308 7669
"200007_at" 20060 1442 14979 9160 6093
"200008_s_at" 19811 22034 15506 945 3473
"200009_at" 16889 18055 19067 18469 3713
"200010_at" 2437 5754 17697 7235 6585
"200011_s_at" 17974 18495 16736 10313 20007
"200012_x_at" 4371 16114 3820 18861 20012
"200013_at" 15092 16624 16028 7468 18994
"200014_s_at" 16963 15803 7424 9728 6500
"200015_s_at" 2647 16877 17144 3545 5601
"200016_x_at" 16498 4859 14513 18901 8144
"200017_at" 20280 4639 9816 8445 8957
"200018_at" 16813 17095 9642 18640 9850
"200019_s_at" 16430 4750 15673 9430 19194
"200020_at" 3754 2734 18807 10771 4559
"200021_at" 1461 16593 9671 21113 20282
"200022_at" 4741 6376 9794 7662 10347
"200023_s_at" 3243 2322 15801 7478 8241
"200024_at" 3989 17187 15074 9030 8653
"200025_s_at" 1884 4730 6598 8326 8521
"200026_at" 21488 4100 14176 10340 10118
"200027_at" 18502 17406 14191 7041 5862
"200028_s_at" 18843 3834 16419 8205 8554
"200029_at" 4641 6483 4495 18921 9152
"200030_s_at" 15564 4442 15163 8994 9003
"200031_s_at" 4766 17947 9805 19523 19897
"200032_s_at" 4319 5882 9806 20206 19710
"200033_at" 21235 4700 18719 6486 4936
"200034_s_at" 2857 6222 19962 6912 9723
"200035_at" 2866 2716 19654 20232 21312
"200036_s_at" 16871 4965 14365 10149 19148
"200037_s_at" 16287 1908 19598 3890 4732
"200038_s_at" 17148 16833 15909 21446 19700
"200039_s_at" 15073 16967 18015 10003 6483
"200040_at" 18382 4872 18968 6423 6216
"200041_s_at" 15881 17642 16180 7910 7404
"200042_at" 4123 16604 16830 6330 9800
"200043_at" 19067 16532 13681 19487 9528
