"inst_2458" "inst_3319" "inst_5361" "inst_6762"
"1007_s_at" 10448 2983 19471 6353
"1053_at" 2141 20710 3768 17735
"117_at" 9098 6872 16498 10543
"121_at" 2123 1347 8588 2059
"1255_g_at" 14234 11255 17434 9974
"1294_at" 10961 3128 1153 5833
"1316_at" 13476 3260 19780 14388
"1320_at" 17144 12185 16233 20122
"1405_i_at" 13176 11048 17560 13631
"1431_at" 1387 160 15379 6632
"1438_at" 19647 9776 623 15003
"1487_at" 3072 7097 1240 1788
"1494_f_at" 5526 21678 13735 1731
"1598_g_at" 20752 6251 3841 15094
"160020_at" 686 21927 21809 14847
"1729_at" 12172 19954 4227 5515
"1773_at" 20822 9788 20331 18870
"177_at" 12267 10809 13009 14583
"179_at" 3073 22273 3737 1133
"1861_at" 10385 17904 3380 14727
"200000_s_at" 11846 6809 10249 17722
"200001_at" 8947 6460 6679 17654
"200002_at" 12059 19713 19464 15898
"200003_s_at" 15876 13097 19914 10711
"200004_at" 8802 19149 9962 17648
"200005_at" 8191 8856 6209 17296
"200006_at" 12574 10189 7432 6824
"200007_at" 8216 9875 8239 7616
"200008_s_at" 909 9037 9534 21726
"200009_at" 11325 17452 6724 16788
"200010_at" 13296 19755 10353 20220
"200011_s_at" 9960 8782 9909 17270
"200012_x_at" 21060 8446 20114 6751
"200013_at" 11508 10160 9748 8719
"200014_s_at" 10475 10014 6635 5027
"200015_s_at" 9095 20252 8008 8463
"200016_x_at" 15781 18924 19346 14878
"200017_at" 16033 13240 8979 8739
"200018_at" 16019 13221 9446 15395
"200019_s_at" 20349 18617 8745 15614
"200020_at" 6099 18240 9557 19541
"200021_at" 13149 13395 9541 10816
"200022_at" 15903 13120 19694 8843
"200023_s_at" 11348 19027 10133 8010
"200024_at" 20441 19231 7516 15426
"200025_s_at" 16018 17851 19226 6546
"200026_at" 16197 13401 8284 8417
"200027_at" 13291 17686 8667 3074
"200028_s_at" 10647 9531 7437 17465
"200029_at" 15952 9412 9941 8266
"200030_s_at" 12381 7895 9883 18843
"200031_s_at" 16012 13210 10408 10758
"200032_s_at" 16036 13243 9729 14231
"200033_at" 11587 19431 10030 16006
"200034_s_at" 13251 18505 9877 20183
"200035_at" 20278 20781 21026 19102
"200036_s_at" 11157 8599 6830 4293
"200037_s_at" 11907 9787 6138 3651
"200038_s_at" 16163 13367 10125 8120
"200039_s_at" 7939 17682 6568 16159
"200040_at" 11933 10187 7656 9236
"200041_s_at" 11973 6960 4354 19562
"200042_at" 7974 10491 10479 16534
"200043_at" 6409 8121 20575 20295
"200044_at" 6272 19169 7654 15704
"200045_at" 10721 5084 2927 16173
"200046_at" 7720 20741 7159 14498
"200047_s_at" 11717 18761 6572 5544
"200048_s_at" 11167 18027 10238 8606
"200049_at" 6064 3681 20616 18352
"200050_at" 6026 21575 4697 7569
"200051_at" 5167 8257 6034 6315
"200052_s_at" 3859 6082 6162 16198
"200053_at" 3466 20534 1402 19484
"200054_at" 4338 9906 4009 8491
"200055_at" 11800 4050 2395 6503
"200056_s_at" 4502 8873 3641 3197
"200057_s_at" 20400 8637 8436 16027
"200058_s_at" 7025 4170 7893 14986
"200059_s_at" 9844 9236 9865 17853
"200060_s_at" 8560 10529 7778 14310
"200061_s_at" 16009 13208 20721 10756
"200062_s_at" 15852 13081 20309 10704
"200063_s_at" 16078 13286 10495 10780
"200064_at" 6867 19123 9953 20187
"200065_s_at" 9646 9972 5138 16702
"200066_at" 8956 19878 2154 21524
"200067_x_at" 12185 5440 7417 3941
"200068_s_at" 12307 19055 6846 8080
"200069_at" 7729 3333 8235 3071
"200070_at" 5650 9050 3973 16503
"200071_at" 2587 9217 3723 7753
"200072_s_at" 4523 9908 5252 18476
"200073_s_at" 7430 18097 4594 6384
"200074_s_at" 11937 19150 9954 8515
"200075_s_at" 6766 5795 8123 8929
"200076_s_at" 7505 3385 2088 18252
"200077_s_at" 12497 19513 19875 9247
"200078_s_at" 7419 9141 3851 8703
"200079_s_at" 8926 10429 7007 6690
"200080_s_at" 13491 20190 21378 14818
"200081_s_at" 11356 19489 9129 21301
"200082_s_at" 16061 18335 8751 17334
"200083_at" 10749 19454 7735 15499
"200084_at" 8638 6028 19770 16244
"200085_s_at" 9513 17577 9599 7416
"200086_s_at" 11447 17300 9613 4445
"200087_s_at" 5821 19479 9234 15687
"200088_x_at" 15867 13091 20154 8875
"200089_s_at" 20355 8680 8974 6789
"200090_at" 12952 5253 1225 2246
"200091_s_at" 12173 19297 8665 15204
"200092_s_at" 16091 19140 20034 5597
"200093_s_at" 3435 10138 8191 8301
"200094_s_at" 13069 8105 8952 14371
"200095_x_at" 16171 13378 20259 10812
"200096_s_at" 7963 9477 2364 17836
"200097_s_at" 10547 20833 9562 14247
"200098_s_at" 9603 6455 5472 6563
"200099_s_at" 16096 13300 19999 15632
"200593_s_at" 5735 10461 6081 8036
"200594_x_at" 9416 19356 8044 15601
"200595_s_at" 5557 19003 6532 14453
"200596_s_at" 10171 6931 6180 21025
"200597_at" 7352 7305 2625 16043
"200598_s_at" 4628 6948 6325 7375
"200599_s_at" 5039 17798 2319 17972
"200600_at" 7507 11860 12762 19374
"200601_at" 6031 18124 8747 2484
"200602_at" 9308 21661 7826 1190
"200603_at" 8374 17184 8397 7376
"200604_s_at" 150 19293 20882 21205
"200605_s_at" 5846 4492 7392 14881
"200606_at" 21400 6127 8548 2115
"200607_s_at" 3235 17679 4624 14686
"200608_s_at" 5683 9991 6581 5244
"200609_s_at" 8514 19239 20730 18241
"200610_s_at" 7323 8174 9699 16892
"200611_s_at" 3051 5882 5212 14570
"200612_s_at" 2963 2609 21731 2656
"200613_at" 13121 19930 20482 19363
"200614_at" 10891 19633 19524 16728
"200615_s_at" 3958 3209 5343 18293
"200616_s_at" 12506 7138 8639 8634
"200617_at" 7670 8235 8970 19351
"200618_at" 8940 6442 5835 16307
"200619_at" 10229 7502 2301 19450
"200620_at" 10140 9804 5662 19425
"200621_at" 8777 6272 8890 6819
"200622_x_at" 6441 9782 5085 8567
"200623_s_at" 20549 5772 8153 19807
"200624_s_at" 2577 18857 6528 19172
"200625_s_at" 12460 20520 5206 17720
"200626_s_at" 9169 20820 10365 21350
"200627_at" 11495 18010 8082 19416
"200628_s_at" 2367 4684 8409 14835
"200629_at" 6626 2504 684 6712
"200630_x_at" 20493 19043 10014 15097
"200631_s_at" 11000 10365 7900 15907
"200632_s_at" 11847 17892 1531 16749
"200633_at" 20525 13206 10356 10753
"200634_at" 10896 18785 7743 21455
"200635_s_at" 18971 3208 10213 8378
"200636_s_at" 5515 10145 4456 2785
"200637_s_at" 14982 10701 1258 20783
"200638_s_at" 6105 18236 19286 19014
"200639_s_at" 12712 5051 3903 8986
"200640_at" 9583 18750 8655 19627
"200641_s_at" 1051 17944 10060 21005
"200642_at" 8867 5439 7882 16401
"200643_at" 12700 18524 7444 17643
"200644_at" 4782 3797 8532 18176
