"inst_2402" "inst_6012" "inst_7310" "inst_7433"
"1007_s_at" 1974 4277 1155 17868
"1053_at" 7183 5691 4423 4386
"117_at" 11537 11040 17952 15305
"121_at" 17447 21671 20265 18280
"1255_g_at" 12018 15243 13217 12179
"1294_at" 1218 6045 17595 16520
"1316_at" 21485 21408 21751 380
"1320_at" 10578 19880 11310 11772
"1405_i_at" 17761 6220 17485 14412
"1431_at" 120 3417 11239 16181
"1438_at" 15414 1009 10014 3206
"1487_at" 9190 6903 6803 19871
"1494_f_at" 3152 6656 15645 10332
"1598_g_at" 1725 19976 18361 21852
"160020_at" 4802 14224 22132 13776
"1729_at" 19514 18547 4903 7011
"1773_at" 19370 5831 4417 535
"177_at" 2846 12200 15149 15320
"179_at" 18782 9617 4646 19248
"1861_at" 719 5341 8186 4262
"200000_s_at" 2582 6718 3433 18740
"200001_at" 5810 8962 19975 7334
"200002_at" 17483 19347 5328 7322
"200003_s_at" 11902 18813 18328 18726
"200004_at" 6498 9101 6476 19814
"200005_at" 18391 7692 10194 8445
"200006_at" 7709 9163 7572 18071
"200007_at" 7307 5487 7049 7419
"200008_s_at" 3174 8584 3955 3488
"200009_at" 9090 10660 9853 17782
"200010_at" 8725 10253 6625 18103
"200011_s_at" 9200 7769 19253 8407
"200012_x_at" 18716 20178 19139 9052
"200013_at" 6907 9797 8947 7475
"200014_s_at" 7676 9486 5919 6084
"200015_s_at" 8355 6599 5277 5155
"200016_x_at" 8285 9922 8937 6465
"200017_at" 12049 9780 9417 9012
"200018_at" 11939 10725 9336 7384
"200019_s_at" 9048 9201 8362 5560
"200020_at" 6768 8048 4957 20693
"200021_at" 19026 13013 20885 6050
"200022_at" 8963 10889 18511 8947
"200023_s_at" 6898 9850 8392 17797
"200024_at" 6852 9880 18529 7232
"200025_s_at" 8351 10561 8320 18576
"200026_at" 12013 10311 18711 7143
"200027_at" 7104 9598 5364 18192
"200028_s_at" 18775 6643 9379 8968
"200029_at" 12021 19144 18945 18200
"200030_s_at" 9492 9599 9700 6687
"200031_s_at" 12044 12922 20245 18560
"200032_s_at" 11892 10423 10196 6453
"200033_at" 5528 7752 5051 19080
"200034_s_at" 8639 17766 18197 5369
"200035_at" 21364 21029 4753 19394
"200036_s_at" 8170 18743 9490 6693
"200037_s_at" 2954 9337 4782 6429
"200038_s_at" 11967 18169 9555 19810
"200039_s_at" 8018 9886 9881 19259
"200040_at" 8348 5395 9286 7991
"200041_s_at" 8362 9994 10143 18980
"200042_at" 3942 7766 8419 5048
"200043_at" 4185 10208 7787 3596
"200044_at" 3826 8411 4607 17814
