"inst_1620" "inst_3235" "inst_4636" "inst_5697"
"1007_s_at" 463 10118 4178 13639
"1053_at" 1409 6813 2453 16490
"117_at" 8585 15877 1 12793
"121_at" 3650 3516 20165 3285
"1255_g_at" 12081 15148 15699 12062
"1294_at" 2618 198 20414 3121
"1316_at" 8240 4918 5458 22095
"1320_at" 13233 16308 2679 12069
"1405_i_at" 16113 14929 22082 4989
"1431_at" 14542 793 955 879
"1438_at" 13520 20863 447 21572
"1487_at" 3253 7662 1074 18286
"1494_f_at" 18305 19539 9388 9412
"1598_g_at" 4195 8423 18997 2476
"160020_at" 21141 192 21055 20704
"1729_at" 21426 19432 3482 15233
"1773_at" 11469 20695 216 3839
"177_at" 2410 12580 18887 15540
"179_at" 319 17985 7819 2752
"1861_at" 12738 3903 10069 5574
"200000_s_at" 21004 20171 9159 16530
"200001_at" 19878 7269 4380 8117
"200002_at" 4435 17596 8831 7580
"200003_s_at" 2639 13088 17676 15120
"200004_at" 17873 10700 8603 5913
"200005_at" 18670 7143 9323 7519
"200006_at" 19396 8746 8344 15616
"200007_at" 3388 8362 19527 17503
"200008_s_at" 21571 6351 2302 16542
"200009_at" 17226 10067 6942 7212
"200010_at" 4103 10341 4764 7728
"200011_s_at" 19747 19699 10781 15559
"200012_x_at" 16755 19416 19507 7347
"200013_at" 1872 17637 9378 16138
"200014_s_at" 3567 8148 10205 6809
"200015_s_at" 2969 7228 7603 14344
"200016_x_at" 16960 8642 19642 14911
"200017_at" 4794 13173 18612 16905
"200018_at" 4432 18048 10744 6966
"200019_s_at" 1122 18516 11585 7892
"200020_at" 20523 8249 7789 6827
"200021_at" 20898 13256 18442 9730
"200022_at" 1950 18927 8075 7875
"200023_s_at" 4108 7454 11316 14324
"200024_at" 20693 11217 9258 7646
"200025_s_at" 16097 17741 18937 15066
"200026_at" 19291 13257 10943 9731
"200027_at" 2249 7884 18091 8107
"200028_s_at" 3955 6176 19044 5923
"200029_at" 17060 17880 18377 17459
"200030_s_at" 16977 10453 17464 14191
"200031_s_at" 4666 13159 13240 15014
"200032_s_at" 19073 13175 9151 9688
"200033_at" 1663 8888 10045 7464
"200034_s_at" 17020 8319 6483 4956
"200035_at" 21033 19196 6150 4353
"200036_s_at" 3801 9633 17747 16332
"200037_s_at" 16214 7745 10641 7822
"200038_s_at" 16286 17715 7963 7710
"200039_s_at" 19063 11096 6727 14975
"200040_at" 15754 10856 9047 6886
"200041_s_at" 19788 8225 3239 8009
"200042_at" 20021 6419 6067 5291
"200043_at" 17594 9052 20208 16885
"200044_at" 19006 10333 17849 14989
"200045_at" 3297 10639 6368 7132
"200046_at" 21665 17736 7070 6052
"200047_s_at" 3538 6259 18267 14226
"200048_s_at" 16542 7982 9405 13782
"200049_at" 19678 20755 6456 20995
"200050_at" 4164 17685 8986 19486
"200051_at" 4453 7870 4691 19686
"200052_s_at" 17887 10749 3094 18427
"200053_at" 19660 19571 2856 15508
"200054_at" 15864 9702 4297 6083
"200055_at" 19233 19067 9403 15040
"200056_s_at" 15866 5173 19326 6531
"200057_s_at" 17589 10191 18737 14135
"200058_s_at" 18060 10444 4778 14879
"200059_s_at" 3861 6996 10899 15418
"200060_s_at" 2634 17410 3205 14349
"200061_s_at" 18452 13157 13239 9680
"200062_s_at" 16031 13077 13177 9638
"200063_s_at" 19651 13207 13276 9700
"200064_at" 2385 10906 6149 16139
"200065_s_at" 18244 18298 8752 14186
"200066_at" 18471 10517 4842 18896
"200067_x_at" 2774 10235 10959 7761
"200068_s_at" 20985 10709 18264 5208
"200069_at" 20536 7095 18778 15981
"200070_at" 2992 7130 8439 3982
"200071_at" 16501 3022 11481 14633
"200072_s_at" 16850 8545 8785 7165
"200073_s_at" 2090 6978 18862 16972
"200074_s_at" 18029 10987 6667 7751
"200075_s_at" 4360 8511 5918 4549
"200076_s_at" 1819 18115 8952 14668
"200077_s_at" 17642 10723 18052 7645
"200078_s_at" 2089 6678 6845 14086
"200079_s_at" 20962 8396 6886 13668
"200080_s_at" 20019 9717 17521 17869
"200081_s_at" 15747 17959 7641 14564
"200082_s_at" 15726 10298 8894 13864
"200083_at" 20497 11117 10990 14550
"200084_at" 2182 5859 9620 6820
"200085_s_at" 2053 18428 7994 16501
"200086_s_at" 16517 6205 18193 16834
"200087_s_at" 18766 7373 4454 15076
"200088_x_at" 2821 13084 17457 14269
"200089_s_at" 2938 18180 6965 6347
"200090_at" 21510 7067 8593 19403
"200091_s_at" 17183 10684 9514 13755
"200092_s_at" 1851 10903 19609 7016
"200093_s_at" 2343 10272 19036 7565
"200094_s_at" 18821 19968 7360 15924
"200095_x_at" 2924 13252 18539 9724
"200096_s_at" 19854 8342 7683 4569
"200097_s_at" 1613 8209 8351 6655
"200098_s_at" 17633 6650 11003 16804
"200099_s_at" 18605 13213 9355 9703
"200593_s_at" 2428 6564 2587 17279
"200594_x_at" 17984 18482 19004 14148
"200595_s_at" 20899 9609 17461 15636
"200596_s_at" 4166 19938 5904 20455
"200597_at" 379 9303 8146 3618
"200598_s_at" 17425 6865 11220 7170
"200599_s_at" 22167 7609 8001 5578
"200600_at" 16887 72 6011 9843
"200601_at" 16010 19824 11404 7435
"200602_at" 17511 1446 7324 2777
"200603_at" 2860 8593 10659 17287
"200604_s_at" 16390 4367 4458 17981
"200605_s_at" 20822 3616 9346 4628
"200606_at" 11795 10203 6178 18673
"200607_s_at" 16108 4105 10180 21060
"200608_s_at" 19442 8678 8792 14082
"200609_s_at" 20238 8996 3583 15779
"200610_s_at" 17143 9936 17642 17009
"200611_s_at" 4621 4702 5694 17632
"200612_s_at" 1486 7001 1216 20462
"200613_at" 15850 10658 4749 16672
"200614_at" 3361 17970 19029 15151
"200615_s_at" 21072 7762 6669 17281
"200616_s_at" 18792 5895 7980 17251
"200617_at" 18444 9227 10826 15940
"200618_at" 20045 18585 8135 18764
"200619_at" 17397 4799 8479 20096
"200620_at" 2026 8138 10497 6131
"200621_at" 4497 8831 4513 17090
"200622_x_at" 2217 8548 2425 18847
"200623_s_at" 4802 6790 8880 5043
"200624_s_at" 19289 9852 18278 19735
"200625_s_at" 19229 7185 18434 8057
"200626_s_at" 17432 8211 18380 4249
"200627_at" 19681 5824 8644 16195
"200628_s_at" 20796 7434 2754 19460
"200629_at" 21826 18502 2353 14987
"200630_x_at" 21007 10697 18733 5765
"200631_s_at" 2222 19021 18954 6427
"200632_s_at" 18223 21395 8830 18801
"200633_at" 2878 13156 13238 6867
"200634_at" 3242 9048 6286 16061
"200635_s_at" 15570 18208 4656 18287
"200636_s_at" 14958 18255 9424 19393
"200637_s_at" 8414 1867 466 16686
"200638_s_at" 20304 10619 8630 15280
"200639_s_at" 20733 18245 9573 17644
"200640_at" 19935 10907 9054 14375
"200641_s_at" 16417 7063 6033 15179
"200642_at" 3917 9630 10320 16165
"200643_at" 21953 8561 1654 17811
"200644_at" 16780 10128 11365 14171
"200645_at" 20511 7487 10001 14646
"200646_s_at" 10925 3784 7417 4069
"200647_x_at" 15954 19712 18648 16120
"200648_s_at" 2400 6188 7488 20180
"200649_at" 20240 20233 7700 5311
"200650_s_at" 4495 18325 13157 14997
"200651_at" 16696 11191 5119 15017
"200652_at" 4330 8337 10242 17953
"200653_s_at" 19589 17867 3574 14187
"200654_at" 3593 10771 9242 21210
"200655_s_at" 21259 10556 18755 6636
"200656_s_at" 18547 17821 1506 7883
"200657_at" 16759 10884 18026 13929
"200658_s_at" 18220 5355 5175 16158
"200659_s_at" 705 10820 2597 19198
"200660_at" 21013 18378 4223 15752
