"inst_1541" "inst_1958" "inst_2042" "inst_5360" "inst_6761"
"1007_s_at" 5545 2075 1532 15609 4740
"1053_at" 9534 21543 7933 3041 19750
"117_at" 10516 7376 1800 8417 407
"121_at" 21761 18366 3692 2079 1592
"1255_g_at" 10585 7779 18925 10045 13228
"1294_at" 1122 17523 8327 9831 14976
"1316_at" 20858 12604 1557 13636 8808
"1320_at" 15089 14283 20055 4950 19728
"1405_i_at" 10625 6284 20670 5746 12657
"1431_at" 144 10786 16915 8380 17024
"1438_at" 9845 13693 17503 18573 15795
"1487_at" 17810 17984 9584 15514 5980
"1494_f_at" 21259 21759 2248 135 519
"1598_g_at" 6749 689 8772 19028 8003
"160020_at" 21391 18861 1547 14855 19394
"1729_at" 20507 16578 6295 19932 4265
"1773_at" 21331 18577 11118 13421 21868
"177_at" 16840 15792 852 9031 20386
"179_at" 22171 17739 10455 21258 7353
"1861_at" 21488 17977 2423 674 14110
"200000_s_at" 4821 2967 21795 18737 19209
"200001_at" 19222 851 21682 14716 18103
"200002_at" 17959 5269 13299 17874 15738
"200003_s_at" 19412 4539 14271 12913 10340
"200004_at" 9163 20219 12176 15918 8641
"200005_at" 5139 1633 13529 17550 16808
"200006_at" 8809 16310 13490 18158 7592
"200007_at" 9080 20017 13545 16660 5228
"200008_s_at" 8499 16742 12197 20052 21966
"200009_at" 18538 17397 20661 14096 17482
"200010_at" 18301 858 14547 19952 20813
"200011_s_at" 17617 3858 21281 18481 8054
"200012_x_at" 9385 3561 20917 2387 6752
"200013_at" 8691 3779 13380 13603 14277
"200014_s_at" 7617 18561 9396 18919 4032
"200015_s_at" 6076 2370 12139 19682 8544
"200016_x_at" 9289 20570 10611 13560 6938
"200017_at" 17834 18888 10965 14047 8356
"200018_at" 9250 19768 13533 16926 14151
"200019_s_at" 8676 3811 21199 15769 15742
"200020_at" 5274 2821 20829 17976 15070
"200021_at" 12632 18941 21899 2344 10445
"200022_at" 19083 3323 21289 13040 15786
"200023_s_at" 9980 3639 12074 20038 4157
"200024_at" 7418 1475 20613 14360 14286
"200025_s_at" 8595 3722 12803 14317 4520
"200026_at" 19143 5501 9627 1667 6037
"200027_at" 4684 19297 10133 19781 2629
"200028_s_at" 3671 19685 20977 18579 6881
"200029_at" 5837 1573 20755 13806 15045
"200030_s_at" 8578 16436 20942 15028 17205
"200031_s_at" 12624 5594 21213 12419 10386
"200032_s_at" 9908 4313 13699 2769 8059
"200033_at" 6745 21993 7693 16602 7513
"200034_s_at" 17903 5293 11984 14146 20033
"200035_at" 2118 2507 7747 12335 17268
"200036_s_at" 9990 5001 13873 18869 5800
"200037_s_at" 8576 21085 6465 16363 3929
"200038_s_at" 18030 18510 12702 13449 15497
"200039_s_at" 18940 3017 13341 17742 16653
"200040_at" 7943 21614 21745 19510 7810
"200041_s_at" 7641 4081 13483 19331 20919
"200042_at" 7934 1072 20903 17629 17003
"200043_at" 6241 18886 12408 22064 15094
"200044_at" 4916 5829 13129 20507 15970
"200045_at" 18770 4992 21505 16457 8762
"200046_at" 3000 4790 21749 18405 8005
"200047_s_at" 19726 22162 4958 16718 2025
"200048_s_at" 8526 20601 14093 18853 6060
"200049_at" 5191 4811 5952 14363 8011
"200050_at" 8396 22233 5443 20798 4762
"200051_at" 9415 5274 20623 2806 6934
"200052_s_at" 7371 3130 13626 18114 19344
"200053_at" 559 2544 7743 13418 20965
"200054_at" 9128 3391 11223 19315 6370
"200055_at" 18474 2071 21882 13541 8363
"200056_s_at" 6431 21637 5707 20011 2138
"200057_s_at" 7023 19615 12305 15165 7025
"200058_s_at" 7095 3691 12270 15012 15915
"200059_s_at" 6676 19158 11853 19770 8627
"200060_s_at" 5723 20035 8892 17744 15755
"200061_s_at" 18759 4828 13594 1587 10385
"200062_s_at" 12576 5471 20611 2506 10333
"200063_s_at" 18072 21939 9631 1630 10409
"200064_at" 8806 4633 21645 14974 20177
"200065_s_at" 6381 21337 13189 17495 17362
"200066_at" 7569 5047 9647 14689 20695
"200067_x_at" 17350 16760 12755 17732 2856
"200068_s_at" 7119 17852 13063 13150 5914
"200069_at" 4804 16351 13686 14990 2451
"200070_at" 1306 19605 704 3105 18359
"200071_at" 3814 21403 5143 20442 3931
"200072_s_at" 7813 5378 21067 15824 20118
"200073_s_at" 18198 22153 6316 16955 3923
"200074_s_at" 19861 1390 11847 15520 14829
"200075_s_at" 6970 4298 14207 17897 7683
"200076_s_at" 6563 1030 11655 15018 17547
"200077_s_at" 8716 19574 12852 14181 5984
"200078_s_at" 8972 16535 21164 18742 8688
"200079_s_at" 9115 3599 14732 21105 14909
"200080_s_at" 9824 21858 3300 16564 7721
"200081_s_at" 9723 4238 20598 14426 21253
"200082_s_at" 18479 3913 20584 13084 18808
"200083_at" 18633 16308 8265 14237 6682
"200084_at" 7009 21235 9141 21231 8593
"200085_s_at" 17759 3277 21531 18128 6937
"200086_s_at" 17592 5208 10244 14792 3158
"200087_s_at" 6643 20711 12127 13791 7968
"200088_x_at" 17475 5004 21120 2622 8478
"200089_s_at" 18347 20130 8608 12287 7293
"200090_at" 1822 21679 10913 19473 2270
"200091_s_at" 18670 22029 4076 14786 15894
"200092_s_at" 19354 18787 13669 636 5567
"200093_s_at" 9922 17973 10329 18291 6996
"200094_s_at" 8468 3954 12351 14685 15430
"200095_x_at" 12563 2080 20735 2679 10440
"200096_s_at" 19933 20199 13004 13842 14072
"200097_s_at" 17962 21311 7798 13122 5961
"200098_s_at" 5983 2776 21450 19322 4791
"200099_s_at" 18236 19250 12722 2423 15583
"200593_s_at" 9338 17588 11948 15222 17411
"200594_x_at" 5868 17071 10534 2982 14047
"200595_s_at" 9466 20912 10872 16001 14032
"200596_s_at" 3693 16306 21871 17470 19764
"200597_at" 18541 2580 8366 1209 17646
"200598_s_at" 5924 20643 12788 18562 14293
"200599_s_at" 3958 20378 10375 13974 18630
"200600_at" 12164 20436 12497 8117 19694
"200601_at" 19165 21181 11615 22210 3093
"200602_at" 4233 22214 6285 12705 4845
"200603_at" 3903 22211 5030 17082 6849
"200604_s_at" 19164 4729 5302 20122 21503
"200605_s_at" 5630 19331 12834 19171 15615
"200606_at" 7290 18405 12234 16089 3946
"200607_s_at" 8172 19942 4909 2928 16925
"200608_s_at" 7488 21728 1577 13813 6123
"200609_s_at" 6337 334 20605 18449 6515
"200610_s_at" 3607 20761 12492 14063 16194
"200611_s_at" 5532 2425 21586 16351 15086
"200612_s_at" 8652 169 10362 16683 21784
"200613_at" 5946 1176 13733 18109 16906
"200614_at" 9239 5496 21005 14204 16214
"200615_s_at" 19646 3601 13324 20908 19650
"200616_s_at" 8670 2430 20951 19969 8084
"200617_at" 6486 16622 6561 18378 20096
"200618_at" 6454 19934 7482 13072 7333
"200619_at" 2476 452 13231 18269 15291
"200620_at" 9994 3105 14501 18022 15414
"200621_at" 5146 4406 5511 18066 14344
"200622_x_at" 7744 19328 7228 16929 8189
"200623_s_at" 18602 1175 22112 1245 6494
"200624_s_at" 7480 16738 9024 21342 21439
"200625_s_at" 6601 2448 13639 19896 15392
"200626_s_at" 3720 20813 11394 18883 14030
"200627_at" 8367 18768 13782 13426 18825
"200628_s_at" 8485 3859 7915 20652 17629
"200629_at" 19311 76 8623 16409 16231
"200630_x_at" 7633 18339 20910 2232 7151
"200631_s_at" 7367 17084 20843 16256 5811
"200632_s_at" 19473 4902 14585 17036 14510
"200633_at" 9507 17163 21335 14741 10383
"200634_at" 5669 5361 14717 15069 20983
"200635_s_at" 7244 18514 2242 16006 3561
"200636_s_at" 4753 20042 18163 12566 2338
"200637_s_at" 9136 3261 18806 12687 15429
"200638_s_at" 8780 20812 9117 14030 19004
"200639_s_at" 18462 18001 7191 18379 17793
"200640_at" 9130 4308 10896 14975 17859
"200641_s_at" 18495 18732 10819 17885 21172
"200642_at" 7559 2963 13555 17195 16013
"200643_at" 4968 998 11651 15139 21368
"200644_at" 6325 20168 6299 15668 17270
"200645_at" 7783 16374 12140 20268 16455
"200646_s_at" 3089 9099 5939 18779 21914
"200647_x_at" 7155 2519 21246 21917 8415
"200648_s_at" 3243 8950 12426 20505 21488
"200649_at" 1809 3411 9847 3032 21415
"200650_s_at" 8714 4573 14484 15693 10312
"200651_at" 17524 3809 20652 13940 16639
"200652_at" 9662 5508 14035 18532 19412
"200653_s_at" 9916 22194 9557 13931 18830
"200654_at" 7719 3174 21114 22083 18865
"200655_s_at" 18754 3873 21288 15084 6200
"200656_s_at" 20574 17043 6848 14320 20449
"200657_at" 9467 3592 13675 12711 8780
"200658_s_at" 18890 4316 22146 19638 19668
"200659_s_at" 4000 4998 2961 16589 20115
"200660_at" 18561 4465 21271 14838 20220
"200661_at" 6205 17282 20586 20161 17891
"200662_s_at" 18157 18936 10311 21529 7922
"200663_at" 17975 17056 14146 15276 8471
"200664_s_at" 20409 17781 22073 16174 16130
"200665_s_at" 17092 11868 15379 6416 10081
"200666_s_at" 6818 4922 20831 13181 8816
"200667_at" 17832 16682 13593 19893 4617
"200668_s_at" 6140 18911 12031 18404 15257
"200669_s_at" 8153 19643 8930 12993 16202
"200670_at" 19737 20391 8249 16559 15013
"200671_s_at" 4657 6077 3814 3269 16505
"200672_x_at" 4388 17150 20255 274 19322
"200673_at" 8939 21043 11672 16882 7584
"200674_s_at" 8730 5118 21286 2674 14411
"200675_at" 5230 16167 14438 16136 16456
"200676_s_at" 3416 4891 6327 21132 20931
"200677_at" 4318 3353 11898 17173 7833
"200678_x_at" 18214 2915 10239 13966 15182
