"inst_3106" "inst_5505" "inst_6485"
"1007_s_at" 19922 15161 12505
"1053_at" 19138 19162 19244
"117_at" 11987 9405 9282
"121_at" 14387 4094 16694
"1255_g_at" 6750 4443 8989
"1294_at" 15638 144 14241
"1316_at" 1126 15926 3311
"1320_at" 6914 7844 8998
"1405_i_at" 13550 4356 8796
"1431_at" 13997 2761 19482
"1438_at" 10010 6579 10826
"1487_at" 17455 14170 11095
"1494_f_at" 16070 15477 2942
"1598_g_at" 13651 16279 980
"160020_at" 11044 14482 3824
"1729_at" 22223 11884 13021
"1773_at" 1287 1742 21126
"177_at" 10980 1370 16474
"179_at" 13246 475 1283
"1861_at" 10793 13879 13673
"200000_s_at" 17179 12312 17380
"200001_at" 12901 15280 12086
"200002_at" 1783 13589 11591
"200003_s_at" 5352 13455 4256
"200004_at" 18056 16989 15156
"200005_at" 11585 13993 12106
"200006_at" 10824 12532 3288
"200007_at" 2452 2738 12396
"200008_s_at" 12572 13084 18501
"200009_at" 12267 13408 3259
"200010_at" 3249 16273 10918
"200011_s_at" 19931 16631 3923
"200012_x_at" 2217 2023 2955
"200013_at" 10348 14005 12624
"200014_s_at" 13155 14208 10934
"200015_s_at" 16644 16189 14634
"200016_x_at" 11492 11936 11082
"200017_at" 5501 12567 4277
"200018_at" 5488 13734 11047
"200019_s_at" 2824 13334 3771
"200020_at" 19900 15399 21117
"200021_at" 2890 5994 6472
"200022_at" 2529 14913 4054
"200023_s_at" 2659 12395 3603
"200024_at" 2955 15125 3751
"200025_s_at" 3080 3201 10942
"200026_at" 5644 4025 4336
"200027_at" 11425 13177 11371
"200028_s_at" 14834 13742 13789
"200029_at" 2538 3664 3408
"200030_s_at" 11021 3910 3623
"200031_s_at" 5477 12054 4046
"200032_s_at" 5505 3338 3349
"200033_at" 13118 14053 16284
"200034_s_at" 10598 18892 11861
"200035_at" 11943 20582 12460
"200036_s_at" 2308 3889 11575
"200037_s_at" 12367 12738 12010
"200038_s_at" 5615 11356 10899
"200039_s_at" 3377 11824 12443
"200040_at" 16672 15111 14010
"200041_s_at" 10752 15584 3720
"200042_at" 15982 12270 12812
"200043_at" 1835 3469 14831
"200044_at" 12373 14082 13690
"200045_at" 15211 17853 14224
"200046_at" 1780 12750 11883
"200047_s_at" 13688 14286 14808
"200048_s_at" 12161 3804 11008
"200049_at" 13677 15200 3073
"200050_at" 13913 12161 14444
"200051_at" 18117 19290 12488
"200052_s_at" 11464 14514 17369
"200053_at" 12709 3466 18291
"200054_at" 18195 13565 15960
"200055_at" 11751 11721 11200
"200056_s_at" 14453 20120 17029
"200057_s_at" 10593 12436 3788
"200058_s_at" 3349 18536 16229
"200059_s_at" 1749 14115 13091
"200060_s_at" 11268 14096 13962
"200061_s_at" 5475 11617 11169
"200062_s_at" 5332 4101 6286
"200063_s_at" 5542 3957 4022
"200064_at" 13019 11591 4220
"200065_s_at" 1368 15126 13591
"200066_at" 14778 15623 14114
"200067_x_at" 12471 13857 13512
"200068_s_at" 1959 11684 3242
"200069_at" 16224 14186 20462
"200070_at" 17169 16024 17595
"200071_at" 16171 16926 19516
"200072_s_at" 16551 16228 15767
"200073_s_at" 21387 17026 19631
"200074_s_at" 2962 13724 12467
"200075_s_at" 12817 18852 12721
"200076_s_at" 10624 12518 11228
"200077_s_at" 2498 3991 11247
"200078_s_at" 15333 11516 11471
"200079_s_at" 13777 13294 12544
"200080_s_at" 10322 12021 3663
"200081_s_at" 2559 12863 11163
"200082_s_at" 3403 12765 4280
"200083_at" 10343 12957 13163
"200084_at" 3198 13480 13941
"200085_s_at" 2500 12201 3843
"200086_s_at" 12332 15968 11252
"200087_s_at" 1298 16349 11567
"200088_x_at" 5345 3662 3784
"200089_s_at" 2363 12235 11637
"200090_at" 16601 11518 4109
"200091_s_at" 10776 16831 12474
"200092_s_at" 3106 2092 3000
"200093_s_at" 11100 12534 14317
"200094_s_at" 2967 19270 12825
"200095_x_at" 5621 3793 6462
"200096_s_at" 2437 18992 14186
"200097_s_at" 11407 14629 11429
"200098_s_at" 16622 14686 15602
"200099_s_at" 5559 12101 6424
"200593_s_at" 14555 14002 18284
"200594_x_at" 2988 13039 12388
"200595_s_at" 11556 16841 11912
"200596_s_at" 12627 14388 12802
"200597_at" 15572 20709 19193
"200598_s_at" 10599 15222 13406
"200599_s_at" 12120 12477 2337
"200600_at" 2496 6405 2140
"200601_at" 2398 14418 13721
"200602_at" 16715 2709 12820
"200603_at" 2221 16778 12792
"200604_s_at" 12956 14513 13565
"200605_s_at" 10683 16547 13808
"200606_at" 7638 3922 3745
"200607_s_at" 15048 18796 17666
"200608_s_at" 10347 18477 16859
"200609_s_at" 17156 2835 4229
"200610_s_at" 3047 11621 18013
"200611_s_at" 15886 13229 12522
"200612_s_at" 12350 21868 1797
"200613_at" 15210 12907 11868
"200614_at" 12973 12386 13464
"200615_s_at" 16786 20874 3763
"200616_s_at" 2563 3655 11730
"200617_at" 1426 17543 11067
"200618_at" 12291 19267 16404
"200619_at" 16818 16613 14778
"200620_at" 15765 15556 11961
"200621_at" 14244 11987 14369
"200622_x_at" 13327 14642 13609
"200623_s_at" 19457 20156 4082
"200624_s_at" 12362 17082 15372
"200625_s_at" 2641 13018 12441
"200626_s_at" 16923 19457 12962
"200627_at" 10820 12911 12855
"200628_s_at" 13676 16774 20057
"200629_at" 13508 12715 14112
"200630_x_at" 10531 3075 2996
"200631_s_at" 12550 11068 15128
"200632_s_at" 3155 15416 22203
"200633_at" 11727 4091 6364
"200634_at" 11019 15835 11270
"200635_s_at" 8067 14406 19610
"200636_s_at" 8026 15566 12150
"200637_s_at" 5907 908 20507
"200638_s_at" 10727 12007 12130
"200639_s_at" 10862 20634 12985
"200640_at" 11777 15472 12684
"200641_s_at" 11859 13955 15956
"200642_at" 13088 14045 12540
"200643_at" 17988 17270 21346
"200644_at" 21756 17256 16325
"200645_at" 14372 12439 11449
"200646_s_at" 19709 13135 19791
"200647_x_at" 12600 3563 17556
"200648_s_at" 21403 21935 21091
"200649_at" 1788 17929 18454
"200650_s_at" 10611 12297 12717
"200651_at" 5602 12857 11698
"200652_at" 2231 12899 15806
"200653_s_at" 19748 16278 13074
"200654_at" 2621 3669 3741
"200655_s_at" 18705 3476 10982
"200656_s_at" 3285 18981 15450
"200657_at" 11245 11051 12644
"200658_s_at" 13993 14204 10912
"200659_s_at" 12489 20050 12393
"200660_at" 13370 12898 14142
"200661_at" 17977 12658 12857
"200662_s_at" 13656 3896 11704
"200663_at" 2261 15628 4084
"200664_s_at" 14705 20850 20845
"200665_s_at" 8763 9764 9394
"200666_s_at" 16434 18901 18329
"200667_at" 12404 18032 13866
"200668_s_at" 11414 15027 10949
"200669_s_at" 10512 18729 11893
"200670_at" 730 2414 2986
"200671_s_at" 20140 77 12464
"200672_x_at" 21626 21759 19911
"200673_at" 13988 12349 12869
"200674_s_at" 11614 2281 3134
"200675_at" 13837 16719 13857
"200676_s_at" 613 17553 877
"200677_at" 14044 12869 12113
"200678_x_at" 15478 19592 14238
"200679_x_at" 13106 15045 15124
"200680_x_at" 3121 3435 3086
"200681_at" 13236 12564 11991
"200682_s_at" 12477 16002 17355
"200683_s_at" 2855 12895 11926
"200684_s_at" 1823 16318 15310
"200685_at" 17690 11799 16798
"200686_s_at" 12950 19690 17574
"200687_s_at" 21411 11850 16457
"200688_at" 93 12191 1502
"200689_x_at" 2771 11199 2440
"200690_at" 19237 14693 15097
"200691_s_at" 3347 16309 11545
"200692_s_at" 12543 14425 16958
"200693_at" 14092 14430 11758
"200694_s_at" 12176 17403 13707
"200695_at" 16929 14604 13593
