"inst_3800" "inst_3882" "inst_4358" "inst_4536"
"1007_s_at" 12707 7606 16426 5150
"1053_at" 15981 5008 18314 10484
"117_at" 17 11443 7114 14519
"121_at" 3372 4988 9607 6643
"1255_g_at" 8653 11588 6175 15710
"1294_at" 19024 1502 612 20808
"1316_at" 3983 20837 13487 21439
"1320_at" 6481 21270 415 14510
"1405_i_at" 9860 11018 7139 2814
"1431_at" 1012 11765 17946 2159
"1438_at" 13502 5804 10734 10833
"1487_at" 14228 17441 19988 6952
"1494_f_at" 18049 20933 17786 8614
"1598_g_at" 21513 10242 10377 4250
"160020_at" 2397 3399 21880 19782
"1729_at" 21394 10880 21308 5067
"1773_at" 17896 17755 2492 18789
"177_at" 8540 18154 15621 2499
"179_at" 2602 1757 11386 11095
"1861_at" 20551 17357 15196 5011
"200000_s_at" 16098 18348 15939 4821
"200001_at" 17158 7816 12128 8452
"200002_at" 13777 9805 11029 8269
"200003_s_at" 8079 12696 5351 13502
"200004_at" 5206 18344 16062 9221
"200005_at" 5441 9570 10452 6256
"200006_at" 13587 18270 9980 7524
"200007_at" 13893 6868 10522 8448
"200008_s_at" 12660 4593 12643 19796
"200009_at" 13037 10458 14202 8940
"200010_at" 6037 18222 10906 10669
"200011_s_at" 6499 17910 11297 4975
"200012_x_at" 6557 17956 5308 19567
"200013_at" 6478 18249 5266 18066
"200014_s_at" 15442 9767 12308 9551
"200015_s_at" 15873 10066 15501 7378
"200016_x_at" 8007 17762 5262 9998
"200017_at" 8176 12803 5483 13598
"200018_at" 8169 12789 5472 11066
"200019_s_at" 5878 17715 10474 11364
"200020_at" 5040 5155 18776 4112
"200021_at" 8280 12911 5619 13700
"200022_at" 13702 12711 5373 11363
"200023_s_at" 11659 16716 13447 7048
"200024_at" 5404 9354 3702 11341
"200025_s_at" 12317 17776 5470 9471
"200026_at" 8288 19841 5623 18097
"200027_at" 14174 10269 13488 3309
"200028_s_at" 12667 7810 13046 5259
"200029_at" 16988 16810 3779 18968
"200030_s_at" 5298 17192 9348 11187
"200031_s_at" 8158 12782 5463 13578
"200032_s_at" 8182 12806 5486 18701
"200033_at" 6521 8502 10630 8212
"200034_s_at" 5580 10507 9798 11156
"200035_at" 13089 10396 19312 2073
"200036_s_at" 13434 9482 12536 17907
"200037_s_at" 14137 17043 3796 10619
"200038_s_at" 14434 12893 5592 19239
"200039_s_at" 15329 18900 16356 4106
"200040_at" 16596 6687 17513 7519
"200041_s_at" 15137 19571 14152 9022
"200042_at" 12215 17675 13268 4919
"200043_at" 2940 19173 2652 7535
"200044_at" 12531 17592 11525 4914
"200045_at" 13756 6429 15679 3622
"200046_at" 6391 7752 11369 5687
"200047_s_at" 16338 6359 16143 6152
"200048_s_at" 14680 10814 11192 5676
"200049_at" 15817 9072 10212 3806
"200050_at" 4812 5491 11203 7971
"200051_at" 17095 9288 19457 4096
"200052_s_at" 14729 17386 15470 9501
"200053_at" 17107 20407 19928 10843
"200054_at" 13538 19812 18676 8200
"200055_at" 16375 17665 13544 9344
"200056_s_at" 17921 18048 14163 7641
"200057_s_at" 3859 10297 9693 9701
"200058_s_at" 14976 10558 14675 3969
"200059_s_at" 6661 7390 12289 9577
"200060_s_at" 16351 19552 15670 5423
"200061_s_at" 8157 12780 5461 13577
"200062_s_at" 8065 12682 5333 13488
"200063_s_at" 8212 12844 5523 18290
"200064_at" 5254 17440 11662 7135
"200065_s_at" 12305 16768 14024 9108
"200066_at" 14539 17374 16560 19271
"200067_x_at" 16307 5863 9865 8730
"200068_s_at" 6343 4349 12786 2801
"200069_at" 13629 16877 12115 4324
"200070_at" 17938 20037 2887 10673
"200071_at" 6606 6572 11296 4175
"200072_s_at" 13458 8141 16782 18192
"200073_s_at" 16501 5148 3184 5488
"200074_s_at" 11926 17414 11931 18311
"200075_s_at" 15338 17653 14223 7829
"200076_s_at" 14086 17654 17992 7830
"200077_s_at" 13329 16956 2973 11200
"200078_s_at" 13654 8068 15392 6782
"200079_s_at" 5406 6547 11629 9483
"200080_s_at" 8207 17242 3080 18284
"200081_s_at" 3724 6669 12105 9240
"200082_s_at" 8202 17408 5509 19513
"200083_at" 5146 3788 16409 3462
"200084_at" 6103 7772 15778 6204
"200085_s_at" 12320 17312 12372 6013
"200086_s_at" 15349 19082 10917 6270
"200087_s_at" 3823 8261 15559 6032
"200088_x_at" 8074 12691 5345 13499
"200089_s_at" 13437 10683 11256 18632
"200090_at" 12031 5298 13270 3514
"200091_s_at" 14371 8423 11000 10886
"200092_s_at" 5201 16782 5532 8087
"200093_s_at" 2488 18687 11135 10767
"200094_s_at" 6003 8955 12343 7494
"200095_x_at" 8269 12903 5605 13688
"200096_s_at" 3834 16839 10106 3010
"200097_s_at" 13701 19390 10817 4840
"200098_s_at" 12159 10831 15860 6067
"200099_s_at" 8222 12852 5535 19170
"200593_s_at" 12110 7431 14580 9509
"200594_x_at" 5038 7238 3473 9626
"200595_s_at" 5208 7697 15609 3744
"200596_s_at" 13074 17877 19081 9979
"200597_at" 17983 19183 15550 3146
"200598_s_at" 12802 8602 14125 4594
"200599_s_at" 12998 8264 15953 8995
"200600_at" 5395 16099 4140 3807
"200601_at" 21427 9164 13575 2147
"200602_at" 20485 9716 15578 5165
"200603_at" 15855 8823 10621 9796
"200604_s_at" 17720 4116 10761 8185
"200605_s_at" 5905 6051 17352 18955
"200606_at" 15302 7704 18063 4576
"200607_s_at" 3450 6090 12159 6527
"200608_s_at" 17654 9916 10468 10445
"200609_s_at" 20093 18683 15067 9767
"200610_s_at" 6353 6566 10386 4432
"200611_s_at" 17096 17392 14531 6748
"200612_s_at" 12976 21121 21442 20267
"200613_at" 14688 18232 14885 9370
"200614_at" 5751 4995 10167 9630
"200615_s_at" 17406 6389 17197 20207
"200616_s_at" 2643 8041 13016 11515
"200617_at" 15293 18353 17395 1339
"200618_at" 12412 17825 12971 2056
"200619_at" 3920 7845 17529 4189
"200620_at" 5983 5141 15595 9130
"200621_at" 14775 18935 14505 3552
"200622_x_at" 17953 17903 13474 7319
"200623_s_at" 11878 5272 16321 11126
"200624_s_at" 12070 3369 19854 6653
"200625_s_at" 5691 6995 16157 7489
"200626_s_at" 6604 4452 15732 2517
"200627_at" 5329 8431 9599 18595
"200628_s_at" 18490 18772 10339 18130
"200629_at" 19364 10819 10958 9167
"200630_x_at" 12467 19503 2427 8103
"200631_s_at" 14641 6388 14405 5927
"200632_s_at" 4461 5962 12145 4900
"200633_at" 8156 12779 5460 13576
"200634_at" 2749 16944 12032 5314
"200635_s_at" 15223 5813 11952 592
"200636_s_at" 13943 19464 19667 6549
"200637_s_at" 19427 19747 17767 4619
"200638_s_at" 4827 7853 13156 8790
"200639_s_at" 15046 20085 16193 19420
"200640_at" 4640 18170 11161 6409
"200641_s_at" 3006 6076 3047 19607
"200642_at" 13092 16906 9615 18625
"200643_at" 18949 20907 19704 20678
"200644_at" 16476 8262 11242 10136
"200645_at" 4453 9021 9783 7730
"200646_s_at" 20674 10306 2722 3274
"200647_x_at" 12780 8088 13677 6690
"200648_s_at" 18056 1898 16846 11189
"200649_at" 12578 20399 18222 9341
"200650_s_at" 8028 16712 5290 13456
"200651_at" 11711 12886 5585 10473
"200652_at" 17359 4005 3442 7398
"200653_s_at" 1789 20098 16971 7513
"200654_at" 12468 10069 14353 3741
"200655_s_at" 13937 7040 16878 19166
"200656_s_at" 15440 18150 13830 9703
"200657_at" 13198 8931 5358 11385
"200658_s_at" 13252 17513 13552 8681
"200659_s_at" 14386 18696 16072 5956
"200660_at" 14882 21092 11042 9931
"200661_at" 16999 8287 18720 10195
"200662_s_at" 12044 8230 13737 3183
"200663_at" 5562 17719 9621 18007
"200664_s_at" 14794 4773 10005 18295
"200665_s_at" 6686 13431 8952 22250
"200666_s_at" 18670 17843 9985 9313
"200667_at" 5824 9686 16050 18324
"200668_s_at" 5482 10886 11720 5026
"200669_s_at" 13484 4472 12160 11698
"200670_at" 13447 7742 3747 4138
"200671_s_at" 21033 890 22257 433
"200672_x_at" 19173 4698 19410 18808
"200673_at" 13813 8713 9881 6459
"200674_s_at" 8228 12857 5545 20056
"200675_at" 13068 5075 15028 2679
"200676_s_at" 4128 3517 13436 20243
"200677_at" 14061 17683 10827 5825
"200678_x_at" 17717 21708 15869 3165
"200679_x_at" 15069 19840 12211 10339
"200680_x_at" 8272 12905 5611 10949
"200681_at" 5886 9606 3735 9646
"200682_s_at" 11857 7875 13791 20818
"200683_s_at" 3995 5493 19740 4657
"200684_s_at" 20438 9396 9326 6625
"200685_at" 16634 6746 14855 8430
"200686_s_at" 15570 10265 9616 6604
"200687_s_at" 14407 17396 17312 6588
"200688_at" 5218 17733 15245 7400
"200689_x_at" 12907 17346 5602 18800
"200690_at" 17283 10876 16725 7448
"200691_s_at" 5842 10840 13417 11041
"200692_s_at" 4655 8318 17730 18146
