"inst_1558" "inst_3175" "inst_5817" "inst_7174"
"1007_s_at" 18710 19887 4368 5954
"1053_at" 20063 16236 2896 3494
"117_at" 17309 6552 12258 13395
"121_at" 4667 16993 3830 21630
"1255_g_at" 11174 6643 15130 8515
"1294_at" 19331 368 18066 12087
"1316_at" 17116 21630 20357 1086
"1320_at" 5668 5829 14192 13538
"1405_i_at" 21157 8337 1856 15448
"1431_at" 15088 3563 10311 8067
"1438_at" 13906 16387 11274 16228
"1487_at" 20441 13490 8152 1776
"1494_f_at" 4702 720 11986 11329
"1598_g_at" 17580 19042 18798 3278
"160020_at" 1419 21847 21226 8257
"1729_at" 3684 14134 19102 4444
"1773_at" 13457 13001 16773 19093
"177_at" 21374 6755 14346 8577
"179_at" 22099 15478 11460 22167
"1861_at" 11158 4773 19101 16424
"200000_s_at" 4129 17594 17647 1471
"200001_at" 19979 12118 20027 6476
"200002_at" 17613 4505 16969 5057
"200003_s_at" 5102 4514 9157 5051
"200004_at" 5396 13838 4875 16217
"200005_at" 4860 13849 8252 6238
"200006_at" 16373 4659 7225 5141
"200007_at" 18878 14327 8706 6457
"200008_s_at" 4845 14303 16740 3512
"200009_at" 5246 15409 8161 4395
"200010_at" 16918 10905 16979 5222
"200011_s_at" 17067 17359 16693 17167
"200012_x_at" 1528 4411 17751 6594
"200013_at" 19026 10488 17317 6814
"200014_s_at" 16366 10604 16671 4701
"200015_s_at" 2733 15690 16542 5012
"200016_x_at" 17085 11109 17022 6638
"200017_at" 17349 6306 17738 6431
"200018_at" 16179 4400 16864 15975
"200019_s_at" 18157 2306 19713 16754
"200020_at" 5484 14558 19501 5919
"200021_at" 1455 6341 19796 17038
"200022_at" 20437 10494 18056 6968
"200023_s_at" 17076 10792 16547 7328
"200024_at" 2459 10949 8368 6201
"200025_s_at" 4285 4294 17652 17480
"200026_at" 3778 4395 18348 7243
"200027_at" 20289 11866 5684 6533
"200028_s_at" 1774 16783 4740 18222
"200029_at" 5088 4162 9189 17338
"200030_s_at" 5308 10505 16716 6587
"200031_s_at" 18695 6301 8542 16886
"200032_s_at" 3683 6308 18617 6382
"200033_at" 16535 11208 7681 7212
"200034_s_at" 16441 11150 17602 6625
"200035_at" 18593 19348 21844 20318
"200036_s_at" 5307 12330 18512 16169
"200037_s_at" 18264 12342 6710 4568
"200038_s_at" 16238 10627 18538 16749
"200039_s_at" 2403 13353 9143 17523
"200040_at" 21749 13768 7855 6617
"200041_s_at" 3566 13133 4754 5656
"200042_at" 4546 11956 18186 4917
"200043_at" 19025 10620 7220 17173
"200044_at" 18705 13621 17175 6011
"200045_at" 2812 17416 5900 17632
"200046_at" 1220 11805 7213 4457
"200047_s_at" 19579 13458 8977 1564
"200048_s_at" 17253 4645 17107 7046
"200049_at" 615 19708 6466 17135
"200050_at" 19253 3486 9214 19013
"200051_at" 19261 18503 3675 18851
"200052_s_at" 18066 11642 5244 5578
"200053_at" 20534 2463 3029 3099
"200054_at" 19886 11558 21175 7004
"200055_at" 4157 15209 18679 19528
"200056_s_at" 20664 13283 18162 5409
"200057_s_at" 3719 11582 6971 6281
"200058_s_at" 18352 17043 5505 18887
"200059_s_at" 3217 11709 6539 6206
"200060_s_at" 16328 15914 4086 1813
"200061_s_at" 3523 6299 17401 6543
"200062_s_at" 17281 6264 17208 17283
"200063_s_at" 2975 6318 17094 2672
"200064_at" 17720 12216 4950 18900
"200065_s_at" 4687 16228 17422 17004
"200066_at" 16104 20648 18602 4231
"200067_x_at" 1375 12081 6991 4877
"200068_s_at" 1828 12998 17069 17254
"200069_at" 19481 17164 7762 18495
"200070_at" 22245 13173 7892 20902
"200071_at" 17725 11252 1033 4709
"200072_s_at" 17452 15779 6404 5278
"200073_s_at" 20630 15131 6574 5342
"200074_s_at" 4163 11111 8345 4715
"200075_s_at" 17368 13615 7104 17797
"200076_s_at" 3057 12736 17396 6226
"200077_s_at" 16073 11166 17887 5901
"200078_s_at" 17134 13981 8065 16159
"200079_s_at" 2228 10563 6925 5221
"200080_s_at" 20530 11177 17466 6521
"200081_s_at" 3522 11482 7607 4289
"200082_s_at" 2744 3788 17250 5417
"200083_at" 20391 14596 6872 4823
"200084_at" 18680 12626 6700 7300
"200085_s_at" 5384 10833 17924 16193
"200086_s_at" 18279 4913 8529 5183
"200087_s_at" 20670 12513 8157 5775
"200088_x_at" 4432 6267 8666 7141
"200089_s_at" 19208 4352 6943 5945
"200090_at" 4960 14112 18842 18486
"200091_s_at" 21791 11979 18152 18606
"200092_s_at" 19824 4592 8998 16367
"200093_s_at" 17728 10738 8671 18066
"200094_s_at" 20299 13538 8206 19487
"200095_x_at" 17344 6338 18781 17132
"200096_s_at" 5050 14865 4395 17918
"200097_s_at" 20988 12217 7576 4087
"200098_s_at" 16678 15237 7071 6987
"200099_s_at" 19145 6321 5493 6673
"200593_s_at" 1681 15778 7577 5687
"200594_x_at" 17815 12731 17079 5495
"200595_s_at" 17967 13577 5199 19416
"200596_s_at" 21370 18526 5039 16773
"200597_at" 18656 13980 4327 7099
"200598_s_at" 3967 14193 8627 3007
"200599_s_at" 21724 10441 3723 4895
"200600_at" 20550 21228 8807 14693
"200601_at" 20898 15688 1747 1019
"200602_at" 18602 3990 1087 20078
"200603_at" 16926 16633 16621 6540
"200604_s_at" 20654 12094 6741 17808
"200605_s_at" 1775 17903 2446 3267
"200606_at" 10783 14016 20082 2430
"200607_s_at" 18250 12099 18932 16588
"200608_s_at" 21178 13661 9062 5926
"200609_s_at" 18192 16546 4458 16086
"200610_s_at" 4969 12572 8963 16411
"200611_s_at" 5253 14518 2554 6105
"200612_s_at" 1108 21846 7592 21377
"200613_at" 5480 13858 16760 5660
"200614_at" 17343 13356 5824 16205
"200615_s_at" 4704 12403 17078 4638
"200616_s_at" 1378 15166 5604 5277
"200617_at" 20123 17823 18917 17037
"200618_at" 20666 16353 17214 7055
"200619_at" 17908 13296 1421 20178
"200620_at" 19515 15504 19945 16016
"200621_at" 3347 17030 17910 6795
"200622_x_at" 2255 13824 17007 17448
"200623_s_at" 4436 18932 20998 16123
"200624_s_at" 5583 14024 6977 5910
"200625_s_at" 5065 17632 8321 16455
"200626_s_at" 5313 14919 6729 5418
"200627_at" 17480 13238 9101 6369
"200628_s_at" 3702 4603 17223 7343
"200629_at" 4137 3176 8184 4144
"200630_x_at" 565 4077 5261 5001
"200631_s_at" 4873 13069 19351 4207
"200632_s_at" 16114 19479 5364 20952
"200633_at" 16020 10639 18510 7199
"200634_at" 17345 11484 6452 17399
"200635_s_at" 5336 11962 8530 4108
"200636_s_at" 9419 20689 1529 19856
"200637_s_at" 6164 21445 4030 18040
"200638_s_at" 2916 12743 6705 5003
"200639_s_at" 4336 16524 7852 16524
"200640_at" 4610 16096 5817 7088
"200641_s_at" 4769 13578 8204 3777
"200642_at" 16573 12233 8109 16176
"200643_at" 2921 21064 16524 19099
"200644_at" 5047 17603 7068 16791
"200645_at" 20292 11849 6832 5584
"200646_s_at" 11229 20401 20503 20199
"200647_x_at" 17139 15575 7720 5632
"200648_s_at" 19629 20366 8804 17565
"200649_at" 21436 19160 2424 18865
"200650_s_at" 17228 4476 7744 7312
"200651_at" 17051 10860 18032 19169
"200652_at" 20297 13795 3292 6273
"200653_s_at" 21955 4898 18339 5435
"200654_at" 3575 14911 7990 19029
"200655_s_at" 17693 13844 7811 16140
"200656_s_at" 19019 18876 6254 18907
"200657_at" 16190 4498 7179 7207
"200658_s_at" 2731 13906 7245 5786
"200659_s_at" 18701 4651 20442 4237
"200660_at" 16110 11841 6747 16049
"200661_at" 17464 18240 19858 18183
"200662_s_at" 5186 14671 18364 16120
"200663_at" 16901 4643 8858 4081
"200664_s_at" 21040 19531 17321 16248
"200665_s_at" 9019 7241 14167 9553
"200666_s_at" 5302 18100 4396 7255
"200667_at" 16695 18037 3741 19279
"200668_s_at" 16788 12850 5067 6295
"200669_s_at" 20798 15794 7030 5694
"200670_at" 4015 10784 4016 3887
"200671_s_at" 6596 1137 1210 20941
"200672_x_at" 15928 3359 8634 20784
"200673_at" 16632 12537 16839 16015
"200674_s_at" 4243 4749 8266 18870
"200675_at" 1369 17625 3346 6839
"200676_s_at" 20139 1585 18091 21258
"200677_at" 863 12609 8005 6736
"200678_x_at" 5099 18275 3593 18367
"200679_x_at" 17497 12676 7815 6983
"200680_x_at" 3777 4136 19765 5331
"200681_at" 18103 12994 18295 16323
"200682_s_at" 18276 14357 4463 6232
"200683_s_at" 2898 15309 16688 17978
"200684_s_at" 2516 17947 18160 15989
"200685_at" 20979 4896 3055 784
"200686_s_at" 1510 18178 3884 17309
"200687_s_at" 3381 18351 17903 18101
"200688_at" 20795 19144 829 5192
"200689_x_at" 19198 11095 9213 4104
"200690_at" 16802 20805 19072 20193
"200691_s_at" 1752 14400 4104 16533
"200692_s_at" 4407 14185 4862 4640
"200693_at" 4644 12383 16556 6775
"200694_s_at" 5100 14574 7932 17036
"200695_at" 2865 17844 3558 1310
"200696_s_at" 20176 4288 18943 3991
"200697_at" 17166 17074 18720 5894
"200698_at" 17586 17275 7494 4106
"200699_at" 19199 15361 17374 7281
"200700_s_at" 3134 16025 19406 18974
"200701_at" 5528 11791 17267 1488
"200702_s_at" 16045 16130 3268 6019
"200703_at" 3602 11490 8688 18736
"200704_at" 19951 14176 4853 6526
"200705_s_at" 3637 11524 8393 4842
"200706_s_at" 4356 18007 7146 3722
"200707_at" 3832 14143 6585 20171
"200708_at" 20884 15870 17815 17394
"200709_at" 20466 11924 7364 6768
"200710_at" 17914 17566 20142 17722
"200711_s_at" 17909 17027 17551 16441
"200712_s_at" 1127 15728 18126 831
"200713_s_at" 4778 12067 17816 4554
"200714_x_at" 17436 17346 19579 4585
"200715_x_at" 19407 4791 7436 16640
"200716_x_at" 4689 6336 18739 6368
"200717_x_at" 17888 6297 18064 16082
"200718_s_at" 4406 4242 17288 5772
"200719_at" 3927 19827 6644 18050
"200720_s_at" 19919 4017 450 6108
"200721_s_at" 1945 16309 21215 19339
"200722_s_at" 18389 11718 19247 18835
"200723_s_at" 5130 16023 5400 3233
"200724_at" 15043 21480 2947 1607
"200725_x_at" 5441 3613 17410 7239
"200726_at" 3237 11657 5389 16240
"200727_s_at" 16620 1706 4886 1171
"200728_at" 5061 4119 2423 2488
"200729_s_at" 18078 11417 5119 3562
"200730_s_at" 20748 20745 3141 3841
"200731_s_at" 407 21390 2336 18909
"200732_s_at" 5503 19076 6948 5005
"200733_s_at" 21669 18960 16846 17244
"200734_s_at" 17178 16126 6840 4959
"200735_x_at" 19898 6319 3930 6917
"200736_s_at" 3594 21973 6668 11652
"200737_at" 19715 11534 3883 19780
"200738_s_at" 16763 11769 7393 16517
"200739_s_at" 5183 11838 19111 5769
"200740_s_at" 16156 12767 8123 4373
"200741_s_at" 4073 6265 18147 17295
"200742_s_at" 4746 19027 18899 18772
"200743_s_at" 18068 10966 5862 21802
"200744_s_at" 5223 11572 17484 6237
"200745_s_at" 1454 18924 17248 19475
"200746_s_at" 16859 16115 6525 17350
"200747_s_at" 22078 15601 20756 19207
"200748_s_at" 18629 4881 8667 18032
"200749_at" 4131 13990 8785 16290
"200750_s_at" 18745 11366 7070 17494
"200751_s_at" 17795 10718 7455 2002
"200752_s_at" 22163 2191 4449 16498
"200753_x_at" 3812 13717 5015 6228
"200754_x_at" 17421 15410 8968 4240
"200755_s_at" 523 12981 6312 10190
"200756_x_at" 1599 16989 19447 2000
"200757_s_at" 4688 14925 5299 18089
"200758_s_at" 21829 20293 16845 6935
"200759_x_at" 21215 19013 5596 20445
"200760_s_at" 3412 4899 17104 2837
"200761_s_at" 1402 13042 6752 4570
"200762_at" 18081 12174 18218 6926
"200763_s_at" 5325 11239 18063 7091
"200764_s_at" 11798 18548 16256 2606
"200765_x_at" 12087 13089 9241 5662
"200766_at" 17012 18951 5913 20560
"200767_s_at" 16743 21327 5326 2776
"200768_s_at" 16516 16054 7783 7050
"200769_s_at" 18025 10821 1855 859
"200770_s_at" 21736 21114 20303 20692
"200771_at" 19670 16278 8872 6076
"200772_x_at" 17310 11884 20167 16986
"200773_x_at" 4522 12080 9013 7044
"200774_at" 4051 11466 6117 5895
"200775_s_at" 17774 14960 19394 4385
"200776_s_at" 19466 15826 5742 2154
"200777_s_at" 20808 15462 17015 5004
"200778_s_at" 901 4606 6455 2607
"200779_at" 4655 2873 16870 16494
"200780_x_at" 4893 11374 7105 6552
"200781_s_at" 4093 6289 18304 17241
"200782_at" 20871 16667 8453 4171
"200783_s_at" 20373 13622 8985 6256
"200784_s_at" 6493 8413 880 15630
"200785_s_at" 9274 7152 16359 2346
"200786_at" 3438 12857 7143 6752
"200787_s_at" 3056 21145 4400 16137
"200788_s_at" 17301 16865 6037 1526
"200789_at" 3839 14129 20181 20195
"200790_at" 2346 11196 8414 3671
"200791_s_at" 20458 19147 4605 17541
"200792_at" 4197 14483 17060 5740
"200793_s_at" 17731 20645 2522 4493
"200794_x_at" 18432 14237 5391 2828
"200795_at" 11325 19839 986 15024
"200796_s_at" 157 1832 22107 17780
"200797_s_at" 19031 17026 18726 6739
"200798_x_at" 3070 14623 8088 2386
"200799_at" 6111 14188 6944 6034
"200800_s_at" 21515 16056 21167 20818
"200801_x_at" 20900 11302 16768 5828
"200802_at" 4325 10611 8167 17538
"200803_s_at" 3820 11072 8241 3898
"200804_at" 19586 13174 17464 16614
"200805_at" 18503 2363 7229 5716
"200806_s_at" 2489 10849 8499 2945
"200807_s_at" 19101 11377 7741 16189
"200808_s_at" 2913 10675 20679 16747
"200809_x_at" 16157 3658 6556 7184
"200810_s_at" 5565 14828 7243 19074
"200811_at" 18784 19923 18388 19026
"200812_at" 4945 13973 5949 4227
"200813_s_at" 21704 21908 17019 17149
"200814_at" 17057 11588 16900 1691
"200815_s_at" 4592 11972 18528 18077
"200816_s_at" 16843 13203 8735 4492
"200817_x_at" 3829 6259 17092 16072
"200818_at" 2157 4327 16520 17375
"200819_s_at" 5579 4457 18438 17400
"200820_at" 3141 11199 17264 7191
"200821_at" 21478 14092 2900 4874
"200822_x_at" 17573 15631 8511 3011
"200823_x_at" 4839 3628 5488 5160
"200824_at" 3888 21424 16624 2035
"200825_s_at" 19372 15460 19459 17558
"200826_at" 5422 4329 6983 4637
"200827_at" 2016 13916 18238 19378
"200828_s_at" 3767 16742 3566 4739
"200829_x_at" 4796 12939 18666 4974
"200830_at" 5140 15691 3224 18292
"200831_s_at" 22248 18623 4154 2548
"200832_s_at" 20519 17582 20622 2544
"200833_s_at" 4741 12902 7152 4812
"200834_s_at" 2789 6273 16623 16813
"200835_s_at" 6946 15861 20134 17003
"200836_s_at" 962 2170 1089 20984
"200837_at" 1968 11127 1991 3461
"200838_at" 3931 18606 6114 4955
"200839_s_at" 22008 19300 8910 5932
"200840_at" 16363 10454 6511 4831
"200841_s_at" 691 11459 18734 5124
"200842_s_at" 1404 13670 4277 3661
"200843_s_at" 4802 13825 8463 19484
"200844_s_at" 16396 14820 8810 5150
"200845_s_at" 4896 13875 7810 6294
"200846_s_at" 20650 14067 16774 16302
"200847_s_at" 1171 12380 2648 2811
"200848_at" 4555 15721 3373 3701
"200849_s_at" 16700 12608 9118 4133
"200850_s_at" 16925 13802 4250 5663
"200851_s_at" 4654 14220 18653 1342
"200852_x_at" 3953 19245 3421 18932
"200853_at" 19036 4491 16666 6493
"200854_at" 20055 18858 5384 5237
"200855_at" 17671 19882 8623 1588
"200856_x_at" 5545 20207 4479 17422
"200857_s_at" 1682 11685 17348 18735
"200858_s_at" 19651 4931 18549 16657
"200859_x_at" 21023 17076 20718 5771
"200860_s_at" 17245 17183 9061 4660
"200861_at" 21707 18517 6052 21811
"200862_at" 20918 20554 17413 19558
"200863_s_at" 4273 13921 5632 7181
"200864_s_at" 22238 15172 19694 2522
"200865_at" 7649 19710 16473 8677
"200866_s_at" 18545 13064 4235 3997
"200867_at" 19397 18117 18075 17426
"200868_s_at" 17107 15262 20368 6394
"200869_at" 17339 6268 17314 16108
"200870_at" 18495 12082 9171 5223
"200871_s_at" 21030 17280 17159 20228
"200872_at" 18367 13062 17691 18519
"200873_s_at" 4005 10643 7747 16346
"200874_s_at" 1728 2650 20471 1798
"200875_s_at" 19839 16170 6111 17465
"200876_s_at" 16220 10515 19493 4325
"200877_at" 3242 12309 6301 6933
"200878_at" 19890 16721 6554 2564
"200879_s_at" 8249 8380 10874 13625
"200880_at" 4898 16395 7799 5513
"200881_s_at" 4856 14829 7114 5597
"200882_s_at" 5500 11154 9015 5972
"200883_at" 3079 14017 2980 3529
"200884_at" 4203 18108 21779 19573
"200885_at" 21357 4190 18149 16966
"200886_s_at" 2699 13418 17006 5468
"200887_s_at" 18045 12906 4568 6610
"200888_s_at" 18640 4737 7508 7144
"200889_s_at" 19131 12061 7792 3296
"200890_s_at" 3668 18874 5109 3006
"200891_s_at" 19762 16063 7155 3411
"200892_s_at" 22053 11231 4921 5710
"200893_at" 17054 12533 5927 16690
"200894_s_at" 20689 17068 2674 5892
"200895_s_at" 4536 16797 16528 18104
"200896_x_at" 1142 12655 8923 6764
"200897_s_at" 7999 17861 3118 1895
"200898_s_at" 20594 15094 2626 7142
"200899_s_at" 16414 18899 9022 4166
"200900_s_at" 5229 17568 848 1644
"200901_s_at" 21548 18142 7454 6920
"200902_at" 17515 3581 5711 5643
"200903_s_at" 3092 14618 7368 18741
"200904_at" 17068 21435 18691 18505
"200905_x_at" 2416 18053 7418 4573
"200906_s_at" 14374 11825 16569 6656
"200907_s_at" 15585 12279 5351 5180
"200908_s_at" 3860 20070 21703 18069
"200909_s_at" 19195 10470 17546 17909
"200910_at" 4691 11516 6081 17213
"200911_s_at" 2098 18547 7127 17360
"200912_s_at" 16017 10448 4610 6546
"200913_at" 4874 21127 19294 21146
"200914_x_at" 18467 11515 9099 2081
"200915_x_at" 1684 14859 7223 2680
"200916_at" 2604 10485 7803 16011
"200917_s_at" 479 3446 2145 87
"200918_s_at" 1891 15155 17284 5134
"200919_at" 17549 19012 6040 19182
"200920_s_at" 21269 17748 16660 18239
"200921_s_at" 19178 14979 3394 4668
"200922_at" 22222 16828 5568 17906
"200923_at" 10642 3538 7262 18600
"200924_s_at" 4579 4439 5901 17061
"200925_at" 4595 11008 18863 18156
"200926_at" 4643 6322 16782 17983
"200927_s_at" 21500 18923 16565 4230
"200928_s_at" 11990 609 11147 12578
"200929_at" 2810 11951 18325 3889
"200930_s_at" 13741 10290 13458 15726
"200931_s_at" 4250 17078 7560 2492
"200932_s_at" 5573 4515 3601 3080
"200933_x_at" 16633 6312 17215 6979
"200934_at" 20285 11149 3606 2770
"200935_at" 18979 2681 7207 22080
"200936_at" 4966 6313 6092 18774
"200937_s_at" 4225 10963 17686 5157
"200938_s_at" 11313 9961 9915 15011
"200939_s_at" 11068 29 9518 9350
"200940_s_at" 21717 12515 21361 18705
"200941_at" 4801 4858 4278 16711
"200942_s_at" 3122 4726 18280 5971
