"inst_1522" "inst_1939" "inst_2022" "inst_5299" "inst_6700"
"1007_s_at" 4109 17502 2878 16562 20241
"1053_at" 5001 20080 2199 4944 1312
"117_at" 10730 7749 12471 9199 6678
"121_at" 21890 5306 19856 4486 4348
"1255_g_at" 6750 14981 3686 8161 9402
"1294_at" 2299 18898 659 16071 20560
"1316_at" 2167 14180 21866 2608 15711
"1320_at" 924 17086 16432 12506 2461
"1405_i_at" 7145 11274 2116 12444 20950
"1431_at" 2346 12770 9890 12189 16706
"1438_at" 17606 9636 8390 20618 19055
"1487_at" 21741 17982 21025 2918 8334
"1494_f_at" 1861 18468 21348 11807 20300
"1598_g_at" 22018 18602 5543 17517 21284
"160020_at" 1215 5952 19617 12280 7061
"1729_at" 21354 19038 3523 6190 18309
"1773_at" 2933 21623 20156 2460 4034
"177_at" 4114 16167 2727 11450 18098
"179_at" 22093 21705 20513 39 1936
"1861_at" 20080 21123 11811 2921 15342
"200000_s_at" 5047 6636 4136 2452 14984
"200001_at" 14974 4863 6237 6746 3794
"200002_at" 13978 17772 2182 4760 6485
"200003_s_at" 15986 18671 5737 5117 9979
"200004_at" 16101 3895 6072 2163 6109
"200005_at" 15762 19095 2926 16242 5058
"200006_at" 18121 5334 4858 4809 6940
"200007_at" 17149 18095 18603 6769 16143
"200008_s_at" 13399 20385 17552 4265 1220
"200009_at" 4307 18535 4110 17060 4610
"200010_at" 14342 18957 19776 2966 2649
"200011_s_at" 12724 18166 5661 6048 15598
"200012_x_at" 4259 3038 18538 17851 17891
"200013_at" 12573 19422 6266 6416 6537
"200014_s_at" 15609 4054 18770 4981 16044
"200015_s_at" 19824 1417 17020 2687 6692
"200016_x_at" 13528 1533 20812 4140 15770
"200017_at" 17124 4865 21186 3419 16380
"200018_at" 4260 18660 17441 2028 6042
"200019_s_at" 14508 6217 4947 17363 6061
"200020_at" 13527 18662 4556 19254 4020
"200021_at" 7494 5520 17996 19440 10088
"200022_at" 14941 5602 5660 4834 5491
"200023_s_at" 15348 5213 6271 4464 16629
"200024_at" 16424 4766 3828 4793 6878
"200025_s_at" 16059 6689 6156 4374 15269
"200026_at" 18851 22061 20656 17134 8398
"200027_at" 14134 5469 18671 16411 16702
"200028_s_at" 14246 18911 5276 4937 17099
"200029_at" 3099 17501 4643 20302 15583
"200030_s_at" 15650 4738 2991 5251 5959
"200031_s_at" 7645 17633 18141 16405 10025
"200032_s_at" 5176 4680 4860 5153 8187
"200033_at" 16881 1486 20558 2511 15214
"200034_s_at" 16364 20684 6912 17224 3109
"200035_at" 17083 19899 4806 16723 15963
"200036_s_at" 15054 18309 6068 6651 17677
"200037_s_at" 14995 2356 17508 4077 16925
"200038_s_at" 13879 5885 18778 5432 5921
"200039_s_at" 12448 5623 5923 17488 3641
"200040_at" 15913 5272 5241 4233 8248
"200041_s_at" 13461 18184 3548 16882 4517
"200042_at" 15259 19445 6827 2518 6080
"200043_at" 19868 4851 1961 1564 15365
"200044_at" 13670 2709 2784 2182 6746
"200045_at" 15668 17409 19360 19399 6276
"200046_at" 15803 3502 2303 16591 3546
"200047_s_at" 18623 1359 20517 6370 19516
"200048_s_at" 14764 3386 2185 5784 16207
"200049_at" 4083 4718 17406 6007 7484
"200050_at" 15998 20369 20434 2599 2768
"200051_at" 17400 6896 4664 17106 15577
"200052_s_at" 15977 5584 17091 16258 4402
"200053_at" 16014 21067 2043 18285 6152
"200054_at" 19816 17700 2562 3082 8167
"200055_at" 14626 18177 5811 19505 18251
"200056_s_at" 14324 1954 21093 2164 16903
"200057_s_at" 16599 5034 4791 17859 16552
"200058_s_at" 13734 4871 17131 5531 17600
"200059_s_at" 13783 6174 6777 17932 7141
"200060_s_at" 16048 4796 21558 17586 15716
"200061_s_at" 4578 18429 17389 16215 10023
"200062_s_at" 7616 19148 3182 17096 9973
"200063_s_at" 17402 1742 21672 19292 16603
"200064_at" 15864 20707 5595 16958 3295
"200065_s_at" 13220 20855 17055 16997 5985
"200066_at" 16160 21475 1372 5556 2368
"200067_x_at" 13143 2480 2062 18724 18255
"200068_s_at" 5012 5291 18140 19809 8040
"200069_at" 5098 2423 20047 19354 18152
"200070_at" 2516 1670 21467 4826 21864
"200071_at" 15195 519 20122 20406 15353
"200072_s_at" 14907 17508 17292 5317 6544
"200073_s_at" 18000 2433 20790 5906 7979
"200074_s_at" 13931 5297 3670 3390 5825
"200075_s_at" 16685 3556 18726 16254 4354
