"inst_2443" "inst_3305" "inst_5305" "inst_6706"
"1007_s_at" 19224 17172 3060 3932
"1053_at" 6748 4039 2824 20125
"117_at" 17104 11410 6846 10174
"121_at" 17663 20833 16450 13677
"1255_g_at" 10070 8339 9951 11253
"1294_at" 15958 20594 11363 19851
"1316_at" 21444 17130 11073 20658
"1320_at" 9725 7070 5200 6146
"1405_i_at" 7908 6174 4365 19829
"1431_at" 3174 2625 7538 15667
"1438_at" 14032 4969 2945 18641
"1487_at" 5549 17920 488 6347
"1494_f_at" 21537 18436 6980 19321
"1598_g_at" 22267 14158 18311 2748
"160020_at" 21695 1310 7325 17119
"1729_at" 20509 17721 21078 5040
"1773_at" 18930 14268 21438 19556
"177_at" 20745 10351 10305 1164
"179_at" 1060 5286 103 20648
"1861_at" 7313 18431 1364 14226
"200000_s_at" 5881 17474 4146 17116
"200001_at" 6547 14969 16032 16742
"200002_at" 16494 4110 3465 13724
"200003_s_at" 10287 8305 3225 8289
"200004_at" 15368 15083 17240 14895
"200005_at" 6709 13968 4602 15187
"200006_at" 6857 5861 14837 5363
"200007_at" 5605 14730 3536 13315
"200008_s_at" 1676 13532 21228 22104
"200009_at" 15806 14420 18426 18817
"200010_at" 7563 14860 14621 19981
"200011_s_at" 19272 17305 15569 12756
"200012_x_at" 15697 14236 14096 5293
"200013_at" 6308 4868 15242 14395
"200014_s_at" 17078 15048 20270 3531
"200015_s_at" 16561 14028 14597 5521
"200016_x_at" 10179 4704 14572 4929
"200017_at" 10457 8508 14723 5524
"200018_at" 10441 8481 3712 12929
"200019_s_at" 15637 13887 2224 15072
"200020_at" 19205 18460 16448 19216
"200021_at" 17299 8707 14769 8400
"200022_at" 10315 8344 4140 13571
"200023_s_at" 17125 5743 15870 13173
"200024_at" 7625 4233 14477 6734
"200025_s_at" 10439 13841 2489 4647
"200026_at" 10650 8715 3104 3921
"200027_at" 7755 14552 19171 2740
"200028_s_at" 17784 5223 17886 15107
"200029_at" 10371 13791 4251 12856
"200030_s_at" 7391 14366 16458 13199
"200031_s_at" 10430 8464 3688 8337
"200032_s_at" 10460 8512 15279 4619
"200033_at" 5014 15320 14078 13411
"200034_s_at" 6355 4316 15080 17887
"200035_at" 17496 21974 1830 15043
"200036_s_at" 8113 4341 3438 14052
"200037_s_at" 15429 15285 17106 3431
"200038_s_at" 10608 8669 4230 13120
"200039_s_at" 4825 5622 16655 15142
"200040_at" 17627 14252 16563 6849
