"inst_3820" "inst_3903" "inst_4377" "inst_4555"
"1007_s_at" 9322 13320 9756 17104
"1053_at" 17045 4429 4384 9451
"117_at" 20469 10622 238 10578
"121_at" 7361 17343 6877 6089
"1255_g_at" 11914 9143 12397 10603
"1294_at" 2743 1477 6240 4870
"1316_at" 2876 2243 22002 21588
"1320_at" 20778 5075 846 10753
"1405_i_at" 15360 9585 7304 4759
"1431_at" 5879 6777 21738 21868
"1438_at" 1465 12642 17818 3748
"1487_at" 3264 17637 17012 8586
"1494_f_at" 18455 2464 7047 6204
"1598_g_at" 16962 3297 3076 5831
"160020_at" 1187 480 17394 20727
"1729_at" 1496 2281 18364 16995
"1773_at" 3801 19493 2082 3371
"177_at" 11079 21533 2086 1063
"179_at" 10510 5153 7608 2005
"1861_at" 19132 14180 18942 3779
"200000_s_at" 20030 12817 4338 3152
"200001_at" 10112 12042 9449 15467
"200002_at" 9805 12278 17733 8659
"200003_s_at" 12742 7635 13266 11230
"200004_at" 9752 18612 8660 8051
"200005_at" 7292 5299 6912 8161
"200006_at" 9618 5436 11249 17129
"200007_at" 8420 3097 17992 17230
"200008_s_at" 9758 16176 2495 3665
"200009_at" 9742 14036 7523 8652
"200010_at" 17027 12483 10395 5385
"200011_s_at" 9917 3551 17203 16753
"200012_x_at" 17218 3752 13226 16952
"200013_at" 17609 4503 13186 16004
"200014_s_at" 8610 17560 11014 20102
"200015_s_at" 10393 19581 17542 16066
"200016_x_at" 12673 15687 17493 18348
"200017_at" 12846 7739 13385 11321
"200018_at" 12835 7726 13374 6431
"200019_s_at" 11268 4878 13344 8526
"200020_at" 17074 4840 9308 16600
"200021_at" 12952 7855 13510 11418
"200022_at" 16626 7647 13286 6885
"200023_s_at" 8352 3652 17466 17345
"200024_at" 18401 12035 10711 9054
"200025_s_at" 16418 5782 13373 17295
"200026_at" 12955 13040 13514 17319
"200027_at" 9607 15799 17253 17930
"200028_s_at" 16703 16983 18684 19225
"200029_at" 18343 7679 17589 7990
"200030_s_at" 9803 13379 10111 15826
"200031_s_at" 12825 7718 13366 11305
"200032_s_at" 12853 12213 13389 15687
"200033_at" 7196 15704 18098 8718
"200034_s_at" 10830 13013 11546 7536
"200035_at" 16801 2298 7172 2915
"200036_s_at" 16315 5004 16821 7013
"200037_s_at" 9887 16353 17526 18026
"200038_s_at" 11120 7833 13484 5571
"200039_s_at" 10348 5647 8162 9277
"200040_at" 18000 14255 17453 9244
"200041_s_at" 5985 14650 7459 5091
"200042_at" 5829 2566 7604 7785
"200043_at" 7720 16164 10253 5342
"200044_at" 10788 14510 11503 5938
"200045_at" 11308 5226 11336 17366
"200046_at" 9837 4518 7978 8446
"200047_s_at" 8285 17454 10107 16914
"200048_s_at" 10526 14196 18117 7196
"200049_at" 17639 14698 17696 8790
"200050_at" 6040 1066 4496 6980
"200051_at" 19461 17331 8833 6714
"200052_s_at" 19443 13341 8736 5583
"200053_at" 9572 20950 2394 6349
"200054_at" 1975 14749 17962 18578
"200055_at" 6359 12846 7839 7216
"200056_s_at" 11270 19448 18527 16014
"200057_s_at" 10049 12059 11274 19372
"200058_s_at" 7135 14491 18240 8626
"200059_s_at" 9352 5157 18089 18156
"200060_s_at" 10267 18857 17801 8896
"200061_s_at" 12824 7716 13364 11304
"200062_s_at" 12728 7619 13252 11215
"200063_s_at" 12885 7778 13420 11349
"200064_at" 18302 4749 7380 7506
"200065_s_at" 9923 15320 7864 8377
"200066_at" 11170 15967 4521 16421
"200067_x_at" 7779 15436 8935 7690
"200068_s_at" 9669 14235 18072 18902
"200069_at" 11253 16872 17504 6346
"200070_at" 8226 15905 8582 17670
"200071_at" 7435 18240 18659 18104
"200072_s_at" 10519 12192 5306 17717
"200073_s_at" 17763 3653 16989 18472
"200074_s_at" 16292 12495 10796 16175
"200075_s_at" 8026 12598 6239 5669
"200076_s_at" 8301 14112 6875 7198
"200077_s_at" 10522 13606 18213 17232
"200078_s_at" 7451 12436 10992 15771
"200079_s_at" 16460 3633 4066 7569
"200080_s_at" 17135 5352 18613 19220
"200081_s_at" 9075 12528 10291 5259
"200082_s_at" 12874 7763 13409 7168
"200083_at" 8990 12706 18086 8262
"200084_at" 8855 14144 17155 16003
"200085_s_at" 9039 3846 10483 8822
"200086_s_at" 8348 14332 11337 18372
"200087_s_at" 19366 15857 6866 19745
"200088_x_at" 12738 7629 13262 11228
"200089_s_at" 17111 14742 9852 8407
"200090_at" 10090 5687 7280 17570
"200091_s_at" 17424 3361 11246 9433
"200092_s_at" 9646 7784 13428 7806
"200093_s_at" 16242 3195 10509 18649
"200094_s_at" 7860 4882 9476 15617
"200095_x_at" 12943 7844 13496 11404
"200096_s_at" 7660 5788 19813 2157
"200097_s_at" 17425 18733 17612 5149
"200098_s_at" 8316 16759 16770 9384
"200099_s_at" 12894 7788 13432 8648
"200593_s_at" 18399 19236 9776 8037
"200594_x_at" 17304 14727 20234 20503
"200595_s_at" 7314 4565 11206 19393
"200596_s_at" 10430 4779 10096 5160
"200597_at" 2553 20903 19880 21985
"200598_s_at" 8977 3339 8235 5815
"200599_s_at" 19653 12267 6460 9026
"200600_at" 8443 8982 12107 5721
"200601_at" 10985 2816 19334 9378
"200602_at" 19123 15772 18992 20538
"200603_at" 18404 18766 10233 16491
"200604_s_at" 20467 15515 7336 2470
"200605_s_at" 18180 19704 6223 17734
"200606_at" 16945 12964 16759 7403
"200607_s_at" 8847 16583 5856 3103
"200608_s_at" 7067 15319 18690 9080
"200609_s_at" 17109 16453 11266 18824
"200610_s_at" 17141 2819 18280 17759
"200611_s_at" 11217 16210 8425 7309
"200612_s_at" 4396 11944 18168 21063
"200613_at" 8047 15016 11361 6008
"200614_at" 18943 5349 17200 8630
"200615_s_at" 8981 17437 5330 19195
"200616_s_at" 5997 14823 5931 7346
"200617_at" 7200 12629 17274 5331
"200618_at" 10083 12293 18358 7345
"200619_at" 6738 4072 9699 4607
"200620_at" 8275 3588 5733 7303
"200621_at" 16646 4906 10266 18867
"200622_x_at" 5962 12150 3891 15669
"200623_s_at" 18619 5063 18059 18706
"200624_s_at" 7495 15688 4345 3130
"200625_s_at" 6161 4820 19501 20380
"200626_s_at" 9779 3941 11178 17528
"200627_at" 10624 5693 7532 7751
"200628_s_at" 4012 15122 6102 4411
"200629_at" 10792 14412 8581 17114
"200630_x_at" 10666 14741 18516 15615
"200631_s_at" 9301 4978 18176 16114
"200632_s_at" 7317 14508 3808 6632
"200633_at" 12823 7715 13363 11303
"200634_at" 17936 13296 10444 16574
"200635_s_at" 2430 16891 8979 7211
"200636_s_at" 7663 13469 10034 19700
"200637_s_at" 6286 20080 4781 7376
"200638_s_at" 17632 15226 10431 5856
"200639_s_at" 9061 20789 11079 9361
"200640_at" 17409 12204 17046 16146
"200641_s_at" 8957 14091 3405 5740
"200642_at" 10214 5272 10708 7464
"200643_at" 17715 19028 17798 17418
"200644_at" 10898 17533 9091 17394
"200645_at" 7592 12175 5095 15868
"200646_s_at" 20929 18646 17005 2131
"200647_x_at" 7588 5540 9338 7764
"200648_s_at" 19658 4201 6955 4949
"200649_at" 10999 2709 2879 2234
"200650_s_at" 12693 5079 13207 11183
"200651_at" 11241 7826 13474 8235
"200652_at" 3177 12835 6454 9203
"200653_s_at" 6928 15970 9077 16403
"200654_at" 10738 3709 11115 15599
"200655_s_at" 9759 16556 18131 5228
"200656_s_at" 10651 19393 18017 3873
"200657_at" 17242 4825 13270 9460
"200658_s_at" 10909 4838 5083 6731
"200659_s_at" 7235 5622 4466 5883
"200660_at" 18026 5031 8850 6495
"200661_at" 16642 5336 6879 6546
"200662_s_at" 10579 5192 16738 19714
"200663_at" 5221 17683 19842 7817
"200664_s_at" 6456 3695 2663 9402
"200665_s_at" 11351 6636 281 9168
"200666_s_at" 10477 16915 17928 9409
"200667_at" 6424 16140 18663 7977
"200668_s_at" 7530 5357 8584 17497
"200669_s_at" 10394 16920 4439 2801
"200670_at" 19687 4581 19936 4664
"200671_s_at" 21706 13411 8171 21152
"200672_x_at" 20593 19064 2354 19605
"200673_at" 7467 14134 19598 8770
"200674_s_at" 12899 7793 13437 17287
"200675_at" 7709 14930 18300 17836
"200676_s_at" 18633 2933 1517 20979
"200677_at" 7980 16489 10970 7551
"200678_x_at" 17865 3791 6525 5644
"200679_x_at" 17492 13393 7853 8280
"200680_x_at" 12945 7847 13501 9375
"200681_at" 9580 17111 7264 7800
"200682_s_at" 16662 13082 8969 16747
"200683_s_at" 6332 4701 7093 7239
"200684_s_at" 5975 16299 5018 18530
"200685_at" 18505 17196 11411 19579
"200686_s_at" 7141 21542 7197 16470
"200687_s_at" 18062 13801 17090 9366
"200688_at" 18918 19031 2560 6315
"200689_x_at" 16373 14033 13493 16898
"200690_at" 9347 17463 18034 4781
"200691_s_at" 9712 14916 17753 17340
"200692_s_at" 16664 2953 7053 7362
"200693_at" 9405 13305 11063 17368
"200694_s_at" 9674 16557 18348 18393
"200695_at" 7301 1192 5890 2441
"200696_s_at" 4099 13355 8429 15564
"200697_at" 8648 5335 17413 9396
"200698_at" 10471 19001 6577 16713
"200699_at" 5384 14354 18378 18050
"200700_s_at" 17272 15766 17439 18411
"200701_at" 10143 15997 10113 4557
"200702_s_at" 16521 18468 4812 4752
"200703_at" 8412 12893 17052 16251
"200704_at" 19072 14118 18379 16235
"200705_s_at" 17160 15859 17381 8069
"200706_s_at" 18041 18690 7700 1494
"200707_at" 17177 13535 3991 5247
"200708_at" 16506 4962 11492 6597
"200709_at" 19467 15491 19771 8751
"200710_at" 2689 2829 7877 17765
"200711_s_at" 8906 3629 7453 5139
"200712_s_at" 17113 12195 8291 4825
"200713_s_at" 10994 4720 17673 18559
"200714_x_at" 5828 14921 6536 4922
"200715_x_at" 10473 3934 6824 15633
"200716_x_at" 12937 7834 13485 7370
"200717_x_at" 12821 7713 13360 11301
"200718_s_at" 11239 3746 13314 15924
"200719_at" 11173 13288 7189 21029
"200720_s_at" 16832 15972 8190 5107
"200721_s_at" 16324 16942 7151 16970
"200722_s_at" 7037 19833 3993 3725
"200723_s_at" 17282 16317 5741 8791
"200724_at" 304 15015 18675 1750
"200725_x_at" 17136 4578 13322 15901
"200726_at" 16383 14045 18371 17527
"200727_s_at" 4901 19628 1837 2308
"200728_at" 10621 4894 8870 6313
"200729_s_at" 6816 17424 8027 5664
"200730_s_at" 18538 15204 2609 4142
"200731_s_at" 20142 17081 9005 8688
"200732_s_at" 20209 13542 9157 18884
"200733_s_at" 7419 2634 11468 18489
"200734_s_at" 8344 17950 4993 17595
"200735_x_at" 12889 7781 13425 7347
"200736_s_at" 17674 6161 748 9148
"200737_at" 8222 15708 7170 6517
"200738_s_at" 12957 14968 17516 15741
"200739_s_at" 11091 12066 3871 5121
"200740_s_at" 16624 15570 19537 8230
"200741_s_at" 12729 7620 13254 11216
"200742_s_at" 18224 16809 3695 7559
"200743_s_at" 3909 18344 17339 8859
"200744_s_at" 5518 5568 7955 6797
"200745_s_at" 6532 16356 7707 15487
"200746_s_at" 18128 3616 17071 15683
"200747_s_at" 10201 12680 18522 3906
"200748_s_at" 17942 13611 9979 8108
"200749_at" 10131 16532 8613 15798
"200750_s_at" 12801 12060 13334 8117
"200751_s_at" 10584 13978 8992 3693
"200752_s_at" 9099 15296 4019 4939
"200753_x_at" 9859 17212 9422 4837
"200754_x_at" 17481 4642 10076 7661
"200755_s_at" 11055 16161 5874 18065
"200756_x_at" 6605 2167 3009 3417
"200757_s_at" 16865 15285 3841 17609
"200758_s_at" 8822 14945 18986 5427
"200759_x_at" 9103 1451 7417 15808
"200760_s_at" 7580 15236 6958 2769
"200761_s_at" 4690 15307 8208 16057
"200762_at" 11172 17676 18878 19326
"200763_s_at" 12903 7797 13439 11362
"200764_s_at" 2122 16372 2779 11779
"200765_x_at" 15472 15242 11362 11177
"200766_at" 8722 5248 20005 7161
"200767_s_at" 9474 16492 11353 4585
"200768_s_at" 16872 17473 10877 6322
"200769_s_at" 19434 18736 2251 18881
"200770_s_at" 20631 13610 17264 3206
"200771_at" 19435 18309 4280 18529
"200772_x_at" 12858 7745 10937 18097
"200773_x_at" 10261 13074 18196 16444
"200774_at" 8794 16504 11402 7869
"200775_s_at" 16498 5433 7263 19871
"200776_s_at" 9073 16491 5855 4688
"200777_s_at" 8203 16383 8792 8866
"200778_s_at" 16347 17357 4498 4673
"200779_at" 10269 13101 6436 7642
"200780_x_at" 17720 4677 10886 7842
"200781_s_at" 17264 7693 13341 7745
"200782_at" 8396 4662 17869 16214
"200783_s_at" 17017 14819 18534 19793
"200784_s_at" 654 8603 14682 137
"200785_s_at" 22190 8827 16500 382
"200786_at" 9978 12416 6723 7387
"200787_s_at" 1445 18013 18154 19192
"200788_s_at" 10900 19935 8098 7414
"200789_at" 1288 12740 4753 5851
"200790_at" 12852 12364 7970 9207
"200791_s_at" 9368 18210 11148 5725
"200792_at" 11127 12105 6032 7910
"200793_s_at" 5389 1966 10782 6896
"200794_x_at" 11036 14682 9224 16932
"200795_at" 20296 20071 21835 10939
"200796_s_at" 4728 20480 1177 15806
"200797_s_at" 4569 17475 6523 20718
"200798_x_at" 3972 11960 5394 8068
"200799_at" 8601 13487 11371 6170
"200800_s_at" 8665 14544 3875 6542
"200801_x_at" 12699 7579 13214 11188
"200802_at" 5398 13214 7262 7000
"200803_s_at" 11224 12958 9516 15686
"200804_at" 8541 5555 3954 4048
"200805_at" 17611 12032 4745 3160
"200806_s_at" 10747 4093 9921 8489
"200807_s_at" 12707 7596 13234 16270
"200808_s_at" 4738 19331 18885 8497
"200809_x_at" 18834 7602 13240 8189
"200810_s_at" 8015 13728 18369 17292
