"inst_1292" "inst_2646" "inst_5412" "inst_6311"
"1007_s_at" 4901 4222 3549 5174
"1053_at" 4379 5151 3942 6485
"117_at" 20461 10617 15287 15462
"121_at" 1671 8106 5938 1741
"1255_g_at" 6523 13836 15146 14087
"1294_at" 16674 5482 21795 1682
"1316_at" 1580 21305 3763 19884
"1320_at" 10909 12555 10201 15661
"1405_i_at" 3629 14626 15926 15896
"1431_at" 10271 21422 15110 10166
"1438_at" 6374 17900 21175 1818
"1487_at" 958 2700 4170 8586
"1494_f_at" 11917 20241 1055 19754
"1598_g_at" 3828 2044 19960 2781
"160020_at" 21870 2295 5277 20569
"1729_at" 2928 19817 1880 19779
"1773_at" 1200 6350 20787 1611
"177_at" 399 5180 16270 5902
"179_at" 22149 21725 490 20653
"1861_at" 1661 21550 5193 1416
"200000_s_at" 17540 20935 5506 20536
"200001_at" 5233 17954 17509 18784
"200002_at" 15555 7356 9598 7869
"200003_s_at" 15897 16582 10562 16905
"200004_at" 3419 17319 5706 6698
"200005_at" 2990 18520 18964 7089
"200006_at" 18318 6116 7002 7357
"200007_at" 18096 8541 19728 17636
"200008_s_at" 19179 20300 17310 20148
"200009_at" 14872 7760 10142 7998
"200010_at" 16520 9292 7004 16504
"200011_s_at" 16373 7076 5286 4165
"200012_x_at" 4122 17596 19762 17951
"200013_at" 17716 6826 10537 7485
"200014_s_at" 18406 8377 18446 8192
"200015_s_at" 18948 3222 6964 7061
"200016_x_at" 16518 16715 17954 16747
"200017_at" 16072 6012 12755 6535
"200018_at" 15328 16947 12743 7591
"200019_s_at" 15809 16984 10305 7496
"200020_at" 2910 8986 21397 4696
"200021_at" 1954 9023 19089 16986
"200022_at" 4825 18554 18416 5228
"200023_s_at" 3223 8985 7405 16589
"200024_at" 14794 8704 10446 17051
"200025_s_at" 4907 7165 18084 8215
"200026_at" 15823 16866 7508 16617
"200027_at" 16415 7671 18083 17623
"200028_s_at" 2876 7685 5798 17453
"200029_at" 4538 9221 17961 16997
"200030_s_at" 4338 7995 19304 5798
"200031_s_at" 4893 16434 12738 17980
"200032_s_at" 16225 8188 12757 3814
"200033_at" 4420 17400 5572 5066
"200034_s_at" 16086 6442 17466 5390
"200035_at" 16256 4759 3710 7030
"200036_s_at" 18729 9097 17677 18646
"200037_s_at" 2183 9112 5063 5021
"200038_s_at" 3372 7929 17536 6425
"200039_s_at" 15956 7718 17980 7936
"200040_at" 4363 7626 7706 6469
"200041_s_at" 3033 6011 9526 4773
"200042_at" 17633 6057 8469 20472
"200043_at" 16543 20023 10630 8156
"200044_at" 18818 5391 5077 5781
"200045_at" 1964 4477 6842 18256
"200046_at" 3262 19419 9137 4139
"200047_s_at" 1998 17325 9158 8254
"200048_s_at" 15703 8161 8045 16222
"200049_at" 2276 3750 4795 4287
"200050_at" 19445 18904 3180 3272
"200051_at" 19123 18316 5628 7552
"200052_s_at" 17410 8784 17389 16513
