"inst_1613" "inst_3228" "inst_4671" "inst_5266" "inst_5631"
"1007_s_at" 18312 15716 2277 4215 3372
"1053_at" 3160 3996 7474 5303 15337
"117_at" 1123 10581 17240 12639 11076
"121_at" 17306 20852 20835 20908 2527
"1255_g_at" 6969 11544 14123 10024 11284
"1294_at" 4332 7271 21793 21771 2231
"1316_at" 10937 22085 17516 4555 1983
"1320_at" 14329 12443 19403 5526 20471
"1405_i_at" 3835 9791 9182 12014 11765
"1431_at" 12824 5092 18713 20467 18998
"1438_at" 6072 1753 766 20933 950
"1487_at" 3904 2706 2465 2587 3453
"1494_f_at" 1115 2038 1580 17844 16561
"1598_g_at" 21302 21560 21369 5656 20084
"160020_at" 3127 20005 5798 3763 375
"1729_at" 2386 6305 20143 847 19515
"1773_at" 7704 21462 11084 18375 2352
"177_at" 4184 7488 22053 1046 10863
"179_at" 4912 494 20991 19052 22167
"1861_at" 3672 7430 9469 17887 17924
"200000_s_at" 5081 14189 2367 17613 6293
"200001_at" 17952 16370 6980 7079 16814
"200002_at" 16340 7287 11090 16173 16300
"200003_s_at" 2901 9273 13076 15298 9656
"200004_at" 18844 17842 11277 15689 16247
"200005_at" 18149 16912 10693 7110 14752
"200006_at" 16220 6788 9460 16686 7872
"200007_at" 2652 6779 17460 15809 16954
"200008_s_at" 1770 5129 10824 8563 13904
"200009_at" 3146 14770 10038 7836 8013
"200010_at" 16475 6414 5981 8843 6833
"200011_s_at" 3644 6290 8144 15113 15649
"200012_x_at" 16145 6443 19801 6665 6668
"200013_at" 4834 5004 10724 15979 7569
"200014_s_at" 18655 6364 17553 15489 17917
"200015_s_at" 17795 15190 9710 17300 6677
"200016_x_at" 18357 5839 19210 18045 15560
"200017_at" 3214 9365 18097 11064 9766
"200018_at" 3469 9358 17185 11049 9760
"200019_s_at" 2668 16621 10197 17027 14644
"200020_at" 20809 5274 6431 6544 15358
"200021_at" 21708 9442 13271 11245 9888
"200022_at" 16542 6272 10221 7643 9675
"200023_s_at" 4688 16562 17563 15499 16038
"200024_at" 4283 15881 9153 6479 6943
"200025_s_at" 4557 15336 18046 18576 18443
"200026_at" 1599 9446 18366 5540 9893
"200027_at" 21235 16237 5898 8853 14928
"200028_s_at" 21364 15383 7997 5304 14634
"200029_at" 3625 16022 17750 5592 3484
"200030_s_at" 3631 15964 17953 7477 14883
"200031_s_at" 17632 9350 13149 11034 9752
"200032_s_at" 2685 9367 10257 11066 9772
"200033_at" 4177 15769 9471 5955 15547
"200034_s_at" 2186 14966 10726 4657 16703
"200035_at" 21768 6304 5866 8516 16721
"200036_s_at" 3794 6335 8602 15880 14163
"200037_s_at" 16854 6982 17525 16230 15445
"200038_s_at" 16470 15162 10798 8377 9867
"200039_s_at" 16610 16982 9913 8802 7692
"200040_at" 4409 14640 9922 8031 18552
"200041_s_at" 18324 17108 17071 3901 7233
"200042_at" 4990 6872 8169 18181 15222
"200043_at" 19519 4090 20553 19307 6881
"200044_at" 17064 6179 19005 16330 13994
"200045_at" 21602 14222 7567 5248 14405
"200046_at" 16362 18486 8102 7875 16496
"200047_s_at" 16808 15209 10651 17933 16416
"200048_s_at" 19288 6082 18409 15218 16385
"200049_at" 19086 14414 3659 3964 16828
"200050_at" 18794 1831 2880 6571 6808
"200051_at" 1126 6296 7730 16847 4062
"200052_s_at" 4742 6568 6110 16483 14524
"200053_at" 16676 20668 18542 21486 3801
"200054_at" 22064 3230 4523 2921 4547
"200055_at" 18053 17348 10096 15398 5385
"200056_s_at" 4312 14940 8834 19519 15339
"200057_s_at" 2639 6770 17648 5647 14110
"200058_s_at" 17238 14567 6344 6441 7461
"200059_s_at" 16288 14943 17635 17985 5308
"200060_s_at" 3316 15426 9576 15238 7029
"200061_s_at" 17186 9346 13148 11031 9750
"200062_s_at" 16193 9262 13062 10879 9642
"200063_s_at" 5005 9394 17736 11120 9806
"200064_at" 21732 4418 9303 7493 14715
"200065_s_at" 18202 18280 8632 6679 6877
"200066_at" 17557 3625 9201 15299 6410
"200067_x_at" 19801 14850 8619 6952 15871
"200068_s_at" 20780 17468 17252 6960 16875
"200069_at" 17110 19562 10984 16695 14059
"200070_at" 21209 3026 18786 4865 18937
"200071_at" 19862 3959 3439 5446 15469
"200072_s_at" 21930 14519 10562 17564 4271
"200073_s_at" 19840 15733 17849 6599 17246
"200074_s_at" 2914 14172 10664 18837 17235
"200075_s_at" 18231 4921 7441 6565 5681
"200076_s_at" 4250 7012 19276 6511 7115
"200077_s_at" 20316 14646 17628 17170 16216
"200078_s_at" 19951 17530 8538 16121 13935
"200079_s_at" 20853 17105 8037 6163 5330
"200080_s_at" 3284 7168 9065 17558 14203
"200081_s_at" 2839 15067 17908 15643 7170
"200082_s_at" 4328 5401 10111 8257 9793
"200083_at" 19375 15349 8848 16174 7817
"200084_at" 18556 16036 18978 16869 16286
"200085_s_at" 17877 16010 7888 15709 14706
"200086_s_at" 16993 6071 8220 15438 16474
"200087_s_at" 17100 4676 6749 6045 7300
"200088_x_at" 4580 9270 18352 10896 9652
"200089_s_at" 4584 14420 10945 7445 14712
"200090_at" 2160 15096 10767 6100 7593
"200091_s_at" 2619 5746 17125 17466 15128
"200092_s_at" 4348 6689 18580 16133 9816
"200093_s_at" 19901 13872 18917 17013 7769
"200094_s_at" 3422 3155 5136 4753 6735
"200095_x_at" 5026 9438 13257 11226 9878
"200096_s_at" 1702 6652 4170 3257 15850
