"inst_1555" "inst_3172" "inst_4478" "inst_6814"
"1007_s_at" 18950 7550 10527 5405
"1053_at" 18149 18272 11591 15362
"117_at" 15134 11100 14845 9735
"121_at" 14741 20506 9951 1983
"1255_g_at" 12644 8030 13536 8261
"1294_at" 19099 1043 21765 519
"1316_at" 16606 21296 1658 15004
"1320_at" 4233 8292 18234 9210
"1405_i_at" 19210 11233 2960 970
"1431_at" 13371 21078 2529 17808
"1438_at" 11853 1013 2747 22048
"1487_at" 18179 6436 7810 13204
"1494_f_at" 3519 1121 19107 3013
"1598_g_at" 21633 14100 10313 21634
"160020_at" 359 22004 1991 1244
"1729_at" 2086 19797 19908 17314
"1773_at" 3452 20479 21693 19505
"177_at" 16805 8053 261 1830
"179_at" 15688 20610 22109 3090
"1861_at" 9777 5605 19086 13331
"200000_s_at" 15114 17438 8405 17099
"200001_at" 19641 13752 5022 12900
"200002_at" 18296 13607 7772 4449
"200003_s_at" 3797 14657 13937 7561
"200004_at" 15028 4008 6426 13008
"200005_at" 20326 14226 9803 16207
"200006_at" 20104 6179 9645 4918
"200007_at" 18010 6905 6648 4497
"200008_s_at" 15653 7820 18245 17145
"200009_at" 14491 15586 11274 5521
"200010_at" 15194 13937 8799 12452
"200011_s_at" 18177 6202 8368 14241
"200012_x_at" 3608 13987 19951 14194
"200013_at" 16171 15288 11405 12632
"200014_s_at" 19154 13627 18657 19967
"200015_s_at" 18264 7768 6572 15967
"200016_x_at" 1539 14620 11666 3678
"200017_at" 18445 9388 14029 7709
"200018_at" 3223 7193 14018 7696
"200019_s_at" 14617 15804 12080 15726
"200020_at" 19224 7157 18414 5334
"200021_at" 15625 9420 17913 7883
"200022_at" 16020 14122 8974 7582
"200023_s_at" 14959 15879 7840 16522
"200024_at" 18469 13725 18568 4892
"200025_s_at" 14720 6363 8010 3572
"200026_at" 3752 7102 12123 7896
"200027_at" 21826 7620 9316 15650
"200028_s_at" 21523 15232 3845 15845
"200029_at" 16172 14603 18052 2667
"200030_s_at" 15840 6923 11945 4438
"200031_s_at" 15663 9385 14012 7688
"200032_s_at" 2510 9390 19161 7715
"200033_at" 18540 4204 6353 3770
"200034_s_at" 17361 14060 17889 2435
"200035_at" 21723 19784 11011 17706
"200036_s_at" 16701 15858 10283 5541
"200037_s_at" 20751 5645 8422 3685
"200038_s_at" 3126 13989 12152 12517
"200039_s_at" 19673 13693 5029 13676
"200040_at" 18083 13951 7941 13389
"200041_s_at" 18581 14716 4028 16942
"200042_at" 20199 6703 8610 17997
"200043_at" 20882 6742 7114 4709
"200044_at" 16405 6360 6525 18526
"200045_at" 19388 5430 11070 18343
"200046_at" 18672 6348 3855 4549
"200047_s_at" 18197 7264 8174 12819
"200048_s_at" 20358 5845 4754 16377
"200049_at" 18247 14081 6663 15332
"200050_at" 21176 2937 11239 17540
"200051_at" 16342 7636 12199 13134
"200052_s_at" 18768 6064 6314 14681
"200053_at" 15963 20234 21313 3129
"200054_at" 22079 14439 10664 13837
"200055_at" 14580 18052 4376 12623
"200056_s_at" 20053 18640 6493 12424
"200057_s_at" 17140 5068 8894 13416
"200058_s_at" 18976 14069 2990 5037
"200059_s_at" 17298 14123 5583 12408
"200060_s_at" 20674 16868 4927 15496
"200061_s_at" 14694 9383 17890 7685
"200062_s_at" 2248 9348 13930 7535
"200063_s_at" 1564 9399 18508 7762
"200064_at" 21669 4849 7043 5166
"200065_s_at" 19794 6187 7538 14959
"200066_at" 16494 19551 8467 20684
"200067_x_at" 15602 6932 6028 4456
"200068_s_at" 14452 14477 5900 15690
"200069_at" 18624 18374 18726 14655
"200070_at" 16939 5468 7516 3400
"200071_at" 17954 16209 6538 17180
"200072_s_at" 18158 15796 3593 14496
"200073_s_at" 20412 14679 18968 3602
"200074_s_at" 17022 14061 11762 12572
"200075_s_at" 20653 15728 6488 18534
"200076_s_at" 3605 5011 5004 19519
"200077_s_at" 16511 6950 11331 4001
"200078_s_at" 18364 6797 8470 18601
"200079_s_at" 21536 4032 10779 17125
"200080_s_at" 14545 6653 18071 1336
"200081_s_at" 15750 7693 12176 12919
"200082_s_at" 14812 7936 12197 7746
"200083_at" 17147 6957 10781 14651
"200084_at" 17182 4578 11365 15116
"200085_s_at" 18356 7875 9740 16660
"200086_s_at" 17353 7752 12055 5250
"200087_s_at" 18857 15636 9965 15941
"200088_x_at" 2674 9352 11963 7552
"200089_s_at" 14793 7898 10910 5530
"200090_at" 14454 14409 6654 3334
"200091_s_at" 15870 7574 11371 3442
"200092_s_at" 3263 13675 20114 7773
"200093_s_at" 15559 16978 6095 13523
"200094_s_at" 3792 16950 6453 5169
"200095_x_at" 1979 9416 14128 7869
"200096_s_at" 18346 7342 11636 2815
"200097_s_at" 19108 5425 5424 15604
"200098_s_at" 20810 7125 10182 14032
"200099_s_at" 2095 9402 9482 7782
"200593_s_at" 17389 18538 11152 18746
"200594_x_at" 18722 7042 7919 16514
"200595_s_at" 20181 15745 4608 14595
"200596_s_at" 21236 15430 6309 17797
"200597_at" 20225 5125 8083 13028
"200598_s_at" 19807 15204 20162 5313
"200599_s_at" 20055 4687 9434 20290
"200600_at" 18905 21633 12272 9354
"200601_at" 14967 1929 463 568
"200602_at" 20362 19253 1458 15764
"200603_at" 851 15893 7010 3956
"200604_s_at" 1416 7631 11752 18435
"200605_s_at" 483 16779 6911 18358
"200606_at" 9105 5248 7381 3779
"200607_s_at" 3332 16841 4788 16661
"200608_s_at" 14678 13526 7091 4859
"200609_s_at" 15325 6076 4576 13093
"200610_s_at" 21602 4634 5765 12733
"200611_s_at" 1906 16246 7596 13111
"200612_s_at" 16940 20561 5743 17408
"200613_at" 19473 16013 6368 12845
"200614_at" 18985 14237 8440 13963
"200615_s_at" 15110 4772 6363 18505
"200616_s_at" 19007 14741 18408 19916
"200617_at" 20061 18906 6015 16513
"200618_at" 303 14111 5140 17003
"200619_at" 19300 5006 3927 18150
"200620_at" 3258 6312 18975 3195
"200621_at" 16053 6514 10539 4767
"200622_x_at" 16311 14241 5450 18909
"200623_s_at" 18113 19371 12243 19259
"200624_s_at" 15120 5008 3882 20599
"200625_s_at" 17982 7039 7606 15993
"200626_s_at" 20517 16684 6365 15227
"200627_at" 19438 6364 18082 12837
"200628_s_at" 16884 3006 18579 13807
"200629_at" 19665 16575 19750 17385
"200630_x_at" 15647 4840 11349 5321
"200631_s_at" 19962 5982 3369 14332
"200632_s_at" 702 17112 2422 1293
"200633_at" 16161 14908 14011 7684
"200634_at" 19770 15549 6083 13033
"200635_s_at" 11362 3149 19796 3947
"200636_s_at" 6581 17099 6308 3245
"200637_s_at" 10182 18508 22044 12624
"200638_s_at" 1343 14918 7728 12680
"200639_s_at" 2541 7389 3623 3964
"200640_at" 2967 14735 5326 13451
"200641_s_at" 1752 13888 11651 14836
"200642_at" 20686 14910 8296 14622
"200643_at" 3584 18951 4357 16419
"200644_at" 1495 7380 7524 5109
"200645_at" 1490 6962 18987 14251
"200646_s_at" 9078 1596 4033 16926
"200647_x_at" 21672 14734 4493 18595
"200648_s_at" 744 19510 4238 14315
"200649_at" 1366 18423 5634 16125
"200650_s_at" 15934 4951 13891 13120
"200651_at" 2798 14213 11853 7842
"200652_at" 16702 5552 6111 16025
"200653_s_at" 17603 6651 9537 2678
"200654_at" 14712 14246 4027 15958
"200655_s_at" 2522 14473 10231 17719
"200656_s_at" 20806 7182 7725 12771
"200657_at" 18323 6586 20167 4743
"200658_s_at" 21634 14777 10136 15925
"200659_s_at" 22170 13706 7610 12768
"200660_at" 1419 16468 7504 4804
"200661_at" 18825 15741 9217 17490
"200662_s_at" 21199 4972 3198 18169
"200663_at" 16489 7742 19157 2440
"200664_s_at" 21404 4989 8558 13912
"200665_s_at" 4230 1649 4128 9676
"200666_s_at" 21154 3647 19190 4205
"200667_at" 19702 16458 9254 13930
"200668_s_at" 19505 7290 6055 5511
"200669_s_at" 19057 14927 10163 14973
"200670_at" 21543 5435 5526 15082
"200671_s_at" 8319 13753 5028 14525
"200672_x_at" 9171 20871 19610 21644
"200673_at" 2527 7596 10102 4453
"200674_s_at" 1850 13537 19632 16006
"200675_at" 20244 5997 4738 3441
"200676_s_at" 15901 437 17918 18028
"200677_at" 668 5230 4342 16566
"200678_x_at" 15056 14268 9252 18402
"200679_x_at" 18383 16349 6990 13211
"200680_x_at" 16088 14018 9851 7876
"200681_at" 18370 5620 7418 14615
"200682_s_at" 20010 7733 11947 16369
"200683_s_at" 19117 13961 5582 18734
"200684_s_at" 16680 14894 7837 17194
"200685_at" 20700 5284 5847 1353
"200686_s_at" 17922 5503 3715 2889
"200687_s_at" 20981 16090 17813 13153
"200688_at" 17628 18420 9363 17139
"200689_x_at" 15396 7262 12069 3905
"200690_at" 20213 2778 9213 16803
"200691_s_at" 20583 14207 10931 17802
"200692_s_at" 18150 13603 11516 14391
"200693_at" 18330 4862 9493 4792
"200694_s_at" 20040 6394 10347 5131
"200695_at" 20401 17553 18821 20174
"200696_s_at" 722 15698 10869 5555
"200697_at" 15010 6386 7883 3402
"200698_at" 20799 7053 5012 16869
"200699_at" 15367 5225 9889 18417
"200700_s_at" 2743 17875 10145 16184
"200701_at" 16283 7077 18038 17761
"200702_s_at" 21615 16807 19720 12886
"200703_at" 18089 6052 11020 3259
"200704_at" 1280 3645 11808 4589
"200705_s_at" 3901 7347 12043 14952
"200706_s_at" 705 15152 21191 16039
"200707_at" 3769 18195 18473 16309
"200708_at" 17523 7330 8793 16069
"200709_at" 19550 18419 11549 16558
"200710_at" 16611 6290 7910 13132
"200711_s_at" 19720 6003 10274 17074
"200712_s_at" 15765 3996 9120 18268
"200713_s_at" 17312 13902 10287 13606
"200714_x_at" 16389 18330 3386 18135
"200715_x_at" 15563 6437 18146 5108
"200716_x_at" 3444 9412 14123 7858
"200717_x_at" 15221 9381 14009 7680
"200718_s_at" 14437 4442 11416 3160
"200719_at" 20932 18515 5563 3647
"200720_s_at" 15419 2916 9640 18865
"200721_s_at" 3194 7477 8134 4798
"200722_s_at" 20995 1683 11359 14667
"200723_s_at" 20857 5423 8071 14344
"200724_at" 3730 1194 5478 21941
"200725_x_at" 14757 15758 19637 5454
"200726_at" 20241 6973 9748 13908
"200727_s_at" 19185 13803 6479 16281
"200728_at" 14924 3317 11462 12599
"200729_s_at" 15624 4521 8849 16892
"200730_s_at" 2742 2540 18128 16771
"200731_s_at" 2216 4279 6881 17169
"200732_s_at" 15101 15214 9197 17070
"200733_s_at" 16417 14005 10956 1466
"200734_s_at" 18531 17925 2938 17937
"200735_x_at" 17137 15259 11523 7770
"200736_s_at" 15875 22075 8743 8324
"200737_at" 16911 5840 9960 15696
"200738_s_at" 15791 14782 8323 15882
"200739_s_at" 18166 14064 20237 14775
"200740_s_at" 19516 4815 9523 4947
"200741_s_at" 14347 9349 13931 7537
"200742_s_at" 14903 17414 5429 2601
"200743_s_at" 3359 15197 7401 15789
"200744_s_at" 18306 17627 2491 14230
"200745_s_at" 16472 18230 6923 16168
"200746_s_at" 16660 14444 7067 14124
"200747_s_at" 3909 15390 6804 19879
"200748_s_at" 2 16736 20562 15228
"200749_at" 21107 15172 9459 16192
"200750_s_at" 20070 13770 10012 12409
