"inst_1298" "inst_2652" "inst_5418" "inst_6317"
"1007_s_at" 20125 18113 7091 16160
"1053_at" 3106 18008 7476 18838
"117_at" 18448 10853 13847 12475
"121_at" 2374 15982 7665 19509
"1255_g_at" 8509 9635 15949 12647
"1294_at" 14528 912 21083 786
"1316_at" 338 18816 6077 19383
"1320_at" 9092 9211 19687 3738
"1405_i_at" 2825 12188 14462 14707
"1431_at" 6487 21074 13332 9582
"1438_at" 6003 1873 7937 7911
"1487_at" 1252 7538 3953 19867
"1494_f_at" 9369 18853 84 20284
"1598_g_at" 21699 21794 7688 1796
"160020_at" 20096 5579 1634 21676
"1729_at" 137 3325 2550 21553
"1773_at" 14901 2781 8845 331
"177_at" 21105 14024 13357 9673
"179_at" 20300 3440 1301 1151
"1861_at" 21313 17633 4200 7076
"200000_s_at" 16570 20232 9453 16539
"200001_at" 4379 7338 9767 16409
"200002_at" 4057 7113 6755 15710
"200003_s_at" 16469 15837 10863 7281
"200004_at" 4278 14841 5887 7350
"200005_at" 14914 17724 9811 5508
"200006_at" 18278 5062 9800 16688
"200007_at" 16798 18347 5565 16369
"200008_s_at" 21986 2658 18844 20626
"200009_at" 4490 3634 7281 16151
"200010_at" 15030 5975 8682 15262
"200011_s_at" 14904 18259 17454 18152
"200012_x_at" 3471 7740 21007 15838
"200013_at" 18637 4906 5053 17621
"200014_s_at" 17549 14864 19107 6803
"200015_s_at" 15641 6028 3041 7647
"200016_x_at" 15014 15760 8216 16075
"200017_at" 3483 7579 12948 7573
"200018_at" 4161 15709 12938 16578
"200019_s_at" 4178 19151 10926 15353
"200020_at" 2046 20608 17601 6487
"200021_at" 2620 7713 13027 10588
"200022_at" 15679 16452 9927 5295
"200023_s_at" 3679 18596 5547 15382
"200024_at" 4123 5134 17969 16308
"200025_s_at" 15565 14937 9187 16176
"200026_at" 4129 7138 9455 7780
"200027_at" 16232 5899 10439 18178
"200028_s_at" 1744 16036 6554 6616
"200029_at" 3683 15024 18575 15311
"200030_s_at" 3488 15813 18126 7234
"200031_s_at" 2945 14970 12930 6341
"200032_s_at" 15906 5900 17575 17647
"200033_at" 4280 17616 3529 15809
"200034_s_at" 3990 7075 10219 5134
"200035_at" 19298 17887 7644 16235
"200036_s_at" 18780 7864 9990 16506
"200037_s_at" 2853 17266 8330 6690
"200038_s_at" 4430 14995 18235 7112
"200039_s_at" 18709 6301 20113 16594
"200040_at" 2637 16386 5869 18435
"200041_s_at" 3243 7686 8832 17085
"200042_at" 4530 2487 6887 15165
"200043_at" 1651 3766 4811 19682
"200044_at" 17330 5036 6834 5891
"200045_at" 4713 7256 18236 16650
"200046_at" 2037 20518 6692 5509
"200047_s_at" 3440 18982 5956 4442
"200048_s_at" 17370 18070 8926 16769
"200049_at" 1077 6208 9126 15373
"200050_at" 20548 18809 6340 6922
"200051_at" 2208 17157 6273 17010
"200052_s_at" 19776 5657 5770 17308
"200053_at" 2283 15346 19981 1840
"200054_at" 3019 5850 7534 6729
"200055_at" 17038 7460 18851 15991
"200056_s_at" 15710 19864 2332 19732
"200057_s_at" 4551 18321 18825 6076
"200058_s_at" 18647 5621 4385 6021
"200059_s_at" 14885 8021 10093 16288
"200060_s_at" 19201 8032 9838 19065
"200061_s_at" 3404 5887 12928 17515
"200062_s_at" 15687 10246 12853 10304
"200063_s_at" 906 6931 12969 10487
"200064_at" 17630 3849 9841 7827
"200065_s_at" 15792 6811 9014 16430
"200066_at" 18591 16510 19750 15509
"200067_x_at" 4733 18025 10501 5948
"200068_s_at" 3351 15675 7991 15927
"200069_at" 14839 19869 1512 17184
"200070_at" 19360 2859 5367 20868
"200071_at" 20687 19868 3453 17630
"200072_s_at" 17432 5851 6860 17004
"200073_s_at" 14946 7544 8567 6416
"200074_s_at" 3433 15111 10307 15431
"200075_s_at" 20840 8151 17739 18085
"200076_s_at" 16099 16435 17866 4486
"200077_s_at" 2343 15596 8557 5024
"200078_s_at" 16260 19454 7658 16008
"200079_s_at" 19512 15043 19715 19748
"200080_s_at" 3330 4151 8852 6140
"200081_s_at" 15226 5191 10665 15575
"200082_s_at" 15336 7344 9670 16035
"200083_at" 15189 17298 1816 3540
"200084_at" 3540 16087 5758 18850
"200085_s_at" 18446 14972 9263 6946
"200086_s_at" 15260 7731 7018 7607
"200087_s_at" 17933 6253 2154 6645
"200088_x_at" 4295 10257 12861 16101
"200089_s_at" 15745 15151 8316 18049
"200090_at" 16416 6556 10826 15906
"200091_s_at" 4264 7410 10339 17596
"200092_s_at" 3766 5483 10627 17482
"200093_s_at" 18184 15779 4729 15241
"200094_s_at" 3781 7310 18090 20538
"200095_x_at" 3521 10450 13021 10567
"200096_s_at" 2169 6639 10218 19181
"200097_s_at" 2517 20080 2609 3862
"200098_s_at" 19431 17741 18094 6556
"200099_s_at" 4122 7581 12979 7322
"200593_s_at" 18111 2463 5595 6460
"200594_x_at" 2891 15014 2349 7209
"200595_s_at" 1617 16456 2240 16242
"200596_s_at" 3828 16340 7471 15841
"200597_at" 18624 16105 3947 19996
"200598_s_at" 18873 4244 17937 17904
"200599_s_at" 2458 15551 5658 8042
"200600_at" 1776 12371 16496 7905
"200601_at" 17877 19077 1146 7029
"200602_at" 19089 7006 1362 20701
"200603_at" 3877 16208 3670 18562
"200604_s_at" 22129 6589 8042 19515
"200605_s_at" 19327 2904 6248 7130
"200606_at" 10903 7291 6181 15747
"200607_s_at" 20622 5888 8742 4518
"200608_s_at" 15087 7882 5532 18247
"200609_s_at" 17718 17245 7437 2821
"200610_s_at" 2176 4903 3849 5245
"200611_s_at" 19965 17941 6571 3020
"200612_s_at" 20876 20 3454 5881
"200613_at" 15523 15144 9546 18525
"200614_at" 14520 16732 9983 17403
"200615_s_at" 21068 3624 20667 15934
"200616_s_at" 18303 18692 10720 16105
"200617_at" 4163 3350 5039 17988
"200618_at" 3608 19229 5157 3230
"200619_at" 1703 15847 7267 6966
"200620_at" 14927 6717 10671 2655
"200621_at" 15800 18046 5499 4241
"200622_x_at" 17897 15337 10654 19072
"200623_s_at" 3717 18582 10234 16604
"200624_s_at" 19469 4147 3664 16716
"200625_s_at" 2232 16755 3230 3719
"200626_s_at" 1595 19740 2933 5169
"200627_at" 16767 7722 19117 16123
"200628_s_at" 16864 6598 5087 4116
"200629_at" 18606 15638 9033 6116
"200630_x_at" 4555 16198 10425 7116
"200631_s_at" 3906 7448 6643 4285
"200632_s_at" 3900 7411 8853 19419
"200633_at" 4687 8011 12927 10413
"200634_at" 4267 6044 10171 7251
"200635_s_at" 10820 4856 5570 6343
"200636_s_at" 7800 17824 8119 19082
"200637_s_at" 8408 6412 909 3976
"200638_s_at" 17648 5131 6632 16451
"200639_s_at" 20617 3717 9447 17330
"200640_at" 15996 4881 7429 15780
"200641_s_at" 21898 5484 20019 1427
"200642_at" 16841 5565 11050 6773
"200643_at" 581 2839 3290 3526
"200644_at" 782 6332 6455 5860
"200645_at" 2715 17646 8425 6851
"200646_s_at" 3964 15889 19537 5227
"200647_x_at" 15850 20308 10193 16303
"200648_s_at" 16847 5659 10347 687
"200649_at" 2721 16220 21110 2276
"200650_s_at" 3940 20179 18359 15658
"200651_at" 15685 5752 10850 5122
"200652_at" 15209 7586 8235 6826
"200653_s_at" 18715 17110 8393 3680
"200654_at" 2401 19545 5268 5264
"200655_s_at" 17209 16996 10712 15194
"200656_s_at" 2924 6702 7374 18976
"200657_at" 4632 17368 17668 7177
"200658_s_at" 19712 4643 7028 17364
"200659_s_at" 18876 8225 5185 2802
"200660_at" 16203 14870 10622 18631
"200661_at" 14594 16781 11000 7127
"200662_s_at" 2732 21407 5320 16583
"200663_at" 2989 15437 2499 18868
"200664_s_at" 21259 19901 18075 18696
"200665_s_at" 7682 10206 15555 1447
"200666_s_at" 2449 7408 9461 6230
"200667_at" 16911 6876 8001 3504
"200668_s_at" 17018 8234 8659 6943
"200669_s_at" 18627 4687 19999 6334
"200670_at" 4015 20491 4387 15140
"200671_s_at" 6704 13346 42 4549
"200672_x_at" 21782 19158 1600 18645
"200673_at" 3611 19016 5915 6705
"200674_s_at" 3647 6831 19279 7317
"200675_at" 931 18042 3979 16852
"200676_s_at" 1729 20238 19673 1509
"200677_at" 4686 17962 6068 6237
"200678_x_at" 19122 5724 10784 5094
"200679_x_at" 19259 6273 9079 3057
"200680_x_at" 3260 19870 10217 6478
"200681_at" 15095 7172 8211 5549
"200682_s_at" 15361 16365 18613 17681
"200683_s_at" 4668 18548 8804 19161
"200684_s_at" 1110 5754 8598 3880
"200685_at" 4622 16388 5611 4655
"200686_s_at" 19563 18323 19511 20475
"200687_s_at" 4478 7784 6092 21447
"200688_at" 20220 21762 10068 2336
"200689_x_at" 3997 16580 10533 17592
"200690_at" 4832 20253 17987 16172
"200691_s_at" 17901 7137 9123 7609
"200692_s_at" 18940 7318 7320 18203
"200693_at" 18265 7035 4277 15926
"200694_s_at" 16684 16078 7985 4697
"200695_at" 20529 17992 19831 3142
"200696_s_at" 2125 17817 3850 17074
"200697_at" 2303 17965 10452 17788
"200698_at" 16336 2466 9891 19090
"200699_at" 2712 1894 4168 5744
"200700_s_at" 16340 7837 7629 17385
"200701_at" 16144 18592 4310 7825
"200702_s_at" 19730 2708 10054 18309
"200703_at" 4757 17667 4166 16390
"200704_at" 14530 7482 1198 20304
"200705_s_at" 16358 6710 18768 6427
"200706_s_at" 19384 15724 9535 209
"200707_at" 15155 21033 4788 19423
"200708_at" 2868 6540 7288 17338
"200709_at" 2430 4281 7876 7897
"200710_at" 2396 18526 8335 19881
"200711_s_at" 2388 15358 10345 16114
"200712_s_at" 19569 16400 9309 4181
"200713_s_at" 2942 17369 4344 16191
"200714_x_at" 3853 7168 5428 20639
"200715_x_at" 2544 6613 10269 6909
"200716_x_at" 17101 15246 19063 17190
"200717_x_at" 4018 14848 12924 10411
"200718_s_at" 3792 14919 5951 6647
"200719_at" 608 3614 8616 21661
"200720_s_at" 20709 17846 8876 17798
"200721_s_at" 3191 15491 8503 7547
"200722_s_at" 22110 3497 17988 2228
"200723_s_at" 19100 5424 8093 7942
"200724_at" 10857 33 3160 584
"200725_x_at" 17671 15550 17637 16560
"200726_at" 17544 16100 10373 5702
"200727_s_at" 20503 17652 19756 5531
"200728_at" 16677 3802 6008 5819
"200729_s_at" 18079 17168 3103 6896
"200730_s_at" 20366 1629 7748 21797
"200731_s_at" 21235 1727 5977 21383
"200732_s_at" 17440 6865 17789 5503
"200733_s_at" 3272 4947 351 17204
"200734_s_at" 20732 7639 21013 8018
"200735_x_at" 16125 8051 12977 15708
"200736_s_at" 16235 8664 13290 7129
"200737_at" 3809 17414 5056 15655
"200738_s_at" 19361 16819 6696 7189
"200739_s_at" 21092 7918 8673 2538
"200740_s_at" 3225 17678 6863 5129
"200741_s_at" 15295 10247 12854 10305
"200742_s_at" 21730 21910 19879 6262
"200743_s_at" 16137 19743 5232 3569
"200744_s_at" 21306 16180 19455 6483
"200745_s_at" 4413 6511 9901 4530
"200746_s_at" 3971 7431 10315 7693
"200747_s_at" 2306 16585 9676 15134
"200748_s_at" 18997 4876 17780 17281
"200749_at" 17173 7379 8068 7156
"200750_s_at" 16238 7185 10033 16428
"200751_s_at" 19778 3024 4048 5192
"200752_s_at" 359 3266 18375 2503
"200753_x_at" 18434 15635 8732 7302
"200754_x_at" 3381 15161 7906 5237
"200755_s_at" 19280 3837 4412 7862
"200756_x_at" 20976 5673 20191 19177
"200757_s_at" 4209 6803 10285 18221
"200758_s_at" 2467 15255 18045 7798
"200759_x_at" 941 14923 762 7494
"200760_s_at" 16154 16357 6629 4541
"200761_s_at" 17505 6453 8597 6147
"200762_at" 3236 18834 2603 4070
"200763_s_at" 15866 7608 12988 6899
"200764_s_at" 7008 3371 4960 7380
"200765_x_at" 11852 6190 7084 12732
"200766_at" 2560 20294 4578 5231
"200767_s_at" 500 7742 2570 18935
"200768_s_at" 15539 20475 10172 19253
"200769_s_at" 21300 2696 8872 3839
"200770_s_at" 20904 3680 20240 3845
"200771_at" 16331 18905 7088 19393
"200772_x_at" 16382 7450 19059 17046
"200773_x_at" 4009 7144 9679 5125
"200774_at" 18578 14935 9208 15903
"200775_s_at" 17568 5141 7354 15662
"200776_s_at" 21136 3829 4487 18440
"200777_s_at" 14670 5122 5759 18267
"200778_s_at" 4448 18638 18657 7003
"200779_at" 16473 17347 9605 17605
"200780_x_at" 4845 16703 18563 15641
"200781_s_at" 2963 15980 19512 6904
"200782_at" 1473 19804 7552 5983
"200783_s_at" 15983 16040 7874 7812
"200784_s_at" 6596 8675 13568 11638
"200785_s_at" 13860 12360 16479 12417
"200786_at" 18218 5006 9555 15120
"200787_s_at" 14895 1540 9046 21397
"200788_s_at" 1495 15287 17893 19531
"200789_at" 4702 7467 3542 940
"200790_at" 3865 20988 10639 16287
"200791_s_at" 16875 4646 8446 18326
"200792_at" 14651 3098 17956 7154
"200793_s_at" 1719 7055 5745 19461
"200794_x_at" 16554 16526 6342 16551
"200795_at" 9148 19202 448 19644
"200796_s_at" 21111 4838 2464 20892
"200797_s_at" 16835 4099 1147 7087
"200798_x_at" 18837 8040 2163 6907
