"inst_2710" "inst_3450" "inst_5854" "inst_7208"
"1007_s_at" 5857 2328 4059 16900
"1053_at" 8954 4688 21018 2696
"117_at" 9951 9408 11584 9460
"121_at" 3673 14501 17911 21579
"1255_g_at" 13239 6057 7120 3969
"1294_at" 17939 695 12592 188
"1316_at" 19750 1171 19671 1848
"1320_at" 13074 13382 5611 7883
"1405_i_at" 21120 9097 7170 7176
"1431_at" 19192 9683 4085 8751
"1438_at" 14882 21669 10785 20347
"1487_at" 20620 1488 2523 18580
"1494_f_at" 4241 13338 12878 7403
"1598_g_at" 21974 18777 4912 17869
"160020_at" 892 17814 17178 2989
"1729_at" 16144 16930 13055 20626
"1773_at" 1080 14408 5184 19406
"177_at" 1731 7690 8120 789
"179_at" 18482 1843 16288 13079
"1861_at" 19708 3311 15468 11619
"200000_s_at" 5555 14002 15450 20887
"200001_at" 7624 16025 17733 3311
"200002_at" 19111 3341 16255 12454
"200003_s_at" 11791 14209 17045 11468
"200004_at" 15920 16663 15493 12467
"200005_at" 16235 15950 17433 16970
"200006_at" 17806 4083 13175 13797
"200007_at" 6717 17265 14779 16362
"200008_s_at" 4229 18276 18061 2471
"200009_at" 5879 4700 4433 3297
"200010_at" 11793 14888 19669 12510
"200011_s_at" 9704 17460 13435 19026
"200012_x_at" 11750 14042 3105 2708
"200013_at" 11716 4661 15797 13035
"200014_s_at" 6837 4833 16259 15794
"200015_s_at" 18791 14830 19718 16860
"200016_x_at" 11714 17626 14188 15516
"200017_at" 11901 3188 14810 11911
"200018_at" 11890 3971 4679 3211
"200019_s_at" 11863 5267 4247 2816
"200020_at" 17513 19089 5344 13001
"200021_at" 12005 5342 4843 2093
"200022_at" 11810 3595 15646 3534
"200023_s_at" 9711 4917 5323 13364
"200024_at" 11866 4869 12504 3449
"200025_s_at" 11888 4913 14701 13248
"200026_at" 12009 2322 12473 2781
"200027_at" 18305 5595 14396 16890
"200028_s_at" 19437 14957 13322 13878
"200029_at" 11845 14099 12541 11502
"200030_s_at" 5774 3942 13898 3127
"200031_s_at" 11882 5007 12459 2927
"200032_s_at" 11903 4174 4265 1970
"200033_at" 10161 14259 13664 14448
"200034_s_at" 11798 4708 4042 12851
"200035_at" 16082 4336 14883 22118
"200036_s_at" 11783 14719 13886 12301
"200037_s_at" 18879 4970 15825 18306
"200038_s_at" 11980 14752 13097 11649
"200039_s_at" 17897 1066 12742 2548
"200040_at" 9854 14894 17435 12558
"200041_s_at" 4996 3682 18404 3533
"200042_at" 6777 18927 20015 17841
"200043_at" 19475 18234 20069 17468
"200044_at" 19077 14056 12483 16241
"200045_at" 16000 3315 14999 13577
"200046_at" 7657 15881 15734 3139
"200047_s_at" 10159 14027 17551 3425
"200048_s_at" 17952 15451 5393 14117
"200049_at" 7175 18140 12938 19982
"200050_at" 20348 16869 15090 19918
"200051_at" 9256 4987 20045 21169
"200052_s_at" 9344 17088 19647 15459
"200053_at" 6877 3885 14746 17199
"200054_at" 16040 15501 4287 3346
"200055_at" 7188 17568 13385 15458
"200056_s_at" 19065 19411 19844 17993
"200057_s_at" 10096 16186 14625 13251
"200058_s_at" 5753 16062 20515 19587
"200059_s_at" 9121 14037 15766 15664
"200060_s_at" 9648 4371 16533 12991
"200061_s_at" 11880 5275 3752 2005
"200062_s_at" 11778 3219 4203 2550
"200063_s_at" 11931 5606 13561 11463
"200064_at" 15866 14101 12664 12213
"200065_s_at" 7271 18073 13501 13124
"200066_at" 6658 17262 20321 18123
"200067_x_at" 7992 4904 15598 13056
"200068_s_at" 10183 16097 4991 12630
"200069_at" 4806 5609 3895 19380
"200070_at" 7677 21824 21044 20621
"200071_at" 15939 20996 13105 19950
"200072_s_at" 16570 18814 14523 16376
"200073_s_at" 19921 2808 16045 17931
"200074_s_at" 9322 5224 13751 13096
"200075_s_at" 8072 18522 17547 14646
"200076_s_at" 3062 17106 14480 14713
"200077_s_at" 17028 4695 14034 14459
"200078_s_at" 16687 16896 15669 13219
"200079_s_at" 7865 13870 14098 12094
"200080_s_at" 18322 4152 14045 11841
"200081_s_at" 9145 18203 13279 2529
"200082_s_at" 11921 3524 5289 2701
"200083_at" 16135 14908 17528 21495
"200084_at" 16635 18224 15261 15345
"200085_s_at" 16187 16270 13503 16101
"200086_s_at" 7739 4026 14512 15168
"200087_s_at" 7238 17657 4909 18712
"200088_x_at" 11786 4952 12469 1489
"200089_s_at" 11958 5366 13349 13472
"200090_at" 6619 19217 16366 14192
"200091_s_at" 11829 2924 13710 15928
"200092_s_at" 11936 4167 3980 13388
"200093_s_at" 9315 17541 17364 20225
"200094_s_at" 8891 3689 12958 12268
"200095_x_at" 11988 5477 4562 2896
"200096_s_at" 3639 14511 18805 17961
"200097_s_at" 19833 19442 13122 14604
"200098_s_at" 16608 3165 15287 18673
"200099_s_at" 11939 4541 13296 3490
"200593_s_at" 19034 20928 18276 17597
"200594_x_at" 9519 17299 15708 15051
"200595_s_at" 18591 18104 15831 19238
"200596_s_at" 17141 18426 12923 18939
"200597_at" 9161 18683 15854 2377
"200598_s_at" 16764 14953 3961 14997
"200599_s_at" 17281 18185 4427 13629
"200600_at" 8633 8056 18865 7639
"200601_at" 3353 2228 3095 22059
"200602_at" 17432 21448 20583 19420
"200603_at" 3621 18774 14205 20873
"200604_s_at" 731 21573 2174 11501
"200605_s_at" 987 20016 3173 2852
"200606_at" 1183 4479 4470 15242
"200607_s_at" 6554 5581 17293 12820
"200608_s_at" 9709 16903 16223 19535
"200609_s_at" 3216 15249 17824 3479
"200610_s_at" 18691 18706 17042 19472
"200611_s_at" 4112 20460 13772 18786
"200612_s_at" 20161 22119 17957 21576
"200613_at" 6001 5363 19398 12666
"200614_at" 5633 5213 14591 2996
"200615_s_at" 5057 17488 20957 14215
"200616_s_at" 9318 4142 5284 11684
"200617_at" 8560 19703 16592 17645
"200618_at" 975 14357 19106 19011
"200619_at" 3843 4111 16373 3306
"200620_at" 5963 4425 18028 3455
"200621_at" 6428 15742 1469 14733
"200622_x_at" 7172 16601 16459 13985
"200623_s_at" 19331 4951 15978 15377
"200624_s_at" 7842 16919 15768 15942
"200625_s_at" 7923 5029 16500 14221
"200626_s_at" 18959 17303 20333 16533
"200627_at" 17754 14902 15619 2851
"200628_s_at" 16282 3572 18371 2717
"200629_at" 17194 20596 19575 19795
"200630_x_at" 16989 14520 15001 3407
"200631_s_at" 18421 3149 14260 3087
"200632_s_at" 3327 2700 5391 2111
"200633_at" 11879 14697 7618 11964
"200634_at" 18205 14614 17654 14652
"200635_s_at" 2156 14007 13834 21191
"200636_s_at" 56 16410 13021 20030
"200637_s_at" 13486 18262 22033 13366
"200638_s_at" 2677 17132 14358 2764
"200639_s_at" 3112 16566 13167 20752
"200640_at" 2872 17656 12967 14265
"200641_s_at" 1651 19115 4539 15287
"200642_at" 17350 16181 5326 13099
"200643_at" 5367 20645 14686 18876
"200644_at" 17918 14298 16101 14340
"200645_at" 4637 17039 17181 13873
"200646_s_at" 9866 2221 827 19834
"200647_x_at" 9439 16714 15057 15862
"200648_s_at" 981 22143 5413 2480
"200649_at" 4028 5475 5233 21179
"200650_s_at" 11738 4413 4518 3542
"200651_at" 11974 15597 16190 13074
"200652_at" 7730 16111 15505 14051
"200653_s_at" 9142 15579 3827 12486
"200654_at" 17122 18558 15901 21351
"200655_s_at" 6689 17075 3569 14982
"200656_s_at" 15878 4682 15590 17346
"200657_at" 18215 15581 13756 2817
"200658_s_at" 17729 19600 18311 16321
"200659_s_at" 19587 15369 16617 21120
"200660_at" 4862 15345 17874 14627
"200661_at" 6845 2704 17026 17461
"200662_s_at" 18420 16709 18192 13431
"200663_at" 8932 2275 13358 2106
"200664_s_at" 16980 17496 20761 17141
"200665_s_at" 14996 6815 11196 7304
"200666_s_at" 20382 14199 19923 19175
"200667_at" 8013 15960 2672 15455
"200668_s_at" 8865 16474 13704 12736
"200669_s_at" 6553 20640 14476 13508
"200670_at" 21788 14851 17430 20026
"200671_s_at" 18121 2155 892 15526
"200672_x_at" 18817 19729 3209 17627
"200673_at" 3845 17031 17652 17448
"200674_s_at" 11942 3712 5204 3117
"200675_at" 16328 15496 17071 14468
"200676_s_at" 3582 1561 3460 18322
"200677_at" 4513 15744 4921 12439
"200678_x_at" 7009 19557 4499 16677
"200679_x_at" 17662 15490 15545 12173
"200680_x_at" 11993 15087 13546 2387
"200681_at" 16163 14262 15067 3505
"200682_s_at" 8554 16848 12761 13978
"200683_s_at" 8845 17734 18515 3017
"200684_s_at" 4228 15077 20392 14709
"200685_at" 9607 14434 19773 19968
"200686_s_at" 7726 18567 17317 20029
"200687_s_at" 9168 15570 20859 14889
"200688_at" 7429 2652 17975 21055
"200689_x_at" 11984 5221 14511 3058
"200690_at" 18563 18532 17419 22129
"200691_s_at" 19972 17196 3960 15411
"200692_s_at" 19154 15815 17648 14674
"200693_at" 16674 15635 14280 12047
"200694_s_at" 18737 14862 13209 20580
"200695_at" 10162 18253 18787 14651
"200696_s_at" 19716 20417 14536 17061
"200697_at" 2551 15292 14066 14306
"200698_at" 7481 15226 4130 15071
"200699_at" 19337 19585 17859 14785
"200700_s_at" 17318 20109 13104 14879
"200701_at" 5793 21594 17156 12764
"200702_s_at" 17994 3729 15661 16899
"200703_at" 20365 16621 16088 15733
"200704_at" 3110 3656 17662 15186
"200705_s_at" 11797 5191 4719 14068
"200706_s_at" 944 15901 643 2759
"200707_at" 5688 20840 3494 15321
"200708_at" 19141 3327 19859 16412
"200709_at" 19082 17676 17744 11734
"200710_at" 8940 15709 19629 12530
"200711_s_at" 17176 15843 15300 16110
"200712_s_at" 8256 2439 13846 2370
"200713_s_at" 8710 4565 15538 13050
"200714_x_at" 2611 13910 16343 2805
"200715_x_at" 11961 16765 4699 14037
"200716_x_at" 11981 4119 4923 3517
"200717_x_at" 11876 4197 4722 11790
"200718_s_at" 8974 15745 15980 14482
"200719_at" 18570 17410 16688 13850
"200720_s_at" 5141 14535 2520 13083
"200721_s_at" 8828 3740 4473 12347
"200722_s_at" 6170 2873 17496 15677
"200723_s_at" 6105 15431 15530 12822
"200724_at" 3223 103 17620 21166
"200725_x_at" 11841 4053 12614 2675
"200726_at" 6109 13884 18157 15512
"200727_s_at" 5646 1600 18923 2921
"200728_at" 15844 4440 16563 16536
"200729_s_at" 8112 5479 17808 16736
"200730_s_at" 4361 21623 1386 15026
"200731_s_at" 5050 21424 1823 15420
"200732_s_at" 6153 17761 1085 16027
"200733_s_at" 9738 15242 2093 21694
"200734_s_at" 4227 15473 15699 14899
"200735_x_at" 11934 14845 13365 11469
"200736_s_at" 17277 6227 18510 3952
"200737_at" 18746 16295 19009 21160
"200738_s_at" 17240 15952 14318 14549
"200739_s_at" 7530 13917 18675 1518
"200740_s_at" 16542 14223 14301 13115
"200741_s_at" 11779 2140 3675 3526
"200742_s_at" 2452 18854 14186 1169
"200743_s_at" 3496 4660 19403 17878
"200744_s_at" 9380 16233 15158 17938
"200745_s_at" 9876 3569 5277 14033
"200746_s_at" 16820 16371 16871 12309
"200747_s_at" 3041 3349 4184 15894
"200748_s_at" 17 13781 13221 1687
"200749_at" 19043 4586 15852 16439
"200750_s_at" 16655 15439 15269 12133
"200751_s_at" 7694 18069 19301 18247
"200752_s_at" 935 18882 4904 20891
"200753_x_at" 18435 4497 5346 16832
"200754_x_at" 16439 14253 4251 12966
"200755_s_at" 7191 5333 13450 13191
"200756_x_at" 9860 16858 992 14042
"200757_s_at" 6057 4144 4012 17681
"200758_s_at" 17619 19773 3342 17498
"200759_x_at" 9072 19438 14744 17174
"200760_s_at" 5978 16983 17612 12691
"200761_s_at" 8979 19158 20388 12498
"200762_at" 18315 13990 14302 14706
"200763_s_at" 11946 4583 13257 2964
"200764_s_at" 6066 19702 11730 19495
"200765_x_at" 1156 14005 8680 15425
"200766_at" 1394 16538 18907 19914
"200767_s_at" 3368 18853 21976 16517
"200768_s_at" 16892 20214 3466 17741
"200769_s_at" 2998 20865 1623 11938
"200770_s_at" 7755 4787 4811 19049
"200771_at" 412 14141 12315 19488
"200772_x_at" 11908 5476 15429 12670
"200773_x_at" 18601 16548 12346 11587
"200774_at" 9347 13945 14413 13697
"200775_s_at" 16837 16888 12356 14483
"200776_s_at" 1601 14857 4058 3176
"200777_s_at" 2475 14394 4053 13783
"200778_s_at" 3726 2181 4933 14126
"200779_at" 17772 16266 19201 11499
"200780_x_at" 9083 14968 13633 2697
"200781_s_at" 11860 3915 12444 3295
"200782_at" 4906 5035 19350 14370
"200783_s_at" 16332 19011 20032 17935
"200784_s_at" 16201 9477 311 5292
"200785_s_at" 14043 9104 4757 3814
"200786_at" 9270 16205 12728 14566
"200787_s_at" 8791 19787 20081 14569
"200788_s_at" 7949 17267 17115 1786
"200789_at" 18805 16973 18506 15810
"200790_at" 19589 14533 1883 14981
"200791_s_at" 2028 15393 13895 17424
"200792_at" 17076 14373 12796 12242
"200793_s_at" 6867 16393 19777 17196
"200794_x_at" 8055 18559 16602 12285
"200795_at" 2358 11515 12427 4481
"200796_s_at" 3210 2170 17755 13964
"200797_s_at" 4743 15178 12419 17651
"200798_x_at" 8904 14145 4860 19971
"200799_at" 14820 4854 16423 14005
"200800_s_at" 21328 994 21161 20085
"200801_x_at" 11744 15883 5041 2576
"200802_at" 19904 15613 20111 14225
"200803_s_at" 9779 16276 13421 2443
"200804_at" 9481 15228 13172 12946
"200805_at" 3032 20823 5222 17357
"200806_s_at" 16054 4994 13724 12168
"200807_s_at" 11759 5311 5526 3484
"200808_s_at" 6940 1481 15371 19360
"200809_x_at" 11764 14206 12726 3124
"200810_s_at" 5909 4114 20003 16137
"200811_at" 2303 19751 4585 11488
"200812_at" 19522 17719 18353 16859
"200813_s_at" 5526 18433 20846 2804
"200814_at" 8788 17816 15396 2934
"200815_s_at" 16796 16380 16181 17531
"200816_s_at" 3881 17369 15941 17946
"200817_x_at" 11761 8459 7565 2602
"200818_at" 9747 15839 12977 15950
"200819_s_at" 11883 14903 14820 2638
"200820_at" 18141 16010 14325 15244
"200821_at" 7614 17116 17253 18019
"200822_x_at" 6457 3599 5051 12501
