"inst_2385" "inst_7416" "inst_7458"
"1007_s_at" 3167 14074 13421
"1053_at" 2337 3131 17073
"117_at" 1829 11729 9262
"121_at" 3197 15555 18225
"1255_g_at" 9430 5222 5660
"1294_at" 955 10045 6980
"1316_at" 21042 2976 1393
"1320_at" 8980 5428 11316
"1405_i_at" 20032 5587 7903
"1431_at" 2364 12312 10370
"1438_at" 9146 1383 2448
"1487_at" 6955 20730 17898
"1494_f_at" 3637 5745 10613
"1598_g_at" 645 21175 3771
"160020_at" 2965 2176 413
"1729_at" 22062 19277 14916
"1773_at" 4843 1215 22002
"177_at" 22100 11405 11893
"179_at" 22228 4711 800
"1861_at" 18928 16404 4432
"200000_s_at" 5929 3560 14150
"200001_at" 3213 4600 4995
"200002_at" 6636 15306 17995
"200003_s_at" 10048 15120 14784
"200004_at" 17936 14513 15963
"200005_at" 16415 18103 13376
"200006_at" 4684 14528 15560
"200007_at" 17190 17293 14732
"200008_s_at" 18611 15164 15686
"200009_at" 6395 3115 4052
"200010_at" 17268 14396 14037
"200011_s_at" 6496 15895 15362
"200012_x_at" 4584 3816 2787
"200013_at" 15159 15844 15184
"200014_s_at" 5393 4105 2822
"200015_s_at" 7604 18796 17956
"200016_x_at" 18735 14983 16516
"200017_at" 10122 14300 16821
"200018_at" 10196 4558 15677
"200019_s_at" 16580 15172 16330
"200020_at" 18792 21230 13772
"200021_at" 20377 15878 4003
"200022_at" 14916 14623 4725
"200023_s_at" 16520 15892 16402
"200024_at" 16186 4135 13544
"200025_s_at" 6477 16074 14921
"200026_at" 10201 4790 4285
"200027_at" 7950 16199 14970
"200028_s_at" 16152 14919 16486
"200029_at" 10239 14030 3284
"200030_s_at" 16763 3976 3479
"200031_s_at" 10119 4949 16035
"200032_s_at" 10202 4292 3659
"200033_at" 16159 15235 17188
"200034_s_at" 5840 15900 14631
"200035_at" 2867 16078 19876
"200036_s_at" 17849 4287 5054
"200037_s_at" 17700 17751 19123
"200038_s_at" 10213 14079 3070
"200039_s_at" 14999 14036 16299
"200040_at" 6255 18062 19945
"200041_s_at" 5759 14320 4046
"200042_at" 4388 17366 14756
"200043_at" 18347 16057 21112
"200044_at" 7077 18952 17060
"200045_at" 3708 17345 3216
"200046_at" 16365 14568 18335
"200047_s_at" 16652 15512 16162
"200048_s_at" 16063 14565 16842
"200049_at" 17892 3449 20505
"200050_at" 19797 17113 17447
"200051_at" 21363 3994 20523
"200052_s_at" 18132 14413 15757
"200053_at" 21609 2440 14291
"200054_at" 5729 17453 3232
"200055_at" 16425 17429 3424
"200056_s_at" 17953 19120 20610
"200057_s_at" 16314 2953 4237
"200058_s_at" 15882 18014 13947
"200059_s_at" 15868 16736 16754
"200060_s_at" 16976 2409 14223
"200061_s_at" 10065 5058 3218
"200062_s_at" 10105 4366 3595
"200063_s_at" 16907 15908 13327
"200064_at" 17373 4204 4756
"200065_s_at" 16573 14874 3065
"200066_at" 19295 1501 13604
"200067_x_at" 16223 2218 18441
"200068_s_at" 18312 14979 14073
"200069_at" 17306 15932 14513
"200070_at" 19759 20140 13319
"200071_at" 21497 20040 15806
"200072_s_at" 19745 15973 13892
"200073_s_at" 16654 19243 18621
"200074_s_at" 16194 15078 16725
"200075_s_at" 4016 14225 19506
"200076_s_at" 6518 18243 1864
"200077_s_at" 16326 14099 17183
"200078_s_at" 15938 4935 3533
"200079_s_at" 4883 3648 3737
"200080_s_at" 7127 17715 16880
"200081_s_at" 7959 4471 14461
"200082_s_at" 6278 5031 4351
"200083_at" 20159 21543 3520
"200084_at" 15579 17672 19140
"200085_s_at" 17559 2958 3823
"200086_s_at" 7821 15019 14369
"200087_s_at" 17207 17508 20918
"200088_x_at" 10104 14289 4159
"200089_s_at" 15352 15302 3908
"200090_at" 5609 19348 16234
"200091_s_at" 16744 17763 15424
"200092_s_at" 16475 14677 14130
"200093_s_at" 20242 3123 4420
"200094_s_at" 7733 16714 14409
"200095_x_at" 10274 4886 4146
"200096_s_at" 18295 4977 2829
"200097_s_at" 6435 14224 19426
"200098_s_at" 17625 16356 15511
"200099_s_at" 10086 15292 3599
"200593_s_at" 16236 18124 14072
"200594_x_at" 18997 16794 17132
"200595_s_at" 18202 17420 18493
"200596_s_at" 18249 19934 13998
"200597_at" 16448 2689 14520
"200598_s_at" 15216 15806 16449
"200599_s_at" 19961 15197 16952
"200600_at" 3707 10017 5280
"200601_at" 16862 2701 3748
"200602_at" 18572 20988 21623
"200603_at" 7824 17567 16134
"200604_s_at" 18389 19356 14546
"200605_s_at" 5992 18006 16980
"200606_at" 14705 14866 16694
"200607_s_at" 3920 16469 4753
"200608_s_at" 17656 19394 19090
"200609_s_at" 4591 3370 17197
"200610_s_at" 18139 4848 13579
"200611_s_at" 19366 16527 16315
"200612_s_at" 16205 19930 20364
"200613_at" 21544 15632 14693
"200614_at" 15867 15338 14247
"200615_s_at" 5473 17215 14267
"200616_s_at" 5338 2600 3425
"200617_at" 3991 14474 18300
