"inst_2969" "inst_3531" "inst_5108" "inst_5533"
"1007_s_at" 21842 5534 7548 4393
"1053_at" 2195 4797 7125 3421
"117_at" 1354 9526 16085 16197
"121_at" 10951 3946 20834 1185
"1255_g_at" 17954 10283 12307 14045
"1294_at" 8941 10159 20859 2528
"1316_at" 1566 1682 21649 20532
"1320_at" 18365 13530 11198 10090
"1405_i_at" 11202 12301 16123 466
"1431_at" 16392 930 18942 1586
"1438_at" 15006 6503 22027 11317
"1487_at" 8843 16507 9530 5557
"1494_f_at" 3070 10779 5888 1654
"1598_g_at" 466 16314 7722 21164
"160020_at" 6877 11044 17294 3434
"1729_at" 12116 5923 4194 4578
"1773_at" 4301 20336 18763 3358
"177_at" 7523 10176 18093 1283
"179_at" 6816 20904 22250 21703
"1861_at" 10664 4280 9934 20239
"200000_s_at" 4719 16488 2470 7758
"200001_at" 10250 3852 18855 20659
"200002_at" 10840 5541 7055 7972
"200003_s_at" 12082 14943 8855 6497
"200004_at" 8329 6813 8628 17170
"200005_at" 9041 5461 17258 18744
"200006_at" 7772 5594 9927 7580
"200007_at" 11146 5798 7051 8048
"200008_s_at" 10448 7363 20054 8904
"200009_at" 6940 5673 8598 8382
"200010_at" 11916 7740 8131 7581
"200011_s_at" 6292 18970 8235 16824
"200012_x_at" 20880 14470 18809 19516
"200013_at" 11542 7445 5100 8294
"200014_s_at" 6775 6938 8928 8544
"200015_s_at" 5316 2653 4663 5680
"200016_x_at" 20193 5817 17268 17212
"200017_at" 12367 7637 3857 9517
"200018_at" 15502 5384 16601 8359
"200019_s_at" 9131 4442 7176 9405
"200020_at" 3821 15214 19348 3349
"200021_at" 11897 17924 12169 19626
"200022_at" 11583 15149 8706 6527
"200023_s_at" 9271 6705 17459 18872
"200024_at" 20266 5575 8861 6565
"200025_s_at" 20760 14254 9368 17506
"200026_at" 15726 3602 8163 17791
"200027_at" 10613 5493 17474 18039
"200028_s_at" 5227 17371 16883 9431
"200029_at" 20645 17532 7092 9352
"200030_s_at" 9528 5709 17066 7298
"200031_s_at" 15476 15618 12066 17491
"200032_s_at" 20265 5106 7818 7265
"200033_at" 10762 14369 6278 6872
"200034_s_at" 20499 6129 8031 6219
"200035_at" 8829 19730 4604 4374
"200036_s_at" 10836 15323 8506 6950
"200037_s_at" 7471 5175 9293 7652
"200038_s_at" 15689 14299 8948 8288
"200039_s_at" 7829 4894 8758 5417
"200040_at" 5646 7182 5393 6430
"200041_s_at" 5608 5313 7289 6270
"200042_at" 11119 14802 7972 7606
"200043_at" 8114 2001 6449 9420
"200044_at" 7566 5000 8539 4815
"200045_at" 9420 15458 18294 5510
"200046_at" 6521 20176 17951 7746
"200047_s_at" 6409 18307 8060 9718
