"inst_1766" "inst_2759" "inst_5739" "inst_6217"
"1007_s_at" 7585 13870 5905 18684
"1053_at" 18729 17439 10322 21136
"117_at" 2609 10011 15907 13983
"121_at" 5924 858 8988 5206
"1255_g_at" 11895 6628 15988 13053
"1294_at" 6525 17464 19509 548
"1316_at" 7211 1270 20596 2724
"1320_at" 8448 6175 513 8858
"1405_i_at" 19575 3432 13637 11262
"1431_at" 11391 4474 2105 14559
"1438_at" 10134 21961 10377 20552
"1487_at" 3011 19051 19557 2245
"1494_f_at" 21314 15059 3079 16638
"1598_g_at" 22269 13701 2853 22210
"160020_at" 19951 20459 20271 21426
"1729_at" 19901 11153 21272 20859
"1773_at" 14431 12863 4850 2175
"177_at" 3653 9065 3828 13384
"179_at" 6341 889 8858 571
"1861_at" 13051 11374 11097 21165
"200000_s_at" 6829 17917 8148 1901
"200001_at" 20729 15273 8683 3316
"200002_at" 4140 2414 19011 7539
"200003_s_at" 7712 2626 10263 8477
"200004_at" 20125 12010 10891 9250
"200005_at" 20063 13264 16930 4158
"200006_at" 20300 11787 17536 8127
"200007_at" 3334 10954 9866 5234
"200008_s_at" 6256 20298 4182 5021
"200009_at" 6106 13475 10707 4526
"200010_at" 7781 2793 17682 3182
"200011_s_at" 18404 14956 10390 7581
"200012_x_at" 18374 3078 18702 18054
"200013_at" 7098 3119 17642 19513
"200014_s_at" 5007 12791 17137 5601
"200015_s_at" 4034 15310 8365 6929
"200016_x_at" 5557 10748 11066 18521
"200017_at" 6600 5532 17573 9387
"200018_at" 5260 2378 19346 19678
"200019_s_at" 5253 10962 9071 18892
"200020_at" 7782 12884 6524 7046
"200021_at" 7020 2632 10784 12707
"200022_at" 18843 2546 10563 6723
"200023_s_at" 4923 11322 8053 5957
"200024_at" 7751 10884 20697 8250
"200025_s_at" 7096 1780 8779 7096
"200026_at" 7758 1973 18131 21367
"200027_at" 1553 16343 17103 4288
"200028_s_at" 6825 15182 3500 2576
"200029_at" 7240 2338 10301 9321
"200030_s_at" 7006 10975 7848 7968
"200031_s_at" 7878 5491 12673 9476
"200032_s_at" 19860 5536 18658 19646
"200033_at" 1218 10673 8424 7520
"200034_s_at" 7744 2816 11089 20283
"200035_at" 21406 13939 17581 4573
"200036_s_at" 5684 2915 9751 18923
"200037_s_at" 6883 11256 10479 5019
"200038_s_at" 7116 2332 17266 18376
"200039_s_at" 3771 17063 7351 3868
"200040_at" 3900 16815 9242 7544
"200041_s_at" 8001 14097 7752 4847
"200042_at" 18364 14954 16852 4075
"200043_at" 1584 1112 7938 8197
"200044_at" 5029 14762 9562 7852
"200045_at" 782 12296 9211 7721
"200046_at" 5490 14200 7455 2439
"200047_s_at" 1159 2035 6809 1156
"200048_s_at" 3668 11850 10037 5705
"200049_at" 5270 20083 9125 19171
"200050_at" 1894 12065 17098 5784
"200051_at" 518 14939 8472 19691
"200052_s_at" 3542 18576 10136 7119
"200053_at" 1404 21194 9470 7292
"200054_at" 2559 15665 9735 19667
"200055_at" 5758 13542 7999 2928
"200056_s_at" 5958 12121 8138 1525
"200057_s_at" 7734 14352 11015 7257
"200058_s_at" 5790 13353 8226 5628
"200059_s_at" 4062 11742 8908 8168
"200060_s_at" 4860 11689 9731 5634
"200061_s_at" 7490 5490 12672 19164
"200062_s_at" 19576 5343 12639 19154
"200063_s_at" 2078 5589 10353 7998
"200064_at" 7676 12094 11057 6996
"200065_s_at" 19158 15297 9721 6087
"200066_at" 18817 20266 17618 6263
"200067_x_at" 5208 14348 7216 3935
"200068_s_at" 6795 12947 6994 6971
"200069_at" 4424 11681 5177 7588
"200070_at" 4168 15541 3576 8001
"200071_at" 6195 11882 3376 1043
"200072_s_at" 7154 14686 10562 6198
"200073_s_at" 3429 14429 17689 19534
"200074_s_at" 8126 11467 17824 8963
"200075_s_at" 2802 14199 17066 18920
"200076_s_at" 4607 12169 10064 8105
"200077_s_at" 18399 2353 17269 7409
"200078_s_at" 2498 12591 9154 5287
"200079_s_at" 8083 19179 8477 7014
"200080_s_at" 4503 1389 19515 20913
"200081_s_at" 7059 11291 18031 7083
"200082_s_at" 20293 2833 18842 19395
"200083_at" 4139 11898 5192 18650
