"inst_1762" "inst_2754" "inst_4480" "inst_6816"
"1007_s_at" 18643 11041 2693 11676
"1053_at" 13901 18554 9551 15667
"117_at" 903 5666 11795 9273
"121_at" 15395 20197 3481 17415
"1255_g_at" 6974 6402 13782 7244
"1294_at" 1854 723 873 14026
"1316_at" 14878 11492 9148 1746
"1320_at" 3347 140 19460 749
"1405_i_at" 15017 6310 14690 6757
"1431_at" 4049 4169 4111 2872
"1438_at" 6724 14863 3522 15224
"1487_at" 16096 14993 2682 20033
"1494_f_at" 20744 13127 313 11180
"1598_g_at" 20847 21842 21330 13772
"160020_at" 17813 2122 1060 12488
"1729_at" 22024 20039 209 13419
"1773_at" 799 2670 20621 20420
"177_at" 21146 7602 5357 623
"179_at" 21903 15892 21882 2290
"1861_at" 11381 10568 17003 17817
"200000_s_at" 13069 13662 6196 10893
"200001_at" 1981 13837 5298 14613
"200002_at" 14575 10920 16874 3849
"200003_s_at" 14362 11058 12558 5983
"200004_at" 17782 11623 6377 13720
"200005_at" 15788 14891 5456 12593
"200006_at" 14457 11490 9482 14425
"200007_at" 14838 10967 8298 11791
"200008_s_at" 21121 13760 18795 11932
"200009_at" 14329 11529 7747 10859
"200010_at" 17532 11054 8570 3661
"200011_s_at" 785 12463 4664 17236
"200012_x_at" 703 2488 17887 2487
"200013_at" 16799 10953 18451 11854
"200014_s_at" 18252 13233 6314 15318
"200015_s_at" 17307 17895 17214 17121
"200016_x_at" 13930 10298 16910 11734
"200017_at" 1242 5402 17125 6124
"200018_at" 13323 10456 12665 6113
"200019_s_at" 15759 12425 9644 10702
"200020_at" 15551 16240 5900 3357
"200021_at" 165 2336 12807 6287
"200022_at" 13098 10472 10803 6005
"200023_s_at" 13142 15938 7904 14485
"200024_at" 13934 11089 18498 3429
"200025_s_at" 1491 12878 17400 13250
"200026_at" 18704 2462 18539 6294
"200027_at" 14432 16258 4966 13290
"200028_s_at" 14676 14636 2726 11976
"200029_at" 13492 2326 17402 10933
