"inst_1705" "inst_1827" "inst_1868" "inst_5078" "inst_5498"
"1007_s_at" 5493 8239 16179 19641 2849
"1053_at" 2923 9202 5611 20236 10067
"117_at" 16306 13648 702 10909 14657
"121_at" 8099 7704 5875 4499 18405
"1255_g_at" 16474 12616 11516 9067 11238
"1294_at" 8985 13593 20461 2127 2928
"1316_at" 16301 16678 547 21520 1857
"1320_at" 18905 16605 14669 16094 16295
"1405_i_at" 20068 12684 8941 1367 12676
"1431_at" 18508 4565 17918 4817 20154
"1438_at" 2335 10567 18518 20018 20284
"1487_at" 9060 10909 2566 18059 5242
"1494_f_at" 7743 14437 5065 132 20580
"1598_g_at" 5677 2842 7967 3754 18606
"160020_at" 22106 1690 819 22070 22161
"1729_at" 6052 3209 1087 12076 10692
"1773_at" 3616 9758 4464 5028 280
"177_at" 16483 14276 5825 21048 11882
"179_at" 2437 21060 20611 18234 8
"1861_at" 11874 7169 8324 13259 2723
"200000_s_at" 10677 12119 1809 3558 7374
"200001_at" 8707 8062 7920 14187 8598
"200002_at" 20715 12206 20832 15139 6331
"200003_s_at" 11814 21584 20498 8309 5519
"200004_at" 8763 21053 10001 13548 8602
"200005_at" 10067 6669 8589 4849 6921
"200006_at" 11468 21680 20200 14827 18437
"200007_at" 9904 7460 9693 13795 7747
"200008_s_at" 3810 3902 2164 4862 10486
"200009_at" 11011 11608 10480 13347 9506
"200010_at" 11761 11163 10549 14004 8341
"200011_s_at" 8544 10333 9397 13683 7091
"200012_x_at" 21264 21844 20430 14651 19238
"200013_at" 11162 21496 20358 18245 9732
"200014_s_at" 9023 8865 8697 15370 7801
"200015_s_at" 7335 10177 9965 16872 10222
"200016_x_at" 11027 10661 9154 4871 11059
"200017_at" 20807 21025 20950 13181 8424
"200018_at" 12164 12358 10050 12102 18359
"200019_s_at" 12230 11946 20926 12569 9596
"200020_at" 7925 722 6255 13089 10352
"200021_at" 21445 12210 21371 8458 13133
"200022_at" 20881 12128 20547 13184 5703
"200023_s_at" 11179 9971 9588 5570 7807
"200024_at" 11886 21170 20819 16789 20277
"200025_s_at" 12079 11744 20582 14095 18877
"200026_at" 20947 11805 20505 12230 10861
"200027_at" 9319 11344 10948 15960 10030
"200028_s_at" 8495 5633 8280 13118 18353
"200029_at" 10039 11436 20886 14815 8170
"200030_s_at" 20651 11154 20364 6086 10536
"200031_s_at" 11974 21536 20418 8371 19174
"200032_s_at" 12197 21853 10847 15468 19673
"200033_at" 10880 11262 10424 13359 9317
"200034_s_at" 11035 21857 20835 13416 19491
"200035_at" 7097 21461 104 2560 17917
"200036_s_at" 11214 11655 20197 11968 18493
"200037_s_at" 8198 9052 9170 16460 8186
"200038_s_at" 20824 11754 10319 13114 9528
"200039_s_at" 11107 12108 9015 16472 10096
"200040_at" 7393 4606 8946 16135 8758
"200041_s_at" 9208 8731 9633 6217 8430
"200042_at" 10540 10224 10369 13778 4431
"200043_at" 11943 5444 9941 12511 20965
"200044_at" 7506 8373 6394 12480 8218
"200045_at" 11438 10348 8620 12144 5036
"200046_at" 5833 10630 9297 14883 2553
"200047_s_at" 10079 8159 20471 18116 4748
"200048_s_at" 11382 9528 5330 12837 9618
"200049_at" 5902 7939 20054 15182 2797
"200050_at" 9890 3219 4346 17255 5792
"200051_at" 5426 8293 1456 16958 7540
"200052_s_at" 7329 9830 3916 5352 5827
"200053_at" 12228 10664 20093 3511 17916
"200054_at" 11710 11845 21683 12593 8004
"200055_at" 6559 12073 7940 4896 8653
"200056_s_at" 5498 3915 8920 15513 10886
"200057_s_at" 9876 7422 10933 4708 9767
"200058_s_at" 4850 7980 7854 12860 6023
"200059_s_at" 9710 10675 20004 5443 4629
"200060_s_at" 8672 7136 8739 15342 7848
"200061_s_at" 21111 21840 20927 8370 18936
"200062_s_at" 21172 21635 10959 8300 18343
"200063_s_at" 21705 21821 20729 8411 13097
"200064_at" 10087 10524 9289 5318 8091
"200065_s_at" 9325 21014 8698 5906 10257
"200066_at" 4808 6982 10853 4000 11024
"200067_x_at" 10643 8543 10136 15202 8608
"200068_s_at" 9598 8590 9062 6070 9903
"200069_at" 4586 1029 19939 15194 5240
"200070_at" 11751 365 4460 5691 19059
"200071_at" 7338 1839 8686 14448 3522
"200072_s_at" 9242 6745 6691 4418 18414
"200073_s_at" 7655 10644 8258 17933 8031
"200074_s_at" 10214 11955 10390 15643 10640
"200075_s_at" 4231 10679 2090 17484 4939
"200076_s_at" 9134 5063 9110 14464 5574
"200077_s_at" 11525 10764 20946 13296 10276
"200078_s_at" 6011 5893 6201 5110 4098
"200079_s_at" 11067 7889 6195 14179 8839
"200080_s_at" 9984 9832 20685 3689 11074
"200081_s_at" 10949 10166 10252 13171 10939
"200082_s_at" 12162 11870 10743 15441 9051
"200083_at" 4989 5897 4019 17063 6655
"200084_at" 10080 4174 8134 5666 8134
"200085_s_at" 11649 10635 7990 12044 8690
"200086_s_at" 11050 12036 7521 17924 18046
"200087_s_at" 12046 11689 9013 14131 7440
"200088_x_at" 21319 21256 10432 12161 18134
"200089_s_at" 11704 21129 20047 13926 18972
"200090_at" 9727 8852 10167 17632 20599
"200091_s_at" 9297 12086 7564 18981 18676
"200092_s_at" 20667 21493 21246 3803 10097
"200093_s_at" 7292 9862 19990 16303 9626
"200094_s_at" 10772 10254 10783 13599 10887
"200095_x_at" 21429 21115 10770 8444 11108
"200096_s_at" 5481 5426 9497 20694 3076
"200097_s_at" 5375 7966 7206 12444 4105
"200098_s_at" 10568 9785 8986 16145 8903
"200099_s_at" 21289 21253 21174 14122 18427
"200593_s_at" 8574 9384 3996 14406 9486
"200594_x_at" 9803 5532 10597 12911 9950
"200595_s_at" 6100 1784 9902 4593 8532
"200596_s_at" 2608 8629 5929 13010 5780
"200597_at" 8261 8986 3890 3311 20340
"200598_s_at" 3736 10925 8176 16538 9889
"200599_s_at" 11758 9448 20842 14914 18251
"200600_at" 19998 6956 20324 6269 9809
"200601_at" 165 2371 21805 20687 1847
"200602_at" 591 10157 3441 17332 8961
"200603_at" 4601 6963 9727 15339 6964
"200604_s_at" 8720 3606 1230 4216 8966
"200605_s_at" 4129 2726 19953 17868 3838
"200606_at" 7423 7412 16650 19654 17942
"200607_s_at" 4236 10171 2788 15362 7200
"200608_s_at" 5057 9545 9471 14868 7087
"200609_s_at" 21483 8861 8595 12243 7960
"200610_s_at" 10738 7875 19945 3677 10647
"200611_s_at" 8988 6991 8036 4859 3394
"200612_s_at" 7128 477 5158 20486 10072
"200613_at" 9441 9376 4001 4545 6801
"200614_at" 20765 10539 7692 11928 18495
"200615_s_at" 12078 2618 6081 12604 10752
"200616_s_at" 9881 9114 5580 18409 6422
"200617_at" 6091 6658 3907 14194 9940
"200618_at" 8958 4129 10400 17319 7321
"200619_at" 3980 4674 4951 5885 19032
"200620_at" 5312 5401 6669 16409 4147
"200621_at" 8371 8881 6555 12689 8626
"200622_x_at" 9149 3935 6474 13486 18704
"200623_s_at" 8849 7246 3089 14425 9387
"200624_s_at" 10007 2483 5758 4073 9647
"200625_s_at" 10573 4154 8188 5797 8973
