"inst_4983" "inst_7507" "inst_7511" "inst_7525"
"1007_s_at" 13443 13629 2237 14178
"1053_at" 1099 13280 12589 13837
"117_at" 7982 10682 2113 7515
"121_at" 14413 3217 16830 21089
"1255_g_at" 4788 8529 9117 8689
"1294_at" 13042 11507 13066 15504
"1316_at" 1380 15296 19466 18016
"1320_at" 10555 12209 13844 10924
"1405_i_at" 792 8665 4435 10388
"1431_at" 1210 7548 11102 12023
"1438_at" 18697 102 21541 124
"1487_at" 16673 2947 16344 3471
"1494_f_at" 11835 6028 1290 14350
"1598_g_at" 21269 14237 17315 587
"160020_at" 2385 1975 16406 15367
"1729_at" 19019 3001 2574 4147
"1773_at" 15857 10440 19005 14528
"177_at" 2767 12228 10811 21579
"179_at" 1086 4556 16806 14461
"1861_at" 1023 2592 15073 2420
"200000_s_at" 11851 4290 17163 18455
"200001_at" 1552 3193 11922 4546
"200002_at" 3017 4842 11576 5646
"200003_s_at" 2447 5295 2973 4874
"200004_at" 3289 12985 14614 13090
"200005_at" 13826 17129 14920 16225
"200006_at" 4350 13516 11391 3932
"200007_at" 2703 14580 11745 12482
"200008_s_at" 2902 15010 21768 5015
"200009_at" 11869 13251 14138 13118
"200010_at" 2472 12913 12752 5728
"200011_s_at" 4129 4361 11902 12969
"200012_x_at" 11670 12970 3294 13307
"200013_at" 2999 12734 11369 4174
"200014_s_at" 2983 13606 15230 12812
"200015_s_at" 4115 15171 13913 4729
"200016_x_at" 3728 13734 13672 15253
"200017_at" 6961 14103 3558 5612
"200018_at" 4162 13190 3900 4038
"200019_s_at" 2455 12670 3318 3225
"200020_at" 14932 19669 18001 16310
"200021_at" 4535 4628 11318 12999
"200022_at" 11724 12428 2626 5408
"200023_s_at" 3271 12401 11731 5520
"200024_at" 3577 4858 3950 3557
"200025_s_at" 4073 12661 3672 5349
"200026_at" 12603 4959 3414 5380
"200027_at" 12577 15450 15473 12731
"200028_s_at" 20368 17222 13471 17308
"200029_at" 11970 4832 3488 5681
"200030_s_at" 11807 4041 13261 4563
"200031_s_at" 3308 5348 3261 4986
"200032_s_at" 4112 5161 3036 4137
