"inst_1591" "inst_3207" "inst_5288" "inst_6688"
"1007_s_at" 4822 18954 1319 17991
"1053_at" 1912 19950 19546 4199
"117_at" 8382 8094 16168 12204
"121_at" 16648 15859 21394 8665
"1255_g_at" 6368 8631 14759 15553
"1294_at" 3738 21441 11723 2225
"1316_at" 552 19036 15258 21322
"1320_at" 12918 9156 11790 3564
"1405_i_at" 4573 9646 15028 21431
"1431_at" 7394 447 16040 17329
"1438_at" 14191 955 19916 8933
"1487_at" 4302 5066 8402 4538
"1494_f_at" 20933 16732 14241 5151
"1598_g_at" 816 14242 21182 20269
"160020_at" 1278 3801 3391 3335
"1729_at" 20013 3165 345 5690
"1773_at" 12558 18479 21898 1574
"177_at" 1269 10080 18068 8615
"179_at" 252 22228 7888 10198
"1861_at" 4274 2518 19333 10973
"200000_s_at" 17293 4441 511 10077
"200001_at" 3439 14687 21028 7941
"200002_at" 3884 16960 6095 7900
"200003_s_at" 16692 8788 6570 12823
"200004_at" 20834 14862 5404 7232
"200005_at" 15903 13748 5459 5976
"200006_at" 16226 6421 5729 11005
"200007_at" 19853 15406 6286 10909
"200008_s_at" 20657 4316 20944 841
"200009_at" 19043 6572 7394 5091
"200010_at" 20085 15291 8160 3514
"200011_s_at" 17842 17176 5273 7042
"200012_x_at" 4740 13905 19927 19158
"200013_at" 18936 6655 6332 8565
"200014_s_at" 16800 13508 4029 18514
"200015_s_at" 18082 14039 3350 10971
"200016_x_at" 18050 15809 7509 19122
"200017_at" 2295 8887 3511 17143
"200018_at" 16652 8879 6924 17993
"200019_s_at" 19468 6414 4006 10425
"200020_at" 20609 5935 1805 5433
"200021_at" 2177 8968 20710 12942
"200022_at" 3139 5918 8390 8541
"200023_s_at" 2811 16134 2771 17599
"200024_at" 4552 5642 19484 17248
"200025_s_at" 2865 16342 7384 18045
"200026_at" 19260 13617 20624 17128
"200027_at" 16503 6084 5910 19117
"200028_s_at" 15623 6377 4117 9796
"200029_at" 1913 13564 20068 9073
"200030_s_at" 18881 16436 8017 8422
"200031_s_at" 15816 8870 19798 12871
"200032_s_at" 4801 8889 19606 18024
"200033_at" 16674 13913 2071 10540
"200034_s_at" 18080 14897 18876 6212
"200035_at" 21972 18337 3339 7409
"200036_s_at" 4334 4660 7733 18041
"200037_s_at" 4148 14410 5123 18304
"200038_s_at" 16411 6125 8639 8819
"200039_s_at" 3730 14423 5171 5039
"200040_at" 22254 15222 4444 7842
"200041_s_at" 16870 5359 4012 3647
"200042_at" 2556 5839 7501 6457
"200043_at" 2485 6688 983 17556
"200044_at" 18079 17017 5760 4549
"200045_at" 1709 5365 7526 8116
"200046_at" 19583 17019 5412 6131
"200047_s_at" 19534 16975 5061 18139
"200048_s_at" 1780 14864 5271 10823
"200049_at" 21752 14193 5245 3853
"200050_at" 4184 16040 7093 18614
"200051_at" 3053 4098 3580 19772
"200052_s_at" 17195 13644 18989 5465
"200053_at" 17376 5496 9473 3627
"200054_at" 2228 3132 3758 5859
"200055_at" 16470 14288 5303 8504
"200056_s_at" 18535 17817 1886 19034
"200057_s_at" 15939 5263 5656 10907
"200058_s_at" 4576 4496 4236 7798
"200059_s_at" 3577 6517 9072 8246
"200060_s_at" 18633 17266 4097 7233
"200061_s_at" 4861 8867 19921 12869
"200062_s_at" 16118 8774 19535 12817
"200063_s_at" 20196 8924 21398 17800
"200064_at" 18844 3042 9310 6132
"200065_s_at" 17102 4413 20048 6940
"200066_at" 19333 5373 8757 4644
"200067_x_at" 19484 16260 6605 17567
"200068_s_at" 20004 15695 2777 9055
"200069_at" 4439 5227 4793 19193
"200070_at" 22270 15288 18878 20401
"200071_at" 20937 6468 427 7452
"200072_s_at" 19608 6403 7168 4692
"200073_s_at" 19245 17563 8756 9703
"200074_s_at" 15646 15993 8133 8226
"200075_s_at" 15823 15663 7000 7048
"200076_s_at" 3885 15169 5897 9058
"200077_s_at" 4827 14462 8851 9982
"200078_s_at" 3555 16483 5368 17962
"200079_s_at" 18368 6360 19660 8820
"200080_s_at" 19320 14982 7337 19922
"200081_s_at" 18508 13424 5920 3202
"200082_s_at" 16292 7020 8774 6380
"200083_at" 17639 3497 1463 9310
"200084_at" 18122 15781 4846 7645
"200085_s_at" 15628 5284 4398 11270
"200086_s_at" 17748 5612 6542 19578
"200087_s_at" 20701 17094 2640 5880
"200088_x_at" 15632 8782 9494 18988
"200089_s_at" 16654 14757 9372 11249
"200090_at" 18639 15657 5939 17832
"200091_s_at" 16182 15793 7612 10952
"200092_s_at" 19676 6117 19914 19245
"200093_s_at" 4545 6532 6921 10284
"200094_s_at" 18070 5790 20558 7906
