"inst_460" "inst_485" "inst_573" "inst_3417" "inst_3760" "inst_3842" "inst_3936" "inst_4317"
"1007_s_at" 15845 6331 16727 13226 12641 4957 5341 7070
"1053_at" 1460 19366 3501 12784 15304 3657 12040 17190
"117_at" 18690 1873 16345 9937 2893 13691 6698 61
"121_at" 14541 14418 5362 21573 3160 18178 17724 20460
"1255_g_at" 6893 10406 8068 9296 8870 9267 9284 7104
"1294_at" 22148 5990 1051 8204 21452 16203 21983 2832
"1316_at" 18654 1067 1595 8484 18584 21879 18768 20479
"1320_at" 4893 12409 5193 6070 655 19702 22143 933
"1405_i_at" 5762 9258 9208 7066 5484 9844 7669 12997
"1431_at" 10934 11107 16371 7902 19781 17545 20397 3668
"1438_at" 950 13942 20523 2045 1301 2684 13169 3912
"1487_at" 18143 17575 6278 14066 15100 20064 21713 16271
"1494_f_at" 17978 2191 3755 521 2002 21194 5738 21876
"1598_g_at" 818 2493 17236 14542 18327 2900 22135 20597
"160020_at" 16415 21428 4190 3751 12646 32 3644 21241
"1729_at" 19929 4958 4853 4311 2274 17617 16997 17535
"1773_at" 592 907 5798 1426 5294 19455 18340 471
"177_at" 7869 6192 1315 8768 21557 18677 3059 937
"179_at" 11478 14726 2512 22084 11821 21663 21477 7310
"1861_at" 17235 2946 18134 21243 4780 16513 4317 18637
"200000_s_at" 13807 5828 19355 14537 4200 2756 16467 5499
"200001_at" 12116 14319 15604 14591 4051 7519 4586 4721
"200002_at" 15353 16989 4037 14053 14945 14379 4352 15781
"200003_s_at" 2069 5593 5865 15601 6752 9806 7896 10201
"200004_at" 18917 16764 13594 13300 11662 15366 12317 14164
"200005_at" 13770 2982 13010 15671 11617 5408 13505 5747
"200006_at" 1501 2404 17886 4489 4932 15792 4426 7069
"200007_at" 11578 13747 15258 14720 13322 5192 17206 8385
"200008_s_at" 14622 14589 13891 14852 4036 17908 13187 1195
"200009_at" 13923 13382 5881 13829 5234 14380 5458 8576
"200010_at" 1286 1151 17928 14783 3356 7012 14210 7649
"200011_s_at" 17351 6339 17278 15720 12146 4479 12714 16344
"200012_x_at" 11395 13783 3996 12908 11088 15018 4895 8401
"200013_at" 11361 16883 5142 14285 5177 16201 5491 15784
"200014_s_at" 15277 4432 15802 15117 11876 20107 5472 6358
"200015_s_at" 14610 14053 5465 17013 15487 15601 13127 7228
"200016_x_at" 17104 17141 17791 14199 10657 15682 13767 7707
"200017_at" 1284 1054 12772 13663 6839 9933 8021 10296
"200018_at" 2011 4637 13868 3032 6834 9922 8009 10286
"200019_s_at" 13024 15492 15603 14391 5042 4512 13977 8495
"200020_at" 15338 15701 18738 17157 4938 5719 13905 15321
"200021_at" 1311 4140 14627 16788 6920 10053 8141 14255
"200022_at" 15398 14775 4322 4325 4485 7722 7918 6363
"200023_s_at" 15267 14594 15176 13651 14048 4188 14044 14906
"200024_at" 738 14536 14915 14815 4003 5785 4940 8044
"200025_s_at" 988 5996 5242 16655 14088 7697 8005 15840
"200026_at" 2697 13808 2770 3486 10986 5604 8143 8270
"200027_at" 15263 14204 14860 2954 14161 15949 15370 7311
"200028_s_at" 19264 4058 13277 13861 11917 4966 13450 17766
"200029_at" 1191 6083 16708 4342 13116 6058 12370 6414
"200030_s_at" 15098 14089 15706 14000 4795 7052 12258 6777
"200031_s_at" 1379 3222 5236 12859 6828 9907 7995 10278
"200032_s_at" 1547 3871 13295 2437 6841 9935 8026 8339
"200033_at" 13028 15337 18890 13105 13899 17748 13988 7269
"200034_s_at" 12911 14467 12901 3918 11777 7704 7903 14329
