"inst_3144" "inst_5118" "inst_5543" "inst_6523"
"1007_s_at" 16787 14273 4842 5992
"1053_at" 20849 17891 6314 4875
"117_at" 14922 9463 12158 9966
"121_at" 17953 6003 6167 18524
"1255_g_at" 9137 6464 8468 7098
"1294_at" 6273 1092 5021 5536
"1316_at" 272 16399 1655 1233
"1320_at" 9675 593 9670 425
"1405_i_at" 2448 4725 9376 8461
"1431_at" 16422 19475 13060 4288
"1438_at" 12608 19758 14460 12254
"1487_at" 2080 17272 5884 20261
"1494_f_at" 17956 11464 15087 15724
"1598_g_at" 251 12999 18723 5140
"160020_at" 5616 21655 4045 18690
"1729_at" 13782 16043 7772 18121
"1773_at" 20959 15777 7390 22009
"177_at" 18298 3968 10623 19490
"179_at" 17733 6150 1137 12499
"1861_at" 20644 15454 17985 4402
"200000_s_at" 15938 4210 17102 13944
"200001_at" 14844 14676 16193 4480
"200002_at" 14991 5617 16644 13411
"200003_s_at" 8267 6171 17739 6003
"200004_at" 4808 13628 17342 20024
"200005_at" 17110 6274 16302 14893
"200006_at" 15076 14327 15888 14493
"200007_at" 16322 2879 6286 5413
"200008_s_at" 22072 5907 7337 20615
"200009_at" 15277 18131 7588 15969
"200010_at" 14244 15775 17462 13743
"200011_s_at" 2574 18672 20244 13471
"200012_x_at" 4899 4264 14841 3666
"200013_at" 15170 14114 14862 12671
"200014_s_at" 16697 15329 7312 17758
"200015_s_at" 3997 15299 7466 15140
"200016_x_at" 6120 4195 15325 5988
"200017_at" 8401 5232 15420 5912
"200018_at" 8386 3125 15319 12897
"200019_s_at" 5485 2699 7197 5046
"200020_at" 19593 17258 7886 12697
"200021_at" 4406 8264 10240 8227
"200022_at" 14387 12897 17227 5332
"200023_s_at" 13517 4993 15813 14555
"200024_at" 13214 13219 5370 14928
"200025_s_at" 5489 5508 8177 12742
"200026_at" 8542 15123 5981 13098
"200027_at" 6034 5543 7250 17965
"200028_s_at" 3212 16799 7978 12657
"200029_at" 5213 12597 6315 5438
"200030_s_at" 14869 15124 6047 14377
"200031_s_at" 8374 8178 5106 4617
"200032_s_at" 8404 12344 15435 6018
"200033_at" 14744 15714 15591 15403
"200034_s_at" 5644 13265 14868 13881
"200035_at" 102 5894 6804 5201
