"inst_1596" "inst_3212" "inst_5292" "inst_6693"
"1007_s_at" 572 7057 17011 6576
"1053_at" 1416 21008 19506 19634
"117_at" 12250 13391 6889 1584
"121_at" 19400 19233 2500 6763
"1255_g_at" 12242 9229 11025 12473
"1294_at" 2617 21440 4494 4744
"1316_at" 12744 1747 10479 15417
"1320_at" 15942 9465 8188 6843
"1405_i_at" 788 13145 7950 20975
"1431_at" 16933 21392 8704 22036
"1438_at" 12349 696 19591 4939
"1487_at" 4940 7125 1481 19292
"1494_f_at" 21175 1899 12110 20654
"1598_g_at" 1106 20788 21845 17710
"160020_at" 3069 19744 8131 18355
"1729_at" 21634 7232 3003 21568
"1773_at" 5736 3675 4650 9330
"177_at" 6138 8223 7649 8364
"179_at" 1458 15623 3295 271
"1861_at" 9681 5976 1310 19219
"200000_s_at" 19220 15235 19303 18036
"200001_at" 4922 7114 17716 5282
"200002_at" 18675 13651 3682 6257
"200003_s_at" 6063 8976 3287 11204
"200004_at" 4582 6886 4299 7038
"200005_at" 18464 6280 18223 7409
"200006_at" 1761 13668 5143 15266
"200007_at" 5534 5522 4020 9201
"200008_s_at" 21014 2099 2479 1846
"200009_at" 6195 5613 4151 7966
"200010_at" 5473 15497 15940 3076
"200011_s_at" 3445 18429 19747 7005
"200012_x_at" 18578 13782 17386 15436
"200013_at" 4970 14710 15505 17797
"200014_s_at" 4334 15240 17743 18235
"200015_s_at" 17897 3984 3237 16212
"200016_x_at" 5997 5494 3138 16459
"200017_at" 4112 9065 2254 16475
"200018_at" 19209 9058 3296 16265
"200019_s_at" 20173 4899 5583 16429
"200020_at" 21503 14811 15844 7386
"200021_at" 21597 9143 18632 11319
"200022_at" 19301 13759 4420 8485
"200023_s_at" 4495 15886 5191 17405
"200024_at" 5836 7237 5578 9745
"200025_s_at" 5862 15514 3901 16210
"200026_at" 1552 9145 5041 9274
"200027_at" 4509 4765 15215 9242
"200028_s_at" 18215 15689 19905 8968
"200029_at" 4992 14246 16452 7343
"200030_s_at" 6772 7248 5503 9758
"200031_s_at" 19039 9050 16437 11253
"200032_s_at" 4658 9068 5294 16811
"200033_at" 5044 6205 1468 15903
"200034_s_at" 4874 13844 17417 5833
"200035_at" 21518 20988 3686 3206
"200036_s_at" 18452 14020 15798 18296
"200037_s_at" 18229 4803 3808 19024
"200038_s_at" 19137 6360 4518 9395
"200039_s_at" 6722 15494 15364 8749
"200040_at" 3041 15543 15371 9590
"200041_s_at" 18110 6241 15501 7635
"200042_at" 6094 5281 16646 9433
"200043_at" 1446 5400 1679 6984
"200044_at" 5589 15134 3662 8869
"200045_at" 19020 16855 20837 9483
"200046_at" 2412 18933 2043 5347
"200047_s_at" 6689 6411 5115 17475
"200048_s_at" 5314 16034 4388 15753
"200049_at" 3826 16738 18238 4008
"200050_at" 19078 5122 4363 17592
"200051_at" 19639 19147 19016 19497
"200052_s_at" 5636 14542 5094 7728
"200053_at" 21515 3533 4527 6885
"200054_at" 18134 14768 5585 9115
"200055_at" 6715 17825 19152 18829
"200056_s_at" 1408 16892 1572 20163
"200057_s_at" 5342 5722 15984 15270
"200058_s_at" 5746 6678 16154 16624
"200059_s_at" 3137 5686 15367 8321
"200060_s_at" 2826 14827 18655 8560
"200061_s_at" 19640 9047 5718 11251
"200062_s_at" 18260 8963 15794 11197
"200063_s_at" 20319 9099 18302 11279
"200064_at" 18636 4854 5127 7511
"200065_s_at" 17923 6032 3239 6652
"200066_at" 19825 15713 4716 4251
"200067_x_at" 1725 4656 4043 16638
"200068_s_at" 5191 15436 3965 4425
"200069_at" 2196 19111 21073 15303
"200070_at" 1993 17531 22137 19832
"200071_at" 2240 13802 18624 6671
"200072_s_at" 19528 6521 4727 15527
"200073_s_at" 18533 16666 5630 17064
"200074_s_at" 2698 15799 3607 7277
"200075_s_at" 18169 14201 16475 8282
"200076_s_at" 20030 6371 19499 7571
"200077_s_at" 19919 13937 5252 9016
"200078_s_at" 4489 14361 1244 6929
"200079_s_at" 18741 15828 18309 15432
"200080_s_at" 19944 13959 3451 8223
"200081_s_at" 6639 4597 3723 2956
"200082_s_at" 4098 5933 4482 6048
"200083_at" 20259 7069 4565 17174
"200084_at" 3394 15583 5591 6196
"200085_s_at" 6298 16011 16286 15962
"200086_s_at" 3204 14320 2987 19679
"200087_s_at" 4030 14938 1908 4014
"200088_x_at" 19057 8971 5421 9206
"200089_s_at" 17986 14744 4801 15972
"200090_at" 2062 20806 22034 17582
"200091_s_at" 6308 15423 3855 16289
"200092_s_at" 19824 5857 16294 15587
"200093_s_at" 3049 15272 16540 17935
"200094_s_at" 6060 3614 16967 9394
"200095_x_at" 19177 9140 5544 15191
"200096_s_at" 5995 13965 3487 1927
"200097_s_at" 17868 6944 16379 15907
"200098_s_at" 3884 14947 17109 17777
"200099_s_at" 4166 9107 15219 15260
"200593_s_at" 6472 3521 4894 8551
"200594_x_at" 5236 19066 19209 7748
"200595_s_at" 5991 15060 3292 15817
"200596_s_at" 21498 5582 2645 16254
"200597_at" 3156 6427 18331 19597
"200598_s_at" 3004 5030 2055 2296
"200599_s_at" 5758 4194 15534 714
"200600_at" 19630 8776 13022 2500
"200601_at" 22113 20060 2629 17724
"200602_at" 18381 3902 4473 19394
"200603_at" 3122 15976 4085 17184
"200604_s_at" 20275 4157 1553 3320
"200605_s_at" 3738 4865 15646 4593
"200606_at" 12560 14322 17874 5063
"200607_s_at" 3800 3901 19684 15925
"200608_s_at" 4840 15244 15735 15253
"200609_s_at" 1250 20066 4197 15514
"200610_s_at" 6327 5229 15945 7061
"200611_s_at" 19537 18751 20603 9606
"200612_s_at" 17975 16940 2025 2106
"200613_at" 1799 13659 15718 16628
"200614_at" 3720 4793 4381 8312
"200615_s_at" 21079 15427 17619 5330
"200616_s_at" 4416 5618 2432 18156
"200617_at" 6333 15355 16647 3794
"200618_at" 19602 15256 3168 8686
"200619_at" 18164 3860 19127 7895
"200620_at" 3338 4697 2828 4929
"200621_at" 20522 17549 16506 17681
"200622_x_at" 4663 16408 5436 8288
"200623_s_at" 65 20366 20497 19550
"200624_s_at" 19556 3689 2018 5640
"200625_s_at" 4282 13765 17138 19528
"200626_s_at" 6154 15183 4391 9020
"200627_at" 17887 5451 4362 6912
"200628_s_at" 3709 5454 2930 2204
"200629_at" 1457 18266 4070 1080
"200630_x_at" 18481 14782 16026 16016
"200631_s_at" 19200 14233 16132 15899
"200632_s_at" 20603 20989 21858 782
"200633_at" 4627 9046 5367 15454
"200634_at" 5157 6895 15526 3798
"200635_s_at" 14185 18386 2358 18371
"200636_s_at" 8217 18844 18826 19181
"200637_s_at" 14106 7169 21071 4080
"200638_s_at" 6203 7091 4086 5432
"200639_s_at" 5206 16875 17372 6275
"200640_at" 19646 16750 17518 5126
"200641_s_at" 4595 3565 1467 2914
"200642_at" 5831 14048 16637 8200
"200643_at" 17865 6583 19985 6142
"200644_at" 4819 13863 19445 8621
"200645_at" 2490 14137 2214 6636
"200646_s_at" 14937 2053 15484 2925
"200647_x_at" 20754 16116 19048 18876
"200648_s_at" 3834 2643 3803 3105
"200649_at" 5234 18472 20335 3617
"200650_s_at" 6314 7072 5498 11175
"200651_at" 5238 5892 3608 5592
"200652_at" 6190 14438 1428 2497
"200653_s_at" 19024 6603 5036 3165
"200654_at" 18359 15147 1180 3758
"200655_s_at" 19426 16671 5149 17535
"200656_s_at" 17841 2762 4445 2758
"200657_at" 5536 14076 4873 15409
"200658_s_at" 17959 15083 5168 5958
"200659_s_at" 4361 5227 18254 6956
"200660_at" 6584 15545 15320 7932
"200661_at" 2715 16450 3919 8374
"200662_s_at" 3364 4959 4934 17667
"200663_at" 4868 14292 2349 9692
"200664_s_at" 4254 1581 17570 17668
"200665_s_at" 15173 7811 12782 13715
"200666_s_at" 20937 4452 15593 16471
"200667_at" 1932 17769 17133 17631
"200668_s_at" 3563 15214 2173 5856
"200669_s_at" 1501 14702 16629 2704
"200670_at" 1010 14824 1060 2082
"200671_s_at" 10787 15027 19477 6024
"200672_x_at" 449 17123 379 5658
"200673_at" 3296 4798 2382 9097
"200674_s_at" 4427 6995 17306 17018
"200675_at" 6380 18991 5564 5249
"200676_s_at" 1958 19615 17539 7936
"200677_at" 2089 6914 2069 15558
"200678_x_at" 20453 13634 2507 7688
"200679_x_at" 5774 16144 16697 9203
"200680_x_at" 20412 7039 16539 6083
"200681_at" 18642 5293 16549 9752
"200682_s_at" 5359 5715 3269 7569
"200683_s_at" 18810 15540 17124 16299
"200684_s_at" 1714 14302 20358 7937
"200685_at" 3708 1782 501 20632
"200686_s_at" 18679 2122 1395 18587
"200687_s_at" 3643 17257 19398 16759
"200688_at" 21133 16660 20919 8904
"200689_x_at" 3355 6801 4229 7660
"200690_at" 1937 18670 17877 19653
"200691_s_at" 3121 16620 17094 8708
"200692_s_at" 19129 14219 16162 16412
"200693_at" 6283 7115 4194 8508
"200694_s_at" 4444 18996 4892 20067
"200695_at" 1544 20330 5260 2260
"200696_s_at" 5544 1927 414 9346
"200697_at" 18539 16923 3157 5457
"200698_at" 4664 5435 2142 4792
"200699_at" 2086 1915 3468 4627
"200700_s_at" 2955 14478 1646 5366
"200701_at" 3677 2339 879 2552
"200702_s_at" 2725 3834 5195 17722
"200703_at" 3581 7132 2514 19044
"200704_at" 20774 5169 2099 5263
"200705_s_at" 3616 6141 3443 18374
"200706_s_at" 6419 4474 17528 16230
"200707_at" 5002 5274 18787 2309
"200708_at" 6479 18027 17833 18119
"200709_at" 19614 3247 2131 5221
"200710_at" 6202 18603 4040 4896
"200711_s_at" 19326 15149 19170 18974
"200712_s_at" 19153 2806 3485 15588
"200713_s_at" 19054 15671 5037 17034
"200714_x_at" 21414 16857 5100 3049
"200715_x_at" 18258 7137 3623 4826
"200716_x_at" 6696 9136 5074 8843
"200717_x_at" 18572 9043 16417 11249
"200718_s_at" 4331 15873 2494 16360
"200719_at" 615 18115 18560 4329
"200720_s_at" 2272 6025 18036 6352
"200721_s_at" 20590 3308 17974 4717
"200722_s_at" 1157 13950 849 8432
"200723_s_at" 17977 4825 16879 8574
"200724_at" 9757 33 258 2601
"200725_x_at" 6501 7172 4870 15279
"200726_at" 2852 3781 18690 17604
"200727_s_at" 21126 1780 17037 2692
"200728_at" 19127 15532 1675 7221
"200729_s_at" 5617 5543 3400 8066
"200730_s_at" 2041 7043 2388 695
"200731_s_at" 19031 1470 5307 1782
"200732_s_at" 6460 15614 21344 3830
"200733_s_at" 5623 19686 5282 4460
"200734_s_at" 6408 16837 16000 17539
"200735_x_at" 18905 9103 4957 15446
"200736_s_at" 1335 8272 5848 8287
"200737_at" 21391 5361 4036 15757
"200738_s_at" 4549 6821 16192 15348
"200739_s_at" 6616 4667 5005 9358
"200740_s_at" 3456 14734 5660 17902
"200741_s_at" 5311 8965 5541 17882
"200742_s_at" 4253 2226 4951 4900
"200743_s_at" 6495 5535 3418 3929
"200744_s_at" 5057 15286 18494 5423
"200745_s_at" 3517 19420 20178 16372
"200746_s_at" 19012 14715 2141 6742
"200747_s_at" 520 18661 19431 4154
"200748_s_at" 798 2022 16115 6401
"200749_at" 4388 18824 20932 20602
"200750_s_at" 19431 14289 16850 17362
"200751_s_at" 20053 3670 17586 2848
"200752_s_at" 20092 20095 19721 17553
"200753_x_at" 6354 15953 16983 16572
"200754_x_at" 21474 7211 16624 15697
"200755_s_at" 6080 2056 1785 1977
"200756_x_at" 318 811 140 388
"200757_s_at" 1859 3352 1242 2108
"200758_s_at" 5489 15518 19814 4239
"200759_x_at" 4939 19984 4235 2346
"200760_s_at" 2599 6273 5224 8242
"200761_s_at" 1120 5623 16321 19232
"200762_at" 2145 4989 3927 5749
"200763_s_at" 5802 13850 15448 16308
"200764_s_at" 13278 4522 19828 12490
"200765_x_at" 7683 6397 4907 14224
"200766_at" 20360 16487 2603 4104
"200767_s_at" 19367 14689 18939 1998
"200768_s_at" 4704 18801 21129 16116
"200769_s_at" 19274 5740 4237 3331
"200770_s_at" 17999 17570 16173 3618
