"inst_3099" "inst_5357" "inst_6476" "inst_6758"
"1007_s_at" 18372 14862 6538 5604
"1053_at" 14210 12776 4718 19028
"117_at" 15540 10317 12834 10507
"121_at" 1607 17575 8782 3342
"1255_g_at" 3556 9562 12237 11452
"1294_at" 18472 905 19479 3671
"1316_at" 15040 12836 20246 19607
"1320_at" 6729 11253 11690 879
"1405_i_at" 12745 7175 15604 131
"1431_at" 14958 5904 8075 21360
"1438_at" 11578 17199 8867 20722
"1487_at" 14385 15482 5570 18713
"1494_f_at" 16507 5832 22216 18685
"1598_g_at" 12552 2260 19229 17498
"160020_at" 2689 12349 547 21267
"1729_at" 12831 2715 16741 726
"1773_at" 2614 22151 20049 21893
"177_at" 16881 5660 452 1292
"179_at" 2343 19661 608 8039
"1861_at" 9893 19215 9601 14582
"200000_s_at" 14482 16145 9556 4550
"200001_at" 17917 17407 19570 17436
"200002_at" 11551 13984 9724 7688
"200003_s_at" 4764 14950 6599 9755
"200004_at" 17618 19490 7851 16337
"200005_at" 13770 17384 17876 7183
"200006_at" 12380 18121 19468 4955
"200007_at" 15706 14368 6773 5932
"200008_s_at" 17644 18382 5694 16456
"200009_at" 13330 13718 7318 17130
"200010_at" 2281 17621 6674 16667
"200011_s_at" 17470 16573 8483 14094
"200012_x_at" 2663 1284 17275 6487
"200013_at" 10097 13207 6605 14766
"200014_s_at" 13664 18449 4947 5646
"200015_s_at" 14999 19324 8535 16535
"200016_x_at" 10392 14561 9569 8058
"200017_at" 4889 14401 12399 8164
"200018_at" 4876 14429 5543 7785
"200019_s_at" 10647 14894 19813 6617
"200020_at" 17822 21136 10329 17429
"200021_at" 12775 1203 12479 9878
"200022_at" 9602 14694 9058 14256
"200023_s_at" 11582 21063 10445 3966
"200024_at" 9753 12420 9477 14534
"200025_s_at" 2672 12623 8557 5875
"200026_at" 5013 1507 10307 7563
"200027_at" 11851 19688 9981 5069
"200028_s_at" 13083 19195 19469 6599
"200029_at" 4820 11907 7628 14684
"200030_s_at" 11483 13830 8217 8003
"200031_s_at" 4868 2714 9428 9808
"200032_s_at" 4892 2378 10124 7160
"200033_at" 14329 16444 7780 7345
"200034_s_at" 2282 13385 18091 16903
"200035_at" 21448 14789 4928 19903
"200036_s_at" 11108 13905 9664 5761
"200037_s_at" 12408 17526 7799 5878
"200038_s_at" 4988 12059 7987 6268
"200039_s_at" 16349 17766 7495 13664
"200040_at" 16994 19712 4925 16233
"200041_s_at" 13381 20798 19060 17489
"200042_at" 13881 14219 5088 7911
"200043_at" 16493 18785 18427 15807
"200044_at" 18629 17300 18848 14162
"200045_at" 12733 13948 19177 14555
"200046_at" 20790 18407 7820 5139
"200047_s_at" 13941 17927 6915 1709
"200048_s_at" 15386 18699 19013 4441
"200049_at" 18486 13690 17016 18697
"200050_at" 11325 19463 5107 6494
"200051_at" 18367 13815 18290 18631
"200052_s_at" 14410 18937 6873 19760
"200053_at" 20496 15826 3764 21559
"200054_at" 10822 14380 16848 6813
"200055_at" 13379 14250 17092 3829
"200056_s_at" 16792 19568 1600 4973
"200057_s_at" 13804 15507 9987 7350
"200058_s_at" 13815 16045 7028 16424
"200059_s_at" 12090 20126 6174 13731
"200060_s_at" 15792 16799 8224 4903
"200061_s_at" 4866 1432 18024 9806
"200062_s_at" 4740 2080 12318 9747
"200063_s_at" 2688 1329 12419 15634
"200064_at" 10890 17276 17012 18052
"200065_s_at" 16290 17675 5769 15906
"200066_at" 13313 15639 7496 7756
"200067_x_at" 14323 17026 19802 4706
"200068_s_at" 13298 15223 17103 15587
"200069_at" 18141 15217 5497 14415
"200070_at" 22215 18668 4316 8082
"200071_at" 19367 22139 6496 7020
"200072_s_at" 17564 16815 10195 18364
"200073_s_at" 10664 14155 19534 5960
"200074_s_at" 10527 12615 6757 7071
"200075_s_at" 19637 16977 10246 15591
"200076_s_at" 18061 19963 18360 19502
"200077_s_at" 9785 12942 9964 6888
"200078_s_at" 17044 20874 8855 3189
"200079_s_at" 12834 21464 17071 14179
"200080_s_at" 2452 13223 16886 6914
"200081_s_at" 2782 13822 9645 19348
"200082_s_at" 2463 12082 16968 15673
"200083_at" 17702 18879 7831 13977
"200084_at" 14785 18951 8411 13823
"200085_s_at" 16417 14466 9710 3879
"200086_s_at" 11683 15798 18563 3321
"200087_s_at" 16394 17079 6894 13566
"200088_x_at" 4756 2559 17322 7658
"200089_s_at" 2567 12495 6996 8038
"200090_at" 14672 19551 6196 2927
"200091_s_at" 1753 12306 8232 7814
"200092_s_at" 2634 471 17323 15177
"200093_s_at" 15879 17663 6572 7005
"200094_s_at" 1787 15455 2756 16656
"200095_x_at" 4994 11959 12473 9873
"200096_s_at" 18990 21258 8761 15838
"200097_s_at" 15394 15720 6539 19599
"200098_s_at" 15861 18207 8866 6447
"200099_s_at" 4940 2255 12427 7284
"200593_s_at" 11589 14301 16874 20767
"200594_x_at" 12373 15462 7450 19981
"200595_s_at" 14290 20381 7327 5184
"200596_s_at" 11080 17369 5164 20998
"200597_at" 11000 11801 20833 19195
"200598_s_at" 11062 17071 5607 5553
"200599_s_at" 13752 18604 9457 15519
"200600_at" 14093 5464 898 20647
"200601_at" 19959 20738 5734 5675
"200602_at" 19064 21389 4973 14932
"200603_at" 15628 15929 3586 15285
"200604_s_at" 18922 21462 16680 18704
"200605_s_at" 18179 17653 2649 19698
"200606_at" 13229 17705 4959 15675
"200607_s_at" 13661 14448 2277 18001
"200608_s_at" 11618 14523 7720 7924
"200609_s_at" 19914 21633 5184 6912
"200610_s_at" 12621 15187 8957 15516
"200611_s_at" 19368 19620 6737 14959
"200612_s_at" 19154 2154 17649 18859
"200613_at" 13898 19813 7575 7177
"200614_at" 18974 14077 17569 17083
"200615_s_at" 16538 20909 1302 7082
"200616_s_at" 14299 18834 8262 14155
"200617_at" 12758 14187 21418 7671
"200618_at" 18641 19109 7197 19320
"200619_at" 19838 19982 7952 21456
"200620_at" 15473 14794 6317 5450
"200621_at" 19043 17429 19031 2438
"200622_x_at" 17415 16617 8447 16245
"200623_s_at" 17468 12043 9687 6127
"200624_s_at" 20393 20323 7797 18155
"200625_s_at" 15439 18810 18643 3593
"200626_s_at" 15797 16509 9619 4699
"200627_at" 11408 14260 6439 15678
"200628_s_at" 17433 19036 2196 18659
"200629_at" 15474 19354 6076 16400
"200630_x_at" 12149 12573 8950 3377
"200631_s_at" 15887 19486 7644 7499
"200632_s_at" 20656 2122 19694 15408
"200633_at" 11403 13362 12381 9804
"200634_at" 14000 15427 9617 15376
"200635_s_at" 7331 13851 10436 21635
"200636_s_at" 7008 20341 8815 15842
"200637_s_at" 3859 21548 21469 22230
"200638_s_at" 17310 15420 6378 16095
"200639_s_at" 2368 15316 2749 16279
"200640_at" 17032 16389 17884 15419
"200641_s_at" 16054 15595 20405 16043
"200642_at" 15258 15198 6919 14215
"200643_at" 19960 12494 3659 18996
"200644_at" 15629 19389 8501 17201
"200645_at" 17539 20062 16850 4030
"200646_s_at" 21115 21736 1333 19574
"200647_x_at" 15938 22096 10031 3356
"200648_s_at" 17000 19265 4653 21547
"200649_at" 21010 15919 21035 15239
"200650_s_at" 9742 14210 9096 9724
"200651_at" 2644 12995 8654 13898
"200652_at" 18093 17371 6843 13634
"200653_s_at" 16610 14533 4384 20188
"200654_at" 14345 21333 9924 15761
"200655_s_at" 16817 16330 9329 5842
"200656_s_at" 10122 19566 7004 20787
"200657_at" 11435 12262 10478 15127
"200658_s_at" 12245 18210 19239 15857
"200659_s_at" 1139 17164 21563 18834
"200660_at" 10286 13968 7342 6646
"200661_at" 17330 14231 17374 15495
"200662_s_at" 13712 21322 20920 6718
"200663_at" 12534 15882 20239 14343
"200664_s_at" 13282 13419 8824 17524
"200665_s_at" 6698 3266 16325 12693
"200666_s_at" 11420 16802 10310 17525
"200667_at" 15330 17940 6129 3853
"200668_s_at" 12293 18307 19803 7225
"200669_s_at" 14848 16472 6177 17025
"200670_at" 16373 14361 3226 8161
"200671_s_at" 19666 2710 10036 21099
"200672_x_at" 22106 15863 8825 20392
"200673_at" 17727 18775 6486 4526
"200674_s_at" 2187 1172 19585 13932
"200675_at" 17226 18915 17272 5890
"200676_s_at" 16346 21064 1097 20328
"200677_at" 11797 19422 6353 5651
"200678_x_at" 10421 18371 17183 6558
"200679_x_at" 11085 15514 8093 18296
"200680_x_at" 10387 1620 17063 13876
"200681_at" 14471 15434 7634 5738
"200682_s_at" 13978 15837 4948 13755
"200683_s_at" 18017 20164 8004 8124
"200684_s_at" 10593 16479 17806 15829
"200685_at" 10199 21681 16731 2684
"200686_s_at" 13621 20910 6152 3968
"200687_s_at" 11828 16493 4599 18658
"200688_at" 1464 1245 21112 2097
"200689_x_at" 9623 12784 18935 13927
"200690_at" 10705 20450 8724 17518
"200691_s_at" 16740 20929 20625 14488
"200692_s_at" 13730 16601 4472 19282
"200693_at" 16231 19525 4208 13890
"200694_s_at" 15590 14391 7204 14260
"200695_at" 16721 12277 18801 21906
"200696_s_at" 20670 13479 21291 2517
"200697_at" 11419 18707 9919 18028
"200698_at" 19688 15848 6321 17117
"200699_at" 18997 13271 19272 17635
"200700_s_at" 16073 16433 8122 5253
"200701_at" 18458 15558 20381 14099
"200702_s_at" 10746 14647 18139 19613
"200703_at" 15120 17379 6106 6523
"200704_at" 12336 13936 7105 4224
"200705_s_at" 2232 13249 9277 7277
"200706_s_at" 14330 18171 7045 22030
"200707_at" 13443 19849 8780 15196
"200708_at" 12956 16541 8263 15980
"200709_at" 12412 16861 10289 16196
"200710_at" 14019 16452 6254 20576
"200711_s_at" 19896 17722 9992 6939
"200712_s_at" 17666 19717 3114 18131
"200713_s_at" 19286 12590 20445 7637
"200714_x_at" 19057 17482 7537 18601
"200715_x_at" 10226 15154 18854 7607
"200716_x_at" 4989 16428 18188 14512
"200717_x_at" 4863 1725 12378 9802
"200718_s_at" 15937 12998 9055 5684
"200719_at" 17154 15532 10368 7066
"200720_s_at" 16761 18717 6756 13706
"200721_s_at" 19702 17288 16909 18638
"200722_s_at" 18313 21499 17432 14451
"200723_s_at" 12589 18301 4432 16662
"200724_at" 55 15614 2371 5691
"200725_x_at" 2247 11808 10000 14720
"200726_at" 16700 18590 9539 7613
"200727_s_at" 12598 18128 4563 18585
"200728_at" 14992 20682 8149 20295
"200729_s_at" 15254 21858 6585 17301
"200730_s_at" 17301 12702 4275 3116
"200731_s_at" 11364 12501 4574 16563
"200732_s_at" 13144 13607 4805 5431
"200733_s_at" 2018 22212 3118 20052
"200734_s_at" 17971 15511 20421 5658
"200735_x_at" 4934 13448 7658 13817
"200736_s_at" 14525 8703 11447 2604
"200737_at" 20850 20774 16955 4460
"200738_s_at" 14502 17909 9848 7621
"200739_s_at" 12835 22014 17583 20291
"200740_s_at" 16375 16684 8926 7332
"200741_s_at" 4742 1466 12319 9748
"200742_s_at" 13685 17309 17554 3963
"200743_s_at" 18412 13408 6229 3619
"200744_s_at" 19450 20458 8002 19781
"200745_s_at" 15785 14259 6672 16941
"200746_s_at" 17174 19864 20155 16264
"200747_s_at" 16502 11779 20752 18067
"200748_s_at" 10178 11821 7618 15269
"200749_at" 15336 21488 6226 7916
"200750_s_at" 12295 14633 6576 15243
"200751_s_at" 10681 13420 2537 19480
"200752_s_at" 21165 21149 4949 15769
"200753_x_at" 18543 20903 3173 14015
"200754_x_at" 15217 14041 9833 14877
"200755_s_at" 13003 15669 7548 16978
"200756_x_at" 20371 19758 1604 21124
"200757_s_at" 14055 11717 1440 7129
"200758_s_at" 12053 16765 17319 19662
"200759_x_at" 21108 17322 8041 19651
"200760_s_at" 17707 19254 4601 14344
"200761_s_at" 18654 21871 4039 2166
"200762_at" 12092 21865 9659 4562
"200763_s_at" 4949 1991 20146 13809
"200764_s_at" 9960 12048 4775 12068
"200765_x_at" 19579 17244 10150 9720
"200766_at" 15154 18350 10205 16781
"200767_s_at" 17658 15244 4089 22067
"200768_s_at" 12568 13345 18382 18584
"200769_s_at" 18789 21738 9074 21016
"200770_s_at" 20379 11955 6461 18569
"200771_at" 17739 12592 9296 20728
"200772_x_at" 2612 12934 17219 17645
"200773_x_at" 2191 2151 17966 14028
"200774_at" 12930 18178 9357 15509
"200775_s_at" 14648 15957 9173 17719
"200776_s_at" 14745 18916 4184 7300
"200777_s_at" 11729 14166 4776 14695
"200778_s_at" 17774 20532 9136 15287
"200779_at" 10942 15057 4622 7230
"200780_x_at" 12379 13382 16742 6635
"200781_s_at" 2383 853 18380 14227
"200782_at" 19273 21638 9214 6849
"200783_s_at" 16874 16862 9846 6661
"200784_s_at" 8926 8614 14264 22065
"200785_s_at" 903 4426 12627 20190
"200786_at" 12246 17005 16651 5713
"200787_s_at" 12720 16026 21220 6651
"200788_s_at" 13831 13655 9425 20454
"200789_at" 15335 21666 3085 3252
"200790_at" 15105 19086 7866 7622
"200791_s_at" 16925 13871 6936 6680
"200792_at" 9905 18503 7466 14522
"200793_s_at" 21060 14420 19016 16035
"200794_x_at" 15469 21306 8295 14249
"200795_at" 9477 9709 9374 19881
"200796_s_at" 11742 22261 2909 16636
