"inst_1368" "inst_2052" "inst_2214" "inst_5810" "inst_7168"
"1007_s_at" 19870 15640 20005 18596 5461
"1053_at" 18465 3892 2204 2074 4592
"117_at" 12087 6062 12424 13994 14697
"121_at" 19016 1993 9362 4484 8126
"1255_g_at" 11530 9609 13209 12261 11362
"1294_at" 3961 16283 7378 18430 10303
"1316_at" 15937 8653 19497 20159 317
"1320_at" 10393 5788 1080 9730 13204
"1405_i_at" 909 13221 13693 18419 16537
"1431_at" 13905 3972 21331 217 13837
"1438_at" 12224 3080 4181 10571 653
"1487_at" 16903 19615 2380 20045 938
"1494_f_at" 17774 12236 21638 8284 14083
"1598_g_at" 20083 19609 18477 19071 20432
"160020_at" 16111 3041 1649 17995 9419
"1729_at" 15581 17239 5820 8398 4334
"1773_at" 6871 21404 16199 21672 6669
"177_at" 18431 10973 12312 16280 128
"179_at" 15552 537 19043 13109 22158
"1861_at" 15577 18005 7768 17822 18499
"200000_s_at" 16154 21137 2523 18021 1443
"200001_at" 21795 19693 7491 17503 18994
"200002_at" 2785 15300 16124 7941 5764
"200003_s_at" 16209 14602 11565 4500 6388
"200004_at" 20128 3813 8620 19838 3592
"200005_at" 2674 17928 16463 5907 18111
"200006_at" 17220 4620 6497 8427 5201
"200007_at" 19580 14062 7373 18712 6912
"200008_s_at" 21329 20823 2301 7230 5298
"200009_at" 20927 14229 3953 8654 4604
"200010_at" 17602 15016 4647 5281 6736
"200011_s_at" 18473 16811 16895 4178 5720
"200012_x_at" 2034 3220 16406 19487 17818
"200013_at" 15549 15506 6824 4787 8225
"200014_s_at" 18028 4512 6278 18092 4240
"200015_s_at" 3727 2283 6890 3661 4190
"200016_x_at" 2636 4417 16880 18450 6198
"200017_at" 1280 14072 11706 3966 6833
"200018_at" 2745 3899 11631 17976 8546
"200019_s_at" 16400 17336 8970 17031 18404
"200020_at" 21444 16827 5296 6688 4636
"200021_at" 679 3823 11621 18988 20411
"200022_at" 4180 4539 17093 5151 17966
"200023_s_at" 15171 3268 16851 17301 7508
"200024_at" 3514 3676 8109 17250 7658
"200025_s_at" 2326 3844 18047 9232 6335
"200026_at" 4169 13514 11586 9134 18309
"200027_at" 4325 14067 9249 9069 4805
"200028_s_at" 15731 3211 16580 17497 6447
"200029_at" 2806 13683 17787 18156 8449
"200030_s_at" 17959 4731 16129 9032 7335
"200031_s_at" 2277 16413 11675 16992 18832
"200032_s_at" 2766 4202 11640 17193 18110
"200033_at" 16680 13607 15844 6076 4979
"200034_s_at" 16630 13578 7415 6045 8466
"200035_at" 15206 18602 19101 19199 6749
"200036_s_at" 1695 14692 8499 7043 7782
"200037_s_at" 3472 3773 7908 3038 3512
"200038_s_at" 2782 3787 11507 9078 7211
"200039_s_at" 4448 16414 8489 8244 7298
"200040_at" 20117 14422 9039 7610 6416
"200041_s_at" 16553 15061 6973 4935 6555
"200042_at" 17311 4540 6912 7158 7664
"200043_at" 2983 16103 6375 19392 17598
"200044_at" 1912 17929 8818 18099 2195
"200045_at" 3827 17989 16393 9224 17911
"200046_at" 18087 15090 9036 5398 4527
"200047_s_at" 21105 13762 2726 3276 2070
"200048_s_at" 2804 4001 9392 7014 4350
"200049_at" 19238 20372 7700 5088 5121
"200050_at" 1690 14322 17180 17811 7522
"200051_at" 1382 16615 3555 19246 20190
"200052_s_at" 16120 16008 3567 6104 5534
"200053_at" 15483 21430 8883 8611 21437
"200054_at" 3546 4087 5909 2514 5215
"200055_at" 18418 16296 18758 17873 17419
"200056_s_at" 4311 14588 16988 5168 5066
"200057_s_at" 21328 1834 17663 7938 6334
"200058_s_at" 15644 14431 3848 5008 5205
"200059_s_at" 3398 18194 8049 6357 6386
"200060_s_at" 19658 19732 8580 17468 5159
"200061_s_at" 15245 13464 11768 8470 8361
"200062_s_at" 16527 14402 11600 17739 17794
"200063_s_at" 1128 3188 11509 8126 18914
"200064_at" 20670 16444 6503 17664 6942
"200065_s_at" 20638 13921 5588 17130 6978
"200066_at" 19360 4264 7158 17685 6756
"200067_x_at" 4446 4634 17244 6558 5555
"200068_s_at" 18872 13501 16073 17068 7110
"200069_at" 19627 19617 18189 17602 3103
"200070_at" 20492 13998 20272 4376 17755
"200071_at" 16989 2689 5489 1483 2751
"200072_s_at" 18832 18324 5995 2085 7640
"200073_s_at" 16149 18371 17425 4478 3491
"200074_s_at" 15368 14331 16260 8303 5353
"200075_s_at" 531 14437 9157 7860 7882
"200076_s_at" 19201 19654 3996 8731 19739
"200077_s_at" 4470 13977 16712 17950 6639
"200078_s_at" 15317 18211 18286 6310 6510
"200079_s_at" 18443 15457 8557 3871 8309
"200080_s_at" 3207 4736 16485 5437 3040
"200081_s_at" 4397 15977 8263 9021 17233
"200082_s_at" 18043 16485 9295 8938 6762
"200083_at" 17102 18643 5104 3249 2268
"200084_at" 18694 14638 16045 5807 6665
"200085_s_at" 16779 17488 4709 17417 6581
"200086_s_at" 3422 15513 8070 18093 3974
"200087_s_at" 19247 3285 1855 8700 4297
"200088_x_at" 4047 14887 11752 9187 18169
"200089_s_at" 3755 14833 5579 7242 7802
"200090_at" 2419 4507 16425 7257 3674
"200091_s_at" 15679 16551 17590 17430 18399
"200092_s_at" 1745 1177 11479 17196 18592
"200093_s_at" 1293 17673 4028 5946 8284
"200094_s_at" 4310 16657 7673 8240 18512
"200095_x_at" 4166 13759 11652 18892 18908
"200096_s_at" 18967 17706 19307 4554 2550
"200097_s_at" 21707 13547 5543 4119 1611
"200098_s_at" 3003 15330 6772 6783 5285
"200099_s_at" 15569 3964 11577 6343 17516
"200593_s_at" 21453 19049 1993 9373 18720
"200594_x_at" 18864 15856 6149 4299 5476
"200595_s_at" 1169 16379 17844 3199 3895
"200596_s_at" 19716 4232 5334 6690 19743
"200597_at" 21355 21275 7965 4545 7221
"200598_s_at" 2917 2590 7254 4989 7308
"200599_s_at" 22139 13887 16995 7685 5529
"200600_at" 16073 16397 9060 6847 9377
"200601_at" 17467 19533 16913 4493 1741
"200602_at" 586 3218 3380 3208 7549
"200603_at" 16534 3154 5278 7411 2047
"200604_s_at" 20755 3523 7660 3575 18146
"200605_s_at" 794 4239 8484 5458 1887
"200606_at" 9889 13893 17054 18111 660
"200607_s_at" 1484 3413 2753 5233 4594
"200608_s_at" 1667 4766 5194 6965 2158
"200609_s_at" 19112 2697 16709 8869 7432
"200610_s_at" 2215 1069 7593 4856 4924
"200611_s_at" 15333 19850 16162 3053 6884
"200612_s_at" 20674 4567 8403 22009 18882
"200613_at" 19463 14178 9168 6361 7312
"200614_at" 15113 13635 17345 6388 7487
"200615_s_at" 15743 20003 16498 4881 8456
"200616_s_at" 16384 4000 17482 17465 5854
"200617_at" 17946 14174 5263 18936 7178
"200618_at" 19218 17129 9346 8394 18779
"200619_at" 17253 18942 8503 8702 4282
"200620_at" 19816 15161 5182 18626 7814
"200621_at" 17892 18268 18090 9286 8522
"200622_x_at" 2256 19618 9542 17309 19793
"200623_s_at" 17932 17250 17557 20258 8127
"200624_s_at" 2209 14196 3652 1700 5702
"200625_s_at" 17792 13770 9509 6607 7020
"200626_s_at" 19134 3613 19100 7488 6069
"200627_at" 19250 15024 8677 8337 7915
"200628_s_at" 19957 20557 2369 8986 20059
"200629_at" 19024 21438 5978 4642 17365
"200630_x_at" 21458 2030 7418 7186 6982
"200631_s_at" 16824 4228 16770 5315 5851
"200632_s_at" 1444 14663 7362 5302 3065
"200633_at" 19911 4073 11510 18933 18764
"200634_at" 19262 17891 8508 17075 8307
"200635_s_at" 9618 4751 21256 5123 18093
"200636_s_at" 6485 14901 8612 20166 21444
"200637_s_at" 9923 15574 4492 20031 3758
"200638_s_at" 4188 14515 6154 5452 4229
"200639_s_at" 16644 1899 2932 8115 2487
"200640_at" 19885 15399 6364 6908 5150
"200641_s_at" 21047 20416 4774 6731 5438
"200642_at" 1482 17852 9215 6401 8348
"200643_at" 22106 20237 15885 18181 18178
"200644_at" 19577 17402 8933 2554 19096
"200645_at" 21108 17493 8861 9110 8343
"200646_s_at" 6350 117 18864 20644 19962
"200647_x_at" 16526 2826 7298 5374 7798
"200648_s_at" 18950 22057 2759 4816 21030
"200649_at" 1359 20104 20094 22116 20951
"200650_s_at" 4306 2929 19693 8000 19182
"200651_at" 16688 15959 8657 18497 19375
"200652_at" 17717 14463 15890 18295 6250
"200653_s_at" 19931 4663 2131 2783 5866
"200654_at" 16355 15384 16932 7811 7583
"200655_s_at" 4245 4258 9239 5285 6150
"200656_s_at" 17875 19781 5452 1665 2985
"200657_at" 4077 3266 17379 7559 6063
"200658_s_at" 21208 18015 3631 17148 6628
"200659_s_at" 22080 20325 4129 6480 6682
"200660_at" 4555 17762 8214 8487 18148
"200661_at" 21017 19127 8035 19052 18610
"200662_s_at" 3535 14339 16183 18665 7070
"200663_at" 19423 15377 8142 8947 2604
"200664_s_at" 2569 15406 9040 4367 4192
"200665_s_at" 4924 5388 11329 11517 10923
"200666_s_at" 21600 17371 17954 2846 19514
"200667_at" 18226 2611 6172 18384 4107
"200668_s_at" 17722 14546 7277 17630 6742
"200669_s_at" 21308 16380 6493 7000 4710
"200670_at" 1190 14514 18577 6386 6347
"200671_s_at" 5373 21553 22210 18178 21180
"200672_x_at" 9417 15274 2871 17638 20812
"200673_at" 17549 4129 6975 4749 3108
"200674_s_at" 4132 14125 17815 17876 19728
"200675_at" 16604 19581 9426 2422 7777
"200676_s_at" 21632 937 9468 4201 8407
"200677_at" 4459 2342 8688 5020 3823
"200678_x_at" 15837 17367 6584 6640 21119
"200679_x_at" 18100 15253 3562 5689 17518
"200680_x_at" 4520 14886 11707 8857 4776
"200681_at" 3911 14373 7799 7836 7873
"200682_s_at" 21080 13774 4817 7375 5486
"200683_s_at" 20363 4553 9533 7872 19158
"200684_s_at" 20968 19811 9118 5106 18675
"200685_at" 223 3149 17137 1961 1297
"200686_s_at" 15811 3152 18315 1096 1063
"200687_s_at" 17513 17477 7988 4121 8467
"200688_at" 15108 18669 16487 2182 21383
"200689_x_at" 17821 2977 9485 8274 6197
"200690_at" 18495 16985 3601 17645 19246
"200691_s_at" 21460 3280 5783 5360 4425
"200692_s_at" 18556 14472 5508 5902 6367
"200693_at" 15864 15276 6516 7022 2635
"200694_s_at" 19210 14846 16596 5270 5294
"200695_at" 15336 20280 2772 8002 3289
"200696_s_at" 18704 20090 18188 2180 17545
"200697_at" 17491 18993 7625 19144 3314
"200698_at" 20569 14859 5652 6116 1879
"200699_at" 15391 16383 5013 17237 6396
"200700_s_at" 16159 17005 17804 19205 18415
"200701_at" 20338 18536 5050 17372 20515
"200702_s_at" 15982 4180 7383 4436 8415
"200703_at" 18191 15429 9491 19290 7881
"200704_at" 4547 15184 8326 1112 5538
"200705_s_at" 3331 4156 7555 17747 7083
"200706_s_at" 3647 21762 20025 2677 6661
"200707_at" 15922 19856 17133 18959 18190
"200708_at" 16806 15921 17674 8585 17358
"200709_at" 17091 1787 16789 17968 17957
"200710_at" 16261 19554 7398 19379 21235
"200711_s_at" 3466 13834 8293 6057 6309
