"inst_3027" "inst_3366" "inst_5286" "inst_6686"
"1007_s_at" 18630 13651 4254 7358
"1053_at" 16599 17209 3382 7610
"117_at" 13665 10935 18442 11306
"121_at" 14331 13823 10353 14544
"1255_g_at" 9369 10583 15679 11211
"1294_at" 16708 20897 3148 1604
"1316_at" 21807 14093 14903 1278
"1320_at" 10458 16198 12361 1682
"1405_i_at" 16170 6233 19404 19785
"1431_at" 20994 21701 18125 2291
"1438_at" 12259 1909 19920 5979
"1487_at" 2561 2599 5313 7133
"1494_f_at" 3547 21681 13175 18459
"1598_g_at" 18212 20105 21179 17516
"160020_at" 4194 15919 7169 20328
"1729_at" 5908 19517 567 19921
"1773_at" 16557 3733 365 18296
"177_at" 3432 10861 19459 19270
"179_at" 14716 16451 21042 20277
"1861_at" 1205 1884 5477 13804
"200000_s_at" 16183 4027 1283 17402
"200001_at" 7310 3580 5365 6408
"200002_at" 5514 5202 7703 6271
"200003_s_at" 9711 8071 7184 9435
"200004_at" 6837 5171 6318 7551
"200005_at" 7453 14394 4642 5321
"200006_at" 6306 4610 5354 13717
"200007_at" 6794 4098 8819 14330
"200008_s_at" 19640 12829 19859 1633
"200009_at" 15672 5792 7423 5339
"200010_at" 7616 5562 4506 3300
"200011_s_at" 18107 6133 2205 13520
"200012_x_at" 16369 14644 20574 7072
"200013_at" 6978 2869 9849 6996
"200014_s_at" 5290 4530 7768 17996
"200015_s_at" 6738 13358 1655 17686
"200016_x_at" 9659 5767 6585 7861
"200017_at" 9782 8216 8650 14725
"200018_at" 9772 8202 4410 14120
"200019_s_at" 13649 12847 6174 7009
"200020_at" 5387 14700 6652 5030
"200021_at" 5619 13580 21525 9558
"200022_at" 9722 13464 6221 7353
"200023_s_at" 6489 5108 4127 17843
"200024_at" 6191 4936 9039 7483
"200025_s_at" 9770 4025 8275 7760
"200026_at" 9872 14998 20820 14041
"200027_at" 5691 12456 7985 17542
"200028_s_at" 17339 18475 6782 5947
"200029_at" 7999 4242 20722 5779
"200030_s_at" 16563 5749 9066 5363
"200031_s_at" 9765 8192 19911 9483
"200032_s_at" 9785 8221 20059 15741
"200033_at" 5788 13074 2047 14522
"200034_s_at" 7022 14557 10428 4758
"200035_at" 16269 20016 7684 5468
"200036_s_at" 4555 4302 9714 16378
"200037_s_at" 4625 3837 8075 17123
"200038_s_at" 9855 6149 9318 7792
"200039_s_at" 5567 13303 6150 6859
"200040_at" 15981 15799 2217 15837
"200041_s_at" 7049 3983 4615 5764
"200042_at" 16126 14923 8140 13813
"200043_at" 16226 2598 3902 6866
"200044_at" 13471 13486 5750 4701
"200045_at" 15678 17701 6980 7582
"200046_at" 7878 12558 4547 6119
"200047_s_at" 6015 4696 6628 17981
"200048_s_at" 4867 3893 5061 18586
"200049_at" 16657 4458 3550 5707
"200050_at" 17724 16174 1362 16882
"200051_at" 16695 14499 6289 18574
"200052_s_at" 4789 3712 5976 4734
"200053_at" 16589 14883 21937 13874
"200054_at" 13458 14855 4304 17327
"200055_at" 14497 3115 7612 15195
"200056_s_at" 4797 3699 1954 20510
"200057_s_at" 7281 3578 7226 7567
"200058_s_at" 7715 4227 4744 14703
"200059_s_at" 5568 3255 9735 13554
"200060_s_at" 14170 2362 7368 14251
"200061_s_at" 9763 15296 20531 9482
"200062_s_at" 9698 8053 20717 9428
"200063_s_at" 9808 8274 21715 9509
"200064_at" 5995 4455 5032 3744
"200065_s_at" 6245 2985 4975 5804
"200066_at" 20800 6141 9092 2299
"200067_x_at" 15483 12280 5900 17062
"200068_s_at" 6189 13898 8272 5875
"200069_at" 17220 13556 1429 15227
"200070_at" 15273 14824 4634 17336
"200071_at" 5731 16812 3532 16118
"200072_s_at" 15724 12518 5959 4756
"200073_s_at" 5268 12469 7084 16125
"200074_s_at" 6694 6021 4532 6672
"200075_s_at" 18836 3674 6935 6778
"200076_s_at" 17113 16457 8687 16248
"200077_s_at" 7229 5482 9731 8017
"200078_s_at" 7113 4952 3341 15630
"200079_s_at" 17434 13927 5056 14203
"200080_s_at" 4883 4873 9728 15626
"200081_s_at" 15681 12519 7294 2167
"200082_s_at" 9801 12730 9187 5130
"200083_at" 18134 2221 3054 16770
"200084_at" 6006 14191 6096 5056
"200085_s_at" 13663 4909 8458 13816
"200086_s_at" 4500 6023 7159 19451
"200087_s_at" 18634 13994 6379 7987
"200088_x_at" 9709 8066 10336 14124
"200089_s_at" 13833 2919 10365 15907
"200090_at" 6199 14085 20036 18497
"200091_s_at" 8001 4566 7410 7805
"200092_s_at" 13486 15050 20698 17058
"200093_s_at" 2496 1379 8455 17132
"200094_s_at" 15514 3996 5294 7452
"200095_x_at" 9862 8368 10296 9548
"200096_s_at" 5601 12647 733 3330
"200097_s_at" 4919 17121 2346 18773
"200098_s_at" 6136 13065 5796 19396
"200099_s_at" 9817 8295 20822 14628
"200593_s_at" 19266 4654 7083 4137
"200594_x_at" 5328 5259 5612 4453
"200595_s_at" 5264 14771 4013 16714
"200596_s_at" 17649 16057 4434 14989
"200597_at" 18289 16821 4205 1486
"200598_s_at" 17491 5285 5442 17572
"200599_s_at" 14593 13577 7909 6445
"200600_at" 4971 13847 12599 1791
"200601_at" 19995 3313 2373 19214
"200602_at" 3150 790 7739 19860
"200603_at" 7895 4659 3466 17408
"200604_s_at" 22103 17251 2600 3095
"200605_s_at" 18395 16896 9251 2080
"200606_at" 19821 2113 3088 16938
"200607_s_at" 13849 19499 20757 14209
"200608_s_at" 5063 2607 7872 16244
"200609_s_at" 19953 12942 3918 19207
"200610_s_at" 3980 3566 9867 4149
"200611_s_at" 5712 3257 6979 13837
"200612_s_at" 21517 117 10146 2387
"200613_at" 15769 3154 3939 6799
"200614_at" 15742 13076 7472 6397
"200615_s_at" 16159 5041 9402 4205
"200616_s_at" 4698 18171 3671 19013
"200617_at" 7202 15502 5140 1683
"200618_at" 15975 14408 5866 5200
"200619_at" 19730 2060 4870 5456
"200620_at" 14260 15812 10346 5296
"200621_at" 18191 4235 2357 16832
"200622_x_at" 5897 5586 6714 17265
"200623_s_at" 21431 15315 9970 3662
"200624_s_at" 14784 13458 2058 3605
"200625_s_at" 16278 13357 3232 5274
"200626_s_at" 13491 17027 864 7758
"200627_at" 14028 5599 8589 2648
"200628_s_at" 17574 2109 19967 7114
"200629_at" 5371 3584 19855 7420
"200630_x_at" 5762 12616 10371 6989
"200631_s_at" 6394 14515 5962 7965
"200632_s_at" 18072 3617 21791 7838
"200633_at" 6566 8190 10289 13516
"200634_at" 15938 13070 6992 2297
"200635_s_at" 13183 12449 5775 16373
"200636_s_at" 13223 16453 69 16077
"200637_s_at" 8931 14387 1922 2175
"200638_s_at" 15441 4097 4666 5319
"200639_s_at" 14391 4189 5770 4145
"200640_at" 13828 4801 7599 3175
"200641_s_at" 19229 5591 10152 2399
"200642_at" 5815 5904 9413 4950
"200643_at" 14487 2361 6952 5211
"200644_at" 21212 5593 3008 5567
"200645_at" 16688 15959 2094 8008
"200646_s_at" 14475 12656 21440 2177
"200647_x_at" 13742 3523 7264 18405
"200648_s_at" 19295 12659 7233 3742
"200649_at" 16843 17557 20552 4917
"200650_s_at" 9672 14360 9626 9402
"200651_at" 9849 4463 8601 6978
"200652_at" 7521 2784 7454 4175
"200653_s_at" 5245 4594 1725 13528
"200654_at" 13460 3845 2359 4992
"200655_s_at" 14533 13988 7570 16397
"200656_s_at" 6577 2233 2704 4069
"200657_at" 7333 13569 10093 14328
"200658_s_at" 7095 12561 4993 4863
"200659_s_at" 6367 17880 9511 2104
"200660_at" 17782 1382 9716 6046
"200661_at" 17994 13956 6068 13807
"200662_s_at" 6861 13908 2719 19158
"200663_at" 19714 2394 8907 14300
"200664_s_at" 5482 2821 21387 19871
"200665_s_at" 12389 6735 17306 13000
"200666_s_at" 19211 12510 10042 14305
"200667_at" 13595 5305 6175 13750
