"inst_2567" "inst_3429" "inst_3812" "inst_3895" "inst_4369" "inst_4547"
"1007_s_at" 21752 19967 7901 7159 3323 10184
"1053_at" 6753 17078 14289 7359 20378 6061
"117_at" 21428 8898 19648 2 2 18
"121_at" 9429 348 7066 17871 2116 5306
"1255_g_at" 15771 13732 9456 10752 13880 13604
"1294_at" 20648 4650 1946 20237 1846 1771
"1316_at" 4944 294 4199 1990 786 17392
"1320_at" 16260 10040 22113 1772 6770 5351
"1405_i_at" 9265 15900 9575 13460 15785 13516
"1431_at" 20559 11486 20349 4348 10566 17358
"1438_at" 16576 21551 1197 17191 9934 4413
"1487_at" 9541 1684 1729 3015 7005 10792
"1494_f_at" 22183 17771 6431 251 4740 650
"1598_g_at" 7777 7631 15128 2713 7698 17565
"160020_at" 1065 80 7408 21819 4032 8815
"1729_at" 4967 7142 1535 17600 20210 7083
"1773_at" 18442 1812 21192 5339 4884 6901
"177_at" 5154 12277 11387 7382 21785 17177
"179_at" 21046 22200 18206 3002 18145 10762
"1861_at" 17771 7358 16664 8816 20607 10378
"200000_s_at" 8539 21639 7012 16782 18488 20973
"200001_at" 5594 7268 16485 9741 16633 19937
"200002_at" 11280 8494 15851 8667 16399 11006
"200003_s_at" 13082 17373 10234 11571 12735 12861
"200004_at" 9961 8317 13814 9698 7133 9269
"200005_at" 7542 6542 8342 7500 7509 9142
"200006_at" 7726 17059 8318 9456 10906 9192
"200007_at" 7620 6960 8360 8797 7758 4775
"200008_s_at" 3703 3946 19380 8215 19220 10526
"200009_at" 7893 6279 17588 8770 17537 18966
"200010_at" 11160 7071 7883 15880 17470 10784
"200011_s_at" 9698 18766 4522 16413 10305 8690
"200012_x_at" 18494 18911 15071 9008 18265 19774
"200013_at" 10660 8449 16246 8494 16626 18415
"200014_s_at" 7145 5297 14847 15814 17720 6234
"200015_s_at" 17976 5899 14652 8773 8646 4823
"200016_x_at" 13013 8718 10160 15686 12649 8800
"200017_at" 13185 17825 10338 11672 12863 12958
"200018_at" 13177 19523 10328 11657 12851 18514
"200019_s_at" 17848 19609 14074 16198 12819 18885
"200020_at" 8364 17529 17748 9495 19273 18754
"200021_at" 13287 6641 10448 11779 12987 13060
"200022_at" 13098 7883 15871 11582 12756 10920
"200023_s_at" 8880 7330 5908 6639 9453 9593
"200024_at" 10187 17915 7509 8329 17464 17449
"200025_s_at" 13176 6151 14227 16540 12850 10109
"200026_at" 13292 20059 10454 9767 12991 9536
"200027_at" 7838 3875 14362 8860 5021 5579
"200028_s_at" 9296 18620 16524 16873 8657 8257
"200029_at" 13135 4762 7655 11610 11038 18814
"200030_s_at" 8807 8180 15469 16442 9820 19210
"200031_s_at" 13168 18674 10317 11648 12842 12937
"200032_s_at" 13187 18069 10343 11673 12867 18004
"200033_at" 4899 7107 6421 6185 6147 5886
"200034_s_at" 10105 8505 14745 17071 18000 18137
"200035_at" 17623 8190 4380 8491 4396 8624
"200036_s_at" 8781 18472 7611 6566 10000 18111
"200037_s_at" 8179 5646 8714 6382 7081 5031
"200038_s_at" 13269 17457 7713 11760 12960 18021
"200039_s_at" 6999 18059 6956 8489 18726 17748
"200040_at" 9234 17724 16431 8004 10791 7584
"200041_s_at" 7451 6725 5651 8585 10546 18378
