"inst_2294" "inst_2333" "inst_3665" "inst_4688" "inst_7364"
"1007_s_at" 14051 22060 19078 19518 20128
"1053_at" 21179 7149 19917 19279 17451
"117_at" 553 20134 6529 13797 10898
"121_at" 2233 4118 10714 15721 1912
"1255_g_at" 3703 12641 4085 11952 7550
"1294_at" 18076 7570 20315 160 9116
"1316_at" 21142 6226 21104 20103 18313
"1320_at" 9011 14887 15377 2434 12041
"1405_i_at" 6312 4146 3366 17910 12811
"1431_at" 19721 12539 10347 6916 9860
"1438_at" 13754 15118 18115 209 869
"1487_at" 13113 5001 18698 18273 15200
"1494_f_at" 15815 1205 2448 9914 5843
"1598_g_at" 20079 18939 8659 15001 4278
"160020_at" 165 17493 12215 20024 17787
"1729_at" 1085 208 16092 4330 13465
"1773_at" 20444 18892 20628 1315 13616
"177_at" 12144 17933 8079 230 10448
"179_at" 15731 15189 11986 1382 765
"1861_at" 2458 7896 15817 3350 14574
"200000_s_at" 10974 7778 9597 6503 3111
"200001_at" 15683 4614 11542 4396 14080
"200002_at" 10214 18731 9596 17142 4709
"200003_s_at" 5630 18471 4512 7833 13063
"200004_at" 11812 7991 10373 6202 13368
"200005_at" 11466 4763 15505 16351 16132
"200006_at" 11060 7697 10112 6198 3680
"200007_at" 10124 7690 9507 6940 5017
"200008_s_at" 21100 3948 17955 8216 2486
"200009_at" 13169 5926 13497 15090 13924
"200010_at" 11821 8264 12527 15927 5031
"200011_s_at" 10320 7818 11939 5105 17106
"200012_x_at" 2649 8572 2275 5723 4051
"200013_at" 10987 18457 9544 8299 15011
"200014_s_at" 13636 4591 13464 4566 14493
"200015_s_at" 15363 5386 13392 16891 13127
"200016_x_at" 10807 20022 10568 17312 15308
"200017_at" 5633 18895 4612 16158 13107
"200018_at" 5509 17415 4599 8003 14474
"200019_s_at" 3582 9223 2493 8325 4879
"200020_at" 18218 21730 14663 20377 16986
"200021_at" 5470 5000 4720 10573 3499
"200022_at" 5526 18522 9212 5324 2943
"200023_s_at" 2936 9040 10165 5463 17609
"200024_at" 3245 18348 2035 6635 14292
"200025_s_at" 3583 18933 9621 8270 13101
"200026_at" 11309 12041 4724 15850 5044
"200027_at" 13738 8278 12610 5247 16111
"200028_s_at" 10052 9041 11721 5208 14689
"200029_at" 2530 8606 2374 6686 13607
"200030_s_at" 3349 6848 2324 6097 14327
"200031_s_at" 5665 12025 4591 6946 14082
"200032_s_at" 5524 11855 4614 15650 13896
"200033_at" 12973 17576 9833 15144 17567
"200034_s_at" 12102 19770 10300 17046 16229
"200035_at" 1141 5045 15874 21379 20985
"200036_s_at" 10929 6983 9199 8366 2503
"200037_s_at" 13536 18259 15686 17271 16376
"200038_s_at" 10424 11776 8845 16571 13510
"200039_s_at" 16322 8275 12543 7335 4886
"200040_at" 12697 7566 16181 7278 16521
"200041_s_at" 13133 5005 12776 16300 3451
"200042_at" 16565 17888 15346 7065 17555
"200043_at" 13059 18603 3087 15305 15758
"200044_at" 10792 8636 13699 17168 15470
"200045_at" 12523 5403 15117 7040 3906
"200046_at" 16481 7151 12681 8011 4718
"200047_s_at" 12115 17380 14680 16852 17615
"200048_s_at" 11313 4985 10451 15285 4809
"200049_at" 3264 17893 10575 4093 14781
"200050_at" 11904 6456 15690 19949 19172
"200051_at" 14850 5980 15434 16490 2545
"200052_s_at" 18543 18162 12165 8193 13709
"200053_at" 14970 18339 14108 18220 4875
"200054_at" 19459 7207 16681 18206 13998
"200055_at" 11374 5840 9381 3540 3071
"200056_s_at" 16938 17967 20153 7173 19167
"200057_s_at" 10103 7693 10107 15219 14833
"200058_s_at" 11482 7204 12197 15500 4991
"200059_s_at" 12152 18368 9773 15067 13230
"200060_s_at" 13018 6393 16650 16597 18528
"200061_s_at" 5481 17385 4590 8378 4985
"200062_s_at" 5652 18590 4498 10284 14314
"200063_s_at" 5458 19815 4644 15913 14118
"200064_at" 12049 8324 8718 6980 4949
"200065_s_at" 14200 3287 9211 5533 3632
"200066_at" 18593 6806 12471 3130 17285
"200067_x_at" 12237 5985 13129 6953 4605
"200068_s_at" 10462 7731 11525 16496 13773
"200069_at" 14655 7883 11956 4006 3976
"200070_at" 17171 4195 18637 17920 18797
