"inst_1575" "inst_4498" "inst_6836"
"1007_s_at" 20274 9882 14722
"1053_at" 2927 10311 14774
"117_at" 19250 104 11200
"121_at" 6315 4756 1685
"1255_g_at" 15851 11069 9315
"1294_at" 2142 20799 3169
"1316_at" 21744 10154 2580
"1320_at" 13021 21905 975
"1405_i_at" 19585 15234 795
"1431_at" 13469 19929 18979
"1438_at" 15770 6370 21159
"1487_at" 7288 6812 21178
"1494_f_at" 3820 1243 678
"1598_g_at" 20374 21321 3889
"160020_at" 1439 8311 86
"1729_at" 2281 7544 20719
"1773_at" 9334 20757 16838
"177_at" 7578 19387 15689
"179_at" 19488 18973 17294
"1861_at" 12730 6753 18942
"200000_s_at" 4169 20652 17723
"200001_at" 1391 9321 16948
"200002_at" 5686 8457 12470
"200003_s_at" 18539 12796 7524
"200004_at" 5804 5109 17666
"200005_at" 4160 8250 17651
"200006_at" 6964 7260 13274
"200007_at" 5645 7993 5323
"200008_s_at" 1505 5653 17701
"200009_at" 3874 8558 18060
"200010_at" 3241 8511 12529
"200011_s_at" 1387 19488 18275
"200012_x_at" 3728 18777 13734
"200013_at" 4114 17726 12366
"200014_s_at" 3923 18099 17568
"200015_s_at" 1160 7013 12258
"200016_x_at" 20595 6731 4897
"200017_at" 20026 12900 7657
"200018_at" 6873 12893 7646
"200019_s_at" 20901 17847 16221
"200020_at" 4585 10155 16737
"200021_at" 5925 17891 7805
"200022_at" 5866 10285 12732
"200023_s_at" 5530 9124 16480
"200024_at" 5966 9000 5090
"200025_s_at" 5239 9140 4234
"200026_at" 21662 16894 7813
"200027_at" 5400 8734 17144
"200028_s_at" 6363 10318 18231
"200029_at" 6870 18587 12161
"200030_s_at" 3882 10735 14256
"200031_s_at" 6222 12884 7637
"200032_s_at" 19138 17021 7664
"200033_at" 6616 9073 14516
"200034_s_at" 5074 9649 3947
"200035_at" 3974 20513 3230
"200036_s_at" 7329 7932 13532
"200037_s_at" 20351 7976 13878
"200038_s_at" 7058 17795 7780
"200039_s_at" 4830 17210 18047
"200040_at" 21380 7727 15787
"200041_s_at" 3210 17492 19243
"200042_at" 6463 17973 14544
"200043_at" 3647 3256 12364
"200044_at" 19563 7394 18210
"200045_at" 2210 18900 20509
"200046_at" 818 10023 17043
"200047_s_at" 20200 5812 12141
"200048_s_at" 7076 16899 15749
"200049_at" 1168 9345 15961
"200050_at" 21067 5820 3944
"200051_at" 20582 10083 4229
"200052_s_at" 1366 9937 14296
"200053_at" 4092 6413 17309
"200054_at" 19711 6798 18427
"200055_at" 7190 20105 19652
"200056_s_at" 19379 3338 14775
"200057_s_at" 6414 17297 15623
"200058_s_at" 4843 8764 4046
"200059_s_at" 403 8337 12224
"200060_s_at" 4312 9731 19249
"200061_s_at" 5679 12882 7634
"200062_s_at" 19690 12790 7503
"200063_s_at" 2174 12942 7705
"200064_at" 2224 8096 13510
"200065_s_at" 1804 9815 17554
"200066_at" 1594 10110 14799
"200067_x_at" 6840 17862 15015
"200068_s_at" 2160 5625 15879
"200069_at" 2007 6428 21496
"200070_at" 3254 21239 17692
"200071_at" 18620 6997 19233
"200072_s_at" 18252 10822 17644
"200073_s_at" 20803 8885 3385
"200074_s_at" 3052 7811 3714
"200075_s_at" 3758 17184 15812
"200076_s_at" 3784 18462 16953
"200077_s_at" 19023 9430 4132
"200078_s_at" 6138 5638 17955
"200079_s_at" 2348 10568 20627
"200080_s_at" 20030 8427 1953
"200081_s_at" 3279 6768 12029
"200082_s_at" 19817 17285 7692
"200083_at" 18891 10974 12397
"200084_at" 4179 4361 13325
"200085_s_at" 6172 17878 15621
"200086_s_at" 7274 17180 3528
"200087_s_at" 19006 4328 17958
"200088_x_at" 7089 17532 7518
"200089_s_at" 19203 8262 5182
"200090_at" 21739 19655 18537
"200091_s_at" 21369 6157 2347
"200092_s_at" 18103 17462 7716
"200093_s_at" 18408 8666 4912
"200094_s_at" 6262 18996 12989
"200095_x_at" 21034 13015 7792
"200096_s_at" 1147 9351 4356
"200097_s_at" 6279 8055 13251
"200098_s_at" 6345 9141 15436
"200099_s_at" 5037 10098 7724
"200593_s_at" 4636 7963 14798
"200594_x_at" 19538 8236 13886
"200595_s_at" 6508 4472 17210
"200596_s_at" 18495 10792 4446
"200597_at" 18908 21150 2757
"200598_s_at" 7582 3802 12490
"200599_s_at" 18733 3322 15499
"200600_at" 4042 7846 9278
"200601_at" 5837 4892 2635
"200602_at" 18405 9376 1266
"200603_at" 1384 4236 3143
"200604_s_at" 5961 2961 20183
"200605_s_at" 196 3755 20785
"200606_at" 10970 6863 13618
"200607_s_at" 6434 10638 14527
"200608_s_at" 20322 3860 5087
"200609_s_at" 18750 17971 19061
"200610_s_at" 2194 9393 12962
"200611_s_at" 19147 17981 19197
"200612_s_at" 285 21283 4204
"200613_at" 5154 19765 14243
"200614_at" 4151 5349 5342
"200615_s_at" 7096 9281 19341
"200616_s_at" 3598 17401 17926
"200617_at" 5659 10323 17347
"200618_at" 6403 19018 16890
"200619_at" 21160 6600 18566
"200620_at" 558 9648 13093
"200621_at" 20831 6776 16851
"200622_x_at" 1539 6839 16462
"200623_s_at" 20345 21374 3908
"200624_s_at" 1719 3895 16393
"200625_s_at" 4708 8809 14962
"200626_s_at" 2445 3020 12682
"200627_at" 3286 5792 3453
"200628_s_at" 4107 8952 17667
"200629_at" 3209 20643 21653
"200630_x_at" 4869 18663 13443
"200631_s_at" 6623 9350 16678
"200632_s_at" 812 7526 4051
"200633_at" 18573 12881 7633
"200634_at" 6475 6569 14870
"200635_s_at" 13393 8921 13614
"200636_s_at" 10135 19169 19651
"200637_s_at" 13937 20663 21587
"200638_s_at" 1569 8914 13642
"200639_s_at" 2195 5398 15429
"200640_at" 3522 6736 15042
"200641_s_at" 3603 5193 16363
"200642_at" 4378 8799 12863
"200643_at" 2993 19285 12879
"200644_at" 21088 17677 13540
"200645_at" 2877 18024 13666
"200646_s_at" 17772 20833 2216
"200647_x_at" 3909 19785 20599
"200648_s_at" 19764 1520 16805
"200649_at" 1670 20993 12956
"200650_s_at" 6564 12757 15255
"200651_at" 20217 8393 7769
"200652_at" 4445 9012 12183
"200653_s_at" 20458 8510 4061
"200654_at" 5489 17009 16032
"200655_s_at" 5861 8749 18642
"200656_s_at" 6059 8957 4310
"200657_at" 4546 8349 4381
"200658_s_at" 4329 7832 14324
"200659_s_at" 19427 19531 20876
"200660_at" 21442 18385 12916
"200661_at" 21440 10989 14651
"200662_s_at" 18205 6671 19242
"200663_at" 18827 10961 12204
"200664_s_at" 2246 21278 5316
"200665_s_at" 15690 5087 8311
"200666_s_at" 3780 10439 17317
"200667_at" 7591 7678 19334
"200668_s_at" 7181 9153 16060
"200669_s_at" 18647 9576 19134
"200670_at" 18132 3214 2967
"200671_s_at" 8419 10431 22195
"200672_x_at" 4751 2997 21132
"200673_at" 5776 6636 12294
"200674_s_at" 18534 20544 13245
"200675_at" 822 5547 15076
"200676_s_at" 19192 19395 20243
"200677_at" 3171 10587 17355
"200678_x_at" 3551 18483 19941
"200679_x_at" 4580 6835 5213
"200680_x_at" 6550 8404 7797
"200681_at" 4015 17062 17134
"200682_s_at" 2286 9317 16588
"200683_s_at" 2834 10548 19789
"200684_s_at" 231 17943 13073
"200685_at" 20336 4761 2848
"200686_s_at" 144 9335 16662
"200687_s_at" 6274 19043 16926
"200688_at" 692 16891 18770
"200689_x_at" 6704 10830 5185
"200690_at" 1518 19442 20675
"200691_s_at" 5702 8345 19922
"200692_s_at" 19055 7689 16684
"200693_at" 7335 6424 13946
"200694_s_at" 6726 7159 19063
"200695_at" 488 20404 21393
"200696_s_at" 6259 8327 13149
"200697_at" 6459 19834 19090
"200698_at" 21296 6732 14724
"200699_at" 21568 5878 18206
"200700_s_at" 6237 5403 17193
"200701_at" 3788 7607 12964
"200702_s_at" 6943 6206 15523
"200703_at" 6544 10071 3600
"200704_at" 21301 2703 15212
"200705_s_at" 19137 7132 4018
"200706_s_at" 4555 16800 16611
"200707_at" 489 19780 15006
"200708_at" 6310 17417 17863
"200709_at" 19859 17945 14979
"200710_at" 4809 19474 17776
"200711_s_at" 19712 6529 12674
"200712_s_at" 2082 5781 14883
"200713_s_at" 3422 4488 17542
"200714_x_at" 4434 7007 15660
