"inst_1752" "inst_2744" "inst_6766" "inst_7124"
"1007_s_at" 19373 4605 1724 2630
"1053_at" 7513 19922 17755 17522
"117_at" 4397 10029 2029 4785
"121_at" 5809 728 1390 2392
"1255_g_at" 11427 12475 7095 7569
"1294_at" 6894 20586 8826 10660
"1316_at" 3923 21376 13567 19091
"1320_at" 8871 10941 18492 12370
"1405_i_at" 20528 12378 7839 12594
"1431_at" 11871 1871 19838 6241
"1438_at" 16335 86 18926 2680
"1487_at" 8665 20459 13719 20369
"1494_f_at" 20776 4346 4332 4527
"1598_g_at" 5770 6669 287 18476
"160020_at" 5653 256 7979 3298
"1729_at" 6833 20649 18318 18967
"1773_at" 12101 18913 2981 14143
"177_at" 4273 11135 9362 6013
"179_at" 6207 4266 109 9868
"1861_at" 7386 20867 13741 3237
"200000_s_at" 4258 6457 16509 19866
"200001_at" 8132 7462 4737 13798
"200002_at" 7564 5170 12718 2892
"200003_s_at" 18626 17160 12633 13617
"200004_at" 5349 6732 4361 14662
"200005_at" 7882 6668 17479 17171
"200006_at" 19755 6963 13143 3098
"200007_at" 19861 1111 12456 3011
"200008_s_at" 21366 18923 17867 3353
"200009_at" 6141 8819 13239 3886
"200010_at" 8301 8690 15328 4054
"200011_s_at" 901 1824 4787 16356
"200012_x_at" 5130 17974 3113 2779
"200013_at" 8115 17509 14270 15807
"200014_s_at" 6809 6591 16263 2234
"200015_s_at" 6888 6523 18366 16234
"200016_x_at" 18994 6942 13443 13628
"200017_at" 6813 11460 7222 13602
"200018_at" 18938 16668 12280 14558
"200019_s_at" 19045 6821 12672 16341
"200020_at" 21031 17670 4702 3059
"200021_at" 18739 8562 7371 1978
"200022_at" 19889 4436 3997 2468
"200023_s_at" 8520 4839 12803 17481
"200024_at" 8177 8156 12712 3746
"200025_s_at" 7342 6166 4805 3486
"200026_at" 6585 17181 7378 2581
"200027_at" 20281 6421 13570 3499
"200028_s_at" 5176 3607 12595 14629
"200029_at" 8524 5900 4102 4299
"200030_s_at" 7980 7427 2865 3555
"200031_s_at" 7059 11423 7195 14340
"200032_s_at" 20503 16882 7225 14273
"200033_at" 3497 7115 14223 16894
"200034_s_at" 20824 16541 4509 4097
"200035_at" 1213 19110 2632 21154
"200036_s_at" 8099 3928 14928 14127
"200037_s_at" 19494 6727 14006 15358
"200038_s_at" 7906 8021 13014 4076
"200039_s_at" 20893 7683 14535 3186
"200040_at" 18997 5799 13520 15103
"200041_s_at" 4731 7892 14728 18132
"200042_at" 7371 6359 14079 16732
"200043_at" 21337 1933 2607 13922
"200044_at" 20658 2952 17088 15654
"200045_at" 5180 8673 12414 13926
"200046_at" 21616 1798 4482 2844
"200047_s_at" 6773 3976 1787 3978
"200048_s_at" 18877 4411 18084 16134
"200049_at" 1316 6528 15176 3606
"200050_at" 20456 18573 16799 16784
"200051_at" 19021 5971 13445 21130
"200052_s_at" 18828 7494 15638 4145
"200053_at" 5858 20325 18663 313
"200054_at" 18797 5547 14663 3689
"200055_at" 4002 3301 14415 3534
"200056_s_at" 20802 5510 19856 16611
"200057_s_at" 4901 4399 3756 4019
"200058_s_at" 1512 8341 15531 18456
"200059_s_at" 8232 3946 4845 14131
"200060_s_at" 4296 7120 13398 20940
"200061_s_at" 6576 16835 7193 2802
"200062_s_at" 18474 11278 7052 3791
"200063_s_at" 8146 16275 7267 3008
"200064_at" 8342 6825 3009 4350
"200065_s_at" 18730 5917 14130 13910
"200066_at" 6820 18950 21202 16403
"200067_x_at" 19902 7456 14380 4085
"200068_s_at" 5755 3553 2683 2427
"200069_at" 4513 2063 3638 13978
"200070_at" 6847 2239 21909 22104
"200071_at" 20195 5344 16429 2164
"200072_s_at" 18601 6983 15652 16008
"200073_s_at" 20918 16565 16487 19529
"200074_s_at" 8459 17189 13802 4307
"200075_s_at" 2980 16784 18266 14830
"200076_s_at" 5678 2580 12282 13747
"200077_s_at" 19511 6790 4294 14095
"200078_s_at" 8310 4477 14880 16679
"200079_s_at" 19611 18198 12558 16344
"200080_s_at" 5860 7978 1902 2381
"200081_s_at" 19954 6967 12759 2689
"200082_s_at" 18909 17878 15440 3700
"200083_at" 2454 3845 12017 17499
"200084_at" 18917 5144 15128 18784
"200085_s_at" 20436 5968 18007 3433
"200086_s_at" 7424 5757 15538 14816
"200087_s_at" 19864 6898 14487 17889
"200088_x_at" 8697 8368 7073 3043
"200089_s_at" 8263 17109 14103 14517
"200090_at" 5475 1840 21067 16586
"200091_s_at" 18240 17918 16130 16964
"200092_s_at" 18632 18241 4069 15633
"200093_s_at" 19402 3304 16779 14583
"200094_s_at" 4564 18412 13578 18936
"200095_x_at" 8686 8038 7349 3595
"200096_s_at" 7413 16754 18407 3679
"200097_s_at" 6653 17854 3895 14502
"200098_s_at" 7061 4547 14686 14742
"200099_s_at" 20227 11529 7284 13868
"200593_s_at" 18211 16680 12919 17286
"200594_x_at" 3829 6698 13213 13734
"200595_s_at" 7163 7210 15278 20420
"200596_s_at" 7130 8874 19728 17821
"200597_at" 8299 1773 15217 19856
"200598_s_at" 21796 2769 16716 1777
"200599_s_at" 21830 2098 4826 2160
"200600_at" 1210 14390 6456 15378
"200601_at" 4571 2110 17719 14242
"200602_at" 19245 2204 2054 2614
"200603_at" 852 7954 14828 13967
"200604_s_at" 5058 7392 17244 13888
"200605_s_at" 5643 6263 13708 13684
"200606_at" 11874 4100 3323 1372
"200607_s_at" 21954 18863 18181 16868
"200608_s_at" 6899 16290 15436 16253
"200609_s_at" 3671 1195 19184 1821
"200610_s_at" 6023 1684 2388 14137
"200611_s_at" 6000 7616 13174 16078
"200612_s_at" 6687 3054 18203 22008
"200613_at" 3980 6379 14868 17986
"200614_at" 5669 17051 13468 17091
"200615_s_at" 18220 17315 18294 19487
"200616_s_at" 20232 8924 14427 2488
"200617_at" 2204 2706 2496 16673
"200618_at" 643 17018 13624 19159
"200619_at" 2819 1294 13059 16678
"200620_at" 8461 5406 3485 15279
"200621_at" 1457 2577 16681 1247
"200622_x_at" 7033 8280 19739 2335
"200623_s_at" 6057 20020 3642 19154
"200624_s_at" 7020 4011 13259 18478
"200625_s_at" 18619 4001 16804 19214
"200626_s_at" 6652 5820 3782 18820
"200627_at" 20394 18384 3707 14011
"200628_s_at" 19760 5721 17203 16215
"200629_at" 19480 17889 15562 800
"200630_x_at" 19552 18301 3950 4196
"200631_s_at" 19686 2320 3202 3459
