"inst_1589" "inst_3206" "inst_5386" "inst_6286"
"1007_s_at" 299 1864 5712 17679
"1053_at" 1189 19257 4903 2139
"117_at" 905 9331 12256 10278
"121_at" 1606 2891 6380 14024
"1255_g_at" 10131 11877 12964 10324
"1294_at" 1601 2739 566 7097
"1316_at" 2786 17343 18980 20129
"1320_at" 7068 9793 18995 12027
"1405_i_at" 2199 5377 14104 7888
"1431_at" 10920 19861 12539 8397
"1438_at" 14631 788 20750 618
"1487_at" 20159 8039 1363 19472
"1494_f_at" 196 879 103 21941
"1598_g_at" 4196 3424 2106 19727
"160020_at" 6475 20120 1431 17729
"1729_at" 1047 2681 8350 18959
"1773_at" 9218 17085 18633 21708
"177_at" 1023 8613 10946 6444
"179_at" 132 18644 6426 169
"1861_at" 2210 18558 20720 13287
"200000_s_at" 5171 5156 3726 4941
"200001_at" 5423 17512 6855 17122
"200002_at" 19210 16697 7227 4748
"200003_s_at" 18768 10178 9271 12934
"200004_at" 4359 6620 6600 13417
"200005_at" 19641 7330 16237 14522
"200006_at" 18348 7531 16117 14041
"200007_at" 19072 5241 6844 13167
"200008_s_at" 20647 20555 18429 21125
"200009_at" 4815 15274 16027 13002
"200010_at" 17596 17883 7762 3612
"200011_s_at" 4764 2406 6025 4910
"200012_x_at" 3945 15284 17239 4543
"200013_at" 6841 16034 16567 14439
"200014_s_at" 6590 15723 9206 13509
"200015_s_at" 6784 4644 16239 13808
"200016_x_at" 5064 6715 16008 4879
"200017_at" 2795 10269 11442 4469
"200018_at" 17595 15474 17286 13881
"200019_s_at" 20645 6683 16243 4494
"200020_at" 21062 3963 6816 14202
"200021_at" 4027 10348 11526 7604
"200022_at" 20477 17365 9246 4103
"200023_s_at" 5995 15350 8382 15355
"200024_at" 5954 15914 16204 4148
"200025_s_at" 5776 8177 16677 4718
"200026_at" 2435 10350 17701 4503
"200027_at" 20906 7271 16727 15618
"200028_s_at" 19584 5616 5811 15136
"200029_at" 17862 7400 7585 3880
"200030_s_at" 3717 6099 9284 4487
"200031_s_at" 4037 10254 11420 13442
"200032_s_at" 6098 10272 15877 3993
"200033_at" 5273 17049 6596 13967
"200034_s_at" 18534 7882 8198 3258
"200035_at" 20315 3669 3886 16561
"200036_s_at" 17707 15898 9351 4647
"200037_s_at" 18327 6808 8834 4199
"200038_s_at" 18258 16798 15975 12553
"200039_s_at" 17961 16059 18389 14302
"200040_at" 20348 6516 16041 13618
"200041_s_at" 4489 18471 16281 16658
"200042_at" 3628 6883 18550 18143
"200043_at" 2923 4908 18062 14394
"200044_at" 6736 6793 5103 13650
"200045_at" 19722 3774 5710 14137
"200046_at" 6017 18972 7570 13012
"200047_s_at" 5699 16116 6704 3316
"200048_s_at" 6001 5883 9029 14121
"200049_at" 18022 17655 2942 16318
"200050_at" 20308 15193 2111 3491
"200051_at" 18937 6124 9357 4063
"200052_s_at" 19055 17986 16297 13378
"200053_at" 17728 20694 16574 18170
"200054_at" 21795 6804 3253 2018
"200055_at" 5384 5412 17695 15700
"200056_s_at" 6140 4942 18657 18355
"200057_s_at" 4456 5449 8318 13825
"200058_s_at" 4327 2362 5074 13204
"200059_s_at" 5371 18760 6320 13821
"200060_s_at" 21454 7877 16354 1799
"200061_s_at" 18562 10252 11419 16020
"200062_s_at" 6115 10165 11335 7304
"200063_s_at" 5235 10303 11472 7496
"200064_at" 20141 14812 9376 15589
"200065_s_at" 19664 6081 5984 13323
"200066_at" 20330 18716 17501 14938
"200067_x_at" 5443 15845 6981 14869
"200068_s_at" 2607 6319 4530 4381
"200069_at" 3133 5598 2201 14971
"200070_at" 830 2496 7381 15039
"200071_at" 6359 3781 6388 13288
"200072_s_at" 17934 6527 6967 14752
"200073_s_at" 20962 8027 18619 13955
"200074_s_at" 6351 17050 16200 4820
"200075_s_at" 20868 15161 16043 15391
"200076_s_at" 6454 16867 17357 16526
"200077_s_at" 18870 16341 7596 4666
"200078_s_at" 6137 17103 4648 13733
"200079_s_at" 21296 7197 17045 16763
"200080_s_at" 18552 15170 4845 4373
"200081_s_at" 19089 15571 15840 12976
"200082_s_at" 4285 5834 18074 14373
"200083_at" 5445 2077 7268 3426
"200084_at" 6514 8379 8386 17589
"200085_s_at" 19754 7282 9049 12821
"200086_s_at" 17603 7133 17873 13556
"200087_s_at" 4012 5808 4261 3871
"200088_x_at" 17696 10173 11341 12994
"200089_s_at" 19590 16477 16807 12955
"200090_at" 4155 7177 17058 4631
"200091_s_at" 18395 7471 18205 15729
"200092_s_at" 18213 6635 17809 5101
"200093_s_at" 3597 18058 16240 15402
"200094_s_at" 18341 8185 16920 4089
"200095_x_at" 17756 10344 11520 7586
"200096_s_at" 5620 18598 19093 17346
"200097_s_at" 18113 6483 6308 3216
"200098_s_at" 18997 6555 8300 13522
"200099_s_at" 18216 10309 11480 4914
"200593_s_at" 21239 6551 8689 4346
"200594_x_at" 19997 5922 4688 3881
"200595_s_at" 19472 17193 6601 12922
"200596_s_at" 22158 7170 17621 17530
"200597_at" 3257 15054 18351 16029
"200598_s_at" 18294 19600 8524 3298
"200599_s_at" 5365 8486 6666 3769
"200600_at" 21260 214 14148 14760
"200601_at" 21748 17860 807 2162
"200602_at" 4761 17864 16262 18084
"200603_at" 909 6284 3409 3904
"200604_s_at" 1502 16201 7194 15179
"200605_s_at" 217 16868 8577 4576
"200606_at" 15140 18683 5310 2566
"200607_s_at" 19635 21428 19952 17927
"200608_s_at" 3991 15665 16331 4831
"200609_s_at" 1125 5438 16921 15387
"200610_s_at" 20249 7456 16260 4939
"200611_s_at" 6530 5062 6361 15426
"200612_s_at" 3023 18844 20176 20397
"200613_at" 3646 17064 6737 15796
"200614_at" 4153 6521 15979 14926
"200615_s_at" 2665 17978 9024 20820
"200616_s_at" 4052 17236 16884 14452
"200617_at" 6092 1952 3229 16819
"200618_at" 3932 1501 2433 14983
"200619_at" 2846 8430 8076 13836
"200620_at" 1241 4337 17925 2877
"200621_at" 6533 16559 7991 675
"200622_x_at" 6461 18311 16401 13162
"200623_s_at" 650 3642 3783 16688
"200624_s_at" 19852 19270 8714 18496
"200625_s_at" 2032 4101 17458 13246
"200626_s_at" 5363 4694 17093 17647
"200627_at" 17841 15062 18081 14925
"200628_s_at" 3892 20849 8458 20999
"200629_at" 19936 7992 8034 15804
"200630_x_at" 1697 15783 5833 2894
"200631_s_at" 21595 16587 16619 4428
