"inst_1713" "inst_2864" "inst_5986" "inst_7284"
"1007_s_at" 22040 16073 1713 5237
"1053_at" 4841 15509 21083 16395
"117_at" 6495 9157 3247 5193
"121_at" 8609 14229 17674 14771
"1255_g_at" 11821 10838 12153 8440
"1294_at" 3063 5551 1780 11279
"1316_at" 18882 19678 5965 20825
"1320_at" 15698 19597 17247 13382
"1405_i_at" 2444 10253 8289 10215
"1431_at" 16883 399 687 13473
"1438_at" 15023 1081 3547 21611
"1487_at" 21122 17431 16206 2051
"1494_f_at" 22030 13399 1073 10640
"1598_g_at" 2245 19587 20972 15279
"160020_at" 22176 3555 8558 22274
"1729_at" 20771 2163 18000 265
"1773_at" 10868 3363 1242 19651
"177_at" 6640 12744 503 3027
"179_at" 4007 16333 15285 19173
"1861_at" 788 19110 16030 2789
"200000_s_at" 6372 3065 17754 1970
"200001_at" 946 4983 6793 16185
"200002_at" 19035 14949 16185 2684
"200003_s_at" 19871 9329 5063 3427
"200004_at" 4940 4921 14955 4579
"200005_at" 18708 15200 5797 5130
"200006_at" 7743 7025 6819 1486
"200007_at" 7266 14877 2119 3053
"200008_s_at" 7771 6027 5335 21270
"200009_at" 3822 4232 4361 15634
"200010_at" 5744 5280 13860 3446
"200011_s_at" 4151 3699 14324 15390
"200012_x_at" 6264 16290 6477 5564
"200013_at" 6410 15762 15646 5327
"200014_s_at" 8582 15529 16350 2013
"200015_s_at" 4316 3997 14780 4547
"200016_x_at" 6273 7187 4886 4089
"200017_at" 6222 7181 6380 4824
"200018_at" 8839 15005 6134 4707
"200019_s_at" 8793 6840 15913 3779
"200020_at" 4324 14187 5041 3786
"200021_at" 18806 18481 14402 16194
"200022_at" 19995 16306 6325 14251
"200023_s_at" 7925 15131 14984 4244
"200024_at" 6429 14609 14858 3882
"200025_s_at" 8652 14895 15449 3591
"200026_at" 8871 17350 16210 13982
"200027_at" 19377 5599 4603 1837
"200028_s_at" 7371 7239 6754 3205
"200029_at" 20145 15114 13691 15880
"200030_s_at" 18723 7249 14641 15711
"200031_s_at" 19520 9426 8927 15420
"200032_s_at" 20214 16457 14447 4383
"200033_at" 6595 4457 5344 4614
"200034_s_at" 8286 17214 14103 14637
"200035_at" 879 17014 18092 19404
"200036_s_at" 19767 15985 14638 5642
"200037_s_at" 7556 15852 3444 5078
"200038_s_at" 19633 7069 6835 15432
"200039_s_at" 8309 14706 14812 5811
"200040_at" 20703 6174 16780 3970
"200041_s_at" 19137 14564 4552 17010
"200042_at" 4419 17917 6356 16249
"200043_at" 5688 16892 4990 2504
"200044_at" 8031 6199 16971 3229
"200045_at" 19064 5529 18436 5116
"200046_at" 7529 14819 6426 3616
"200047_s_at" 7125 19111 14150 807
"200048_s_at" 6650 15620 14282 2637
"200049_at" 18854 21174 3366 5259
"200050_at" 7748 17773 17124 2040
"200051_at" 20148 17108 19290 2843
"200052_s_at" 7694 6682 4353 3730
"200053_at" 4907 14287 3440 19361
"200054_at" 6330 20922 19085 16229
"200055_at" 5038 5289 14176 15572
"200056_s_at" 6529 15695 15003 18707
"200057_s_at" 19186 5986 4624 5393
"200058_s_at" 7397 4979 18031 5351
"200059_s_at" 2820 5084 6340 14294
"200060_s_at" 2717 5346 14015 17321
"200061_s_at" 8004 9425 8926 16228
"200062_s_at" 19784 9313 8844 15400
"200063_s_at" 4503 9491 14267 4674
"200064_at" 4398 6518 6711 16724
"200065_s_at" 19925 5322 6429 15778
"200066_at" 4414 1149 3771 2626
"200067_x_at" 3505 16497 3373 5490
"200068_s_at" 2390 3260 14432 3361
"200069_at" 8751 14331 14497 17097
"200070_at" 825 20633 18583 19246
"200071_at" 5368 6864 4761 4832
"200072_s_at" 4257 6500 14827 16046
"200073_s_at" 6094 15908 14575 4521
"200074_s_at" 6840 6466 15892 14108
"200075_s_at" 3050 15095 13782 2995
"200076_s_at" 8567 3601 17832 14504
"200077_s_at" 19450 14405 13813 5364
"200078_s_at" 8770 17193 6490 2561
"200079_s_at" 6975 4480 5575 17646
"200080_s_at" 20466 16776 5441 1955
"200081_s_at" 6519 5104 5990 5721
"200082_s_at" 8543 7032 13956 14629
"200083_at" 5446 14990 5150 16021
"200084_at" 5858 18293 5135 15158
"200085_s_at" 7662 14252 13909 3233
"200086_s_at" 4554 14999 3739 3850
"200087_s_at" 3484 4730 13687 1636
"200088_x_at" 8731 9321 8853 5575
"200089_s_at" 18704 15341 5961 2527
"200090_at" 19610 14692 4762 4238
"200091_s_at" 8424 17544 16378 5320
"200092_s_at" 19569 4371 3996 5335
"200093_s_at" 4421 16736 5998 2877
"200094_s_at" 18941 15902 16138 14936
"200095_x_at" 20062 9549 9006 14242
"200096_s_at" 6872 6618 19596 3279
"200097_s_at" 6548 3721 13992 4721
"200098_s_at" 6522 15398 14723 13976
"200099_s_at" 19822 9501 8971 4416
"200593_s_at" 21338 17411 14423 15110
"200594_x_at" 4400 4003 17310 14578
"200595_s_at" 8078 6329 14708 16876
"200596_s_at" 6104 5523 6137 15582
"200597_at" 19490 15235 5237 5057
"200598_s_at" 19033 17784 13932 5089
"200599_s_at" 3815 16636 6788 958
"200600_at" 2919 9757 4838 2755
"200601_at" 21992 6748 3336 1543
"200602_at" 20569 1645 15478 1498
"200603_at" 5448 14466 14280 3599
"200604_s_at" 1436 3380 6990 20322
"200605_s_at" 320 3171 2870 18185
"200606_at" 10028 5940 3029 585
"200607_s_at" 18718 19775 16436 21319
"200608_s_at" 19331 16730 15126 3118
"200609_s_at" 3826 5683 6052 18570
"200610_s_at" 3255 14972 4655 1650
"200611_s_at" 3060 17077 16701 4454
"200612_s_at" 3630 1462 3709 14405
"200613_at" 19709 19058 5932 5565
"200614_at" 4529 16229 14642 4500
"200615_s_at" 18864 15167 4182 18075
"200616_s_at" 7328 7184 2516 17540
"200617_at" 6272 6424 16627 15782
"200618_at" 1084 16020 5742 2642
"200619_at" 7862 15659 3725 2148
"200620_at" 2486 5662 6476 5103
"200621_at" 6125 14681 4471 2361
"200622_x_at" 702 6082 4641 15951
"200623_s_at" 42 17793 6147 20991
"200624_s_at" 1006 15335 7023 21056
"200625_s_at" 6890 18835 14261 14004
"200626_s_at" 19662 19140 13961 19775
"200627_at" 6061 6110 6554 15035
"200628_s_at" 20723 17396 3389 16235
"200629_at" 5749 4698 13692 17433
"200630_x_at" 1258 4896 6625 3355
"200631_s_at" 8436 16784 6856 5315
"200632_s_at" 1272 198 1845 407
"200633_at" 19219 14476 6213 14319
"200634_at" 6420 15649 6292 16416
"200635_s_at" 14487 3687 5369 14320
"200636_s_at" 10473 4729 17201 1290
"200637_s_at" 13501 20296 4613 21977
"200638_s_at" 1429 7173 3776 5830
"200639_s_at" 3004 14376 2301 14509
"200640_at" 2664 6909 14158 5645
"200641_s_at" 2742 7280 3553 21516
"200642_at" 4263 14437 14491 3923
"200643_at" 3262 18276 3733 4165
"200644_at" 3280 5099 15224 16210
"200645_at" 8015 4269 6016 15508
"200646_s_at" 11869 20347 19014 21984
"200647_x_at" 7413 6020 4237 556
"200648_s_at" 1316 19212 914 21891
"200649_at" 2378 21935 19767 18768
"200650_s_at" 5399 15952 4887 4315
"200651_at" 7464 15873 6318 16281
"200652_at" 6822 16350 3084 1751
"200653_s_at" 21074 4120 2667 2690
"200654_at" 5200 6132 2863 2767
"200655_s_at" 2790 5531 14439 4821
"200656_s_at" 7393 14625 3263 13986
"200657_at" 6455 15442 5475 3560
"200658_s_at" 7785 14561 16961 4743
"200659_s_at" 20412 6309 6577 1522
"200660_at" 19997 2845 5028 5034
"200661_at" 3014 14608 6307 15569
"200662_s_at" 19531 4901 17812 15664
"200663_at" 6846 7305 3221 4141
"200664_s_at" 18767 14798 16875 19368
"200665_s_at" 9924 8765 8176 21993
"200666_s_at" 7412 14124 15321 16173
"200667_at" 4950 15080 15747 3171
"200668_s_at" 4725 16284 14200 15175
"200669_s_at" 5401 3430 14744 17385
"200670_at" 6492 19274 4596 2127
"200671_s_at" 14293 22235 1990 20710
"200672_x_at" 819 156 19279 20781
"200673_at" 3700 14874 4660 2954
"200674_s_at" 8149 14606 15592 18420
"200675_at" 6278 14566 6860 15831
"200676_s_at" 21571 20496 19253 1643
"200677_at" 3749 2825 2274 14115
"200678_x_at" 4367 2397 5491 4896
"200679_x_at" 6233 14793 14530 15998
"200680_x_at" 4354 16234 6663 3789
"200681_at" 5031 7253 6170 17764
"200682_s_at" 7584 6774 14925 4040
"200683_s_at" 18859 2257 16571 19280
"200684_s_at" 19881 5370 17237 21732
"200685_at" 20684 15175 3058 1386
"200686_s_at" 19814 1942 1767 303
"200687_s_at" 4883 17040 6294 19859
"200688_at" 20342 20215 21882 2562
"200689_x_at" 6254 6622 14330 4497
"200690_at" 22050 19247 18191 15386
"200691_s_at" 20986 14347 16267 17939
"200692_s_at" 8906 15970 14207 19814
"200693_at" 4415 5710 5018 4086
"200694_s_at" 7116 16577 16427 4129
"200695_at" 8097 21359 19292 15813
"200696_s_at" 4473 420 1128 15107
"200697_at" 19970 15910 16825 4303
"200698_at" 7386 2954 4010 16447
"200699_at" 2191 4552 5096 5756
"200700_s_at" 2710 6976 3200 16478
"200701_at" 631 1512 1673 2228
"200702_s_at" 19611 15819 5204 18970
"200703_at" 1425 6729 4264 14938
"200704_at" 19454 5697 2196 20875
"200705_s_at" 18732 14583 6238 4844
"200706_s_at" 542 2027 20802 17272
"200707_at" 6022 19155 3834 20852
"200708_at" 20812 5286 18071 15013
"200709_at" 20154 5507 5718 16577
"200710_at" 3036 3268 6564 18242
"200711_s_at" 5545 17168 14117 15590
"200712_s_at" 3244 19985 5429 21246
"200713_s_at" 4495 16775 6706 3932
"200714_x_at" 919 15924 3150 16096
"200715_x_at" 8423 6754 4332 4332
"200716_x_at" 8594 6684 14806 5054
"200717_x_at" 7246 9423 8924 4904
"200718_s_at" 7514 5799 4136 2229
"200719_at" 7398 5737 14125 19298
"200720_s_at" 21230 17810 3308 15268
"200721_s_at" 19431 6116 13933 17149
"200722_s_at" 8381 19999 19027 19436
"200723_s_at" 19216 6140 13879 19465
"200724_at" 1379 3139 2131 14457
"200725_x_at" 8446 14197 5431 2691
"200726_at" 3340 14665 16636 4819
"200727_s_at" 6877 21003 16215 20130
"200728_at" 5900 17196 17487 15592
"200729_s_at" 6120 14955 6136 14332
"200730_s_at" 2785 2073 4642 20868
"200731_s_at" 4051 2885 5736 16991
"200732_s_at" 5036 4007 14830 17977
"200733_s_at" 5643 6095 5638 1936
"200734_s_at" 7321 4249 5414 16325
"200735_x_at" 19564 9496 7035 14894
"200736_s_at" 6804 7663 10467 1617
"200737_at" 20282 18330 16837 4831
"200738_s_at" 4633 15087 6732 5826
"200739_s_at" 8843 19494 4695 19421
"200740_s_at" 19868 6814 5002 4107
"200741_s_at" 19893 14222 8845 14097
"200742_s_at" 8054 16688 3133 16440
"200743_s_at" 1175 20119 3635 15167
"200744_s_at" 6451 14882 17834 15935
"200745_s_at" 7574 7188 21316 18316
"200746_s_at" 7765 17960 17780 16650
"200747_s_at" 19746 6739 3791 17252
"200748_s_at" 2292 14064 15602 2210
"200749_at" 6355 16416 13709 3974
"200750_s_at" 7959 16580 15073 3942
"200751_s_at" 4652 18964 6773 18999
"200752_s_at" 19388 20432 2645 16779
"200753_x_at" 8721 17779 14051 17924
"200754_x_at" 8487 16496 15282 15408
"200755_s_at" 305 4141 1851 16319
"200756_x_at" 2987 3333 561 21893
"200757_s_at" 733 3360 3304 994
"200758_s_at" 5035 7126 15463 18383
"200759_x_at" 2082 3765 2312 20227
"200760_s_at" 4590 17687 6064 20306
"200761_s_at" 1440 17238 14047 5568
"200762_at" 1722 14879 19551 4484
"200763_s_at" 19274 6934 6752 4195
"200764_s_at" 16533 5982 14656 10907
"200765_x_at" 2836 5938 4440 7989
"200766_at" 8372 1490 2560 1250
"200767_s_at" 19305 18797 2241 5286
"200768_s_at" 8696 18848 18246 16345
"200769_s_at" 5217 16575 6113 4236
"200770_s_at" 1633 20087 5918 17419
"200771_at" 3441 18034 5886 5544
"200772_x_at" 8181 16040 16045 5604
"200773_x_at" 4456 4214 15851 5586
"200774_at" 4357 6147 6462 19245
"200775_s_at" 8589 5049 6567 14837
"200776_s_at" 21744 5496 3934 20018
"200777_s_at" 18875 6769 15082 14576
"200778_s_at" 7494 16749 2271 19274
"200779_at" 7604 5581 5137 2325
"200780_x_at" 4188 4373 6047 19919
"200781_s_at" 20201 6463 13678 4866
"200782_at" 7916 5920 3724 14973
"200783_s_at" 6750 19413 6946 20828
"200784_s_at" 16081 11020 7927 14724
"200785_s_at" 16409 12002 11357 1426
"200786_at" 3058 4836 5653 5438
"200787_s_at" 3372 21365 6996 21537
"200788_s_at" 2286 6620 2233 1978
"200789_at" 6893 19510 1821 16722
"200790_at" 8447 16340 4779 2076
"200791_s_at" 2935 6679 13811 16570
"200792_at" 8914 4965 16312 14931
"200793_s_at" 2172 14977 6802 5715
"200794_x_at" 6106 5418 5238 16938
"200795_at" 17713 19133 13135 13859
"200796_s_at" 8555 17586 5042 21819
"200797_s_at" 522 7220 17084 1458
"200798_x_at" 8856 16708 2964 5446
"200799_at" 9578 16675 13660 2631
"200800_s_at" 9745 5152 17138 14315
"200801_x_at" 2966 9279 8823 15200
"200802_at" 7909 5115 2183 3947
"200803_s_at" 5881 6505 2916 16987
"200804_at" 7359 5577 6521 14345
"200805_at" 21210 14747 6316 1625
"200806_s_at" 18679 18262 5111 15276
"200807_s_at" 20463 16195 17038 5074
"200808_s_at" 8098 20564 4066 20017
"200809_x_at" 18991 6720 4855 5313
"200810_s_at" 19157 18080 17773 17717
"200811_at" 4982 16311 17938 19450
"200812_at" 3007 5987 3060 3683
"200813_s_at" 750 4046 5061 21321
"200814_at" 21666 2645 6410 1144
"200815_s_at" 5146 5578 15691 15312
"200816_s_at" 1641 20050 20007 14926
"200817_x_at" 7322 9294 8834 14748
"200818_at" 6865 712 13756 4918
"200819_s_at" 7239 7255 14949 5653
"200820_at" 6982 14487 16333 17116
"200821_at" 1751 6277 6273 16977
"200822_x_at" 3099 5660 18292 4168
"200823_x_at" 7251 14776 6810 2371
"200824_at" 6681 12244 319 3395
"200825_s_at" 1100 17946 4343 4938
"200826_at" 7027 15372 14980 15478
"200827_at" 5707 1185 4036 3147
"200828_s_at" 18668 14160 4311 17550
"200829_x_at" 8169 14941 5140 4450
"200830_at" 4973 19629 18155 1472
"200831_s_at" 280 1333 4385 16106
"200832_s_at" 2967 1043 14048 985
"200833_s_at" 5365 14892 5596 2096
"200834_s_at" 8481 14150 8871 14117
"200835_s_at" 21286 22150 20689 21774
"200836_s_at" 22240 21006 22243 784
"200837_at" 3770 5602 3746 2926
"200838_at" 21938 15281 14805 15149
"200839_s_at" 8822 14749 6221 14482
"200840_at" 18743 14554 5478 2499
"200841_s_at" 3314 20166 17433 19853
"200842_s_at" 5543 14852 6843 2000
"200843_s_at" 18962 15313 18304 3150
"200844_s_at" 2759 3466 4951 2815
"200845_s_at" 19451 4504 5734 4143
"200846_s_at" 3055 5868 6083 5363
"200847_s_at" 4505 6088 5454 3346
"200848_at" 2908 15932 5617 17785
"200849_s_at" 1667 16482 17649 15541
"200850_s_at" 5671 6197 5054 14463
"200851_s_at" 4430 4082 1951 1339
"200852_x_at" 8006 16716 2851 21474
"200853_at" 19834 14091 16153 13978
"200854_at" 20789 14544 18040 17569
"200855_at" 760 20498 21551 15857
"200856_x_at" 1713 18157 2158 20219
"200857_s_at" 2318 16598 13855 20798
"200858_s_at" 4811 4610 17177 4478
"200859_x_at" 3774 20471 16623 1953
"200860_s_at" 6162 6610 4306 15153
"200861_at" 21081 14253 6489 20982
"200862_at" 1172 3242 3290 1278
"200863_s_at" 4270 6471 5187 17384
"200864_s_at" 19258 15701 2752 2558
"200865_at" 16481 11072 9888 3034
"200866_s_at" 5764 19132 6963 17137
"200867_at" 3609 17268 18659 16486
"200868_s_at" 18881 19308 16503 17070
"200869_at" 20791 9325 14202 4545
"200870_at" 19350 5935 3045 14574
"200871_s_at" 3710 3950 4372 1967
"200872_at" 3013 5223 4818 15821
"200873_s_at" 4643 16342 6830 14122
"200874_s_at" 20894 22144 21081 20203
"200875_s_at" 5441 18268 16785 16224
"200876_s_at" 7749 14186 5612 5076
"200877_at" 19403 5908 13809 16189
"200878_at" 1296 17719 917 18410
"200879_s_at" 9210 12851 12128 7666
"200880_at" 8410 15593 15088 14184
"200881_s_at" 6228 14502 13945 14425
"200882_s_at" 4002 16581 6081 1976
"200883_at" 8560 15566 13982 18747
"200884_at" 2076 3646 19598 15729
"200885_at" 1032 16436 2793 2869
