"inst_2717" "inst_3458" "inst_5778"
"1007_s_at" 21347 15726 16454
"1053_at" 12002 16860 19208
"117_at" 25 8 2
"121_at" 17617 2621 5612
"1255_g_at" 5369 5536 7315
"1294_at" 16352 8110 14062
"1316_at" 19889 13344 4506
"1320_at" 8079 7625 9336
"1405_i_at" 12820 9245 10360
"1431_at" 21469 6207 21942
"1438_at" 7994 429 20336
"1487_at" 19843 1297 4397
"1494_f_at" 2910 11043 5375
"1598_g_at" 12156 16913 16575
"160020_at" 14742 15175 12008
"1729_at" 11464 1993 21216
"1773_at" 1147 13723 20064
"177_at" 2656 10271 8132
"179_at" 22267 2511 22249
"1861_at" 20368 15658 18602
"200000_s_at" 13135 12683 20378
"200001_at" 14762 17412 13208
"200002_at" 15749 13381 5444
"200003_s_at" 6758 3857 12131
"200004_at" 14336 16524 11265
"200005_at" 11701 13296 17737
"200006_at" 15147 12645 5204
"200007_at" 16649 13094 12298
"200008_s_at" 11195 18314 18245
"200009_at" 5003 13629 13304
"200010_at" 6760 12784 16070
"200011_s_at" 19272 20274 15724
"200012_x_at" 6712 2996 3627
"200013_at" 12113 12439 4415
"200014_s_at" 13838 14572 13675
"200015_s_at" 20471 17776 16870
"200016_x_at" 6680 15110 11765
"200017_at" 6861 3042 15163
"200018_at" 6850 2989 4494
"200019_s_at" 6819 2916 11578
"200020_at" 17936 21231 18931
"200021_at" 6964 3809 11468
"200022_at" 6774 12663 13525
"200023_s_at" 13415 14075 14312
"200024_at" 6822 13247 4523
"200025_s_at" 6848 3517 11074
"200026_at" 6969 1922 3782
"200027_at" 14768 14019 5319
"200028_s_at" 16886 17369 11571
"200029_at" 6805 4017 4715
"200030_s_at" 12071 3802 12640
"200031_s_at" 6840 3240 7056
"200032_s_at" 6863 3138 3497
"200033_at" 15531 14002 12590
"200034_s_at" 6764 3557 12721
"200035_at" 21881 19413 21077
"200036_s_at" 6747 12700 11194
"200037_s_at" 16313 16548 15320
"200038_s_at" 6946 12422 12007
"200039_s_at" 15041 2354 12209
"200040_at" 16403 16119 14399
"200041_s_at" 4733 15986 15908
"200042_at" 14813 15695 15257
"200043_at" 18888 13749 15993
"200044_at" 18135 14536 17473
"200045_at" 11914 13987 12052
"200046_at" 14651 12969 15575
"200047_s_at" 11616 12660 14406
"200048_s_at" 14543 12358 11633
"200049_at" 15964 17872 17304
"200050_at" 20868 14592 3377
"200051_at" 15585 18152 20938
"200052_s_at" 15599 18855 18588
"200053_at" 4249 16385 3085
"200054_at" 12923 18825 17404
"200055_at" 12686 12725 13411
"200056_s_at" 19122 17090 18949
"200057_s_at" 12764 13677 13223
"200058_s_at" 14711 13812 13108
"200059_s_at" 12963 15125 15483
"200060_s_at" 12329 13941 4840
"200061_s_at" 6838 3165 7055
"200062_s_at" 6742 2404 7029
"200063_s_at" 6895 12707 12589
"200064_at" 14519 12298 11242
"200065_s_at" 5075 13776 14335
"200066_at" 17664 13665 14103
"200067_x_at" 12690 12751 14094
"200068_s_at" 14695 16022 12502
"200069_at" 20613 16761 18427
"200070_at" 19452 2465 3680
"200071_at" 16496 17791 20792
"200072_s_at" 14658 16862 15742
"200073_s_at" 19938 13982 17703
"200074_s_at" 13382 13591 12481
"200075_s_at" 18585 15604 12606
"200076_s_at" 3213 17619 14705
"200077_s_at" 12117 4102 12458
"200078_s_at" 17109 13871 5316
"200079_s_at" 11089 14882 13070
"200080_s_at" 14052 13289 12181
"200081_s_at" 12217 15152 11719
"200082_s_at" 6880 2581 5098
"200083_at" 17388 17649 17590
"200084_at" 16851 17327 14760
"200085_s_at" 17165 15463 11685
"200086_s_at" 14606 2502 15788
"200087_s_at" 3763 16249 12055
"200088_x_at" 6752 3820 4644
"200089_s_at" 6926 13893 13827
"200090_at" 12208 15311 13515
"200091_s_at" 13329 2646 5065
"200092_s_at" 6899 2467 2024
"200093_s_at" 14198 12503 13280
"200094_s_at" 11038 3324 12117
"200095_x_at" 6956 3477 11441
"200096_s_at" 17130 15118 20499
"200097_s_at" 13204 15806 11576
"200098_s_at" 14502 15627 14842
"200099_s_at" 6901 3026 5402
"200593_s_at" 17857 20732 19272
"200594_x_at" 14021 17747 15760
"200595_s_at" 19103 14805 16901
"200596_s_at" 13666 15554 12781
"200597_at" 16586 12674 21122
"200598_s_at" 12844 16345 12228
"200599_s_at" 13863 3553 11774
"200600_at" 13096 11321 15322
"200601_at" 17907 20120 20161
"200602_at" 15131 20145 20999
"200603_at" 14003 18797 13842
"200604_s_at" 13531 20947 15141
"200605_s_at" 16697 21218 17512
"200606_at" 3680 16409 14594
"200607_s_at" 10936 17258 17521
"200608_s_at" 12674 18271 12952
"200609_s_at" 14202 13942 20006
"200610_s_at" 17384 15550 18875
"200611_s_at" 12182 14556 15481
"200612_s_at" 1677 20094 19968
"200613_at" 18733 13630 14822
"200614_at" 15047 12281 14234
"200615_s_at" 12279 16674 3817
"200616_s_at" 12896 15456 13014
"200617_at" 17104 17694 14380
"200618_at" 3960 13792 18590
"200619_at" 16841 2177 15220
"200620_at" 15478 17783 13128
"200621_at" 18409 13718 12496
"200622_x_at" 15027 18866 12892
"200623_s_at" 4663 17874 3809
"200624_s_at" 19041 19071 20597
"200625_s_at" 15290 13189 13768
"200626_s_at" 21620 13521 12321
"200627_at" 13035 3703 12497
"200628_s_at" 4152 15716 14481
"200629_at" 13519 17919 18818
"200630_x_at" 12711 12232 14372
"200631_s_at" 16446 14549 14117
"200632_s_at" 17965 128 13239
"200633_at" 6837 2178 7054
"200634_at" 17841 12830 14569
"200635_s_at" 9489 18870 13592
"200636_s_at" 6502 17557 17755
"200637_s_at" 7355 12271 14499
"200638_s_at" 11172 15346 12540
