"inst_1519" "inst_1936" "inst_2019" "inst_5001" "inst_6655"
"1007_s_at" 1730 18181 16902 12849 16557
"1053_at" 3226 22237 3844 15925 14161
"117_at" 10133 8834 12836 8079 19031
"121_at" 17676 20052 20657 21165 2592
"1255_g_at" 12580 12077 9857 7708 11109
"1294_at" 1703 17542 16227 18773 16739
"1316_at" 17842 10176 21179 15250 6784
"1320_at" 1071 7210 9808 9258 13138
"1405_i_at" 13042 8527 3663 6345 12068
"1431_at" 13265 7089 6996 7314 2014
"1438_at" 634 12344 12905 571 15530
"1487_at" 6934 18167 18933 16930 19220
"1494_f_at" 1083 15232 18928 2190 21087
"1598_g_at" 21692 21097 21901 13102 16264
"160020_at" 21422 16657 18364 16909 15807
"1729_at" 3109 293 2440 13708 6249
"1773_at" 22141 15764 15996 3408 5116
"177_at" 12752 9480 20104 11338 19779
"179_at" 18330 21241 16505 22262 21060
"1861_at" 17496 1785 11953 11580 18113
"200000_s_at" 6848 2684 5072 20379 20519
"200001_at" 4471 1684 16583 13018 3566
"200002_at" 16930 17509 17425 12789 14372
"200003_s_at" 7094 3063 2060 11587 8666
"200004_at" 7249 20267 19169 14078 6372
"200005_at" 17998 17388 4015 14696 14056
"200006_at" 5492 1947 18214 13023 6808
"200007_at" 17002 18418 1500 12244 15078
"200008_s_at" 18108 21226 1393 2209 18648
"200009_at" 5517 804 5003 2793 4689
"200010_at" 17948 3859 4947 11784 13422
"200011_s_at" 7815 3532 17206 15071 15305
"200012_x_at" 7898 18149 4167 3488 4659
"200013_at" 8020 1702 3855 16541 7050
"200014_s_at" 5592 2674 4869 16020 5577
"200015_s_at" 5762 3250 21259 17109 13624
"200016_x_at" 19791 15282 21173 12763 13427
"200017_at" 8313 16084 16834 7031 12900
"200018_at" 16748 17507 18008 12440 12463
"200019_s_at" 16839 1769 15968 14042 17848
"200020_at" 17763 17163 4625 3837 19828
"200021_at" 11939 22158 19373 11674 8798
"200022_at" 18189 3405 3397 12082 13852
"200023_s_at" 8974 920 18148 16637 18645
"200024_at" 9137 15913 16179 13226 15733
"200025_s_at" 9265 1807 17383 13953 16129
"200026_at" 16812 2402 719 2962 5335
"200027_at" 16929 15625 16390 16038 12836
"200028_s_at" 7663 2940 19789 16827 14030
"200029_at" 5166 3088 4764 3255 14026
"200030_s_at" 17762 3895 16757 4530 12843
"200031_s_at" 11823 17766 4419 11905 8724
"200032_s_at" 7214 2166 16311 2747 5596
"200033_at" 7225 20110 4668 14620 15387
"200034_s_at" 6617 18238 4188 2853 5455
