"inst_2145" "inst_2801" "inst_4243" "inst_4827"
"1007_s_at" 2117 5269 16557 5007
"1053_at" 7364 16110 7361 16581
"117_at" 16807 9629 11725 12765
"121_at" 8182 6429 4612 15835
"1255_g_at" 10211 9249 11087 8456
"1294_at" 1577 1398 21561 7749
"1316_at" 18476 8855 20336 6460
"1320_at" 12670 1342 2384 7285
"1405_i_at" 8126 5751 11641 8755
"1431_at" 3430 6892 9981 5677
"1438_at" 12810 726 2086 436
"1487_at" 21568 16770 19570 17909
"1494_f_at" 20197 5270 19237 1642
"1598_g_at" 18540 18307 18080 7476
"160020_at" 20456 2911 18752 3655
"1729_at" 2528 15830 8173 16187
"1773_at" 4847 3854 2553 4662
"177_at" 2209 12851 2211 2549
"179_at" 20344 6593 1635 4308
"1861_at" 5094 6908 19137 14532
"200000_s_at" 8894 16241 17578 17473
"200001_at" 18823 17842 17392 17634
"200002_at" 8649 16920 15032 7237
"200003_s_at" 11195 16653 11326 7083
"200004_at" 6531 16823 17211 20929
"200005_at" 16545 8754 7590 14766
"200006_at" 15968 17204 9133 14587
"200007_at" 6965 16205 15336 18457
"200008_s_at" 21365 17634 8975 22204
"200009_at" 17848 16627 8807 17619
"200010_at" 16916 17186 16498 19196
"200011_s_at" 8493 19691 19861 17852
"200012_x_at" 7005 6855 8329 5282
"200013_at" 17552 15590 8401 8119
"200014_s_at" 16650 16423 7234 14637
"200015_s_at" 16042 21333 17989 16315
"200016_x_at" 16704 17302 16536 17162
"200017_at" 11234 11609 11372 6069
"200018_at" 11149 8836 11370 7460
"200019_s_at" 8640 17280 16279 16298
"200020_at" 20956 20190 19757 20652
"200021_at" 4067 8698 11410 10521
"200022_at" 16445 15441 8092 5990
"200023_s_at" 16779 18736 15402 15995
"200024_at" 16941 18068 9891 7072
"200025_s_at" 8721 16132 14595 6872
"200026_at" 11075 8195 9512 6898
"200027_at" 16540 20010 9368 17472
"200028_s_at" 16298 21196 19805 17566
"200029_at" 11012 7703 7567 6614
"200030_s_at" 16745 8969 10236 17519
"200031_s_at" 11231 11581 11367 7494
"200032_s_at" 11042 11613 9415 7500
"200033_at" 6580 8079 16333 17271
"200034_s_at" 15804 8326 9104 15334
"200035_at" 18314 15810 18454 7742
"200036_s_at" 17625 16709 7777 7986
"200037_s_at" 17452 21255 18309 19168
"200038_s_at" 10943 15769 9314 16203
"200039_s_at" 18690 18497 14792 15843
"200040_at" 18370 20250 18297 18746
"200041_s_at" 7694 6384 6085 5702
"200042_at" 5337 7993 9004 15106
"200043_at" 16934 15855 16235 18542
"200044_at" 16833 18278 16288 18274
"200045_at" 4196 4313 5446 4166
"200046_at" 6195 19886 15366 18750
"200047_s_at" 6519 16947 15414 17647
"200048_s_at" 7346 19469 18502 15209
"200049_at" 3499 3853 2961 6448
"200050_at" 15990 15866 8152 18393
"200051_at" 3553 4794 9013 3237
"200052_s_at" 17770 18863 8780 20792
"200053_at" 19842 4971 8475 16691
"200054_at" 3745 7169 3420 14778
"200055_at" 8482 19414 16490 6894
"200056_s_at" 5335 21159 15302 20375
"200057_s_at" 16094 16440 15741 16016
"200058_s_at" 8766 5321 7690 7330
"200059_s_at" 17266 17792 10219 20754
"200060_s_at" 7817 8479 16106 14693
"200061_s_at" 11095 11579 11366 4917
"200062_s_at" 11227 11445 11319 10340
"200063_s_at" 11030 11668 11384 7599
"200064_at" 19514 19462 10099 19846
"200065_s_at" 19320 20443 15518 20411
"200066_at" 4158 7117 8198 15206
"200067_x_at" 16588 18288 17305 18235
"200068_s_at" 17962 19254 18628 17971
"200069_at" 2753 1543 1397 957
"200070_at" 2667 6846 19350 6553
"200071_at" 1573 6974 4465 15169
"200072_s_at" 15763 15999 14899 18292
"200073_s_at" 8154 15814 15175 15615
"200074_s_at" 17268 19956 16173 16673
"200075_s_at" 16173 18466 16817 8225
"200076_s_at" 8878 17503 9545 15948
"200077_s_at" 7034 15615 15631 7413
"200078_s_at" 3741 7571 10203 7144
"200079_s_at" 17696 17380 16482 18731
"200080_s_at" 17060 16111 16677 17014
"200081_s_at" 17808 16998 15848 16451
"200082_s_at" 16255 15480 8605 15078
"200083_at" 17108 20186 21144 20328
"200084_at" 6991 17939 15869 19859
"200085_s_at" 17805 18537 15936 7811
"200086_s_at" 15818 18818 16492 7009
"200087_s_at" 20048 18615 18570 18330
"200088_x_at" 11076 11456 8750 10352
"200089_s_at" 16293 16148 14764 16400
"200090_at" 1854 2796 3115 952
"200091_s_at" 8682 16078 15513 14600
"200092_s_at" 10991 7951 9756 5430
"200093_s_at" 20535 20130 16530 18329
"200094_s_at" 20213 17195 15168 6543
"200095_x_at" 11182 11763 11405 10511
"200096_s_at" 7385 20659 8348 20639
"200097_s_at" 8805 19069 16868 19076
"200098_s_at" 8846 18936 9835 17018
"200099_s_at" 11132 11691 9900 7503
"200593_s_at" 7113 16584 9106 7861
"200594_x_at" 6047 15593 9320 16412
"200595_s_at" 17690 16404 19654 16724
