"inst_3039" "inst_3377" "inst_4659" "inst_5255" "inst_5620"
"1007_s_at" 935 7224 19050 6939 2476
"1053_at" 4834 10660 16116 16749 9762
"117_at" 16455 3014 59 8792 12262
"121_at" 16318 2387 20995 6173 2381
"1255_g_at" 6936 15140 10449 9505 11246
"1294_at" 18759 20195 18215 20754 21336
"1316_at" 4213 21623 14817 6213 7819
"1320_at" 6697 8880 3197 18905 2913
"1405_i_at" 13800 10890 20733 11480 13580
"1431_at" 3013 21710 3319 19968 21828
"1438_at" 9978 4974 5129 21906 18801
"1487_at" 11595 1470 15167 14649 5758
"1494_f_at" 5668 19163 1031 4279 17744
"1598_g_at" 22188 20460 19820 16427 21201
"160020_at" 13099 2782 17435 19858 990
"1729_at" 21449 2958 15658 6133 16157
"1773_at" 1359 2388 20955 20290 1481
"177_at" 14281 7421 1615 1304 13104
"179_at" 22205 2835 18332 1928 22163
"1861_at" 2915 17872 12969 3678 18770
"200000_s_at" 14346 5903 19023 6231 17839
"200001_at" 13296 6844 13645 7379 16747
"200002_at" 4320 8536 3315 14980 4797
"200003_s_at" 7353 12798 8100 9939 11388
"200004_at" 17542 10020 12456 5494 6100
"200005_at" 16680 8744 14408 14518 16978
"200006_at" 11995 9358 4707 6706 8189
"200007_at" 5551 10414 3958 16793 8385
"200008_s_at" 4708 2813 4464 18762 19338
"200009_at" 15804 7861 17133 6325 16430
"200010_at" 5518 9493 3030 7201 15627
"200011_s_at" 18756 9315 13674 16665 15915
"200012_x_at" 12344 17473 16939 7541 18681
"200013_at" 3656 8029 5653 6536 6930
"200014_s_at" 12890 9852 15028 7560 20423
"200015_s_at" 12954 9393 12449 18126 3490
"200016_x_at" 7296 16946 4895 16928 8982
"200017_at" 7443 12927 6119 10105 11501
"200018_at" 7432 12913 8204 16700 11496
"200019_s_at" 11948 17407 4236 6394 8782
"200020_at" 15778 19000 13875 16228 16740
"200021_at" 13985 17874 8329 10277 11644
"200022_at" 7369 17621 5852 6740 11410
"200023_s_at" 14355 8324 4679 7007 6837
"200024_at" 4847 17781 5886 7520 15934
"200025_s_at" 7431 10840 4862 7286 6083
"200026_at" 7542 18181 6155 7420 11649
"200027_at" 13538 8260 13903 6580 6231
"200028_s_at" 15648 17400 14458 19269 15926
"200029_at" 5778 9043 14839 16031 7437
"200030_s_at" 18027 10457 5492 15175 8572
"200031_s_at" 7424 12902 8188 10075 11489
"200032_s_at" 7446 12930 4845 10106 11505
"200033_at" 3769 9455 12408 7714 5279
"200034_s_at" 4177 10835 5394 14508 16949
"200035_at" 20367 20806 13591 6791 19052
"200036_s_at" 11825 8376 2746 5302 6975
"200037_s_at" 5665 9156 14419 14748 4397
"200038_s_at" 7522 10788 4252 7360 11616
"200039_s_at" 15358 7583 13283 14815 9225
"200040_at" 17593 18271 14555 16920 7541
"200041_s_at" 12914 5667 12461 4464 17344
"200042_at" 13244 5112 13722 14855 16101
"200043_at" 3749 5874 3799 15179 5083
"200044_at" 4927 10116 18887 6497 8458
"200045_at" 16317 18166 18350 6659 5990
"200046_at" 3411 10033 3618 5614 7771
"200047_s_at" 14632 10314 13353 6098 4805
"200048_s_at" 14391 6633 3890 4663 4542
"200049_at" 16457 2996 12797 5857 4341
"200050_at" 18056 19111 15795 5768 3683
"200051_at" 17558 8167 18702 5839 9215
"200052_s_at" 5714 5191 3685 5472 6621
"200053_at" 4494 4212 2094 21705 8479
"200054_at" 2413 7953 14627 4727 3061
"200055_at" 14118 6004 16231 6602 8042
"200056_s_at" 5520 8187 5680 19151 6618
"200057_s_at" 14638 10456 13528 16563 17226
"200058_s_at" 12630 5281 15088 7070 3434
"200059_s_at" 3914 6754 6026 17542 7922
"200060_s_at" 12411 5785 14138 7137 8240
"200061_s_at" 7422 18554 8187 10073 11487
"200062_s_at" 7342 12790 8084 9923 11368
"200063_s_at" 7471 17177 12995 10160 11544
"200064_at" 4753 9818 6050 4213 8045
"200065_s_at" 11460 5472 12310 7118 7835
"200066_at" 18307 5716 18765 19668 6927
"200067_x_at" 17924 7362 14236 5882 7748
"200068_s_at" 3383 8819 15021 4670 4732
"200069_at" 21166 7974 19187 14277 4183
"200070_at" 16288 10323 12735 14784 20072
"200071_at" 11857 9179 5684 14510 8382
"200072_s_at" 14062 7719 18558 5824 9061
"200073_s_at" 5210 6012 14603 5177 8911
"200074_s_at" 4028 9247 4485 14622 7939
"200075_s_at" 18290 5877 14502 5078 17086
"200076_s_at" 11807 18312 16963 7265 8380
"200077_s_at" 4712 17328 5413 7355 7827
"200078_s_at" 12053 5798 4553 15019 7838
"200079_s_at" 18494 9906 13576 4594 17007
"200080_s_at" 3887 9962 3670 10153 11538
"200081_s_at" 5389 9716 12489 6232 7445
"200082_s_at" 7463 12960 4986 7658 11527
"200083_at" 21173 7608 16190 18728 4264
"200084_at" 14353 8580 4108 18722 7515
"200085_s_at" 15254 6116 4071 6239 9431
"200086_s_at" 12027 9993 15216 5381 8354
"200087_s_at" 4122 6619 6236 4400 4175
"200088_x_at" 7350 12796 12677 9936 11384
"200089_s_at" 4601 5746 4442 7529 5068
"200090_at" 15452 20573 5078 7051 4777
"200091_s_at" 3491 16700 3144 15125 6753
"200092_s_at" 7478 18686 17184 10175 16805
"200093_s_at" 4034 3457 3142 18795 6748
"200094_s_at" 4108 5318 14965 7169 8999
"200095_x_at" 7528 13061 8317 10258 11629
"200096_s_at" 11412 8265 5300 15611 3336
"200097_s_at" 5656 19404 12668 14132 4832
"200098_s_at" 5165 6433 13308 15802 8229
"200099_s_at" 7480 12990 4702 10180 11560
"200593_s_at" 5301 2918 20334 18457 18117
"200594_x_at" 13874 7048 15191 7479 5714
"200595_s_at" 14009 7089 14489 3196 3223
"200596_s_at" 12046 2872 5655 14636 8383
"200597_at" 20825 7330 2736 14898 6110
"200598_s_at" 3016 3330 2601 6022 5520
"200599_s_at" 5287 2964 5834 3290 2684
"200600_at" 3935 17881 14409 5100 2281
"200601_at" 3880 3536 4116 1305 5968
"200602_at" 15179 993 6169 6818 6314
"200603_at" 4478 10133 3246 6254 4499
"200604_s_at" 4363 16687 18694 16113 19447
"200605_s_at" 4735 9530 17767 18142 18058
"200606_at" 20598 6562 13931 3667 4662
"200607_s_at" 13550 18438 3134 20551 20458
"200608_s_at" 4777 7142 4978 15630 4626
"200609_s_at" 19373 10365 15843 4137 8996
"200610_s_at" 3200 5269 13597 6832 3745
"200611_s_at" 16121 6015 16264 5826 7305
"200612_s_at" 3830 211 22062 2358 1223
"200613_at" 15560 7294 5977 4385 8449
"200614_at" 17121 17800 4270 14430 9520
"200615_s_at" 5776 3059 16058 16336 3516
"200616_s_at" 4860 7981 13086 14527 17073
"200617_at" 2488 3558 14360 6735 3562
"200618_at" 15087 7269 15347 3456 7068
"200619_at" 4367 6230 16105 3323 15933
"200620_at" 16841 9933 13463 16362 19168
"200621_at" 16203 6415 4314 4245 6089
"200622_x_at" 15040 9403 16130 6085 17670
"200623_s_at" 18468 19331 13692 16231 20350
"200624_s_at" 13454 4211 13511 17408 4929
"200625_s_at" 18019 17615 3823 16944 8623
"200626_s_at" 20120 19716 4909 18898 15775
"200627_at" 13366 9616 12523 17432 6350
"200628_s_at" 3571 1707 15001 2799 3366
"200629_at" 3638 2338 2671 2894 5657
"200630_x_at" 12314 17732 5498 5932 6534
"200631_s_at" 15149 10131 14650 15902 9502
"200632_s_at" 16029 2173 14819 22018 16320
"200633_at" 11860 12900 8186 7611 11486
"200634_at" 12339 8982 13080 4930 8569
"200635_s_at" 3835 19056 17439 15747 6326
"200636_s_at" 9419 6699 14065 17265 4412
"200637_s_at" 8110 18696 20185 21120 6974
"200638_s_at" 5711 9191 14238 16388 5725
"200639_s_at" 13105 7785 14947 15850 6445
"200640_at" 5415 7221 5094 15830 9212
"200641_s_at" 4803 7412 13766 17710 18487
"200642_at" 11633 7549 3868 14870 9750
"200643_at" 3123 802 3587 3416 3367
"200644_at" 12268 6946 12878 18172 8134
"200645_at" 18917 10415 13134 14739 9774
"200646_s_at" 3004 2428 19399 5042 7538
"200647_x_at" 15113 5977 6177 14750 7944
"200648_s_at" 3566 1393 20484 6533 8267
"200649_at" 15637 4960 18161 16900 6486
"200650_s_at" 7313 17038 8044 16617 19445
"200651_at" 7515 9465 4532 15589 11609
"200652_at" 2769 1286 4201 1660 1430
"200653_s_at" 5734 6683 2150 18923 2795
"200654_at" 5655 4839 3228 4630 1836
"200655_s_at" 13854 8897 5133 5440 8432
"200656_s_at" 2467 2179 13552 4457 2571
"200657_at" 14106 18355 6079 15361 16123
"200658_s_at" 5403 4885 4085 5032 9293
"200659_s_at" 4507 5803 3270 17549 7472
"200660_at" 3665 7223 5211 6396 9499
"200661_at" 14892 16979 3450 6687 6201
"200662_s_at" 18727 10137 6171 17409 16903
"200663_at" 5472 18550 5776 3506 7896
"200664_s_at" 5753 6749 15008 15900 17753
"200665_s_at" 8118 11799 2449 10731 14160
"200666_s_at" 5313 8807 5449 17754 6222
