"inst_6364" "inst_6369" "inst_6412" "inst_6417"
"1007_s_at" 9432 5016 9543 18291
"1053_at" 13401 8640 14171 19428
"117_at" 18901 20484 7376 10918
"121_at" 12827 2941 11537 18308
"1255_g_at" 7268 15426 4573 17846
"1294_at" 20656 3856 12348 1366
"1316_at" 11489 17544 14467 948
"1320_at" 5130 2083 2073 17313
"1405_i_at" 807 15524 21239 11905
"1431_at" 16231 4089 3185 7437
"1438_at" 19187 18469 10963 1073
"1487_at" 4219 3393 15598 20707
"1494_f_at" 17322 4504 18413 21912
"1598_g_at" 10150 7487 8837 19929
"160020_at" 20427 17138 8151 6573
"1729_at" 4103 10383 12434 8199
"1773_at" 21775 11168 17752 5863
"177_at" 21285 5766 1240 12423
"179_at" 12777 9458 9209 22259
"1861_at" 14066 9684 11910 19013
"200000_s_at" 2725 2257 10501 6548
"200001_at" 11909 10024 10789 5801
"200002_at" 10014 11670 3116 9514
"200003_s_at" 6867 14901 5579 10766
"200004_at" 5355 11254 9029 18642
"200005_at" 10208 7787 11555 4062
"200006_at" 7068 11889 5832 9882
"200007_at" 13740 17244 14792 6625
"200008_s_at" 19533 21173 11726 2644
"200009_at" 12232 11068 9793 10408
"200010_at" 6870 10465 8240 6734
"200011_s_at" 13540 12560 16213 6199
"200012_x_at" 6820 18700 3757 19060
"200013_at" 6781 14813 5494 19027
"200014_s_at" 13802 10675 10124 7728
"200015_s_at" 9556 4078 11572 19141
"200016_x_at" 6779 14811 5491 18386
"200017_at" 6980 15041 5717 19127
"200018_at" 6970 15029 5709 19678
"200019_s_at" 6946 14987 5672 11300
"200020_at" 13761 12730 19447 18938
"200021_at" 7098 15185 5861 1298
"200022_at" 6890 12544 5606 9441
"200023_s_at" 13413 11910 12127 8781
"200024_at" 4513 12421 5675 18959
"200025_s_at" 6969 15028 5708 10276
"200026_at" 7102 15193 5865 20719
"200027_at" 10223 10448 9648 6259
"200028_s_at" 11404 7522 17203 8333
"200029_at" 6932 17230 5657 20010
"200030_s_at" 5158 12652 8265 18414
"200031_s_at" 6964 15014 5696 14858
"200032_s_at" 6984 15043 5720 20199
"200033_at" 9182 10978 10362 18443
"200034_s_at" 6876 17351 5590 19022
"200035_at" 1735 3297 11781 10635
"200036_s_at" 6857 11334 5567 9163
"200037_s_at" 10369 11653 9787 18254
"200038_s_at" 7070 12531 5833 10849
"200039_s_at" 10417 4670 8520 9550
"200040_at" 9831 6210 13667 10648
"200041_s_at" 13793 8356 11370 7879
"200042_at" 9408 8680 15162 7995
"200043_at" 4681 9219 3653 10686
"200044_at" 11551 8432 12599 10184
"200045_at" 15446 8438 13788 9471
"200046_at" 16679 11587 15793 6830
"200047_s_at" 11342 17407 11810 9743
"200048_s_at" 10559 9831 8495 10344
"200049_at" 5392 5410 11920 18490
"200050_at" 2519 10627 2365 6767
"200051_at" 3295 6436 11345 10911
"200052_s_at" 13596 7085 10824 8698
"200053_at" 9917 2462 12995 20937
"200054_at" 11869 6228 13071 3080
"200055_at" 16113 6240 10463 9231
"200056_s_at" 16176 11100 13405 18344
"200057_s_at" 5010 18102 10791 8778
"200058_s_at" 13760 7537 11240 8503
"200059_s_at" 14167 17044 8560 8480
"200060_s_at" 10671 17453 15225 20573
"200061_s_at" 6962 15011 5694 14856
"200062_s_at" 6848 14885 5563 14535
"200063_s_at" 7014 15082 5762 20318
"200064_at" 11437 17552 9383 9689
"200065_s_at" 10038 12018 9363 10252
"200066_at" 4259 18594 9548 6492
"200067_x_at" 13470 9777 10702 4811
"200068_s_at" 12468 8182 12222 5774
"200069_at" 16490 6132 20280 19512
"200070_at" 4378 2043 10481 18518
"200071_at" 16338 6070 19443 4008
"200072_s_at" 11222 9880 12816 7958
"200073_s_at" 3512 12294 2925 7650
"200074_s_at" 9145 9587 8212 19206
"200075_s_at" 10172 8407 9716 10182
"200076_s_at" 17311 7432 12440 3935
"200077_s_at" 5449 12556 3921 8929
"200078_s_at" 14068 11040 15904 7744
"200079_s_at" 10600 8570 9376 4126
"200080_s_at" 7010 17580 3682 20028
"200081_s_at" 9317 9667 3023 7883
"200082_s_at" 7001 15071 5745 18136
"200083_at" 10105 7518 18054 8760
"200084_at" 13318 17777 15120 7058
"200085_s_at" 11296 7685 10769 7465
"200086_s_at" 11390 7659 8921 10728
"200087_s_at" 9457 10377 9111 6699
"200088_x_at" 6864 14894 5576 18322
"200089_s_at" 7046 7003 5803 19313
"200090_at" 17957 12366 13454 3659
"200091_s_at" 6911 12262 3283 20117
"200092_s_at" 7023 15094 5774 20524
"200093_s_at" 5488 10395 11949 10465
"200094_s_at" 7005 9664 5750 9792
"200095_x_at" 7082 15169 5848 11282
"200096_s_at" 13053 11030 11231 3682
"200097_s_at" 16484 9755 8160 18882
"200098_s_at" 10469 6646 15434 6579
"200099_s_at" 7026 15099 5777 11177
"200593_s_at" 19573 6676 13371 20608
"200594_x_at" 9120 11211 9197 7404
"200595_s_at" 13111 17829 15094 8050
"200596_s_at" 3981 2604 12194 18519
"200597_at" 18244 6027 19349 3679
"200598_s_at" 10499 6636 3287 1637
"200599_s_at" 4992 8781 2409 825
"200600_at" 1282 4249 4093 7353
"200601_at" 17166 6074 19527 5827
"200602_at" 5031 11725 9154 10964
"200603_at" 12467 9738 12304 9985
"200604_s_at" 5283 9127 11858 2525
"200605_s_at" 17772 20539 13637 5526
"200606_at" 13937 7548 11933 6755
"200607_s_at" 13620 17972 9151 6989
"200608_s_at" 12779 12616 11535 10161
"200609_s_at" 11194 9945 13284 8013
"200610_s_at" 11602 17058 17391 7322
"200611_s_at" 13472 8684 13939 7450
"200612_s_at" 3348 20861 17725 172
"200613_at" 12447 8786 12149 7250
"200614_at" 6872 11426 5584 8513
"200615_s_at" 18581 5734 10921 2431
"200616_s_at" 10345 4770 12323 6654
"200617_at" 11802 3871 17116 7969
"200618_at" 3346 11961 14129 8932
"200619_at" 10108 4259 13130 18138
"200620_at" 4403 10118 15408 10202
"200621_at" 13570 4756 12603 8060
"200622_x_at" 4137 6775 9374 7899
"200623_s_at" 13479 3999 16967 8933
"200624_s_at" 17306 5025 18389 19556
"200625_s_at" 5198 7959 11363 8401
"200626_s_at" 4484 17472 14473 5427
"200627_at" 9705 18516 3370 10370
"200628_s_at" 10570 12099 1730 2851
"200629_at" 11362 5805 3518 249
"200630_x_at" 6802 17245 7947 19393
"200631_s_at" 5263 17983 11262 7853
"200632_s_at" 1713 2071 20495 810
"200633_at" 6961 15008 5693 14854
"200634_at" 4978 7026 9300 8845
"200635_s_at" 15215 6126 11930 9150
"200636_s_at" 10517 5026 15077 4820
"200637_s_at" 20550 2969 14963 1887
"200638_s_at" 15810 11627 11886 6270
"200639_s_at" 14263 6085 9331 11195
"200640_at" 12838 12160 9529 8041
"200641_s_at" 18433 20902 10314 2001
"200642_at" 12180 9559 8343 9603
"200643_at" 10022 6498 9038 11471
"200644_at" 16651 8738 18276 8094
"200645_at" 4617 8745 10147 3329
"200646_s_at" 17418 2234 8541 19240
"200647_x_at" 7060 8724 7932 4342
"200648_s_at" 15354 20503 16189 536
"200649_at" 2388 5291 10356 11298
"200650_s_at" 6804 14839 5515 14432
"200651_at" 7062 11833 5824 9542
"200652_at" 9954 2402 11643 3330
"200653_s_at" 4272 18004 13718 11133
"200654_at" 4571 8120 9272 4712
"200655_s_at" 14311 9584 9236 7528
"200656_s_at" 14501 4167 8581 5920
"200657_at" 6873 19092 5586 10454
"200658_s_at" 12466 7835 10163 4682
"200659_s_at" 11140 9678 16828 11116
"200660_at" 5205 5945 3447 11022
"200661_at" 5248 7424 13013 6894
"200662_s_at" 3230 9371 8537 3941
"200663_at" 5127 10938 8279 10879
"200664_s_at" 19885 19275 11997 10121
"200665_s_at" 5710 14380 3695 20202
"200666_s_at" 16291 18063 14819 6375
"200667_at" 15528 8331 16699 7298
"200668_s_at" 9498 12078 10935 8846
"200669_s_at" 15465 17423 12977 5611
"200670_at" 10375 1208 9976 573
"200671_s_at" 21968 17491 1138 19709
"200672_x_at" 17487 10454 3574 8836
"200673_at" 3010 17316 10948 9895
"200674_s_at" 7030 17642 5783 10142
"200675_at" 9400 8787 16130 4732
"200676_s_at" 18845 9503 19832 19064
"200677_at" 12325 18045 16866 11123
"200678_x_at" 9685 4242 9157 7358
"200679_x_at" 10398 12079 3477 10466
"200680_x_at" 7089 15174 5854 18098
"200681_at" 9517 17700 13158 8096
"200682_s_at" 10919 10229 10105 7803
"200683_s_at" 15076 7899 18671 10092
"200684_s_at" 18046 9011 19122 21100
"200685_at" 15000 19459 12675 6370
"200686_s_at" 20148 3642 21279 18200
"200687_s_at" 9554 5508 15750 11466
"200688_at" 19225 6749 19214 20994
"200689_x_at" 7079 11586 5845 8408
"200690_at" 16711 6130 9271 10474
"200691_s_at" 13633 8213 14965 2623
"200692_s_at" 10477 11778 3514 11168
"200693_at" 16065 17536 15095 7697
"200694_s_at" 11941 9581 15137 19172
"200695_at" 17495 4647 17497 8086
"200696_s_at" 2210 6696 11736 3566
"200697_at" 13279 5140 14952 10227
"200698_at" 13882 17224 13471 7572
"200699_at" 4398 4721 16404 11280
"200700_s_at" 13048 9056 10139 7565
"200701_at" 5121 4171 11192 3169
"200702_s_at" 17087 6589 13482 18628
"200703_at" 4135 10542 10607 19134
"200704_at" 4504 3943 14104 2133
"200705_s_at" 6875 10988 5587 18091
"200706_s_at" 15286 5498 18230 9688
"200707_at" 4621 2598 11518 11018
"200708_at" 11348 11232 12368 8152
"200709_at" 4443 9211 12632 6497
"200710_at" 4795 4758 10550 8757
"200711_s_at" 12317 12180 12438 19789
"200712_s_at" 18909 19825 14163 7760
"200713_s_at" 11483 11906 14432 9493
"200714_x_at" 4084 6017 17792 9621
"200715_x_at" 7049 11614 8241 5673
"200716_x_at" 7071 15158 5834 11203
"200717_x_at" 6956 15006 5691 14845
"200718_s_at" 6920 17384 5642 10029
"200719_at" 15475 4882 13131 10416
"200720_s_at" 11234 6309 12960 916
"200721_s_at" 10903 5391 16747 9463
"200722_s_at" 19186 18777 12341 5398
"200723_s_at" 16825 19764 13235 6621
"200724_at" 16552 21732 15910 1198
"200725_x_at" 6927 19358 5651 18794
"200726_at" 12066 18273 9269 11110
"200727_s_at" 17491 8292 2621 9986
"200728_at" 10018 12485 8749 9402
"200729_s_at" 15395 17624 14560 9565
"200730_s_at" 17817 11028 16091 9725
"200731_s_at" 17545 5720 17149 9197
"200732_s_at" 10569 12639 12665 8284
"200733_s_at" 18728 19604 11450 7934
"200734_s_at" 13790 10708 9428 2698
"200735_x_at" 7021 15090 5772 10873
"200736_s_at" 8642 9680 20609 4616
"200737_at" 9456 11234 12239 4363
"200738_s_at" 9757 17313 8925 9393
"200739_s_at" 17001 10897 8060 10180
"200740_s_at" 5398 17678 10689 8151
"200741_s_at" 6850 14886 5564 14539
"200742_s_at" 16485 3212 10423 874
"200743_s_at" 12811 5521 12437 1907
"200744_s_at" 16609 7712 16319 3883
"200745_s_at" 13649 12729 16749 4592
"200746_s_at" 3734 6871 11911 8789
"200747_s_at" 2928 7245 12690 9709
"200748_s_at" 7099 15190 5862 21481
"200749_at" 14225 11290 15056 11291
"200750_s_at" 6938 14972 5663 18989
"200751_s_at" 16394 9564 8931 5572
"200752_s_at" 15952 7863 14321 20708
"200753_x_at" 16912 17674 18948 7597
"200754_x_at" 10139 19010 11294 10114
"200755_s_at" 17803 7628 12009 5301
"200756_x_at" 16187 19554 10898 2127
"200757_s_at" 12809 7633 18179 4858
"200758_s_at" 17585 10231 13998 4066
"200759_x_at" 1963 4384 17673 2384
"200760_s_at" 13420 18716 15657 6437
"200761_s_at" 9551 11787 9884 9320
"200762_at" 10811 4628 16222 6708
"200763_s_at" 7032 15110 5786 10214
"200764_s_at" 11431 10260 3926 13751
"200765_x_at" 9293 15907 14009 17719
"200766_at" 17962 18784 18368 5380
"200767_s_at" 15753 10144 19254 3094
"200768_s_at" 9659 10547 14964 20677
"200769_s_at" 18635 18058 19827 457
"200770_s_at" 15818 1271 3115 18679
"200771_at" 14172 9682 12948 9682
"200772_x_at" 6986 15047 5725 10754
"200773_x_at" 3300 12105 3424 9706
"200774_at" 13589 8778 9071 5318
"200775_s_at" 17269 20463 10573 1977
"200776_s_at" 19129 19354 13351 5492
"200777_s_at" 12131 17090 11999 20037
"200778_s_at" 13791 19530 17877 6714
"200779_at" 1336 765 1062 571
"200780_x_at" 7013 9963 5761 8773
"200781_s_at" 6944 11786 5669 19160
"200782_at" 10721 18352 12148 10910
"200783_s_at" 10070 9651 13067 9764
"200784_s_at" 8197 9020 6465 7856
"200785_s_at" 8691 21484 7396 6413
"200786_at" 11752 10956 11131 7458
"200787_s_at" 19122 20633 15301 7906
"200788_s_at" 13002 7370 17498 8167
"200789_at" 4759 5294 17892 7625
"200790_at" 14799 18020 15147 8514
"200791_s_at" 9779 4359 13236 5166
"200792_at" 5232 8904 10088 8247
"200793_s_at" 13578 17163 13250 3238
"200794_x_at" 11623 11973 11034 2662
"200795_at" 18034 7744 458 12231
"200796_s_at" 22134 20826 19043 5127
"200797_s_at" 3700 4737 15536 20407
"200798_x_at" 12100 19670 13077 3843
"200799_at" 10474 10340 3938 10750
"200800_s_at" 5483 9654 8412 8822
"200801_x_at" 6810 14848 5519 19157
"200802_at" 3780 5982 2888 3858
