"inst_1510" "inst_1928" "inst_2010" "inst_5329" "inst_6729"
"1007_s_at" 3542 4784 18639 19365 18741
"1053_at" 17117 21554 5781 2472 14822
"117_at" 10301 6598 4988 16053 11937
"121_at" 18648 17676 21481 19979 4694
"1255_g_at" 9390 13294 13259 15467 10348
"1294_at" 10104 19159 5286 3505 21779
"1316_at" 19891 15425 17761 19883 16659
"1320_at" 7785 12993 15553 10009 4043
"1405_i_at" 7190 12200 3893 17717 3924
"1431_at" 6143 14216 10961 15352 6930
"1438_at" 14104 13085 13671 6711 6692
"1487_at" 14739 1787 16829 20865 6009
"1494_f_at" 20594 19895 19401 6629 16380
"1598_g_at" 2436 18151 21829 517 13811
"160020_at" 759 723 17287 21769 1038
"1729_at" 5269 1568 1572 21153 6047
"1773_at" 15160 20760 19145 5465 14097
"177_at" 12804 16938 20698 11142 21247
"179_at" 2335 3047 1246 554 3163
"1861_at" 15361 21200 9098 553 15784
"200000_s_at" 14362 7187 20199 1523 18063
"200001_at" 14898 20799 17394 8377 13141
"200002_at" 5938 18774 17838 18750 15972
"200003_s_at" 18948 6833 4450 18080 8993
"200004_at" 15255 3699 18290 7939 7079
"200005_at" 15644 20598 17804 7508 7106
"200006_at" 6051 6988 3178 6575 14487
"200007_at" 15316 20267 16996 7620 16124
"200008_s_at" 5718 19873 17862 3894 6760
"200009_at" 14083 18711 1282 6343 4112
"200010_at" 14505 22063 19737 8216 12930
"200011_s_at" 16146 1611 16603 4047 5261
"200012_x_at" 3676 5282 4288 7351 6418
"200013_at" 4848 19612 19350 6965 14529
"200014_s_at" 5975 4875 16529 5466 16578
"200015_s_at" 13870 4334 21513 5054 14222
"200016_x_at" 13822 6414 19765 8396 17507
"200017_at" 5885 20218 5697 8546 15761
"200018_at" 3677 2786 3193 18802 14212
"200019_s_at" 4363 19034 16875 6650 13423
"200020_at" 15379 19342 3838 5808 6869
"200021_at" 8480 1252 5827 7506 9101
"200022_at" 14237 19613 17258 18679 15587
"200023_s_at" 13877 20449 19282 6903 16832
"200024_at" 3203 21216 18860 4189 14173
"200025_s_at" 15107 5879 2459 8511 19143
"200026_at" 14684 17632 780 19782 12742
"200027_at" 3697 3422 16701 7628 15709
"200028_s_at" 13611 4889 5528 6524 13223
"200029_at" 14642 18306 5282 3396 5589
"200030_s_at" 6062 17775 4509 5996 6842
"200031_s_at" 8645 6979 3524 7306 9040
"200032_s_at" 4215 6793 4880 18657 6974
"200033_at" 5585 19604 4512 7452 15609
"200034_s_at" 5591 17878 3934 7152 12923
"200035_at" 15051 20798 18010 6543 15765
"200036_s_at" 16530 6859 5315 4792 16894
"200037_s_at" 14510 5207 5729 7855 13635
"200038_s_at" 17481 7165 17834 18494 13968
"200039_s_at" 3288 5137 3029 4941 4880
