"inst_3563" "inst_5866" "inst_6140" "inst_7220"
"1007_s_at" 5423 3731 1219 17180
"1053_at" 19566 2612 19805 15286
"117_at" 9536 10484 17178 11013
"121_at" 15222 17412 16680 788
"1255_g_at" 6586 7964 6431 7299
"1294_at" 8417 483 11032 1670
"1316_at" 20262 18323 16045 16373
"1320_at" 12435 5549 8543 9093
"1405_i_at" 6959 6450 12684 4295
"1431_at" 20482 2047 10879 5360
"1438_at" 21513 11782 1078 15908
"1487_at" 18762 4951 12172 21581
"1494_f_at" 273 1423 21319 2821
"1598_g_at" 18522 5771 10395 21317
"160020_at" 18618 19299 2381 14231
"1729_at" 3085 17098 998 15777
"1773_at" 1259 2283 21014 18856
"177_at" 3801 8772 9554 2216
"179_at" 16415 5905 1328 13267
"1861_at" 21356 18297 2890 13405
"200000_s_at" 20882 18518 20564 18069
"200001_at" 19763 17139 19396 13076
"200002_at" 14666 18034 11149 15092
"200003_s_at" 17280 5731 4711 14460
"200004_at" 5503 18855 16455 18079
"200005_at" 13682 16481 11047 13848
"200006_at" 13731 14054 13749 13535
"200007_at" 15076 2985 13028 4636
"200008_s_at" 14939 4393 15430 2375
"200009_at" 12870 5028 13828 3430
"200010_at" 18925 15853 4713 13910
"200011_s_at" 14415 6105 18360 17690
"200012_x_at" 3781 3755 4673 4728
"200013_at" 18563 16323 11867 13903
"200014_s_at" 3975 15507 15179 12892
"200015_s_at" 16441 17190 17824 15595
"200016_x_at" 16590 13999 4649 13723
"200017_at" 14990 14844 4817 14530
"200018_at" 15497 6037 4809 13786
"200019_s_at" 16760 4874 9768 13712
"200020_at" 20147 14605 16842 14005
"200021_at" 8375 4214 4906 4568
"200022_at" 15005 4264 4729 4196
"200023_s_at" 14131 5196 14991 14629
"200024_at" 15914 14906 4779 5026
"200025_s_at" 5577 5914 4807 15144
"200026_at" 14017 5272 4910 4251
"200027_at" 4044 14449 13266 15884
"200028_s_at" 2845 13473 11950 16994
"200029_at" 5510 5683 4765 13865
"200030_s_at" 15073 14291 10937 12796
"200031_s_at" 14499 5809 4798 4391
"200032_s_at" 6449 17429 4819 4995
"200033_at" 12780 14372 13659 14020
"200034_s_at" 14134 2860 10688 15095
"200035_at" 20724 4133 16914 21590
"200036_s_at" 15920 13349 12295 13053
"200037_s_at" 14287 4555 12536 14738
"200038_s_at" 14536 17292 4890 4959
"200039_s_at" 17175 16691 16075 13947
"200040_at" 14209 14903 15280 15711
"200041_s_at" 14456 15970 13146 3226
"200042_at" 13417 19734 12535 13621
"200043_at" 18365 19878 12486 4625
"200044_at" 17558 4503 15247 15350
"200045_at" 13299 14492 13215 15121
"200046_at" 15500 17238 14863 15343
"200047_s_at" 13636 14867 15505 16355
"200048_s_at" 6318 15897 15234 15001
"200049_at" 5218 13765 20495 14191
"200050_at" 16928 17508 10163 14488
"200051_at" 17150 18183 10446 21606
"200052_s_at" 18408 18891 16595 12813
"200053_at" 19635 21243 10026 18407
"200054_at" 16277 14536 10252 16870
"200055_at" 12974 5778 13885 3645
"200056_s_at" 17569 17041 12936 18016
"200057_s_at" 12920 5447 11398 4675
"200058_s_at" 18597 5917 17045 20715
"200059_s_at" 12983 16808 11977 14068
"200060_s_at" 19091 17036 19352 18283
"200061_s_at" 5672 3557 4796 4075
"200062_s_at" 8239 4399 4697 3998
"200063_s_at" 5589 3654 4844 4617
"200064_at" 15108 14705 13727 4741
"200065_s_at" 12865 12988 10342 3561
"200066_at" 18662 14435 2530 2759
"200067_x_at" 5723 13418 14640 13714
"200068_s_at" 5530 4766 12460 14731
"200069_at" 12967 3252 11739 18277
"200070_at" 14175 4826 20743 19796
"200071_at" 13671 14972 20797 18259
"200072_s_at" 17379 16195 13699 14659
"200073_s_at" 14188 16257 14143 16170
"200074_s_at" 16731 14575 10266 4846
"200075_s_at" 19978 20111 14749 16205
"200076_s_at" 18219 19359 14119 15600
"200077_s_at" 14484 3548 2913 13679
"200078_s_at" 14278 14772 14173 4397
"200079_s_at" 4550 15894 15024 2947
"200080_s_at" 3316 5485 10372 16229
"200081_s_at" 15156 13114 10228 3788
"200082_s_at" 13400 15719 4836 4953
"200083_at" 14014 17414 12326 18795
"200084_at" 15410 16664 13653 4268
"200085_s_at" 16083 15256 13556 15639
"200086_s_at" 15433 13385 17431 15464
"200087_s_at" 4037 16479 11575 16223
"200088_x_at" 6362 15226 4706 4203
"200089_s_at" 14698 15503 9426 14347
"200090_at" 5939 13777 15648 3101
"200091_s_at" 18309 14690 9774 16424
"200092_s_at" 16046 14871 4849 13070
"200093_s_at" 18244 15121 17618 17848
"200094_s_at" 15152 17547 11705 16292
"200095_x_at" 8369 5124 4896 4153
"200096_s_at" 19223 4669 18405 16321
"200097_s_at" 3795 4781 14502 17920
"200098_s_at" 5945 13968 20021 16339
"200099_s_at" 8345 12998 4850 4122
"200593_s_at" 16320 17127 15946 16999
"200594_x_at" 6004 4630 13529 15507
"200595_s_at" 15717 15746 17695 20088
"200596_s_at" 19847 19024 14157 20272
"200597_at" 3084 3073 16835 2631
"200598_s_at" 14833 5217 11301 2243
"200599_s_at" 3595 14599 1882 3604
"200600_at" 35 13200 15941 9112
"200601_at" 20407 4859 11263 21721
"200602_at" 16313 20385 12610 20856
"200603_at" 13552 14052 17425 17730
"200604_s_at" 17902 18207 10064 3094
"200605_s_at" 13040 13258 14594 15324
"200606_at" 15074 15394 18957 3853
"200607_s_at" 13955 20823 13844 13709
"200608_s_at" 14053 14201 15972 19164
"200609_s_at" 16062 21412 19399 4726
"200610_s_at" 2329 14283 12321 14817
"200611_s_at" 19052 18471 15018 18025
"200612_s_at" 17249 1322 11311 18869
"200613_at" 16940 16548 13051 4227
"200614_at" 14947 16815 13640 14046
"200615_s_at" 19361 20146 13745 1454
"200616_s_at" 4324 15754 10499 1348
"200617_at" 14449 15035 9510 19192
"200618_at" 14860 13901 18487 20244
"200619_at" 19893 13061 11174 20822
"200620_at" 16308 19963 12320 13861
"200621_at" 19664 16624 15353 15954
"200622_x_at" 20537 20833 20863 13995
"200623_s_at" 16392 4324 1656 18213
"200624_s_at" 4683 15586 18265 17855
"200625_s_at" 16493 13057 16237 19552
"200626_s_at" 19999 18189 12793 19169
"200627_at" 15231 15525 10800 4276
"200628_s_at" 16780 4709 12121 1917
"200629_at" 16075 16952 9946 13857
"200630_x_at" 4520 14566 10126 13558
"200631_s_at" 14269 13858 13606 19159
"200632_s_at" 2243 4971 16425 3261
"200633_at" 8295 8201 11475 4344
"200634_at" 18924 17491 9572 15649
"200635_s_at" 17293 13500 7965 20327
"200636_s_at" 17918 21012 7394 20063
"200637_s_at" 2573 22082 5258 22229
"200638_s_at" 16224 14005 19197 2893
"200639_s_at" 18673 18853 19992 18529
"200640_at" 15505 14171 15531 16068
"200641_s_at" 16636 4952 13547 1407
"200642_at" 18571 17576 14675 14752
"200643_at" 14240 4677 15604 20217
"200644_at" 5959 17477 12746 13618
"200645_at" 13004 4076 11823 13375
"200646_s_at" 1158 3824 20299 16532
"200647_x_at" 19986 18602 11290 13320
"200648_s_at" 17350 18749 18057 1272
"200649_at" 18231 4263 16918 20784
"200650_s_at" 5646 13235 4659 13111
"200651_at" 18880 16597 4886 13658
"200652_at" 12859 19665 10850 2794
"200653_s_at" 16848 15589 19887 18547
"200654_at" 21863 15009 2931 4730
"200655_s_at" 14665 13863 17764 14025
"200656_s_at" 18405 18107 13147 5029
"200657_at" 5834 16119 11041 13579
"200658_s_at" 17058 5235 18231 13492
"200659_s_at" 20189 16205 13805 15627
"200660_at" 21068 18555 12799 17226
"200661_at" 18421 16379 14631 18337
"200662_s_at" 14088 16044 10462 4436
"200663_at" 14629 15249 13520 13867
"200664_s_at" 18453 17667 19433 13588
"200665_s_at" 12588 10449 3289 8709
"200666_s_at" 13387 18840 14522 19250
"200667_at" 14738 16283 2599 13715
"200668_s_at" 14181 13067 14273 4174
"200669_s_at" 15274 14391 16672 2231
"200670_at" 3063 19640 14351 2634
"200671_s_at" 19387 21446 214 16907
"200672_x_at" 20752 5763 1881 22024
"200673_at" 13487 14113 15513 13751
"200674_s_at" 4851 5671 4854 4136
"200675_at" 17874 5312 14939 21231
"200676_s_at" 19915 14413 15713 4871
"200677_at" 5935 5667 10156 13944
"200678_x_at" 18437 14183 14585 16816
"200679_x_at" 14953 14861 13908 15025
"200680_x_at" 14010 5866 10995 3402
"200681_at" 3817 15809 13269 3791
"200682_s_at" 18328 15610 16352 12907
"200683_s_at" 17228 15783 14404 15117
"200684_s_at" 19172 15621 16063 3272
"200685_at" 4584 2394 20704 19616
"200686_s_at" 15780 15773 21323 19119
"200687_s_at" 17553 18601 19146 18476
"200688_at" 2684 1894 11862 4669
"200689_x_at" 4459 3753 4893 4928
"200690_at" 17548 17083 10670 20071
"200691_s_at" 14719 14725 16963 14317
"200692_s_at" 16700 17435 16505 13666
"200693_at" 16733 15048 17623 16469
"200694_s_at" 5029 20657 13750 16317
"200695_at" 21004 16841 10341 1505
"200696_s_at" 16910 22135 19773 5007
"200697_at" 15619 13651 17534 16084
"200698_at" 13111 4167 10127 17647
"200699_at" 14151 16891 2168 19599
"200700_s_at" 15871 14714 9670 13325
"200701_at" 20430 14290 12037 18909
"200702_s_at" 4980 18670 16053 16844
"200703_at" 17243 17572 17241 14109
"200704_at" 15998 15316 13793 19840
"200705_s_at" 4035 14514 4717 13778
"200706_s_at" 16789 21552 19249 18060
"200707_at" 15616 14820 17480 21146
"200708_at" 14973 15676 11647 15830
"200709_at" 6396 17506 13413 18669
"200710_at" 13141 18998 15538 16651
"200711_s_at" 15958 17034 19079 14121
