"inst_3037" "inst_3375" "inst_5337" "inst_6737"
"1007_s_at" 12916 11337 2099 14444
"1053_at" 16891 19528 13923 6558
"117_at" 18005 486 5544 7649
"121_at" 15230 20288 3523 6780
"1255_g_at" 4707 9006 6233 11638
"1294_at" 14505 11961 1647 13853
"1316_at" 15428 1364 15671 20812
"1320_at" 7065 15443 13071 15265
"1405_i_at" 20064 5182 13326 8889
"1431_at" 14958 18285 7252 4537
"1438_at" 1332 4160 1853 1750
"1487_at" 18880 11681 1038 18520
"1494_f_at" 16273 2147 3111 623
"1598_g_at" 8431 18883 95 19843
"160020_at" 753 20392 20307 4895
"1729_at" 16670 12450 16637 19223
"1773_at" 20350 2442 21258 3478
"177_at" 2341 5686 6899 102
"179_at" 8821 19994 1986 500
"1861_at" 16871 1177 1967 19619
"200000_s_at" 13034 15441 13528 19964
"200001_at" 12051 11339 15590 14198
"200002_at" 8483 4181 16420 13317
"200003_s_at" 3891 6944 14908 8238
"200004_at" 19114 13143 16934 12970
"200005_at" 13184 11657 16844 12497
"200006_at" 11059 3741 15699 12539
"200007_at" 11225 3851 14891 4847
"200008_s_at" 17552 12558 21672 3984
"200009_at" 12650 14475 14247 5447
"200010_at" 2481 12862 18452 5531
"200011_s_at" 15032 4584 2190 5440
"200012_x_at" 1519 4110 4004 6856
"200013_at" 8342 13363 16435 5328
"200014_s_at" 15023 15835 16955 14568
"200015_s_at" 18500 15626 18119 18427
"200016_x_at" 3831 4827 13692 12733
"200017_at" 3978 7090 17338 13608
"200018_at" 3968 7075 14231 12716
"200019_s_at" 2330 11795 3462 12530
"200020_at" 12062 15459 3819 4490
"200021_at" 1810 13812 1793 8371
"200022_at" 3906 11429 14162 6251
"200023_s_at" 12463 3717 15673 16041
"200024_at" 1938 4634 3339 6483
"200025_s_at" 3966 11495 3608 13767
"200026_at" 4082 7262 2371 6815
"200027_at" 14069 3217 17088 15482
"200028_s_at" 14972 16914 15063 15080
"200029_at" 2552 5031 14604 5619
"200030_s_at" 8413 3969 13872 12396
"200031_s_at" 3960 7063 3254 8298
"200032_s_at" 3981 7094 3813 15282
"200033_at" 12732 14238 17213 13374
"200034_s_at" 2297 13379 15796 4286
"200035_at" 17987 21647 1998 19173
"200036_s_at" 8858 12840 14974 15805
"200037_s_at" 15820 15730 17824 15707
"200038_s_at" 4064 12852 13883 6595
"200039_s_at" 16687 12921 16687 6526
"200040_at" 14058 15610 13574 13186
"200041_s_at" 16701 13455 18083 12989
"200042_at" 11461 12941 3158 13863
"200043_at" 14309 12607 15841 17204
"200044_at" 17503 16008 17303 4462
"200045_at" 13702 15687 3504 16854
"200046_at" 14071 12222 15600 13321
"200047_s_at" 14311 15289 17812 13657
"200048_s_at" 13824 13485 17446 17097
"200049_at" 11115 12635 17864 4900
"200050_at" 14557 11867 21317 14596
"200051_at" 17388 15604 1613 12595
"200052_s_at" 15862 20477 17110 13364
"200053_at" 8808 699 14526 16585
"200054_at" 16086 4630 15396 15087
"200055_at" 10251 13848 13484 15279
"200056_s_at" 20364 17324 21607 18265
"200057_s_at" 10135 2666 14263 13296
"200058_s_at" 13637 15373 3126 16801
"200059_s_at" 9103 4285 19091 13100
"200060_s_at" 16913 16370 16714 14882
"200061_s_at" 3958 7061 3128 8297
"200062_s_at" 3879 6931 13759 8231
"200063_s_at" 4010 7145 3816 12417
"200064_at" 9912 13265 16603 4887
"200065_s_at" 16230 11358 3928 5752
"200066_at" 10465 11753 3931 3328
"200067_x_at" 13058 4398 17463 15210
"200068_s_at" 12017 11309 3004 4888
"200069_at" 19255 15701 17760 15115
"200070_at" 21057 14435 15088 18838
"200071_at" 15384 15873 19320 6655
"200072_s_at" 17791 16034 14631 12760
"200073_s_at" 10092 15260 16991 16444
"200074_s_at" 9170 12274 14013 4795
"200075_s_at" 18019 16389 3396 6896
"200076_s_at" 14578 14723 14468 18809
"200077_s_at" 2202 11993 14429 12551
"200078_s_at" 15145 15395 16932 12705
"200079_s_at" 17536 4992 16065 12769
"200080_s_at" 8384 14263 16345 13647
"200081_s_at" 2474 11710 4163 2408
"200082_s_at" 4002 7128 3569 4192
"200083_at" 10919 18298 16984 16894
"200084_at" 14137 12897 18489 6416
"200085_s_at" 11042 11787 14575 12445
"200086_s_at" 12833 11982 15236 14402
"200087_s_at" 18284 14842 16210 3771
"200088_x_at" 3888 6940 2888 14728
"200089_s_at" 8617 14860 16368 13220
"200090_at" 13997 12626 4042 14357
"200091_s_at" 1962 14740 15353 6624
"200092_s_at" 4018 4609 1136 13919
"200093_s_at" 14689 13688 17395 6573
"200094_s_at" 9440 16513 18171 16205
"200095_x_at" 4070 7241 13876 8366
"200096_s_at" 14045 14043 19884 13403
"200097_s_at" 18159 21132 16635 13476
"200098_s_at" 16435 17452 18437 18137
"200099_s_at" 4022 7165 14703 12597
