"inst_2958" "inst_3519" "inst_7460"
"1007_s_at" 18797 13715 16016
"1053_at" 14298 20888 20693
"117_at" 21437 10643 10842
"121_at" 21874 1581 21846
"1255_g_at" 8725 8745 12055
"1294_at" 13963 3560 12800
"1316_at" 12022 3635 3572
"1320_at" 9174 7595 6214
"1405_i_at" 19834 10308 8822
"1431_at" 6966 12567 11437
"1438_at" 10208 2778 21485
"1487_at" 2687 16464 20087
"1494_f_at" 5604 7620 953
"1598_g_at" 17665 5212 2086
"160020_at" 21426 2031 8056
"1729_at" 20478 21061 18262
"1773_at" 13503 11580 16692
"177_at" 11542 11445 13089
"179_at" 22224 11575 3769
"1861_at" 21444 18216 1871
"200000_s_at" 15259 20693 2802
"200001_at" 13984 4541 14843
"200002_at" 12439 12603 16786
"200003_s_at" 11638 4262 3558
"200004_at" 14750 13622 15210
"200005_at" 13816 12839 16615
"200006_at" 14254 15303 16716
"200007_at" 15160 13823 15178
"200008_s_at" 15588 3686 14736
"200009_at" 14394 11759 5675
"200010_at" 3054 13600 15088
"200011_s_at" 14669 18794 5840
"200012_x_at" 2326 5195 15549
"200013_at" 11773 12625 16767
"200014_s_at" 12308 14626 20893
"200015_s_at" 19046 19132 19615
"200016_x_at" 11731 13990 15038
"200017_at" 11736 12080 15473
"200018_at" 6162 13179 4230
"200019_s_at" 11634 17216 3474
"200020_at" 13128 15240 15631
"200021_at" 1247 7260 14705
"200022_at" 2523 4457 15187
"200023_s_at" 15603 16299 14870
"200024_at" 11521 12052 16453
"200025_s_at" 12757 11714 16287
"200026_at" 6399 3600 5852
"200027_at" 12435 14623 18156
"200028_s_at" 14434 12414 15291
"200029_at" 2580 4938 3687
"200030_s_at" 12616 4857 14936
"200031_s_at" 6131 13058 5864
"200032_s_at" 6190 12106 14907
"200033_at" 13455 13665 16835
"200034_s_at" 12278 4234 18095
"200035_at" 19733 14237 15004
"200036_s_at" 15214 13614 5671
"200037_s_at" 17606 12583 16875
"200038_s_at" 6366 11684 15069
"200039_s_at" 13428 18175 4213
"200040_at" 14564 15380 16578
"200041_s_at" 13367 15582 15454
"200042_at" 11543 15568 19539
"200043_at" 16361 16469 20961
"200044_at" 17078 13550 14924
"200045_at" 14844 17854 16412
"200046_at" 16263 13291 4384
"200047_s_at" 15545 14823 18189
"200048_s_at" 18758 17103 16121
"200049_at" 15043 13314 18255
"200050_at" 12427 17890 15472
"200051_at" 3059 19201 15256
"200052_s_at" 14327 14721 5791
"200053_at" 19177 2322 3626
"200054_at" 12703 16309 3785
"200055_at" 16545 14952 5209
"200056_s_at" 20708 12561 20638
"200057_s_at" 12843 16797 5585
"200058_s_at" 18183 16434 15315
"200059_s_at" 13742 12500 15831
"200060_s_at" 15351 18856 17616
"200061_s_at" 6128 4178 5817
"200062_s_at" 13226 7153 5283
"200063_s_at" 11572 4037 5777
"200064_at" 12086 3839 3819
"200065_s_at" 13057 12527 3031
"200066_at" 16538 19083 19840
"200067_x_at" 14930 12177 15452
"200068_s_at" 3254 12474 5783
"200069_at" 14029 19081 16883
"200070_at" 621 22265 4755
"200071_at" 19076 16831 4133
"200072_s_at" 13592 17578 15185
"200073_s_at" 13322 12545 15717
"200074_s_at" 12592 14467 5096
"200075_s_at" 19594 19814 16789
"200076_s_at" 18973 19103 3313
"200077_s_at" 3083 4298 5234
"200078_s_at" 16055 18439 4373
"200079_s_at" 14682 13485 3536
"200080_s_at" 11996 4261 18463
"200081_s_at" 11656 11535 5289
"200082_s_at" 2976 4827 14811
"200083_at" 20171 16762 14784
"200084_at" 15801 14183 18661
"200085_s_at" 13035 14294 15221
"200086_s_at" 16493 15405 16289
"200087_s_at" 16138 12703 20010
"200088_x_at" 5961 7159 4616
"200089_s_at" 2768 4010 14418
"200090_at" 21618 19891 15819
"200091_s_at" 15398 12377 15066
"200092_s_at" 3000 4443 15253
"200093_s_at" 20326 17961 16583
"200094_s_at" 2839 14193 17238
"200095_x_at" 3089 7255 4127
"200096_s_at" 18472 12780 15062
"200097_s_at" 18158 12631 15744
"200098_s_at" 16334 17616 4645
"200099_s_at" 6280 12345 5348
"200593_s_at" 13141 15620 15393
"200594_x_at" 11687 11923 18383
"200595_s_at" 16458 19596 16892
"200596_s_at" 15741 17115 2345
"200597_at" 17562 14157 5813
"200598_s_at" 13917 15835 19319
"200599_s_at" 3062 12336 17487
"200600_at" 14012 644 6637
"200601_at" 21095 17667 2816
"200602_at" 13922 16833 5368
"200603_at" 20497 13351 18127
"200604_s_at" 18749 15767 4570
"200605_s_at" 2549 18241 16186
"200606_at" 12951 11788 15607
"200607_s_at" 12455 16148 15114
"200608_s_at" 17803 13011 17087
"200609_s_at" 19868 15383 14797
"200610_s_at" 3004 4280 17985
"200611_s_at" 15113 15356 15777
"200612_s_at" 12905 1962 3204
"200613_at" 15304 15704 14950
"200614_at" 13403 13878 5636
"200615_s_at" 17003 16495 2126
"200616_s_at" 12213 17570 15226
"200617_at" 1637 21086 2803
"200618_at" 16286 17213 5868
"200619_at" 19607 19675 18835
"200620_at" 13956 13677 18336
"200621_at" 19035 15930 16822
"200622_x_at" 12589 19986 18567
"200623_s_at" 18938 19966 3303
"200624_s_at" 14530 11704 16813
"200625_s_at" 15996 15668 4963
"200626_s_at" 15301 14766 15482
"200627_at" 14929 13389 15375
"200628_s_at" 1820 11817 2004
"200629_at" 15995 18593 20353
"200630_x_at" 12442 11556 14979
"200631_s_at" 12647 13529 15677
"200632_s_at" 19765 13362 1684
"200633_at" 12135 15214 14524
"200634_at" 15012 4891 14806
"200635_s_at" 6556 18471 3713
"200636_s_at" 4391 15892 3480
"200637_s_at" 6188 5059 19412
"200638_s_at" 17316 13398 4806
"200639_s_at" 19468 4986 19083
"200640_at" 12063 5196 16660
"200641_s_at" 14066 14801 15101
"200642_at" 14896 14276 5541
"200643_at" 16590 15602 4915
