"inst_3061" "inst_3398" "inst_4639" "inst_5700"
"1007_s_at" 4775 10240 2062 8985
"1053_at" 13113 8895 9244 10296
"117_at" 3008 9411 3638 18153
"121_at" 11777 13958 5510 5980
"1255_g_at" 16339 17164 15779 15289
"1294_at" 4888 20687 7877 20008
"1316_at" 9296 12117 13273 20371
"1320_at" 16087 10825 18081 17423
"1405_i_at" 20492 15698 22129 20983
"1431_at" 1466 9463 6131 1651
"1438_at" 19064 4332 21950 21847
"1487_at" 11683 1637 1464 7205
"1494_f_at" 22152 20679 8021 4047
"1598_g_at" 3106 13176 1872 19846
"160020_at" 13172 13686 8152 1534
"1729_at" 3898 8945 6557 3297
"1773_at" 20485 10884 11224 20456
"177_at" 3000 1236 1530 541
"179_at" 21268 1192 22115 22115
"1861_at" 8549 1898 9066 11182
"200000_s_at" 11732 7305 11790 9444
"200001_at" 6755 10200 8358 10527
"200002_at" 15169 20748 12429 13528
"200003_s_at" 17726 16183 15888 13492
"200004_at" 12188 13711 11233 9041
"200005_at" 12561 7124 12073 6221
"200006_at" 13557 13008 12882 12511
"200007_at" 12058 13887 13736 12609
"200008_s_at" 10024 7494 20718 8365
"200009_at" 12431 12109 12381 12663
"200010_at" 20589 20176 13677 13874
"200011_s_at" 6960 8153 5000 8329
"200012_x_at" 20973 19887 20437 19577
"200013_at" 15255 14082 13176 19463
"200014_s_at" 12735 11287 9897 10472
"200015_s_at" 13029 13484 7532 8089
"200016_x_at" 17691 13685 13444 14022
"200017_at" 17770 16302 13884 20436
"200018_at" 17764 16288 20119 13735
"200019_s_at" 20334 13522 20535 19477
"200020_at" 7704 5708 7948 9145
"200021_at" 20345 20082 19815 16055
"200022_at" 17728 20033 13894 19475
"200023_s_at" 13611 8810 10619 7036
"200024_at" 15347 20061 20689 13745
"200025_s_at" 17763 14225 13652 13984
"200026_at" 17828 19880 13719 16056
"200027_at" 13804 10870 10426 7618
"200028_s_at" 8458 12882 10390 7450
"200029_at" 20570 19864 13474 20267
"200030_s_at" 13596 12699 20134 11815
"200031_s_at" 17760 16278 15935 19995
"200032_s_at" 17771 16305 19967 20017
"200033_at" 13710 20451 13004 10501
"200034_s_at" 20418 20507 19708 13067
"200035_at" 4993 7367 7037 4295
"200036_s_at" 13274 13964 13632 12752
"200037_s_at" 14581 20809 9883 11094
"200038_s_at" 17817 19878 13568 13552
"200039_s_at" 11853 11954 9946 11298
"200040_at" 11778 13745 11251 9701
"200041_s_at" 14121 7971 7846 9568
"200042_at" 10608 10546 9682 12791
"200043_at" 8507 13117 4722 13059
"200044_at" 5033 13646 8798 10583
"200045_at" 6869 7933 8473 5970
"200046_at" 10110 11220 8322 5670
"200047_s_at" 11448 14003 7454 9179
"200048_s_at" 14055 20068 12905 12142
"200049_at" 4755 4367 5560 11920
"200050_at" 12721 19938 9513 9755
"200051_at" 8820 7949 6589 14055
"200052_s_at" 12912 11403 10175 13624
"200053_at" 21204 1283 21241 10524
"200054_at" 6008 5444 3229 7933
"200055_at" 13508 7911 7672 11679
"200056_s_at" 10855 10437 5249 5381
"200057_s_at" 14498 12788 13439 9693
"200058_s_at" 11064 9758 4533 11189
"200059_s_at" 14636 12376 12338 11566
"200060_s_at" 9838 10227 3858 9466
"200061_s_at" 20288 20252 15933 16024
"200062_s_at" 17718 16170 15883 15990
"200063_s_at" 17787 16349 20706 16038
"200064_at" 13909 13050 13512 19739
"200065_s_at" 11167 9500 12434 13110
"200066_at" 12907 7711 13042 9845
"200067_x_at" 10606 12716 10547 9540
"200068_s_at" 10787 13053 7562 9169
