"inst_2360" "inst_3805" "inst_3888" "inst_4542"
"1007_s_at" 21989 13133 1329 11137
"1053_at" 17699 19346 19558 17671
"117_at" 19152 229 12396 28
"121_at" 5645 12182 5111 8240
"1255_g_at" 11945 5592 9845 15279
"1294_at" 6488 17396 14189 2238
"1316_at" 20520 3183 1644 21418
"1320_at" 8354 20035 3782 13748
"1405_i_at" 18103 5494 7427 14353
"1431_at" 3874 18196 8012 19630
"1438_at" 8563 19014 20863 18656
"1487_at" 20806 14755 19013 9399
"1494_f_at" 1353 9934 3593 20714
"1598_g_at" 6049 13175 6312 3632
"160020_at" 29 3538 20074 6126
"1729_at" 18339 20781 17924 8940
"1773_at" 1755 20090 17733 19039
"177_at" 18904 9154 1811 4160
"179_at" 11190 13722 6682 19983
"1861_at" 22092 13766 18684 10174
"200000_s_at" 17482 18520 3333 10580
"200001_at" 16764 13859 15440 10271
"200002_at" 17496 11976 13735 9475
"200003_s_at" 16112 6162 9020 13000
"200004_at" 18350 4456 16348 9051
"200005_at" 6017 11457 6421 8775
"200006_at" 6516 12531 13501 8083
"200007_at" 18851 4608 6890 9143
"200008_s_at" 4221 12578 19794 18292
"200009_at" 4689 14931 13863 20224
"200010_at" 16231 9650 15258 6794
"200011_s_at" 17352 13797 17053 5081
"200012_x_at" 5537 3305 5250 19713
"200013_at" 16094 12243 14586 10870
"200014_s_at" 7765 14351 17039 9621
"200015_s_at" 6708 13613 15820 8465
"200016_x_at" 20733 6093 14745 9681
"200017_at" 6789 6253 9127 13099
"200018_at" 6638 6247 9112 9818
"200019_s_at" 16780 3908 4540 10336
"200020_at" 16690 11775 7328 8440
"200021_at" 20633 6355 9231 13206
"200022_at" 7836 11309 9032 10547
"200023_s_at" 7687 10434 3249 7263
"200024_at" 5229 4315 6745 9002
"200025_s_at" 17688 4250 7212 8761
"200026_at" 10380 6359 16985 10463
"200027_at" 17349 11931 13887 4833
"200028_s_at" 7802 14033 15115 8013
"200029_at" 16511 10220 9069 18616
"200030_s_at" 5465 3907 5683 10707
"200031_s_at" 10465 6239 9104 13080
"200032_s_at" 10451 6258 9129 18200
"200033_at" 5581 11425 7315 5826
"200034_s_at" 4927 4209 6539 17485
"200035_at" 2734 13266 14163 9296
"200036_s_at" 17048 11760 6187 9739
"200037_s_at" 19639 17683 17019 9771
"200038_s_at" 16645 11013 9212 11246
"200039_s_at" 15833 11605 4902 9872
"200040_at" 7860 11595 14286 9430
"200041_s_at" 6535 14579 6519 10878
"200042_at" 16945 16040 3154 8803
"200043_at" 15957 11374 6781 6506
"200044_at" 17422 17394 16193 10564
"200045_at" 5525 10690 3989 6724
"200046_at" 4011 18040 13539 6312
"200047_s_at" 7408 15378 14296 9360
"200048_s_at" 17287 13130 13408 7250
"200049_at" 16015 15570 2791 5997
"200050_at" 18617 16274 19687 6530
"200051_at" 19421 12584 5313 11155
"200052_s_at" 7864 17399 15521 7668
"200053_at" 19535 14197 508 2064
"200054_at" 20235 15725 15154 6790
"200055_at" 17754 14519 4753 18439
"200056_s_at" 19479 18219 15795 5486
"200057_s_at" 7688 4575 6296 8413
"200058_s_at" 7123 16775 6573 8391
"200059_s_at" 17526 4766 14843 17766
"200060_s_at" 20599 18311 6831 5857
"200061_s_at" 6564 6238 9102 13079
"200062_s_at" 16204 6149 9006 12985
"200063_s_at" 17895 6290 9164 18505
"200064_at" 18175 3443 4565 6666
"200065_s_at" 6474 12122 14897 9941
"200066_at" 5626 2936 14454 17952
"200067_x_at" 16380 15621 20384 8267
"200068_s_at" 18953 9916 6133 7062
"200069_at" 18743 17491 16363 5305
"200070_at" 2126 11563 3569 7001
"200071_at" 19805 14404 7109 9954
"200072_s_at" 17969 14008 17838 19444
"200073_s_at" 19855 13694 6096 9876
"200074_s_at" 7575 11102 15553 10924
"200075_s_at" 17659 12127 16061 6814
"200076_s_at" 6229 16969 14153 18234
"200077_s_at" 16770 4582 13806 10234
"200078_s_at" 6289 10967 5570 4498
"200079_s_at" 4133 10720 5703 8742
"200080_s_at" 7519 11500 16528 8541
"200081_s_at" 6601 3177 14027 7570
"200082_s_at" 5946 6276 9150 11026
"200083_at" 21518 14625 2145 6469
"200084_at" 17359 13870 15566 6499
"200085_s_at" 17990 11738 7314 10769
"200086_s_at" 6134 12619 13407 4007
"200087_s_at" 19043 10670 6553 5034
"200088_x_at" 7670 6157 9014 18886
"200089_s_at" 16375 14758 6560 10594
"200090_at" 5913 10482 6110 6909
"200091_s_at" 17676 4601 3760 7735
"200092_s_at" 18391 4233 9169 19286
"200093_s_at" 21818 12697 3332 2291
"200094_s_at" 16944 11343 17137 8400
"200095_x_at" 16437 6346 9221 13190
"200096_s_at" 5740 14590 16015 4817
"200097_s_at" 6433 18911 15532 9304
"200098_s_at" 18582 19258 4936 8771
"200099_s_at" 10514 6298 9172 18928
"200593_s_at" 21540 4696 13398 9271
"200594_x_at" 20506 13346 6696 18384
"200595_s_at" 20471 14095 5603 7159
"200596_s_at" 19648 11341 3890 8165
"200597_at" 7289 20793 3867 4399
"200598_s_at" 4395 2300 20667 1593
"200599_s_at" 16161 2086 4728 3064
"200600_at" 18080 10359 12859 5535
"200601_at" 16486 21552 2686 2303
"200602_at" 18001 17182 13969 4433
"200603_at" 3327 13461 15111 10297
"200604_s_at" 1214 4721 18247 7896
"200605_s_at" 7269 12264 16933 17965
"200606_at" 2627 14662 13940 9626
"200607_s_at" 4894 9696 20657 5358
"200608_s_at" 17934 18830 14465 7330
"200609_s_at" 803 14532 4030 4971
"200610_s_at" 20816 12470 4060 7165
"200611_s_at" 5729 13200 13564 3283
"200612_s_at" 2582 15399 21 4426
"200613_at" 17369 15260 16514 9014
"200614_at" 6566 3240 5127 9311
"200615_s_at" 19939 4472 16823 18257
"200616_s_at" 18166 4631 15845 7195
"200617_at" 6790 14707 15279 6982
"200618_at" 1207 14152 5895 5351
"200619_at" 18983 13965 3638 6358
"200620_at" 6841 9598 15013 8591
"200621_at" 3390 10884 2292 1654
"200622_x_at" 17093 17540 15889 5589
"200623_s_at" 6546 13564 2601 21454
"200624_s_at" 19350 16279 16324 7367
"200625_s_at" 5973 3438 5680 5770
"200626_s_at" 21064 10523 6542 2851
"200627_at" 4277 4271 13699 8889
"200628_s_at" 6771 20345 13816 5059
"200629_at" 16630 16260 1494 3802
"200630_x_at" 7158 13472 6685 11250
"200631_s_at" 19332 14714 3667 9209
"200632_s_at" 3353 3098 2260 3989
"200633_at" 18236 6237 9101 13078
"200634_at" 16619 3641 5857 6457
"200635_s_at" 12682 18112 16234 2307
"200636_s_at" 9334 12336 4912 11157
"200637_s_at" 8825 15553 21588 20980
"200638_s_at" 4519 10489 15625 6896
"200639_s_at" 16943 14159 16485 17542
"200640_at" 3963 4204 5248 8529
"200641_s_at" 2614 2962 20468 9896
"200642_at" 18764 10315 13664 9757
"200643_at" 4267 19606 3545 19661
"200644_at" 982 20148 16053 18482
"200645_at" 6310 10938 13947 8650
"200646_s_at" 729 14706 7240 20721
"200647_x_at" 17081 17565 3916 10066
"200648_s_at" 3321 11507 19678 20281
"200649_at" 6950 4574 1029 3222
"200650_s_at" 16834 6113 13413 12946
"200651_at" 16387 10401 9207 8939
"200652_at" 18323 17103 15317 4575
"200653_s_at" 4945 13869 4334 3252
"200654_at" 16849 10996 2371 4409
"200655_s_at" 16297 14499 7015 19056
"200656_s_at" 6903 12466 17701 5174
"200657_at" 15808 10374 14826 10450
"200658_s_at" 17269 14930 13827 8471
