"inst_2308" "inst_2346" "inst_3618" "inst_3721" "inst_4279" "inst_4743"
"1007_s_at" 7915 22052 12403 12145 11906 4041
"1053_at" 12031 5922 17879 16943 15803 17447
"117_at" 16678 19785 8438 1301 3980 9041
"121_at" 8014 6202 17776 15114 4082 20714
"1255_g_at" 15452 12756 7839 6840 8564 9071
"1294_at" 9755 19919 6511 192 15453 1354
"1316_at" 11065 4016 21554 11650 18925 21784
"1320_at" 1758 13317 5438 1842 15553 1312
"1405_i_at" 13746 19733 1108 4497 6652 669
"1431_at" 20614 12684 18196 21151 18508 501
"1438_at" 2129 9516 21315 19799 1249 1168
"1487_at" 4659 6836 19659 13648 3074 16313
"1494_f_at" 21250 713 21366 20341 20913 2107
"1598_g_at" 10507 1881 20554 16714 11353 1084
"160020_at" 20590 352 19990 515 803 7256
"1729_at" 8735 2016 21081 12745 1687 12920
"1773_at" 8620 93 2049 19323 13659 18974
"177_at" 20004 19591 12315 9052 810 3583
"179_at" 2897 153 20819 19737 3297 20750
"1861_at" 10335 7819 16354 10345 1898 4082
"200000_s_at" 21745 4054 12722 11601 4394 12341
"200001_at" 6675 6330 15429 13798 13194 4423
"200002_at" 10158 5459 15435 11017 2677 14639
"200003_s_at" 19735 17386 8150 5391 6193 7239
"200004_at" 10681 18377 13333 15429 14298 16169
"200005_at" 5835 6722 13531 12650 14291 5297
"200006_at" 11183 8107 5880 9745 4117 13131
"200007_at" 12551 6334 5591 12006 3568 4184
"200008_s_at" 11330 5376 6040 21096 16506 15193
"200009_at" 12148 8360 14385 17916 16691 15559
"200010_at" 12150 7208 13553 15252 3736 12939
"200011_s_at" 8189 18146 6145 9817 3032 14411
"200012_x_at" 20735 17909 4317 3377 4125 12023
"200013_at" 12682 7952 6407 9672 12996 12400
"200014_s_at" 10593 5319 20167 13701 16470 15341
"200015_s_at" 10744 6835 14598 15623 16555 16948
"200016_x_at" 12951 7201 13580 9779 10743 4132
"200017_at" 14967 7815 8254 5492 6298 7377
"200018_at" 15025 17026 8243 5484 6291 5232
"200019_s_at" 11452 6625 5893 3047 3574 4248
"200020_at" 2445 3577 6308 20515 14046 12424
"200021_at" 21182 4214 8360 5582 6418 7516
"200022_at" 19510 4590 8166 10677 2890 5086
"200023_s_at" 4975 4983 6221 10761 11425 4763
"200024_at" 11540 8157 6392 3900 3031 4661
"200025_s_at" 12514 7042 8241 3630 2304 12922
"200026_at" 18868 10994 8365 3270 2766 4996
"200027_at" 3912 8452 13899 12405 13009 16410
"200028_s_at" 3521 17256 17621 11088 15731 13008
"200029_at" 19095 7038 4209 2956 3173 3457
"200030_s_at" 11542 6180 14084 3686 3371 4418
"200031_s_at" 14818 11261 8237 5470 6280 7347
"200032_s_at" 18829 11117 8256 3655 11203 5117
"200033_at" 8628 4968 15222 12476 10511 13404
"200034_s_at" 19970 18799 8154 15070 12502 12509
"200035_at" 3141 5772 19118 2999 3402 13694
"200036_s_at" 12546 8102 4663 10222 10685 12455
"200037_s_at" 10115 4043 13682 10943 12988 15818
"200038_s_at" 19829 10992 8335 3907 4264 12557
"200039_s_at" 8285 17648 6235 12008 13292 12115
"200040_at" 10078 7262 17181 17223 17220 13292
"200041_s_at" 8721 5507 6195 17728 13585 11795
"200042_at" 8712 18001 13693 12190 14064 4706
"200043_at" 10738 8405 15332 10631 11568 16054
"200044_at" 2774 5944 18628 12625 2084 16103
"200045_at" 7651 19119 12416 16083 14738 3808
"200046_at" 2915 1076 6397 12035 2659 13684
"200047_s_at" 3284 1502 14499 13550 15000 12869
"200048_s_at" 8474 4136 14553 3218 13171 13554
"200049_at" 7083 2900 5724 17362 15517 18557
"200050_at" 5440 4042 4859 15435 16361 15938
"200051_at" 8723 18080 12322 11876 4230 16364
"200052_s_at" 19014 5246 5714 16003 15575 14421
"200053_at" 20685 5639 20467 20415 18973 15859
"200054_at" 7785 5400 6266 16044 12686 4499
"200055_at" 7606 17126 13331 10114 1114 3382
"200056_s_at" 2878 5117 6253 13552 14013 18581
"200057_s_at" 8944 5770 6485 9946 12171 12711
"200058_s_at" 6546 17109 15461 12336 15723 14555
"200059_s_at" 6882 4542 4090 15541 3579 13287
"200060_s_at" 4396 3489 14894 18554 17018 12516
"200061_s_at" 14866 7360 8235 5469 6279 7346
