"inst_1422" "inst_2106" "inst_2269" "inst_6001" "inst_7298"
"1007_s_at" 1121 3142 4892 3151 12838
"1053_at" 3863 20006 21517 3662 13201
"117_at" 1122 151 9326 9569 12484
"121_at" 18510 7527 20114 20580 20568
"1255_g_at" 8822 9991 9724 14375 7554
"1294_at" 16611 5022 18969 4050 232
"1316_at" 20443 13097 2674 18563 13522
"1320_at" 15711 16093 10567 1986 6303
"1405_i_at" 19908 12177 7700 1803 106
"1431_at" 9093 3899 3634 10458 11336
"1438_at" 12518 18867 18382 21848 19312
"1487_at" 5207 2642 20701 8298 19956
"1494_f_at" 21140 1307 17840 5699 12294
"1598_g_at" 19684 7601 6973 22108 15409
"160020_at" 17752 367 511 6985 15810
"1729_at" 4626 17020 20269 7862 13182
"1773_at" 21325 21074 6878 7113 21935
"177_at" 1065 14864 9440 3445 269
"179_at" 19813 6267 19742 21917 21384
"1861_at" 18614 18905 18888 17126 18293
"200000_s_at" 4721 7614 6279 7256 19460
"200001_at" 17988 2737 5119 8222 15902
"200002_at" 18786 4739 5639 17357 14733
"200003_s_at" 5147 5401 8871 15882 4048
"200004_at" 20497 17780 18202 7367 15618
"200005_at" 18977 18450 17274 6465 13082
"200006_at" 17180 4832 6206 15191 16045
"200007_at" 16070 19098 18101 4505 13306
"200008_s_at" 19435 21120 6863 6013 20770
"200009_at" 16100 16078 6261 8370 14033
"200010_at" 5402 8094 12817 7874 4372
"200011_s_at" 17569 17039 14113 4349 17076
"200012_x_at" 1871 4418 5015 15872 13856
"200013_at" 17691 4196 6620 17172 14217
"200014_s_at" 5548 4497 16282 8560 15387
"200015_s_at" 1610 5458 12834 18100 14658
"200016_x_at" 21712 20015 14574 5585 15075
"200017_at" 21605 5560 8873 16145 3700
"200018_at" 1535 8088 8980 5957 12824
"200019_s_at" 3880 7364 15248 8591 3045
"200020_at" 3053 18684 14948 4445 4351
"200021_at" 17254 16946 8928 10691 2253
"200022_at" 5823 6173 8918 15332 14416
"200023_s_at" 6014 18066 6171 15487 4179
"200024_at" 19285 5846 5194 16367 13748
"200025_s_at" 4664 4977 13866 8683 14531
"200026_at" 21082 15951 8965 6440 3555
"200027_at" 17881 4454 17343 7493 15464
"200028_s_at" 17854 5716 14114 5188 14296
"200029_at" 6117 5860 14911 18910 3513
"200030_s_at" 16213 16722 4502 7024 13976
"200031_s_at" 5686 6770 8972 10604 4750
"200032_s_at" 17044 5268 9005 17029 3387
"200033_at" 19989 17639 13327 15368 13031
"200034_s_at" 5158 4668 5699 15399 14663
"200035_at" 932 18393 3987 6974 3644
"200036_s_at" 17680 7132 13742 15630 13333
"200037_s_at" 5632 19489 14784 7089 16267
"200038_s_at" 3214 7875 8959 8733 15105
"200039_s_at" 5079 6465 12849 7391 14361
"200040_at" 18163 7447 4886 6743 12955
"200041_s_at" 17539 3441 6584 5521 17942
"200042_at" 3538 5731 15480 15261 4480
"200043_at" 21134 21588 3354 15663 18842
"200044_at" 19209 16006 16569 6317 14889
"200045_at" 5830 8098 13564 15357 14621
"200046_at" 18812 7605 18604 4921 4904
"200047_s_at" 3701 19528 16919 17117 18493
"200048_s_at" 17947 5241 6576 16200 19099
"200049_at" 2136 16047 15977 8052 20065
"200050_at" 19514 18927 20919 6041 14918
"200051_at" 444 21087 13962 18638 20097
"200052_s_at" 21197 7873 15706 16402 17400
"200053_at" 16676 20610 17052 19017 22186
"200054_at" 3603 4709 18790 17874 20256
"200055_at" 17558 3300 18073 7315 13116
"200056_s_at" 22224 19434 15242 5636 16331
"200057_s_at" 5718 18077 14807 7013 13551
"200058_s_at" 3900 4032 17710 15703 18989
"200059_s_at" 18159 6125 14944 18205 14311
"200060_s_at" 3151 3461 16112 3515 3992
"200061_s_at" 3111 6276 9033 15715 3580
"200062_s_at" 18262 5583 9128 10531 4116
"200063_s_at" 16430 5175 9041 17254 4414
"200064_at" 16276 6692 16085 17038 14338
"200065_s_at" 5413 17150 12822 8031 16532
"200066_at" 19043 20136 18398 2341 15666
"200067_x_at" 21204 5613 13189 6693 14319
"200068_s_at" 5582 7466 14776 7977 15281
"200069_at" 3147 20669 18426 17207 21705
"200070_at" 273 6670 5236 18920 21184
"200071_at" 22103 18701 14618 6088 17100
"200072_s_at" 16578 18756 20045 7335 14611
"200073_s_at" 21444 7424 6042 3606 18439
"200074_s_at" 17337 18238 5911 17269 4553
"200075_s_at" 16104 16400 5889 15458 16668
"200076_s_at" 4774 4766 3470 18465 2599
"200077_s_at" 19316 7495 6030 16387 13797
"200078_s_at" 2604 21239 16946 16093 18681
"200079_s_at" 17499 6241 4326 8199 15917
"200080_s_at" 19641 18367 5287 15340 2314
"200081_s_at" 17799 16782 6733 15447 14017
"200082_s_at" 21101 6146 6510 15506 12941
"200083_at" 2954 16890 4493 6559 12939
"200084_at" 16769 18538 17167 15624 16201
"200085_s_at" 4906 6343 16409 15824 16428
"200086_s_at" 16823 6071 5893 5846 16682
"200087_s_at" 6074 7197 14374 17758 19766
"200088_x_at" 5286 5069 8945 10539 3764
"200089_s_at" 18257 6866 15123 17418 17312
"200090_at" 1956 3102 16167 4886 13584
"200091_s_at" 21555 6577 3615 16944 12811
"200092_s_at" 5956 5305 13549 16744 4660
"200093_s_at" 18324 5103 17852 7474 14515
"200094_s_at" 19393 17958 12747 7164 4288
"200095_x_at" 6009 16163 8884 10682 4120
"200096_s_at" 19422 7777 16701 21014 3595
"200097_s_at" 4413 20442 6748 15411 14910
"200098_s_at" 18381 7811 16352 7544 17036
"200099_s_at" 4538 7340 9143 10645 2904
"200593_s_at" 2443 20931 16609 18136 15343
"200594_x_at" 16402 7261 5631 2439 13186
"200595_s_at" 20893 17069 13872 15372 18960
"200596_s_at" 17695 15989 16339 8583 12869
"200597_at" 3879 19842 13627 18516 4230
"200598_s_at" 19130 5616 14546 7995 13573
"200599_s_at" 18818 20533 6150 5792 15179
"200600_at" 18518 4376 3514 10926 17196
"200601_at" 20228 7175 3905 19041 17823
"200602_at" 21886 6052 4125 8085 19870
"200603_at" 17908 18118 14687 17955 16827
"200604_s_at" 20668 21428 5241 7087 15193
"200605_s_at" 20110 16954 19782 15633 4222
"200606_at" 14060 7214 20347 16818 15302
"200607_s_at" 21526 7640 16961 17290 14389
"200608_s_at" 22191 16727 15999 16317 18135
"200609_s_at" 5379 1506 6777 15421 18605
"200610_s_at" 20712 4899 6957 8095 14941
"200611_s_at" 5430 5495 15463 17261 4546
"200612_s_at" 21486 2731 15936 4359 20591
"200613_at" 3332 18161 16169 7892 13538
"200614_at" 5254 6059 6611 5457 3227
"200615_s_at" 17973 7955 15284 5241 15834
"200616_s_at" 3788 6581 13717 6609 4225
"200617_at" 5146 2635 6355 16050 16870
"200618_at" 6003 3483 13925 3948 2191
"200619_at" 5058 2465 5798 19425 18269
"200620_at" 4396 16902 5506 6063 4273
"200621_at" 20597 3201 14264 6424 20309
"200622_x_at" 17517 3895 17180 7494 14734
"200623_s_at" 5195 7507 13521 7783 1040
"200624_s_at" 18392 16972 19264 4605 13198
"200625_s_at" 16390 19406 15882 5621 15539
"200626_s_at" 20609 22072 5988 2903 14710
"200627_at" 20918 18429 4270 7154 13909
"200628_s_at" 19238 19458 19509 19499 21274
"200629_at" 16245 18180 15575 17864 18861
"200630_x_at" 18246 17433 13035 4391 4885
"200631_s_at" 16441 5453 15377 15792 2529
"200632_s_at" 17771 4710 2938 7401 3229
"200633_at" 18996 7337 9147 16492 13260
"200634_at" 17919 17736 5655 7939 15142
"200635_s_at" 8272 5459 17682 3109 1756
"200636_s_at" 8991 3806 15312 5822 2409
"200637_s_at" 6995 6012 18375 20183 1731
"200638_s_at" 20943 16416 18774 15306 16851
"200639_s_at" 17263 3144 13483 18561 19011
"200640_at" 19842 7084 16090 8497 16080
"200641_s_at" 20973 19988 15530 8613 16950
"200642_at" 18451 4264 13650 7630 13022
"200643_at" 4271 340 14442 15526 16468
"200644_at" 19097 3816 6488 15281 15032
"200645_at" 19605 16229 5116 6605 18410
"200646_s_at" 17915 22038 3575 3900 15225
"200647_x_at" 5288 16075 5921 15247 2870
"200648_s_at" 17333 18575 16637 4594 19508
"200649_at" 17967 6148 19690 7372 16642
"200650_s_at" 17925 7710 17154 3881 2313
"200651_at" 18683 6168 15223 15395 13223
"200652_at" 18545 4717 14976 16559 17367
"200653_s_at" 19948 16800 15093 5875 3762
"200654_at" 3996 19350 14731 5591 13659
"200655_s_at" 18797 17746 13820 19633 13173
"200656_s_at" 19353 7417 5812 6953 19209
"200657_at" 5060 20087 15085 8086 14615
"200658_s_at" 16429 21029 14440 8183 20226
