"inst_1560" "inst_3176" "inst_5737"
"1007_s_at" 19884 19418 2532
"1053_at" 4420 12915 6104
"117_at" 16994 7374 11184
"121_at" 4603 14806 6083
"1255_g_at" 8544 5316 11373
"1294_at" 18434 1035 4621
"1316_at" 19984 15282 2878
"1320_at" 5586 8174 8513
"1405_i_at" 18889 6622 8542
"1431_at" 9278 1218 19472
"1438_at" 13936 12738 988
"1487_at" 3386 15647 21911
"1494_f_at" 78 2719 20726
"1598_g_at" 859 19012 13440
"160020_at" 666 3558 16493
"1729_at" 18270 11812 5999
"1773_at" 15324 13864 5698
"177_at" 1427 5419 7228
"179_at" 18337 19040 22264
"1861_at" 10621 4740 19659
"200000_s_at" 16877 11519 18470
"200001_at" 15814 13428 3935
"200002_at" 17279 12216 5250
"200003_s_at" 5511 10385 12782
"200004_at" 4192 15430 12925
"200005_at" 4672 12654 13383
"200006_at" 17235 4922 13760
"200007_at" 16765 15278 15998
"200008_s_at" 5067 4578 13235
"200009_at" 18118 12119 13249
"200010_at" 4607 11342 12396
"200011_s_at" 5467 17814 15729
"200012_x_at" 16000 4755 4752
"200013_at" 4620 11638 13029
"200014_s_at" 16328 12767 16066
"200015_s_at" 19876 18172 16139
"200016_x_at" 15809 11635 13042
"200017_at" 17498 6379 12760
"200018_at" 16039 4581 4697
"200019_s_at" 5161 13262 13630
"200020_at" 3921 15987 16279
"200021_at" 2487 6407 4756
"200022_at" 16439 3890 13945
"200023_s_at" 18934 13125 15070
"200024_at" 18754 11455 4378
"200025_s_at" 5124 10879 12818
"200026_at" 17513 4579 5527
"200027_at" 17658 14598 13685
"200028_s_at" 5175 15107 5298
"200029_at" 16751 11250 3877
"200030_s_at" 15914 4448 5729
"200031_s_at" 4296 6375 8140
"200032_s_at" 18433 6380 6236
"200033_at" 20524 4728 14028
"200034_s_at" 17721 4753 16987
"200035_at" 16290 4618 17497
"200036_s_at" 18853 12805 14509
"200037_s_at" 20670 12373 13067
"200038_s_at" 3390 4837 12926
"200039_s_at" 4014 13239 12340
"200040_at" 18991 14202 12652
"200041_s_at" 16971 11734 14640
"200042_at" 4242 16977 16709
"200043_at" 20848 18680 15932
"200044_at" 16928 13623 16535
"200045_at" 3086 13602 13657
"200046_at" 3412 11997 5211
"200047_s_at" 4311 13390 13967
"200048_s_at" 16137 13439 6216
"200049_at" 2156 13933 17910
"200050_at" 15962 13673 15966
"200051_at" 4801 20023 15652
"200052_s_at" 17073 11867 17784
"200053_at" 4659 14045 16802
"200054_at" 21332 13146 5430
"200055_at" 4704 16634 16444
"200056_s_at" 21043 16712 20513
"200057_s_at" 18261 11364 14972
"200058_s_at" 19394 16908 13577
"200059_s_at" 2633 4001 15332
"200060_s_at" 16133 14090 3986
"200061_s_at" 17180 6373 8139
"200062_s_at" 19444 6345 8100
"200063_s_at" 3825 6389 5716
"200064_at" 4216 11407 13693
"200065_s_at" 983 13252 5821
"200066_at" 5311 18960 18466
"200067_x_at" 20160 11077 15363
