"inst_3083" "inst_5300" "inst_6460" "inst_6701"
"1007_s_at" 1087 18797 14780 19164
"1053_at" 8660 15270 2196 6323
"117_at" 6544 10515 6441 1515
"121_at" 2718 17523 12158 19266
"1255_g_at" 14387 9091 7360 12599
"1294_at" 17118 10549 4659 20502
"1316_at" 18672 712 1414 22158
"1320_at" 13131 11288 9954 2745
"1405_i_at" 18990 12867 9606 20822
"1431_at" 2836 12968 14456 21602
"1438_at" 1005 18382 5229 20067
"1487_at" 5678 999 4393 6998
"1494_f_at" 4843 8453 20634 2890
"1598_g_at" 4581 22261 1017 20207
"160020_at" 1479 537 12624 1214
"1729_at" 19673 1163 2550 18845
"1773_at" 22028 21684 20917 15313
"177_at" 5116 9903 18638 21554
"179_at" 21597 307 22210 683
"1861_at" 6268 1879 1949 15437
"200000_s_at" 7508 3185 16212 15327
"200001_at" 7197 17605 13833 5886
"200002_at" 8881 2263 14053 5500
"200003_s_at" 11981 2318 4061 9681
"200004_at" 16879 16425 20690 6033
"200005_at" 8547 17917 16851 5178
"200006_at" 9929 13578 12353 6941
"200007_at" 6905 14335 14543 17817
"200008_s_at" 9777 20312 21879 1464
"200009_at" 6915 17911 13021 3929
"200010_at" 17097 2624 19516 1928
"200011_s_at" 9940 17204 4944 5699
"200012_x_at" 17931 3684 4704 16643
"200013_at" 9741 13886 12829 6337
"200014_s_at" 9188 18508 15192 16417
"200015_s_at" 6717 3207 13527 8101
"200016_x_at" 17340 13236 12912 16975
"200017_at" 12116 14682 12048 14136
"200018_at" 12102 1999 5558 15434
"200019_s_at" 17694 14729 4728 15114
"200020_at" 5900 20996 15587 4803
"200021_at" 18155 2807 7788 9796
"200022_at" 8135 15245 4260 7318
"200023_s_at" 5410 14209 12781 17584
"200024_at" 17717 17178 5131 6857
"200025_s_at" 7696 3380 4238 16105
"200026_at" 12253 1802 5264 7981
"200027_at" 9717 17630 17775 18228
"200028_s_at" 9930 15255 3698 16749
"200029_at" 17019 17261 12563 6787
"200030_s_at" 4417 16841 12265 5933
"200031_s_at" 12086 2919 4997 9725
"200032_s_at" 12121 13965 12457 14124
"200033_at" 5009 1131 17963 7351
"200034_s_at" 17500 15465 12032 3115
"200035_at" 2926 15244 17869 4382
"200036_s_at" 17023 18302 14397 16993
"200037_s_at" 8469 14942 13008 16860
"200038_s_at" 12225 13875 13110 6410
"200039_s_at" 8063 17218 12363 4487
"200040_at" 5819 15675 17446 15450
"200041_s_at" 7533 19942 4656 4938
"200042_at" 17107 7364 14138 6931
"200043_at" 4554 949 18813 17602
"200044_at" 9427 18740 5019 6830
"200045_at" 16856 16157 4725 7286
"200046_at" 3562 15519 14196 4643
"200047_s_at" 3175 16052 16445 18470
"200048_s_at" 9847 15176 13048 18375
"200049_at" 7135 16680 12709 7849
"200050_at" 18848 3293 19576 17265
"200051_at" 19020 20047 12128 16974
"200052_s_at" 17022 20224 17773 4697
"200053_at" 18909 18220 12914 945
"200054_at" 6176 18419 16253 3609
"200055_at" 9924 21282 4283 19111
"200056_s_at" 20091 14581 19184 19754
"200057_s_at" 6844 17380 3948 14592
"200058_s_at" 6546 13684 13429 15009
"200059_s_at" 7548 18247 17576 7588
"200060_s_at" 19724 18165 13167 5712
"200061_s_at" 12083 13263 5376 9724
"200062_s_at" 11960 2928 7616 9674
"200063_s_at" 9520 15124 7726 9749
"200064_at" 7605 16740 12670 2102
"200065_s_at" 8571 18043 15325 5973
"200066_at" 17860 17763 16526 6791
"200067_x_at" 4923 17159 16650 17019
"200068_s_at" 6096 15079 4902 6664
"200069_at" 20094 13744 17841 19656
"200070_at" 22261 22132 12999 17249
"200071_at" 5580 20168 12664 14035
"200072_s_at" 9566 15575 18193 7701
"200073_s_at" 19493 18027 5280 17572
"200074_s_at" 9308 2667 12887 5220
"200075_s_at" 17595 17039 5788 14988
"200076_s_at" 8265 21351 4848 16313
"200077_s_at" 6622 15322 4151 8017
"200078_s_at" 6251 16345 15835 15148
"200079_s_at" 9121 18363 14533 8182
"200080_s_at" 7631 2733 4664 14568
"200081_s_at" 17142 3722 3998 1475
"200082_s_at" 9759 15622 5571 3960
"200083_at" 17429 16584 5393 7038
