"inst_3073" "inst_5289" "inst_6450" "inst_6690"
"1007_s_at" 557 3008 17554 18323
"1053_at" 20317 1908 14706 2252
"117_at" 8563 6571 10707 9516
"121_at" 2474 2135 20941 16717
"1255_g_at" 12178 8137 10052 9236
"1294_at" 18463 6002 21458 20444
"1316_at" 1241 9689 21908 4944
"1320_at" 14114 5697 3544 13153
"1405_i_at" 16434 12310 12019 18282
"1431_at" 17060 6727 2988 5809
"1438_at" 19181 16807 3271 13680
"1487_at" 1514 13717 19344 17079
"1494_f_at" 21036 1922 22172 19241
"1598_g_at" 1782 22132 14269 13903
"160020_at" 8863 8847 21991 2216
"1729_at" 2003 20412 14099 3375
"1773_at" 648 3407 20718 4398
"177_at" 5327 12373 839 4394
"179_at" 22104 15805 22237 1067
"1861_at" 4646 1671 19750 12315
"200000_s_at" 2280 17472 14791 13937
"200001_at" 7898 3401 14120 13115
"200002_at" 7515 13438 14026 6163
"200003_s_at" 11372 1708 7224 8075
"200004_at" 8650 16605 15314 6141
"200005_at" 5920 16669 15495 6280
"200006_at" 8680 13349 6430 15184
"200007_at" 17759 15105 13532 14846
"200008_s_at" 6715 14758 2840 1468
"200009_at" 7209 14085 14576 4581
"200010_at" 17458 13921 5487 2710
"200011_s_at" 4148 16038 14170 5560
"200012_x_at" 16602 2094 5823 6585
"200013_at" 8955 13549 14391 4315
"200014_s_at" 6577 16289 5726 17171
"200015_s_at" 5156 16210 13786 17707
"200016_x_at" 16395 15501 14455 13094
"200017_at" 11490 17539 9073 12799
"200018_at" 11475 14631 6910 4960
"200019_s_at" 16567 20697 6875 5107
"200020_at" 7828 18544 17938 5044
"200021_at" 19392 2926 9153 8193
"200022_at" 16174 14749 13830 12374
"200023_s_at" 8093 17543 16268 17053
"200024_at" 7879 15844 4954 4635
"200025_s_at" 16924 14957 14280 16802
"200026_at" 11615 3178 6972 15995
"200027_at" 7712 16376 15499 18543
"200028_s_at" 7319 16826 15799 16046
"200029_at" 17123 2122 13479 6527
"200030_s_at" 4589 14616 13864 4810
"200031_s_at" 11466 13852 5893 8123
"200032_s_at" 11495 13332 6644 6198
