"inst_1429" "inst_2276" "inst_5104" "inst_5529"
"1007_s_at" 19229 16975 3600 6005
"1053_at" 21531 10657 15240 3201
"117_at" 2264 11011 12515 13160
"121_at" 17822 3706 15017 1558
"1255_g_at" 9795 11447 9487 8917
"1294_at" 16824 21327 2264 6024
"1316_at" 18567 1766 20328 17609
"1320_at" 13413 624 8631 12041
"1405_i_at" 20975 15074 670 13343
"1431_at" 10122 833 4590 9146
"1438_at" 11459 17525 16509 12212
"1487_at" 3225 6389 2877 20585
"1494_f_at" 18811 4340 2577 20221
"1598_g_at" 20617 3498 5892 21012
"160020_at" 21946 17161 1727 21973
"1729_at" 19253 21857 3761 2571
"1773_at" 20372 17382 20833 3312
"177_at" 2468 13975 15442 9694
"179_at" 18426 2411 14282 21561
"1861_at" 1067 17452 21097 1928
"200000_s_at" 18632 18575 5862 16858
"200001_at" 16614 8147 5851 18184
"200002_at" 15426 18120 14603 15461
"200003_s_at" 2530 12593 6502 15265
"200004_at" 16882 10318 14119 19230
"200005_at" 15012 17509 5073 17402
"200006_at" 17803 9721 14300 7657
"200007_at" 16855 6637 7199 5377
"200008_s_at" 1166 19698 17931 17401
"200009_at" 16454 9087 14857 15012
"200010_at" 15625 9517 15767 5159
"200011_s_at" 2490 18973 5227 15464
"200012_x_at" 1781 18851 15967 5324
"200013_at" 2550 10878 18570 16902
"200014_s_at" 18443 6719 15928 16029
"200015_s_at" 20490 7806 17907 6645
"200016_x_at" 18063 18535 14087 15922
"200017_at" 21080 12770 17122 6718
"200018_at" 17281 12640 16740 16275
"200019_s_at" 1502 10611 15110 19844
"200020_at" 602 8767 5981 2903
"200021_at" 22229 12813 9386 10145
"200022_at" 2003 12545 15890 16593
"200023_s_at" 17799 17174 14544 7598
"200024_at" 1945 10104 17609 8120
"200025_s_at" 16202 8854 7070 6909
"200026_at" 21428 12615 6945 16471
"200027_at" 19172 7447 14405 16509
"200028_s_at" 17222 16670 13624 18458
"200029_at" 2477 5997 14787 6569
"200030_s_at" 4328 8830 14050 15341
"200031_s_at" 971 12787 9302 17061
"200032_s_at" 20078 12803 14325 5784
"200033_at" 19332 9152 14594 6930
"200034_s_at" 16549 9724 16613 20625
"200035_at" 2178 20081 3870 2185
"200036_s_at" 3012 9153 7428 7388
"200037_s_at" 17606 8877 16435 16452
"200038_s_at" 18353 12671 7324 15462
"200039_s_at" 15159 10327 18193 15066
"200040_at" 16790 17111 6383 16173
"200041_s_at" 18981 9189 16565 17584
"200042_at" 15309 18018 16088 7457
"200043_at" 19152 7710 20553 16563
